"rownum","Id","string_8","Script1","Script2","EffectPack","MiscObject","CorpseSinkVariation","MiscAnimated","bool_96","bool_97","bool_98","i32_99","i32_103","i32_107","[string]_111","f32_127","bool_131","i32_132","i32_136","bool_140"
27,"MicrotransactionPillarOfFlameOnKill","","Delay( 2.00,\r\n{\r\n    AddEffectPack( 'Metadata/Effects/Microtransactions/on_kill/PillarOfFlame/epk/body_burnt_burst.epk', 4.0 );\r\n} );\r\nDelay( 4.00,\r\n{\r\n    AddEffectPack( 'Metadata/Effects/Microtransactions/on_kill/PillarOfFlame/epk/disintegrate_down.epk' );\r\n    AddEffectPack( 'Metadata/Effects/Microtransactions/on_kill/PillarOfFlame/epk/disintegrate_down_idle.epk' );\r\n} );","",[1062],[738],"",[],"","","",0,0,0,"[""frameupper""]",1,"",1000,400,""
28,"MicrotransactionDeathSoulstealerFinisher","","","",[1088],[756],"",[],"","","",0,0,0,"[""frameupper""]",0.9,"",2950,400,1
29,"MicrotransactionBlackHoleOnKill","","Delay(0.1, {this.black_hole = FindClosestObject( 'Metadata/Effects/Microtransactions/Misc/uniques/BlackHole/blackhole' ); this.black_hole_position = black_hole.GetPositionValues(  );\r\n\t\tthis.position = this.GetPositionValues(  );\r\n\t\tthis.sopx = black_hole_position[0] - position[0];\r\n\t\tthis.on_kill_black_hole_position += sopx;\r\n\t\tthis.sopy = black_hole_position[1] - position[1];\r\n\t\tthis.on_kill_black_hole_position += sopy;\r\n\t\tthis.sopz = black_hole_position[2] - position[2];\r\n\t\tthis.on_kill_black_hole_position += sopz; });","",[1066],[739],"",[],"","","",0,0,0,[],0,"",0,400,""
30,"MicrotransactionAnchorOnKill","","","",[1067],[],"",[9527],"","","",0,0,0,"[""frameupper""]",0.28,"",0,400,""
31,"MicrotransactionSharkAttackOnKill","","Delay( 1.13,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/shark/epk/chomped_down.epk\"", 1.5 );\r\n} );","",[],[],"",[9528],"","","",0,0,0,"[""frameupper""]",1,"",0,400,""
32,"MicrotransactionTentacleConsumeOnKill","","Delay( 1.9,\r\n{\r\n    AddEffectPack( \""Metadata/Effects/Microtransactions/Misc/rare_unique_kill/tentacle/epk/chomped_down.epk\"", 1.5 );\r\n} );","",[],[],"","[9529,9530,9531,9532,9533]","","","",0,0,0,"[""root""]",1,1,0,500,""
33,"MicrotransactionBlackstarMeteorOnKill","","","",[1071],[740],"",[],"","","",0,0,0,[],0,"",0,400,1
34,"MicrotransactionSulphiteShatterOnKill","","","",[1073],[741],"",[],"","","",0,0,0,"[""frameupper""]",1,"",0,400,""
35,"MicrotransactionNecroticFlamesOnKill","","","",[1074],[742],"",[],"","","",0,0,0,"[""frameupper""]",1,"",500,400,""
36,"MicrotransactionAesirZeusLightningOnKill","","","",[1076],[743],"",[],"","","",0,0,0,"[""frameupper""]",2,"",1600,400,""
37,"MicrotransactionCelestialEmperorOnKill","","Delay( 1.7, \r\n    {\r\n  RemoveEffectPack( 'Metadata/Effects/Spells/hit_and_blood/EPKs/corpseState_Blood.epk' );\r\n    } );","",[1078],[744],"",[],"","","",0,0,0,[],0,"",1750,400,""
38,"MicrotransactionSandwraithPlayerGEAL","","this.bone_storm = GetAttachedAOByType( 'Metadata/Effects/Microtransactions/BodyArmours/CoreMarakethAssassin/bone_tornado.ao' );\r\nthis.bone_storm.controller.SetStateTo( bones, 0 );","",[],[],"",[],"","","",0,0,0,[],0,"",0,400,""
39,"MicrotransactionSandwraithMastodon","","","",[],[745],"",[],"","","",0,0,0,[],0,"",0,400,""
40,"MicrotransactionSoulCoaster","","","",[1092],[],"",[9593],"","","",0,0,0,"[""grp_chest""]",1.25,"",1000,400,""
41,"MicrotransactionGhostlyCannons","","","",[],[],"",[9634],"","","",0,0,0,"[""grp_chest""]",1,"",0,400,""
42,"MicrotransactionDoryaniCrashLanding","","","",[1100],[],"",[9655],"","","",0,0,0,"[""frameupper""]",1.5,"",1200,400,""
43,"MicrotransactionPhrecianMagistrate","","","",[1103],[],"",[],"","","",0,0,0,[],0,"",0,400,""
44,"MicrotransactionJusticeUniqueFinisher","","Delay( 0.1, \r\n    {\r\n        this.finisher = FindClosestObject( 'Metadata/Effects/Microtransactions/on_kill/GoddessOfJustice/GoddessJustice' );\r\n        If( this.finisher.CurrentAnimationIndex() == 0,\r\n        {\r\n\t\t\tDelay( 4.075,\r\n\t\t\t\t{\r\n\t\t\t\t\tRemoveEffectPack( 'Metadata/Effects/Spells/hit_and_blood/EPKs/corpseState_Blood.epk' );\r\n\t\t\t\t\tAddEffectPack( 'Metadata/Effects/Microtransactions/on_kill/GoddessOfJustice/epk/disintegrate_down.epk' );\r\n\t\t\t\t} );\r\n        },\r\n        {\r\n\t\t\tDelay( 3.9,\r\n\t\t\t\t{\r\n\t\t\t\t\tAddEffectPack( 'Metadata/Effects/Microtransactions/on_kill/GoddessOfJustice/epk/corpse_soul.epk' );\r\n\t\t\t\t} );\r\n        } );\r\n    } );","",[],[776],"",[],"","","",0,0,0,[],0,"",0,500,""
45,"MicrotransactionDoryaniClampFinisher","","Delay( 2.5, \r\n    {\r\n\t\tRemoveEffectPack( 'Metadata/Effects/Spells/hit_and_blood/EPKs/corpseState_Blood.epk' );\r\n    } );","",[1122],[],"",[9823],"","","",0,0,0,[],0,"",0,500,""
46,"MicrotransactionDoryaniDeviceFinisher","","Delay( 1.985, \r\n    {\r\n\t\tRemoveEffectPack( 'Metadata/Effects/Spells/hit_and_blood/EPKs/corpseState_Blood.epk' );\r\n    } );","",[1123],[],"",[9824],"","","",0,0,0,[],0,"",1500,500,""
47,"MicrotransactionDoryaniFlamethrowerFinisher","","Delay( 0.5, \r\n    {\r\n\t\tRemoveEffectPack( 'Metadata/Effects/Spells/hit_and_blood/EPKs/corpseState_Blood.epk' );\r\n    } );","",[1124],[],"",[9825],"","","",0,0,0,[],0,"",500,500,""
48,"MicrotransactionDoryaniLaserFinisher","","","",[1125],[],"",[9826],"","","",0,0,0,[],0,"",0,500,""
49,"MicrotransactionZodiacDragon","","","",[],[],"",[10036],"","","",0,0,0,[],0,"",0,1500,""
50,"MonarchOfTrathusLionFinisher","","","",[],[],"",[10091],"","","",0,0,0,[],0,"",0,500,""
51,"HandOfXeshtFinisher","","","",[],[],"",[10100],"","","",0,0,0,[],0,"",0,500,""
52,"PhoenixFireFinisher","","","",[1230],[],"",[10245],"","","",0,0,0,[],0,"",2100,500,""
53,"PlummetingChandelierFinisher","","","",[],[],"",[10274],"","","",0,0,0,[],0,"",0,400,""
54,"GiantCentipedeFinisher","","","",[],[],"",[10302],"","","",0,0,0,[],0,"",0,500,""
55,"BackttheScrollFinisher","","","",[],[996],"",[],"","","",0,0,0,[],0,"",0,500,""
56,"StygianFinisher","","","",[1292],[],"",[],"","","",0,0,0,[],0,"",0,400,1
57,"BlackholeFreezeFinisher","","","",[],[1095],"",[],"","","",0,0,0,[],0,"",0,500,""
58,"NightLotusFinisherEffect","","","",[1296],[1004],"",[],"","","",0,0,0,"[""grp_chest""]",0,"",0,400,""
59,"TheEndFinisherEffect","","","",[],[1034],"",[],"","","",0,0,0,[],0,"",0,1000,""
