"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid_24","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32_64","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","rid_142","Gender","bool_166","string_167","rid_175"
22,"Metadata/NPC/Epilogue/ZanaElder","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],-32646,"","","","","F",1,"",""
23,"Metadata/NPC/Epilogue/ZanaSecret","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],-3829,"","","","","F",1,"",""
24,"Metadata/NPC/Epilogue/ZanaShaper","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],11034,"","","","","F",1,"",""
25,"Metadata/NPC/League/Prophecy/NavaliMonkey","Yama the White","Yama le Blanc","Yama der Weiße","白猿のヤマ","하얀 야마","Yama, o Branco","Белый Яма","Yama el Blanco","ยามา วานรขาว","小白．雅瑪","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-16859,"","","","","",1,"",""
26,"Metadata/NPC/Info/ShaperMemoryFragmentBook","Book of Memories","Recueil de souvenirs","Buch der Erinnerungen","記憶の本","기억의 책","Livro de Memórias","Книга памяти","Libro de memorias","หนังสือแห่งความทรงจำ","記憶之冊","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",11,[],[],-27389,"","","","","",1,"",""
27,"Metadata/NPC/Info/ShaperFinalMemoryFragment","Memory Fragment","Bribe de souvenir","Erinnerungsfragment","記憶のフラグメント","기억의 조각","Fragmento de Memória","Обрывок воспоминаний","Fragmento de memoria","ชิ้นส่วนความทรงจำ","記憶斷片","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",11,[],[],-30453,"","","","","",1,"",""
28,"Metadata/Monsters/AtlasBosses/Zana","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre Cartógrafa","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],-29954,"","","","","F",1,"",""
29,"Metadata/Monsters/AtlasBosses/ZanaUberElder","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre Cartógrafa","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],14628,"","","","","F",1,"",""
30,"Metadata/Monsters/KitavaBoss/InnocenceSin/Sin","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",11,[72],[73],18752,"","","","","M",1,"",""
31,"Metadata/NPC/League/Betrayal/CadiroBetrayal","Cadiro Perandus","Cadiro Pérandus","Cadiro Perandus","カディーロ・ペランダス","카디로 페란두스","Cadiro Perandus","Кадиро Перандус","Cadiro Perandus","คาดิโร เพแรนดัส","卡迪羅．普蘭德斯","Metadata/NPC/NPC","","","Cadiro","Cadiro","Cadiro","カディーロ","카디로","Cadiro","Кадиро","Cadiro","คาดิโร","卡迪羅",0,[55],[56],-30634,"","","",0,"M",1,"",27
32,"Metadata/NPC/Info/TutorialNPC","Tutorial NPC","PNJ de tutoriel","Tutorial NSC","チュートリアルNPC","튜토리얼 NPC","Tutorial NPC","Обучающие НИП","PNJ del Tutorial","NPC บทช่วยสอน","引導教學 NPC","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-17091,"","","","","F",1,"",""
33,"Metadata/NPC/League/Incursion/TreasureHunterWild","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[77],[78],23273,"","","","","F",1,"",14
34,"Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","","","Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[],[],-11843,"","","","","F",1,"",14
35,"Metadata/Monsters/LeagueIncursion/Alva","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[],[],-22791,"","","","","F",1,"",14
36,"Metadata/NPC/League/Delve/DelveMiner","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",10695,"","",1,"","M",1,"",""
37,"Metadata/NPC/League/Delve/DelveMinerWildVein","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",4175,"","","","","M",1,"",""
38,"Metadata/NPC/League/Delve/DelveMinerWildChest","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",13335,"","","","","M",1,"",""
39,"Metadata/NPC/League/Delve/DelveMinerHub","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",25055,"","","","","M",1,"",""
40,"Metadata/NPC/League/Delve/DelveMinerMine","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",-22853,"","","","","M",1,"",""
41,"Metadata/NPC/League/Delve/DelveMinerHideout","Niko, Master of the Depths","Niko, Maître des Profondeurs","Niko, Meister der Tiefen","深淵のマスター、ニコ","지하의 대가 니코","Niko, Mestre das Profundezas","Нико, Мастер глубин","Niko, Maestro de las profundidades","นิโค้ มาสเตอร์แห่งเหมืองลึก","挖掘大師尼科","Metadata/NPC/NPC","",4,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",0,"[79,81,83,85,87]","[80,82,84,86,88]",18545,"","",1,"","M",1,"",""
42,"Metadata/NPC/League/Betrayal/BetrayalNinjaCop","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],19427,"","",1,"","F",1,"",""
43,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopRaid","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],-17649,"","","","","F",1,"",""
44,"Metadata/NPC/Missions/HelenaClaim","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜",0,[24],[25],230,"","","","","F",1,"",""
45,"Metadata/NPC/Missions/Hideout/Helena","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜",0,[24],[25],31707,"","",1,"","F",1,"",""
46,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCop","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],-26065,"","","","","F",1,"",""
47,"Metadata/NPC/League/Incursion/TreasureHunter","Alva, Master Explorer","Alva, Maître-exploratrice","Alva, Meisterentdeckerin","探検のマスター、アルヴァ","탐험의 대가 알바","Alva, Mestre Exploradora","Альва, Мастер исследований","Alva, Maestra exploradora","อัลวา มาสเตอร์แห่งการสำรวจ","探險大師艾瓦","Metadata/NPC/NPC","",2,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",0,[77],[78],-24662,"","",1,"","F",1,"",14
48,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopVaultExterior","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",9,[89],[90],-12011,"","","","","F",1,"",""
49,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopSafehouse","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],-15282,"","","","","F",1,"",""
50,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopCatarina","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],-8773,"","","","","F",1,"",""
51,"Metadata/NPC/Epilogue/Helena","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜",11,[24],[25],28396,"","",1,"","F",1,"",""
52,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopSafehouse","Jun, Veiled Master","Jun, Maître-cryptologue","Jun, Meisterin der Verhüllung","ヴェールの達人、ジュン","장막의 대가 준","Jun, Mestre Oculta","Джун, Скрытый мастер","Jun, Maestra de encriptación","จุน มาสเตอร์แห่งการผนึก","幻隱大師瓊恩","Metadata/NPC/NPC","",5,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",0,[89],[90],7906,"","","","","F",1,"",""
53,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto1","Lifegiver's Manifesto 1","Manifeste de la Source de Vie I","Manifest des Lebensspenders, Teil 1","命を与える者の声明書 1","생명부여자의 성명서 1","Manifesto da Criadora da Vida 1","Манифест Жизнетворца 1","El Manifiesto del Dador de Vida 1","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 1","予生者之誓言1","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],19012,"","","","","",1,"",""
54,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto2","Lifegiver's Manifesto 2","Manifeste de la Source de Vie II","Manifest des Lebensspenders, Teil 2","命を与える者の声明書 2","생명부여자의 성명서 2","Manifesto da Criadora da Vida 2","Манифест Жизнетворца 2","El Manifiesto del Dador de Vida 2","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 2","予生者之誓言2","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-18948,"","","","","",1,"",""
55,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto3","Lifegiver's Manifesto 3","Manifeste de la Source de Vie III","Manifest des Lebensspenders, Teil 3","命を与える者の声明書 3","생명부여자의 성명서 3","Manifesto da Criadora da Vida 3","Манифест Жизнетворца 3","El Manifiesto del Dador de Vida 3","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 3","予生者之誓言3","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-26257,"","","","","",1,"",""
56,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto4","Lifegiver's Manifesto 4","Manifeste de la Source de Vie IV","Manifest des Lebensspenders, Teil 4","命を与える者の声明書 4","생명부여자의 성명서 4","Manifesto da Criadora da Vida 4","Манифест Жизнетворца 4","El Manifiesto del Dador de Vida 4","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 4","予生者之誓言4","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],7855,"","","","","",1,"",""
57,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto5","Lifegiver's Manifesto 5","Manifeste de la Source de Vie V","Manifest des Lebensspenders, Teil 5","命を与える者の声明書 5","생명부여자의 성명서 5","Manifesto da Criadora da Vida 5","Манифест Жизнетворца 5","El Manifiesto del Dador de Vida 5","แถลงการณ์ของผู้มอบชีวี ฉบับที่ 5","予生者之誓言5","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-30464,"","","","","",1,"",""
58,"Metadata/NPC/League/Synthesis/SynthesisVenariusGuardian","Venarius","Vénarius","Venarius","ヴェナリウス","베나리우스","Venarius","Венарий","Venarius","เวนาริอุส","維那利斯","Metadata/NPC/NPC","","","Venarius","Vénarius","Venarius","ヴェナリウス","베나리우스","Venarius","Венарий","Venarius","เวนาริอุส","維那利斯",0,[],[],12873,"","","","","M",1,"",""
59,"Metadata/Monsters/LegionLeague/LegionKaruiGeneral","Queen Hyrri Ngamaku","Reine Hyrri Ngamaku","Königin Hyrri Ngamaku","ハイリ・ナマク女王","하이리 나마쿠 여왕","Rainha Hyrri Ngamaku","Вождь Хайрри Нгамаку","Reina Hyrri Ngamaku","ราชินีไฮรี งามาคู","西里娜馬庫女王","Metadata/NPC/NPC","","","Hyrri Ngamaku","Hyrri Ngamaku","Hyrri Ngamaku","ハイリ・ナマク","하이리 나마쿠","Hyrri Ngamaku","Хайрри Нгамаку","Hyrri Ngamaku","ไฮรี งามาคู","西里娜馬庫",0,[],[],-6413,"","","","","F",1,"",""
