"rownum","Id","IsSupport","AllowedActiveSkillTypes","SupportGemLetter","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","HASH32","CannotBeSupported","LifeLeech","CastTime","ActiveSkill","IgnoreMinionTypes","CooldownNotRecoverDuringActive","AddedMinionActiveSkillTypes","Animation","MultiPartAchievement","bool_145","RegularVariant","bool_154","i32_155","i32_159","i32_163","bool_167","StatSet","AdditionalStatSets","Audio","CostTypes","bool_224","[i32]_225","i32_241","SupportWeaponRestrictions","string_261","MinionType","f32_285","f32_289","i32_293"
18,"MeleeSpearOffHandPlayer","",[],"",[],[],"",2877538626,"",2,1000,771,"","",[],1,"","","","",0,1,0,"",18,[],"",[0],1,[],-1,[],"","",0,0,0
19,"MeleeBowPlayer","",[],"",[],[],"",1159422192,"",2,1000,773,"","",[],444,"","","","",0,1,0,"",19,[],"",[0],1,[],-1,[],"","",0,0,0
20,"MeleeCrossbowPlayer","",[],"",[],[],"",1192121993,"",2,1000,774,"","",[],444,"","","","",0,0,0,"",20,[],"",[0],1,[],-1,[],"","",0,0,0
21,"MeleeGrenadeLauncherPlayer","",[],"",[],[],"",1806293985,"",2,1000,775,"","",[],394,"","","","",5,0,0,"",21,[],"",[0],1,[],-1,[],"","",0,0,0
22,"PlaytestAttack","",[],"",[],[],"",1589733925,"",2,1000,776,"","",[],1,"","","","",0,1,0,"",22,[],"",[0],1,[],-1,[],"","",0,0,0
23,"PlaytestSlam","",[],"",[],[],"",893567615,"",2,1000,777,"","",[],14,"","","","",0,19,0,"",23,[],"",[0],1,[],-1,[],"","",0,0,0
24,"PlaytestSpell","",[],"",[],[],"",1975023007,"",2,1000,778,"","",[],465,"","","","",0,0,0,"",24,[25],"",[0],1,[],-1,[],"","",0,0,0
25,"DodgeRollPlayer","",[],"",[],[],"",1285784734,"",2,750,652,"","",[],268,"","","","",0,0,0,"",1632,[],"",[],1,[],-1,[],"","",0,0,0
26,"CommandCompanionPlayer","",[],"",[],[],"",384031381,"",2,700,709,"","",[],525,"","","","",0,3,0,"",28,[],"",[],1,[],-1,[],"","",0,0,0
27,"CommandUnloadAmmoPlayer","",[],"",[],[],"",2449116052,"",2,700,709,"","",[],525,"","","","",0,3,0,"",29,[],"",[],1,[],-1,[],"","",0,0,0
28,"FireboltPlayer","",[],"",[],[],"",2912824985,"",2,900,32,"","",[],767,"","","","",0,0,0,"",26,[27],"",[0],1,[],-1,[],"","",0,0,0
29,"IceNovaPlayer","",[],"",[],[],"",783282587,"",2,1000,31,"","",[],302,"","","","",1,4,0,"",30,"[7437,8014]","",[0],1,[],-1,[],"","",0.11,0.065,0
30,"LeapSlamPlayer","",[],"",[],[],"",1158757118,"",2,1400,8,"","",[],14,"","","","",0,19,0,"",31,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
31,"MoltenCrashPlayer","",[],"",[],[],"",1415219290,"",2,1400,11,"","",[],16,"","","","",0,0,0,"",32,[33],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
32,"ShieldChargePlayer","",[],"",[],[],"",1244402693,"",2,1000,6,"","",[],10,"","","","",0,0,0,"",34,[7440],"",[9],1,[],-1,[],"","",0.11,0.042,0
33,"DetonateDeadPlayer","",[],"",[],[],"",1720307868,"",2,800,22,"","",[],515,"","","","",0,0,0,"",35,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.065,0
34,"RaiseZombiePlayer","",[],"",[],[],"",3518949861,"",2,600,37,"","",[],533,"","","","",0,0,0,"",36,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
35,"FlickerStrikePlayer","",[],"",[],[],"",479486538,"",2,1000,24,"","",[],238,"","","","",0,0,0,"",37,[],"",[0],1,[],-1,[],"","",0.11,0.042,0
36,"SparkPlayer","",[],"",[],[],"",784810722,"",2,700,49,"","",[],299,"","","","",5,0,0,"",38,[39],"",[0],1,[],-1,[],"","",0.11,0.065,0
37,"UniqueEarthboundTriggeredSparkPlayer","",[],"",[],[],"",4119861130,"",2,700,50,"","",[],299,"","","","",5,0,0,"",40,[41],"",[0],1,[],-1,[],"","",0.11,0.065,0
38,"SpearThrowPlayer","",[],"",[],[],"",2034129336,"",2,1000,665,"","",[],759,"","","","",0,0,0,"",306,[307],"",[],1,[],-1,[],"","",0,0,0
39,"SummonSpectrePlayer","",[],"",[],[],"",3136712647,"",2,850,54,"","",[],390,"","","","",0,0,0,"",42,[],"",[],1,[],-1,[],"",0,0,0,0
40,"FrostWallPlayer","",[],"",[],[],"",1436428227,"",2,800,58,"","",[],339,"","","","",0,0,0,"",43,[44],"",[0],1,[],-1,[],"","",0.11,0.065,0
41,"EnervatingNovaPlayer","",[],"",[],[],"",4254591389,"",2,1000,200,"","",[],594,"","","","",0,0,0,"",45,[],"",[0],1,[],-1,[],"","",0,0,0
42,"TemporalChainsPlayer","",[],"",[],[],"",2568817950,"",2,700,62,"","",[],665,"","","","",0,0,0,"",46,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
43,"EnfeeblePlayer","",[],"",[],[],"",3733505532,"",2,700,64,"","",[],518,"","","","",0,0,0,"",47,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
44,"SnipersMarkPlayer","",[],"",[],[],"",2195084374,"",2,500,65,"","",[],454,"","","","",0,0,0,"",48,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
45,"VulnerabilityPlayer","",[],"",[],[],"",2629204070,"",2,700,66,"","",[],517,"","","","",0,0,0,"",49,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
46,"LightningWarpPlayer","",[],"",[],[],"",4268454739,"",2,500,69,"","",[],469,"","","","",0,0,0,"",50,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
47,"VileDisruptionPlayer","",[],"",[],[],"",3855384691,"",2,500,70,"","",[],468,"","","","",3,0,0,"",51,[],"",[0],1,[],-1,[],"","",0,0.065,0
48,"ArmourBreakerPlayer","",[],"",[],[],"",4175507863,"",2,1000,72,"","",[],618,"","","","",0,0,0,"",52,[],"",[0],1,[],-1,[],"","",0.11,0.042,0
49,"FirestormPlayer","",[],"",[],[],"",2335476830,"",2,1400,78,"","",[],405,"","","","",4,0,0,"",53,"[7719,7720]","",[0],1,[],-1,[],"","",0.11,0.065,0
50,"FallingThunderPlayer","",[],"",[],[],"",1924535859,"",2,1000,639,"","",[],197,"","","","",0,0,0,"",54,[55],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
51,"PowerSiphonPlayer","",[],"",[],[],"",1765669141,"",2,700,90,"","",[],501,"","","","",1,0,0,"",56,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/PowerSiphon/OnHit_PowerSiphonSG",[0],1,[],-1,[],"","",0,0,0
52,"LightningArrowPlayer","",[],"",[],[],"",1125460749,"",2,1000,92,"","",[],448,"","","","",0,0,0,"",57,[410],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
53,"DisciplinePlayer","",[],"",[],[],"",1590703230,"",2,0,97,"","",[],"","","","","",0,0,0,"",58,[],"",[],1,[],-1,[],"","",0,0,0
54,"ShockwaveTotemPlayer","",[],"",[],[],"",2786260401,"",2,600,779,"","",[],492,"","","","",0,0,0,"",59,[],"",[0],1,[],-1,[],"",5,0.11,0.042,0
55,"ShockwaveTotemQuakePlayer","",[],"",[],[],"",3824638950,"",2,600,781,"","",[],696,"","","","",0,0,0,"",60,[61],"",[],1,[],-1,[],"","",0,0,0
56,"KnifeFlipPlayer","",[],"",[],[],"",2292269449,"",2,1000,114,"","",[],242,"","","","",0,0,0,"",62,[],"",[],1,[],-1,[],"","",0,0,0
57,"ArcPlayer","",[],"",[],[],"",1358643428,"",2,1100,1048,"","",[],301,"","","","",0,0,0,"",63,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
58,"ArcticArmourPlayer","",[],"",[],[],"",1864998710,"",2,0,635,"","",[],355,"","","","",0,0,0,"",64,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/ArcticArmour/OnHit_ArcticArmourSG",[],1,[],-1,[],"","",0,0,0
59,"VirtuousBarrierPlayer","",[],"",[],[],"",4098582711,"",2,0,1105,"","",[],355,"","","","",0,0,0,"",65,[],"",[],1,[],-1,[],"","",0,0,0
60,"FlammabilityPlayer","",[],"",[],[],"",2994448471,"",2,700,120,"","",[],565,"","","","",0,0,0,"",66,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
61,"HypothermiaPlayer","",[],"",[],[],"",1495189518,"",2,700,121,"","",[],566,"","","","",0,0,0,"",67,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
62,"ConductivityPlayer","",[],"",[],[],"",836789498,"",2,700,122,"","",[],567,"","","","",0,0,0,"",68,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
63,"ElementalWeaknessPlayer","",[],"",[],[],"",3275541579,"",2,700,63,"","",[],887,"","","","",0,0,0,"",69,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
64,"BallLightningPlayer","",[],"",[],[],"",2166446495,"",2,1000,123,"","",[],610,"","","","",0,0,0,"",70,"[71,72]","",[0],1,[],-1,[],"","",0.11,0.065,0
65,"PurityOfFirePlayer","",[],"",[],[],"",772385188,"",2,0,139,"","",[],"","","","","",0,0,0,"",73,[],"",[],1,[],-1,[],"","",0,0,0
66,"PurityOfIcePlayer","",[],"",[],[],"",610702832,"",2,0,140,"","",[],"","","","","",0,0,0,"",74,[],"",[],1,[],-1,[],"","",0,0,0
67,"PurityOfLightningPlayer","",[],"",[],[],"",2619755682,"",2,0,141,"","",[],"","","","","",0,0,0,"",75,[],"",[],1,[],-1,[],"","",0,0,0
68,"ImpurityPlayer","",[],"",[],[],"",1800063643,"",2,0,142,"","",[],"","","","","",0,0,0,"",76,[],"",[],1,[],-1,[],"","",0,0,0
69,"FlameblastPlayer","",[],"",[],[],"",2484641296,"",2,250,148,"","",[],470,"","","","",0,0,0,"",77,[],"",[9],1,[],-1,[],"","",0.11,0.065,0
70,"BarragePlayer","",[],"",[],[],"",3081895918,"",2,700,155,"","",[],102,"","","","",0,0,0,"",78,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
71,"BoneOfferingPlayer","",[],"",[],[],"",2875620419,"",2,600,161,"","",[],407,"","","","",0,0,0,"",79,[],"",[0],1,[],-1,[],"",71,0.11,0.018,0
72,"SSMQuadrillaRockPlayer","",[],"",[],[],"",1633909526,"",2,1000,181,"","",[],"","","","","",0,0,0,"",88,[],"",[],1,[],-1,[],"","",0,0,0
73,"HeraldOfAshPlayer","",[],"",[],[],"",2046080964,"",2,0,174,"","",[],"","","","","",0,0,0,"",80,[81],"",[],1,"[1,0]",-1,[],"","",0,0,0
74,"HeraldOfIcePlayer","",[],"",[],[],"",3307984671,"",2,0,175,"","",[],"","","","","",0,0,0,"",82,[83],"",[],1,"[1,0]",-1,[],"","",0,0,0
75,"HeraldOfThunderPlayer","",[],"",[],[],"",3147048835,"",2,0,176,"","",[],"","","","","",0,0,0,"",84,[85],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],1,"[1,0]",-1,[],"","",0,0,0
76,"InfernalCryPlayer","",[],"",[],[],"",4006193803,"",2,800,444,"","",[],616,"","","","",0,0,0,"",86,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
77,"InfernalCryCorpseExplosionPlayer","",[],"",[],[],"",3407489681,"",2,1000,668,"","",[],"","","","","",0,0,0,"",87,[],"",[],1,[],-1,[],"","",0,0,0
78,"MarakethUndeadPriestRollingMagma","",[],"",[],[],"",0,"",2,700,207,"","",[],403,"","","","",0,12,0,"",89,[],"",[0],1,[],-1,[],"","",0.01,0,0
79,"RollingMagmaPlayer","",[],"",[],[],"",1239665169,"",2,700,206,"","",[],403,"","","","",0,0,0,"",90,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
80,"FrostBombPlayer","",[],"",[],[],"",1625448596,"",2,800,216,"","",[],307,"","","","",0,0,0,"",91,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
81,"OrbOfStormsPlayer","",[],"",[],[],"",4031861065,"",2,800,219,"","",[],474,"","","","",0,0,0,"",92,[],"Audio/Sound Effects/Skills/4.0/Elemental/OrbOfStorms/OrbOfStorms_OnHit/OrbOfStorms_OnHitSG",[0],1,[],-1,[],"","",0.11,0.065,0
82,"EarthquakePlayer","",[],"",[],[],"",3349785682,"",2,1000,223,"","",[],552,"","","","",0,0,0,"",93,[94],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
83,"ContagionPlayer","",[],"",[],[],"",3959879050,"",2,1000,227,"","",[],431,"","","","",0,0,0,"",95,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
84,"WitherPlayer","",[],"",[],[],"",512603286,"",2,250,229,"","",[],830,"","","","",0,0,0,"",96,[],"",[0],1,[],-1,[],"","",0,0,0
85,"EssenceDrainPlayer","",[],"",[],[],"",3773191089,"",2,800,230,"","",[],513,"","","","",0,0,0,"",97,[98],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/EssenceDrain/OnHit_EssenceDrainSG",[0],1,[],-1,[],"","",0.11,0.065,0
86,"DarkPactPlayer","",[],"",[],[],"",1467437114,"",2,700,249,"","",[],596,"","","","",0,0,0,"",101,[],"",[0],1,[],-1,[],"","",0,0,0
87,"SummonSkeletalWarriorsPlayer","",[],"",[],[],"",2115621412,"",2,0,279,"","",[],"","","","","",0,0,0,"",102,[],"",[],1,[],-1,[],"",8,0,0,0
88,"SummonSkeletalReaversPlayer","",[],"",[],[],"",2074722292,"",2,0,280,"","",[],"","","","","",1,0,0,"",103,[],"",[],1,[],-1,[],"",8,0,0,0
89,"SummonSkeletalBrutesPlayer","",[],"",[],[],"",1093154269,"",2,0,281,"","",[],"","","","","",2,0,0,"",104,[],"",[],1,[],-1,[],"",8,0,0,0
90,"SummonSkeletalSnipersPlayer","",[],"",[],[],"",2144132087,"",2,0,282,"","",[],"","","","","",3,0,0,"",105,[],"",[],1,[],-1,[],"",8,0,0,0
91,"SummonSkeletalFrostMagesPlayer","",[],"",[],[],"",2150405503,"",2,0,283,"","",[],"","","","","",4,0,0,"",106,[],"",[],1,[],-1,[],"",8,0,0,0
92,"SummonSkeletalStormMagesPlayer","",[],"",[],[],"",4079606645,"",2,0,284,"","",[],"","","","","",5,0,0,"",107,[],"",[],1,[],-1,[],"",8,0,0,0
93,"SummonSkeletalArsonistsPlayer","",[],"",[],[],"",3714289069,"",2,0,285,"","",[],"","","","","",6,0,0,"",108,[],"",[],1,[],-1,[],"",8,0,0,0
94,"SummonSkeletalClericsPlayer","",[],"",[],[],"",1349094347,"",2,0,286,"","",[],"","","","","",7,0,0,"",109,[],"",[],1,[],-1,[],"",8,0,0,0
95,"SummonAzmerianWolfPlayer","",[],"",[],[],"",2986456050,"",2,1000,287,"","",[],"","","","","",0,0,0,"",110,[],"",[],1,[],-1,[],"",97,0,0,0
96,"SummonMistRavenPlayer","",[],"",[],[],"",318697051,"",2,1000,288,"","",[],"","","","","",0,0,0,"",111,[],"",[],"",[],-1,[],"",102,0,0,0
97,"SummonSpiralingConspiracyPlayer","",[],"",[],[],"",1081690643,"",2,1000,289,"","",[],"","","","","",0,0,0,"",112,[],"",[],"",[],-1,[],"",96,0,0,0
98,"VolatileDeadPlayer","",[],"",[],[],"",963745108,"",2,800,311,"","",[],574,"","","","",0,0,0,"",113,"[114,115]","",[0],1,"[0,2,1]",-1,[],"","",0,0,0
99,"DespairPlayer","",[],"",[],[],"",138115282,"",2,700,328,"","",[],519,"","","","",0,0,0,"",116,[],"",[0],1,[],-1,[],"","",0.11,0.018,0
100,"IncineratePlayer","",[],"",[],[],"",2506630010,"",2,250,820,"","",[],612,"",1,"","",0,0,0,"",117,[118],"",[],1,[],-1,[],"","",0,0,0
101,"RainOfArrowsPlayer","",[],"",[],[],"",3045270178,"",2,1000,740,"","",[],74,"","","","",0,0,0,"",119,[],"",[0],1,[],-1,[],"","",0.11,0.042,0
102,"SoulrendPlayer","",[],"",[],[],"",2754464843,"",2,800,398,"","",[],586,"","","","",0,0,0,"",120,[121],"",[0],1,[],-1,[],"","",0,0,0
103,"PlagueBearerPlayer","",[],"",[],[],"",3640454357,"",2,0,743,"","",[],"","","","","",0,0,0,"",122,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],1,[],-1,[],"","",0,0,0
104,"SiegeBallistaPlayer","",[],"",[],[],"",252729422,"",2,1000,432,"","",[],60,"","","","",0,0,0,"",123,[],"",[0],1,[],-1,[],"",5,0.11,0.042,0
105,"SiegeBallistaProjectilePlayer","",[],"",[],[],"",2504181990,"",2,1000,433,"","",[],1,"","","","",2,0,0,"",124,[125],"",[],1,[],-1,[],"","",0,0,0
106,"SnipePlayer","",[],"",[],[],"",2151405964,"",2,1000,438,"","",[],64,"","","","",0,0,0,"",126,"[127,128]","",[9],1,[],-1,[],"","",0.11,0.042,0
107,"SeismicCryPlayer","",[],"",[],[],"",729574810,"",2,800,446,"","",[],615,"","","","",0,0,0,"",129,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.018,0
108,"EarthshatterPlayer","",[],"",[],[],"",848254453,"",2,1000,452,"","",[],13,"","","","",1,0,0,"",130,[7442],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
109,"SunderPlayer","",[],"",[],[],"",278070861,"",2,1000,235,"","",[],194,"","","","",0,5,0,"",99,[100],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
110,"SigilOfPowerPlayer","",[],"",[],[],"",3101173941,"",2,600,457,"","",[],584,"","","","",0,0,0,"",131,[],"",[0],1,[],-1,[],"","",0,0,0
111,"SacredGroundPlayer","",[],"",[],[],"",1932742992,"",2,600,456,"","",[],585,"","","","",1,0,0,"",132,[],"",[0],1,[],-1,[],"","",0,0,0
112,"FlameWallPlayer","",[],"",[],[],"",2537489826,"",2,1000,458,"","",[],472,"","","","",0,0,0,"",133,"[134,135]","",[0],1,[],-1,[],"","",0.11,0.065,0
113,"DoomBlastPlayer","",[],"",[],[],"",389713709,"",2,1000,460,"","",[],"","","","","",0,0,0,"",136,[],"",[],1,[],-1,[],"","",0,0,40
114,"HexblastPlayer","",[],"",[],[],"",2966617556,"",2,1000,464,"","",[],434,"","","","",0,0,0,"",137,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
115,"AncestralWarriorTotemPlayer","",[],"",[],[],"",3877826478,"",2,500,475,"","",[],492,"","","","",0,0,0,"",138,[],"",[0],1,[],-1,[],"",5,0.11,0.042,0
116,"SupportAncestralWarriorTotemPlayer",1,"[0,14,73]","","[95,257,268]","[121,193,90,47,36,139,257,268,74,73]","",1940272382,"",2,0,"",1,"",[],"","","","","",0,0,0,"",139,[],"",[],1,[],-1,[10],"","",0,0,0
117,"SummonMetaTotemSpellTotemPlayer","",[],"",[],[],"",1143659949,"",2,500,477,"","",[],563,"","","","",0,0,0,"",140,[],"",[0],1,[],-1,[],"",5,0.11,0.042,0
118,"SupportMetaTotemSpellTotemPlayer",1,"[1,14,73]","","[95,257,269]","[121,193,90,36,139,257,269,74,73]","",3590311288,"",2,0,"",1,"",[],"","","","","",0,0,0,"",141,[],"",[],1,[],-1,[],"","",0,0,0
119,"SummonMetaTotemBallistaPlayer","",[],"",[],[],"",364360799,"",2,500,478,"","",[],563,"","","","",0,0,0,"",142,[],"",[],1,[],-1,[],"",5,0,0,0
120,"SupportMetaTotemBallistaPlayer",1,[40],"","[95,257,270]","[121,193,90,36,139,257,270,74,73]","",2315522986,"",2,0,"",1,"",[],"","","","","",0,0,0,"",143,[],"",[],1,[],-1,[],"","",0,0,0
121,"RapidAssaultPlayer","",[],"",[],[],"",1252991862,"",2,1000,530,"","",[],420,"","","","",0,0,0,"",144,"[145,146]","",[0],1,[],-1,[],"","",0.11,0.042,0
122,"BloodHuntPlayer","",[],"",[],[],"",1628671848,"",2,1000,532,"","",[],342,"","","","",0,0,0,"",147,[148],"",[0],1,[],-1,[],"","",0.11,0.042,0
123,"DisengagePlayer","",[],"",[],[],"",1671647665,"",2,1000,533,"","",[],89,"","","","",0,0,0,"",149,[7773],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
124,"ExsanguinatePlayer","",[],"",[],[],"",2400311400,"",2,1000,481,"","",[],576,"","","","",0,0,0,"",150,[],"",[0],1,[],-1,[],"","",0,0,0
125,"ReapPlayer","",[],"",[],[],"",3271603102,"",2,1200,486,"","",[],587,"","","","",0,0,0,"",152,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/Reap/OnHit_ReapSG",[0],1,[],-1,[],"","",0,0,0
126,"HisWinnowingFlamePlayer","",[],"",[],[],"",3768668047,"",2,700,488,"","",[],590,"","","","",1,0,0,"",153,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/KulemaksBirth/OnHit_WinnowingFlameSG",[0],1,[],-1,[],"","",0,0.065,0
127,"TriggeredHisWinnowingFlamePillarPlayer","",[],"",[],[],"",983579946,"",2,1000,1019,"","",[],"","","","","",1,1,0,"",154,[],"",[0],1,[],-1,[],"","",0,0,0
128,"BoneshatterPlayer","",[],"",[],[],"",976235334,"",2,1000,503,"","",[],478,"","","","",0,0,30,"",155,[156],"",[0],1,[],-1,[],"","",0.11,0.042,0
129,"EyeOfWinterPlayer","",[],"",[],[],"",3106088232,"",2,1400,507,"","",[],614,"","","","",0,0,0,"",157,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
130,"WhirlingSlashPlayer","",[],"",[],[],"",1619954963,"",2,1000,535,"","",[],167,"","","","",0,0,0,"",158,[159],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1,[],"","",0.11,0.042,0
131,"SpearfieldPlayer","",[],"",[],[],"",1597522128,"",2,1000,537,"","",[],172,"","","","",0,0,0,"",160,[7820],"",[0],1,[],1,[],"","",0.11,0.042,0
132,"TornadoPlayer","",[],"",[],[],"",441880111,"",2,750,510,"","",[],331,"","","","",0,0,0,"",161,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/Tornado/OnHit_TornadoSG",[0],1,[],-1,[],"","",0.11,0.065,0
133,"LightningConduitPlayer","",[],"",[],[],"",3022793293,"",2,1000,524,"","",[],477,"","","","",0,0,0,"",162,[],"",[0],1,[],-1,[],"","",0.11,0.065,0
134,"GalvanicFieldBuffPlayer","",[],"",[],[],"",2408237786,"",2,650,525,"","",[],575,"","","","",0,0,0,"",163,[164],"",[0],1,[],-1,[],"","",0,0,0
135,"MtxDirectLineOfAntsPlayer","",[],"",[],[],"",219162552,1,2,250,526,"","",[],"","","","","",0,0,0,"",165,[],"",[],1,[],-1,[],"","",0,0,0
136,"MtxPolymorphCat1Player","",[],"",[],[],"",764347639,1,2,700,527,"","",[],31,"",1,"","",0,11,0,"",166,[],"",[],1,[],-1,[],"","",0,0,0
137,"MtxPolymorphCat2Player","",[],"",[],[],"",2824339148,1,2,700,527,"","",[],31,"",1,"","",0,12,0,"",166,[],"",[],1,[],-1,[],"","",0,0,0
138,"MtxPolymorphCat3Player","",[],"",[],[],"",1489377520,1,2,700,527,"","",[],31,"",1,"","",0,13,0,"",166,[],"",[],1,[],-1,[],"","",0,0,0
139,"MtxPolymorphCat4Player","",[],"",[],[],"",2793580269,1,2,700,527,"","",[],31,"",1,"","",0,14,0,"",166,[],"",[],1,[],-1,[],"","",0,0,0
140,"MtxPolymorphCat5Player","",[],"",[],[],"",2816716715,1,2,700,527,"","",[],31,"",1,"","",0,15,0,"",166,[],"",[],1,[],-1,[],"","",0,0,0
