"rownum","HideoutNPC","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]_120","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32_182","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]_210","KalandraAchievement","i32_242","i32_246","VeiledMod","AddEnchantment","SortCategory","ModType","bool_314","i32_315","Stat1","Stat2","Stat3"
27,4,27,"",[30],[100],0,"At Least Two Blue and One Red Socket","Au moins deux châsses Bleues et une Rouge","Mindestens zwei blaue und eine rote Fassung","青ソケット最低2個および赤ソケット最低1個","파란 홈 최소 2개, 빨간 홈 최소 1개","Ao Menos Dois Encaixes Azuis e Um Vermelho","Хотя бы два синих и одно красное гнездо","Al menos dos engarces azules y uno rojo","อย่างน้อย 2 ฟ้า 1 แดง","至少 2 個藍色和 1 個紅色插槽",7,[],0,"BBR",0,0,[],"","","","","","","","","","","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[],4264,4264,"","",3,"","",0,"","",""
28,6,0,8095,[],[],68,"","","","","","","","","","",7,"[35,38,86]",0,"",0,69,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
29,6,1,8096,[],[],70,"","","","","","","","","","",7,"[35,38,86]",0,"",0,71,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
30,6,2,8097,[],[],72,"","","","","","","","","","",7,"[35,38,86]",0,"",0,73,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
31,6,3,8098,[],[],74,"","","Tempest","","폭풍","Tempest","Буря","Tempest","","風暴",7,"[35,38,86]",0,"",0,75,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
32,6,4,8099,[],[],76,"","","","","","","","","","",7,"[35,38,86]",0,"",0,77,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
33,6,5,8100,[],[],78,"","","","","","","","","","",7,"[35,38,86]",0,"",0,79,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
34,6,6,8101,[],[],80,"","","","","","","","","","",7,"[35,38,86]",0,"",0,81,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
35,6,7,8102,[],[],82,"","","","","","","","","","",7,"[35,38,86]",0,"",0,100,[],"","","","","","","","","","",1,1,[],0,"[14,15,17]",0,"",0,0,[],[],4264,4264,"","",0,1954,"",0,"","",""
36,6,8,"",[3],[3],72,"Fortune Favours the Brave","La Fortune sourit aux Audacieux","Dem Mutigen gehört die Welt","幸運は勇者に微笑む","행운은 용기 있는 사람에게 찾아온다","Sorte Favorece os Corajosos","Удача благоволит смелым","La fortuna favorece a los valientes","โชคเข้าข้างผู้กล้า","天佑勇者",2,[35],0,"",0,0,[],"One of the options available from this device will be applied at random, including options you have not yet unlocked.","Applique au hasard l'une des options de la liste ci-dessous, y compris celles que vous n'avez pas encore débloquées.","Einer der Modifikatoren wird zufällig angewendet. Dazu zählen auch Modifikatoren, die noch nicht freigeschaltet wurden.","まだアンロックされていないオプションを含む、デバイス内のオプション1つをランダムに適用する。","해당 장치에서의 사용 가능한 설정 중 하나가 무작위로 적용되며 여기에는 아직 해제하지 않은 설정도 포함됩니다.","Uma das opções disponíveis deste dispositivo será aplicada aleatoriamente, incluindo opções que você ainda não liberou.","Активирует случайно выбранное свойство машины картоходца. Могут быть активированы даже ещё не открытые свойства.","Una de las opciones disponibles en este artefacto se aplicará al azar, incluidas las opciones que aún no hayas desbloqueado.","สุ่มเลือกตัวเลือกจากเครื่องนี้มา 1 อย่าง รวมถึงตัวเลือกที่คุณยังไม่ได้ปลดล็อกด้วย","隨機選取一個製圖裝置上的選項，包含尚未解鎖的也可使用。",1,"",[],0,[14],0,"",0,0,[],[],4264,4264,"","",3,"","",0,"","",""
37,6,9,"",[3],[1],101,"Alternate of Same Tier (Tier 1-10)","Nouvelle Carte du même palier (1 à 10)","Alternative Karte desselben Levels (Level 1-10)","同一ティア内で変成 (ティア1-10 )","동일 등급 대체 (1~10등급)","Aternativa do Mesmo Tier (Tier 1-10)","Другая карта, тот же уровень (1-10 уровень)","Alternativo del mismo grado (grado 1 a 10)","แผนที่อื่นในระดับเดียวกัน (ระดับ 1-10)","同工同酬 (T1-T10)",3,[35],0,"",0,0,[],"Requires a Rare Map of Tier 10 or below. Opens a random Map of the same Tier with random Mods. Excludes the Map placed in the device.","Nécessite une Carte rare de palier 10 ou moins. Ouvre une autre Carte rare du même palier, tirée au hasard et différente de celle que vous mettez dans le Dispositif cartographique.","Erfordert eine seltene Karte des Levels 10 oder niedriger. Öffnet eine zufällige Karte desselben Levels mit zufälligen Modifikatoren, die nicht der Karte entspricht, die in den Apparat gelegt wurde.","ティア10以下のレアマップが必要。ランダムなモッドを持つ同じティアのランダムなマップを開く。デバイスに設置したマップは除外される。","10등급 이하의 희귀 지도가 필요합니다. 무작위 속성이 부여된 동일 등급의 지도를 개방합니다. 장치에 놓인 지도는 제외합니다.","Requer um Mapa Raro de Tier 10 ou abaixo. Abre um Mapa aleatório com Mods aleatórios. Exclui o Mapa colocado no dispositivo.","Требуется редкая карта 10 уровня или ниже. Открывает случайную карту такого же уровня со случайными свойствами, за исключением карты, размещённой в машине картоходца.","Requiere un Mapa Raro de Grado 10 o menos. Abre un Mapa aleatorio del mismo Grado con mods. aleatorios, exceptuando el mapa que has colocado en el artefacto.","ต้องใช้ แผนที่แรร์ ระดับ 10 ลงไป\nสุ่มเปิดแผนที่อื่นในระดับเดียวกันที่ไม่ใช่แผนที่ที่ใส่ไว้ โดยสุ่มม็อดใหม่ทั้งหมด","需要一張低於 10 階的稀有地圖。隨機開啟同階級的稀有地圖和隨機詞綴。排除被放置於裝置中的地圖。",1,"",[],0,[14],0,"",0,0,[],[],4264,4264,"","",3,"","",0,"","",""
38,6,10,"",[3],[2],101,"Shaped (Tier 1-5)","Carte façonnée (palier 1 à 5)","Verformte Karte (Level 1-5)","シェイパー (ティア1-5 )","쉐이퍼 (1~5등급)","Remodelado (Tiers 1-5)","Изменённая (1-5 уровень)","Del Creador (grado 1 a 5)","ก่อร่าง (ระดับ 1-5)","塑者 (T1-T5)",4,[35],0,"",0,0,[],"Requires a Rare Map of Tier 5 or below. Opens a version of your Map that is 5 Tiers higher, with random Mods.","Nécessite une Carte rare de palier 5 ou moins. Ouvre une nouvelle version de votre Carte avec 5 paliers supplémentaires et des mods tirés au hasard.","Erfordert eine seltene Karte des Levels 5 oder niedriger. Öffnet eine Version dieser Karte, die 5 Level höher ist, und zufällige Modifikatoren annimmt.","ティア5以下のレアマップが必要。ランダムなモッドを持つティアが5高い同じマップを開く。","5등급 이하의 희귀 지도가 필요합니다. 본인의 지도를 무작위 속성이 부여되고, 5 등급이 높은 경우로 변경하여 개방합니다.","Requer um Mapa Raro de Tier 5 ou abaixo. Abre uma versão do seu mapa 5 Tiers maior, com Mods aleatórios.","Требуется редкая карта 5 уровня или ниже. Открывает версию вашей карты на 5 уровней выше со случайными свойствами.","Requiere un Mapa Raro de Grado 5 o menos. Abre una versión de tu mapa de 5 grados mayor, con mods. aleatorios.","ต้องใช้ แผนที่แรร์ ระดับ 5 ลงไป\nทำการเปิดแผนที่ของคุณที่ถูกปรับระดับเพิ่มขึ้น 5 ระดับ โดยสุ่มม็อดใหม่ทั้งหมด","需要一張低於 5 階的稀有地圖。開啟高 5 階隨機詞綴的地圖。",1,"",[],0,[14],0,"",0,0,[],[],4264,4264,"","",3,"","",0,"","",""
39,6,11,"",[3],[6],101,"Shaped (Tier 1-10)","Carte façonnée (palier 1 à 10)","Verformte Karte (Level 1-10)","シェイパー (ティア1-10 )","쉐이퍼 (1~10등급)","Remodelado (Tiers 1-10)","Изменённая (1-10 уровень)","Del Creador (grado 1 a 10)","ก่อร่าง (ระดับ 1-10)","塑者 (T1-T10)",5,[35],0,"",0,0,[],"Requires a Rare Map of Tier 10 or below. Opens a version of your Map that is 5 Tiers higher, with random Mods and a chance to be Corrupted.","Nécessite une Carte rare de palier 10 ou moins. Ouvre une nouvelle version de votre Carte avec 5 paliers supplémentaires, des mods tirés au hasard et des chances d'être corrompue.","Erfordert eine seltene Karte des Levels 10 oder niedriger. Öffnet eine Version dieser Karte, die 5 Level höher ist, zufällige Modifikatoren annimmt und verderbt sein kann.","ティア10以下のレアマップが必要。ランダムなモッドを持つティアが5高い同じマップを開く。コラプト状態になる場合がある。","10등급 이하의 희귀 지도가 필요합니다. 본인의 지도를 무작위 속성이 부여되고, 5 등급이 높으며, 타락할 확률이 있는 경우로 변경하여 개방합니다.","Requer um Mapa Raro de Tier 5 ou abaixo. Abre uma versão do seu mapa 5 Tiers maior, com Mods aleatórios e uma chance de ser Corrompido.","Требуется редкая карта 10 уровня или ниже. Открывает версию вашей карты на 5 уровней выше со случайными свойствами и шансом на осквернение.","Requiere un Mapa Raro de Grado 10 o menos. Abre una versión de tu mapa de 5 grados mayor, con mods. aleatorios y con una probabilidad de estar Corrupto.","ต้องใช้ แผนที่แรร์ ระดับ 10 ลงไป\nทำการเปิดแผนที่ของคุณที่ถูกปรับระดับเพิ่มขึ้น 5 ระดับ โดยสุ่มม็อดใหม่ทั้งหมด และมีโอกาสที่จะ มีมลทิน","需要一張低於 10 階的稀有地圖。開啟高 5 階隨機詞綴的地圖，且有機率為已汙染。",1,"",[],0,[14],0,"",0,0,[],[],4264,4264,"","",3,"","",0,"","",""
40,6,12,"",[3],[15],101,"Elder (Tier 1-15)","Carte de l'Ancien (palier 1 à 15)","Vom Ältesten beeinflusst (Level 1-15)","エルダー (ティア1-15 )","엘더 (1~15등급)","Ancião (Tiers 1-15)","Древняя (1-15 уровень)","Del Antiguo (grado 1 a 15)","เอลเดอร์ (ระดับ 1-15)","尊師 (T1-T15)",6,[35],0,"",0,0,[],"Requires a Rare Map of Tier 15 or below. Opens a version of your Map that is set to Tier 16, with random Mods and a chance to be Corrupted.","Nécessite une Carte rare de palier 15 ou moins. Ouvre une nouvelle version de votre Carte en la mettant au palier 16, en lui donnant des mods tirés au hasard et des chances d'être corrompue.","Erfordert eine seltene Karte des Levels 15 oder niedriger. Öffnet eine Version dieser Karte als Karte des Levels 16, die zufällige Modifikatoren annimmt und verderbt sein kann.","ティア10以下のレアマップが必要。ランダムなモッドを持つティア16の同じマップを開きます。コラプト状態になる場合がある。","15등급 이하의 희귀 지도가 필요합니다. 본인의 지도를 16등급으로 상향하고, 무작위 속성이 부여되며, 타락할 확률이 있는 경우로 변경하여 개방합니다.","Requer um Mapa Raro de Tier 15 ou abaixo. Abre uma versão do seu travada no Tier 16, com Mods aleatórios e uma chance de ser Corrompido.","Требуется редкая карта 15 уровня или ниже. Открывает версию вашей карты 16 уровня со случайными свойствами и шансом на осквернение.","Requiere un Mapa Raro de Grado 15 o menos. Abre una versión de tu mapa de grado 16, con mods. aleatorios y con una probabilidad de estar Corrupto.","ต้องใช้ แผนที่แรร์ ระดับ 15 ลงไป\nทำการเปิดแผนที่ของคุณที่ถูกปรับเป็นแผนที่ระดับ 16 โดยสุ่มม็อดใหม่ทั้งหมด และมีโอกาสที่จะ มีมลทิน","需要一張低於 15 階的稀有地圖。開啟 16 階隨機詞綴的地圖，且有機率為已汙染。",1,"",[],0,[14],0,"",0,0,[],[],4264,4264,"","",3,"","",0,"","",""
41,6,13,8143,[],[],68,"Infused Anarchy","Anarchy infusée","Anarchy (verstärkt)","強化されたアナーキー","주입된 혼란","Anarchy Infundida","Усиленная Анархия","Anarchy infundida","เอ็กไซล์อันธพาลอาบพลัง","充能的混亂",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4264,4264,"","",0,2212,"",1,"","",""
42,6,14,8135,[],[],101,"Infused Nemesis","Nemesis infusée","Nemesis (verstärkt)","強化されたネメシス","주입된 천벌","Nemesis Infundida","Усиленная Немезида","Nemesis infundida","เนเมซิสอาบพลัง","充能的復仇",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4264,4264,"","",0,2198,"",1,"","",""
43,6,15,8129,[],[],68,"Infused Domination","Domination infusée","Domination (verstärkt)","強化されたドミネーション","주입된 지배","Domination Infundida","Усиленное Господство","Domination infundida","แท่นบูชาอาบพลัง","充能的支配",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4264,4264,"","",0,2194,"",1,"","",""
44,6,16,8225,[],[],101,"Infused Bloodlines","Bloodlines infusée","Bloodlines (verstärkt)","強化されたブラッドライン","주입된 혈맹","Bloodlines Infundida","Усиленные Родословные","Bloodlines infundida","สายเลือดอาบพลัง","充能的血族",7,[35],0,"",0,0,[],"","","","","","","","","","",1,1,[],0,[14],0,"",0,0,[],[],4264,4264,"","",0,2236,"",1,"","",""
