"rownum","Id","bool_8","IsLocal","IsWeaponLocal","Semantic","bool_15","IsVirtual","MainHandAlias_Stat","OffHandAlias_Stat","bool_33","HASH32","BelongsActiveSkills","Category","bool_70","bool_71","IsScalable","ContextFlags","DotFlag","WeaponHandCheck"
178,"add_endurance_charge_on_critical_strike",1,"","",4,"","","","",1,62683932,[],"","","","",[],[],""
179,"add_frenzy_charge_on_critical_strike",1,"","",4,"","","","",1,211294352,[],"","","","",[],[],""
180,"add_power_charge_on_critical_strike",1,"","",4,"","","","",1,1279355034,[],"","","","",[],[],""
181,"add_endurance_charge_on_skill_hit_%",1,"","",1,"","","","",1,3968203161,[],"","","",1,[],[],""
182,"add_frenzy_charge_on_skill_hit_%",1,"","",1,"","","","",1,3491693553,[],16,"","",1,[],[],""
183,"add_power_charge_on_skill_hit_%",1,"","",1,"","","","",1,1641523098,[],"","","",1,[],[],""
184,"add_endurance_charge_on_enemy_critical_strike",1,"","",4,"","","","",1,4002591119,[],"","","","",[],[],""
185,"add_endurance_charge_on_status_ailment",1,"","",4,"","","","",1,3011361940,[],"","","","",[],[],""
186,"base_avoid_chill_%","","","",1,"","","","",1,3486301748,[],11,"","",1,[],[],""
187,"base_avoid_freeze_%","","","",1,"","","","",1,141091880,[],11,"","",1,[],[],""
188,"base_avoid_ignite_%","","","",1,"","","","",1,874270813,[],11,"","",1,[],[],""
189,"base_avoid_shock_%","","","",1,"","","","",1,3202108620,[],11,"","",1,[],[],""
190,"avoid_stun_%",1,"","",1,1,1,"","",1,1831785693,[],"","","",1,[0],[],""
191,"always_ignite",1,"","",4,"","","","",1,1700101235,[],"","","","",[],[],""
192,"always_shock",1,"","",4,"","","","",1,601204277,[],"","","","",[],[],""
193,"always_stun",1,"","",4,"","","","",1,3903255882,[],"","","","",[],[],""
194,"always_freeze","","","",4,"","","","",1,128701435,[],"","","","",[],[],""
195,"always_electrocute","","","",4,"","","","",1,2309638632,[],"","","","",[],[],""
196,"chill_duration_+%","","","",1,"","","","",1,21460690,[],2,"","",1,[],[],""
197,"shock_duration_+%","","","",1,"","","","",1,3067915077,[],2,"","",1,[],[],""
198,"freeze_duration_+%","","","",1,"","","","",1,2944420212,[],2,"","",1,[],[],""
199,"ignite_duration_+%","","","",1,"","","","",1,1688317111,[],2,"","",1,[],[],""
200,"stun_duration_+%",1,"","",1,"",1,"","",1,2883077012,[],"","","",1,[18],[],""
201,"base_self_chill_duration_-%",1,"","",1,"","","","",1,1631867717,[],11,"","",1,[],[],""
202,"base_self_shock_duration_-%",1,"","",1,"","","","",1,150347000,[],2,"","",1,[],[],""
203,"base_self_freeze_duration_-%",1,"","",1,"","","","",1,2279925014,[],2,"","",1,[],[],""
204,"base_self_ignite_duration_-%",1,"","",1,"","","","",1,3384927813,[],2,"","",1,[],[],""
205,"chance_per_second_of_fire_spreading_between_enemies_%",1,"","",1,"","","","",1,1878136481,[],"","","",1,[],[],""
206,"burn_damage_+%",1,"","",1,"","","","",1,2297656834,[],1,"","",1,[],[],""
207,"active_skill_level_+",1,"","",3,"","","","",1,1316576757,[],"",1,"",1,[],[],""
208,"gem_experience_gain_+%",1,"","",1,1,"","","",1,3861226286,[],"","","",1,[],[],""
209,"skill_area_of_effect_+%",1,"","",1,1,1,"","",1,425804088,[],"","","",1,[31],[],""
210,"base_mana_cost_-%","","","",1,"","","","",1,1289380842,[],8,1,"",1,[],[],""
211,"skill_repeat_count",1,"","",3,1,"","","",1,470395884,[],"",1,"",1,[],[],""
212,"skill_effect_duration_+%",1,"","",1,1,"","","",1,183850661,[],18,"","",1,[],[],""
213,"base_cast_speed_+%",1,"","",1,"","","","",1,2723053659,[],3,"","",1,[],[],""
214,"cast_speed_+%_per_power_charge",1,"","",1,"","","","",1,4179439611,[],"","","",1,[],[],""
215,"skill_cooldown_-%",1,"","",1,"","","","",1,1421329127,[],"","","",1,[],[],""
216,"avoid_interruption_while_casting_%","","","",1,"","","","",1,1693823433,[],18,"","",1,[],[],""
217,"base_attack_repeat_count","","","",3,"","","","",1,200207583,[],"","","",1,[],[],""
218,"base_stun_recovery_+%",1,"","",1,"","","","",1,1296349074,[],11,"","",1,[],[],""
219,"stun_recovery_+%_per_frenzy_charge",1,"","",1,"","","","",1,2522083249,[],"","","",1,[],[],""
220,"prevent_monster_heal",1,"","",4,"","","","",1,607476185,[],"","","","",[],[],""
221,"prevent_monster_heal_duration_+%",1,"","",1,"","","","",1,3090528336,[],"","","",1,[],[],""
222,"chest_trap_defuse_%",1,"","",1,"","","","",1,47428942,[],"","","",1,[],[],""
223,"enemies_chill_as_unfrozen",1,"","",4,"","","","",1,773106185,[],2,"","","",[],[],""
224,"local_is_max_quality",1,1,"",4,"","","","",1,2763703177,[],"","","","",[],[],""
225,"local_disable_gem_experience_gain",1,1,"",4,"","","","",1,2166332910,[],"","","","",[],[],""
226,"local_gem_experience_gain_+%",1,1,"",1,"","","","",1,1116356588,[],"","","",1,[],[],""
227,"local_extra_socket",1,1,"",4,"","","","",1,1670712245,[],"","","","",[],[],""
228,"local_level_requirement_-",1,1,"",3,"","","","",1,3968663957,[],"","","",1,[],[],""
229,"local_attribute_requirements_+%",1,1,"",1,"","","","",1,2245784553,[],"","","",1,[],[],""
230,"local_quantity_of_sockets_+%",1,1,"",1,"","","","",1,2958051874,[],"","","",1,[],[],""
231,"local_connectivity_of_sockets_+%",1,1,"",1,"","","","",1,215824079,[],"","","",1,[],[],""
232,"local_gem_level_+",1,1,"",3,"","","","",1,410299292,[],"","","",1,[],[],""
233,"combined_base_block_%","","","",1,"",1,"","","",2744779860,[],"","","",1,[0],[],""
234,"armour",1,"","",1,1,1,"","",1,2957524167,[],"","","",1,[0],[],""
235,"movement_velocity_+permyriad",1,"","",7,1,1,"","",1,2311769358,[],"","","",1,[37],[],""
236,"attack_is_dual_wielding",1,"","",4,1,1,"","",1,3596996918,[],"","","","",[1],[],""
237,"object_is_dual_wielding",1,"","",4,1,1,"","",1,1123468019,[],"","","",1,[0],[],""
238,"maximum_life",1,"","",3,1,1,"","",1,2541911097,[],"","","",1,[0],[],""
239,"maximum_mana",1,"","",3,1,1,"","",1,2093351468,[],"","","",1,[0],[],""
240,"maximum_energy_shield",1,"","",3,1,1,"","",1,2692573171,[],"","","",1,[0],[],""
241,"total_life_recovery_per_minute_from_regeneration",1,"","",3,1,1,"","",1,3480435343,[],"","","",1,[0],[],""
242,"total_mana_recovery_per_minute_from_regeneration",1,"","",3,1,1,"","",1,1580874553,[],"","","",1,[0],[],""
243,"energy_shield_recharge_rate_per_minute",1,"","",3,1,1,"","",1,2134312733,[],"","","",1,[0],[],""
244,"spell_minimum_cold_damage",1,"","",3,"",1,"","",1,568816901,[],"","","",1,[3],[],""
245,"spell_maximum_cold_damage",1,"","",3,"",1,"","",1,1304101156,[],"","","",1,[3],[],""
246,"spell_minimum_fire_damage",1,"","",3,"",1,"","",1,4132826363,[],"","","",1,[3],[],""
247,"spell_maximum_fire_damage",1,"","",3,"",1,"","",1,55684540,[],"","","",1,[3],[],""
248,"spell_minimum_lightning_damage",1,"","",3,"",1,"","",1,501171089,[],"","","",1,[3],[],""
249,"spell_minimum_chaos_damage",1,"","",3,"",1,"","",1,2342641667,[],"","","",1,[3],[],""
250,"spell_maximum_lightning_damage",1,"","",3,"",1,"","",1,1054086238,[],"","","",1,[3],[],""
251,"spell_maximum_chaos_damage",1,"","",3,"",1,"","",1,3032385999,[],"","","",1,[3],[],""
252,"spell_minimum_physical_damage",1,"","",3,"",1,"","",1,141410287,[],"","","",1,[3],[],""
253,"spell_maximum_physical_damage",1,"","",3,"",1,"","",1,4187281575,[],"","","",1,[3],[],""
254,"main_hand_minimum_cold_damage",1,"","",3,"",1,"","",1,3232536435,[],"","","",1,[2],[],""
255,"main_hand_maximum_cold_damage",1,"","",3,"",1,"","",1,2239516534,[],"","","",1,[2],[],""
256,"off_hand_minimum_cold_damage",1,"","",3,"",1,"","",1,2328199149,[],"","","",1,[2],[],""
257,"off_hand_maximum_cold_damage",1,"","",3,"",1,"","",1,2515340860,[],"","","",1,[2],[],""
258,"main_hand_minimum_fire_damage",1,"","",3,"",1,"","",1,53125529,[],"","","",1,[2],[],""
259,"main_hand_maximum_fire_damage",1,"","",3,"",1,"","",1,1001674155,[],"","","",1,[2],[],""
260,"off_hand_minimum_fire_damage",1,"","",3,"",1,"","",1,1304763413,[],"","","",1,[2],[],""
261,"off_hand_maximum_fire_damage",1,"","",3,"",1,"","",1,3559952857,[],"","","",1,[2],[],""
262,"main_hand_minimum_lightning_damage",1,"","",3,"",1,"","",1,2354603570,[],"","","",1,[2],[],""
263,"main_hand_maximum_lightning_damage",1,"","",3,"",1,"","",1,2142296930,[],"","","",1,[2],[],""
264,"off_hand_minimum_lightning_damage",1,"","",3,"",1,"","",1,3433679571,[],"","","",1,[2],[],""
265,"off_hand_maximum_lightning_damage",1,"","",3,"",1,"","",1,765669314,[],"","","",1,[2],[],""
266,"main_hand_minimum_chaos_damage",1,"","",3,"",1,"","",1,496430767,[],"","","",1,[2],[],""
267,"main_hand_maximum_chaos_damage",1,"","",3,"",1,"","",1,2347693081,[],"","","",1,[2],[],""
268,"off_hand_minimum_chaos_damage",1,"","",3,"",1,"","",1,2442469059,[],"","","",1,[2],[],""
269,"off_hand_maximum_chaos_damage",1,"","",3,"",1,"","",1,915878039,[],"","","",1,[2],[],""
270,"main_hand_minimum_physical_damage",1,"","",3,"",1,"","",1,3588518900,[],"","","",1,[2],[],""
271,"main_hand_maximum_physical_damage",1,"","",3,"",1,"","",1,943921195,[],"","","",1,[2],[],""
272,"off_hand_minimum_physical_damage",1,"","",3,"",1,"","",1,3019357867,[],"","","",1,[2],[],""
273,"off_hand_maximum_physical_damage",1,"","",3,"",1,"","",1,1939023650,[],"","","",1,[2],[],""
274,"stun_recovery_+%",1,"","",1,"",1,"","",1,2103675702,[],"","","",1,[0],[],""
275,"evasion_rating",1,"","",3,1,1,"","",1,535210313,[],"","","",1,[0],[],""
276,"main_hand_critical_strike_multiplier_+",1,"","",3,"",1,"","","",956142053,[],"","","",1,[2],[],""
