"rownum","Id","Order","Width","Height","TotalCount","i32_24","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
16,"Helmet",17,2,2,102,2,"Helmet","Casques","Helm","兜","투구","Elmos","Шлем","Casco","หมวก","頭盔",49,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/HelmetUniqueIcon",49,""
17,"Shield",18,2,4,56,4,"Shield","Boucliers","Schild","盾","방패","Escudos","Щит","Escudo","โล่","盾",26,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ShieldUniqueIcon",26,""
18,"Map",19,1,1,0,1,"Map","Cartes","Karte","マップ","지도","Mapas","Карта","Mapa","แผนที่","地圖",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/MapsUniqueIcon",0,1
19,"Jewel",20,1,1,12,1,"Jewel","Joyaux","Juwel","ジュエル","주얼","Joias","Самоцвет","Joya","จิวเวล","珠寶",10,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/JewelsUniqueIcon",12,""
20,"Watchstone",21,1,1,0,1,"Watchstone","Pierre de veille","Wächterstein","ウォッチストーン","감시자의 돌","Pedras Sentinela","Камень Хранителя","Roca del vigilante","อัญมณีผู้พิทักษ์","守望石",0,"",0,1
21,"HeistContract",22,1,1,0,1,"Contract","Contrat","Auftrag","コントラクト","계약","Contrato","Контракт","Contrato","สัญญาจ้าง","契約書",0,"",0,1
22,"SwordTwoHand",23,2,3,0,3,"Two-handed Sword","Épées à deux mains","Zweihandschwert","両手剣","양손검","Espada de Duas Mãos","Двуручный меч","Espada a dos manos","ดาบสองมือ","雙手劍",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TwoHandSwordUniqueIcon",0,1
23,"AxeTwoHand",24,2,4,0,4,"Two-handed Axe","Haches à deux mains","Zweihandaxt","両手斧","양손도끼","Machado de Duas Mãos","Двуручный топор","Hacha a dos manos","ขวานสองมือ","雙手斧",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TwoHandAxeUniqueIcon",0,1
24,"MaceTwoHand",25,2,4,0,4,"Two-handed Mace","Masses à deux mains","Zweihandstreitkolben","両手メイス","양손철퇴","Maça de Duas Mãos","Двуручная булава","Maza a dos manos","กระบองสองมือ","雙手錘",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TwoHandMaceUniqueIcon",0,1
25,"Charm",26,1,1,12,1,"Charm","Charmes","Phiole","チャーム","호신부","Patuá","Оберег","Vial","ของขลัง","護符",12,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/CharmUniqueIcon",12,""
26,"Crossbow",27,2,4,8,4,"Crossbow","Arbalètes","Armbrust","クロスボウ","석궁","Besta","Самострел","Ballesta","หน้าไม้","十字弓",4,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/CrossbowUniqueIcon",4,""
27,"Flail",28,2,3,0,3,"Flail","Fléaux d'armes","Flegel","フレイル","도리깨","Mangual","Кистень","Mangual","ลูกตุ้ม","鏈錘",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/FlailsUniqueIcon",0,1
28,"Focii",29,2,3,16,3,"Focus","Foci","Fokus","フォーカス","집중","Foco","Фокус","Foco","โฟกัส","法器",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/FociiUniqueIcon",8,""
29,"Sceptre",30,2,3,20,3,"Sceptre","Sceptres","Zepter","セプター","셉터","Cetro","Скипетр","Cetro","คทา","權杖",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ScepterUniqueIcon",8,""
30,"Spear",31,1,4,8,4,"Spear","Lances","Speer","スピア","창","Lança","Копьё","Lanza","หอก","長矛",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/SpearsUniqueIcon",8,""
31,"Trap",32,2,3,0,3,"Trap","Pièges","Falle","トラップ","덫","Armadilha","Ловушка","Trampa","กับดัก","陷阱",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/TrapsUniqueIcon",0,1
32,"Warstaff",33,2,4,12,4,"Quarterstaff","Bâtons de combat","Kampfstab","クォータースタッフ","육척봉","Bastão","Боевой посох","Bastón","ไม้พลองวรยุทธ์","細杖",6,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/WarStaffUniqueIcon",6,""
