"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","[rid]_117","bool_133","[rid]_134","bool_150","[rid]_151"
26,"LifeUnreserved","[Reservation|Unreserved] maximum Life","Vie maximale [Reservation|Non Réservée]","[Reservation|Unreserviertes] maximales Leben","最大[Reservation|未リザーブ]ライフ","[Reservation|점유되지 않은] 최대 생명력","Vida Máxima [Reservation|Não Reservada]","[Reservation|Не удержанный] максимум здоровья","Vida máxima [Reservation|sin reservar]","พลังชีวิตสูงสุดที่[Reservation|ไม่สำรอง]","[Reservation|未保留]最大生命",[10058],0,[3996],[],27,1,[],0,[],"",[],"",[]
27,"LifeRecovery","Total Life Recovery per second","Récupération de Vie par seconde totale","Lebens-Gesamtwiederherstellung pro Sekunde","秒間ライフ回復の合計","초당 총 생명력 회복량","Recuperação Total de Vida por segundo","Итоговое восстановление здоровья в секунду","Recuperación de vida total por segundo","การ เติมพลังชีวิตสุทธิ ต่อวินาที","每秒生命恢復總量",[1411],0,[],[],27,1,[2],0,[],"",[],"",[]
28,"LifeRecoveryRegen","Life Recovery per second from Regeneration","Récupération de Vie par seconde provenant de la Régénération","Lebenwiederherstellung pro Sekunde durch Regeneration","自動回復による秒間ライフ回復","재생으로 인한 초당 생명력 회복량","Recuperação de Vida da Regeneração por segundo","Восстановление здоровья в секунду от регенерации","Recuperación de vida por segundo de la regeneración","การ เติมพลังชีวิต ต่อวินาทีจากการ ฟื้นฟู","回復每秒生命恢復",[240],0,[],[],27,1,[2],0,[],"",[],"",[]
29,"LifeRecoveryRecharge","Life Recovery per second from [LifeRecharge|Recharge]","Récupération de Vie par seconde provenant de la [LifeRecharge|Recharge]","Lebenwiederherstellung pro Sekunde durch [LifeRecharge|Wiederherstellung]","[LifeRecharge|リチャージ]による秒間ライフ回復","[LifeRecharge|재충전]으로 인한 초당 생명력 회복량","Recuperação de Vida com [LifeRecharge|Recarga] por segundo","Восстановление здоровья в секунду от [LifeRecharge|перезарядки]","Recuperación de vida por segundo de la [LifeRecharge|recarga]","การ เติมพลังชีวิต ต่อวินาทีจากการ [LifeRecharge|รีชาร์จ]","[LifeRecharge|充能]每秒生命恢復",[12679],0,[],[],27,1,[2],0,[],"",[],"",[]
30,"LifeRecoveryFlasks","Life Recovery per second from [Flask|Flasks]","Récupération de Vie par seconde provenant de [Flask|Flacons]","Lebenwiederherstellung pro Sekunde durch [Flask|Fläschchen]","[Flask|フラスコ]による秒間ライフ回復","[Flask|플라스크]로 인한 초당 생명력 회복량","Recuperação de Vida com [Flask|Frascos] por segundo","Восстановление здоровья в секунду от [Flask|флаконов]","Recuperación de vida por segundo de los [Flask|frascos]","การ เติมพลังชีวิต ต่อวินาทีจาก [Flask|ขวดยา]","[Flask|藥劑]每秒生命恢復",[12680],0,[],[],27,1,[2],0,[],"",[],"",[]
31,"LifeRecoveryLeech","Life Recovery per second from [Leech]","Récupération de Vie par seconde provenant du [Leech|Drain]","Lebenwiederherstellung pro Sekunde durch [Leech|Raub]","[Leech|リーチ]による秒間ライフ回復","[Leech|흡수]로 인한 초당 생명력 회복량","Recuperação de Vida com [Leech|Dreno de Vida] por segundo","Восстановление здоровья в секунду от [Leech|похищения]","Recuperación de vida por segundo de la [Leech|absorción]","การ เติมพลังชีวิต ต่อวินาทีจากการ [Leech|ดูด]","[Leech|偷取]每秒生命恢復",[12682],0,[],[],27,1,[2],0,[],"",[],"",[]
32,"LifeRecoveryOther","Life Recovery per second from other sources","Récupération de Vie par seconde provenant d'autres sources","Lebenwiederherstellung pro Sekunde durch andere Quellen","その他ソースによる秒間ライフ回復","그 외의 원인으로 인한 초당 생명력 회복량","Recuperação de Vida de outras fontes por segundo","Восстановление здоровья в секунду от других источников","Recuperación de vida por segundo de otras fuentes","การ เติมพลังชีวิต ต่อวินาทีจาก แหล่งอื่นๆ","其他來源每秒生命恢復",[12681],0,[],[],27,1,[2],0,[],"",[],"",[]
33,"LifeRecoup","Damage taken [Recoup|Recouped] as Life","Dégâts subis [Recoup|Recouverts] sous forme de Vie","Erlittener Schaden [Recoup|wiedergewonnen] als Leben","受けたダメージをライフとして[Recoup|回収]する","받은 피해를 생명력으로 [Recoup|회생]","Dano sofrido [Recoup|Recuperado] como Vida","[Recoup|Восполнение] получаемого урона в виде здоровья","Daño recibido [Recoup|recobrado] como vida","พลังชีวิตที่ถูก[Recoup|เยียวยา] จากความเสียหายที่ได้รับ","承受的傷害[Recoup|補償]為生命",[9018],1,[],[],27,1,[],0,[],"",[],"",[]
34,"InfernalLegionBurning","","","","","","","","","","",[9575],12,[],[],27,1,[],0,[],"",[],"",[]
35,"ManaStats","Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力",[238],0,[],[710],29,"",[],0,[],"",[],"",[]
36,"ManaUnreserved","[Reservation|Unreserved] Mana","Mana [Reservation|Non Réservé]","[Reservation|Unreserviertes] Mana","[Reservation|未リザーブ]マナ","[Reservation|점유되지 않은] 마나","Mana [Reservation|Não Reservada]","[Reservation|Не удержанная] мана","Maná [Reservation|sin reservar]","มานาที่[Reservation|ไม่สำรอง]","[Reservation|未保留]魔力",[10059],0,[2831],[710],29,1,[],0,[],"",[],"",[]
37,"ManaRecovery","Total Mana Recovery per second","Récupération de Mana par seconde totale","Mana-Gesamtwiederherstellung pro Sekunde","秒間マナ回復の合計","초당 총 마나 회복량","Recuperação Total de Mana por segundo","Итоговое восстановление маны в секунду","Recuperación de maná total por segundo","การ เติมมานาสุทธิ ต่อวินาที","每秒魔力恢復總量",[1412],0,[],[710],29,1,[2],0,[],"",[],"",[]
38,"ManaRecoveryRegen","Mana Recovery per second from Regeneration","Récupération de Mana par seconde provenant de la Régénération","Manawiederherstellung pro Sekunde durch Regeneration","自動回復による秒間マナ回復","재생으로 인한 초당 마나 회복량","Recuperação de Mana com Regeneração por segundo","Восстановление маны в секунду от регенерации","Recuperación de maná por segundo de la regeneración","การ เติมมานา ต่อวินาทีจากการ ฟื้นฟู","回復每秒魔力恢復",[241],0,[],[710],29,1,[2],0,[],"",[],"",[]
39,"ManaRecoveryFlasks","Mana Recovery per second from [Flask|Flasks]","Récupération de Mana par seconde provenant de [Flask|Flacons]","Manawiederherstellung pro Sekunde durch [Flask|Fläschchen]","[Flask|フラスコ]による秒間マナ回復","[Flask|플라스크]로 인한 초당 마나 회복량","Recuperação de Mana com [Flask|Frascos] por segundo","Восстановление маны в секунду от [Flask|флаконов]","Recuperación de maná por segundo de los [Flask|frascos]","การ เติมมานา ต่อวินาทีจาก [Flask|ขวดยา]","[Flask|藥劑]每秒魔力恢復",[12683],0,[],[710],29,1,[2],0,[],"",[],"",[]
40,"ManaRecoveryLeech","Mana Recovery per second from [ManaLeech|Leech]","Récupération de Mana par seconde provenant du [ManaLeech|Drain]","Manawiederherstellung pro Sekunde durch [ManaLeech|Raub]","[ManaLeech|リーチ]による秒間マナ回復","[ManaLeech|흡수]로 인한 초당 마나 회복량","Recuperação de Mana com [ManaLeech|Dreno de Mana] por segundo","Восстановление маны в секунду от [ManaLeech|похищения]","Recuperación de maná por segundo de la [ManaLeech|absorción]","การ เติมมานา ต่อวินาทีจากการ [ManaLeech|ดูด]","[ManaLeech|偷取]每秒魔力恢復",[8713],0,[],"[22261,710]",29,1,[2],0,[],"",[],"",[]
41,"ManaRecoveryOther","Mana Recovery per second from other sources","Récupération de Mana par seconde provenant d'autres sources","Manawiederherstellung pro Sekunde durch andere Quellen","その他ソースによる秒間マナ回復","그 외의 원인으로 인한 초당 마나 회복량","Recuperação de Mana de outras fontes por segundo","Восстановление маны в секунду от других источников","Recuperación de maná por segundo de otras fuentes","การ เติมมานา ต่อวินาทีจาก แหล่งอื่นๆ","其他來源每秒魔力恢復",[12684],0,[],"[22261,710]",29,1,[2],0,[],"",[],"",[]
42,"ManaRecoup","Damage taken [Recoup|Recouped] as Mana","Dégâts subis [Recoup|Recouverts] sous forme de Mana","Erlittener Schaden [Recoup|wiedergewonnen] als Mana","受けたダメージをマナとして[Recoup|回収]する","받은 피해를 마나로 [Recoup|회생]","Dano sofrido [Recoup|Recuperado] como Mana","[Recoup|Восполнение] получаемого урона в виде маны","Daño recibido [Recoup|recobrado] como maná","มานาที่ถูก[Recoup|เยียวยา] จากความเสียหายที่ได้รับ","承受的傷害[Recoup|補償]為魔力",[1074],1,[],[710],29,1,[],0,[],"",[],"",[]
43,"EnergyShieldStats","Maximum [EnergyShield|Energy Shield]","[EnergyShield|Bouclier d'énergie] maximal","Maximaler [EnergyShield|Energieschild]","最大[EnergyShield|エナジーシールド]","최대 [EnergyShield|에너지 보호막]","Máximo de [EnergyShield|Escudo de Energia]","Максимум [EnergyShield|энергетического щита]","[EnergyShield|Escudo de energía] máximo","[EnergyShield|โล่พลังงาน]สูงสุด","最大[EnergyShield|能量護盾]",[239],0,[],[],28,1,[],0,[],"",[],"",[]
44,"EnergyShieldRecharge","[EnergyShield|Energy Shield] [ESRecharge|Recharge] per Second","[ESRecharge|Recharge] de [EnergyShield|Bouclier d'énergie] par seconde ","[EnergyShield|Energieschild]-[ESRecharge|Wiederherstellung] pro Sekunde","秒間[EnergyShield|エナジーシールド][ESRecharge|リチャージ]","초당 [EnergyShield|에너지 보호막] [ESRecharge|재충전]","[ESRecharge|Recarga] do [EnergyShield|Escudo de Energia] por segundo","[ESRecharge|Перезарядка] [EnergyShield|энергетического щита] в секунду","[ESRecharge|Recarga] de [EnergyShield|escudo de energía] por segundo","การ [ESRecharge|รีชาร์จ][EnergyShield|โล่พลังงาน] ต่อวินาที","每秒[EnergyShield|能量護盾][ESRecharge|充能]",[242],0,[239],[],28,1,[2],0,[],"",[],"",[]
45,"EnergyShieldDelay","[EnergyShield|Energy Shield] [ESRecharge|Recharge] delay","Délai de [ESRecharge|Recharge] du [EnergyShield|Bouclier d'énergie]","[EnergyShield|Energieschild]-[ESRecharge|Wiederherstellungs]verzögerung","[EnergyShield|エナジーシールド][ESRecharge|リチャージ]遅延","[EnergyShield|에너지 보호막] [ESRecharge|재충전] 지연시간","Atraso na [ESRecharge|Recarga] do [EnergyShield|Escudo de Energia]","Задержка [ESRecharge|перезарядки] [EnergyShield|энергетического щита]","Demora de la [ESRecharge|recarga] del [EnergyShield|escudo de energía]","ระยะเวลารอการ [ESRecharge|รีชาร์จ][EnergyShield|โล่พลังงาน]","[EnergyShield|能量護盾][ESRecharge|充能]延遲",[22289],9,[239],[],28,1,[13],0,[],"",[],"",[]
46,"EnergyShieldRecovery","Total [EnergyShield|Energy Shield] Recovery per second","Récupération de [EnergyShield|Bouclier d'énergie] par seconde totale","[EnergyShield|Energieschild]-Gesamtwiederherstellung pro Sekunde","秒間[EnergyShield|エナジーシールド]回復の合計","초당 총 [EnergyShield|에너지 보호막] 회복량","Recuperação Total do [EnergyShield|Escudo de Energia] por segundo","Итоговое восстановление [EnergyShield|энергетического щита] в секунду","Recuperación de [EnergyShield|escudo de energía] total por segundo","การ เติม[EnergyShield|โล่พลังงาน]สุทธิ ต่อวินาที","每秒[EnergyShield|能量護盾]恢復總量",[1413],0,[239],[],28,1,[2],0,[],"",[],"",[]
47,"EnergyShieldRecoveryRegen","[EnergyShield|Energy Shield] Recovery per second from Regeneration","Récupération de [EnergyShield|Bouclier d'énergie] par seconde provenant de la Régénération","[EnergyShield|Energieschild]-Wiederherstellung pro Sekunde durch Regeneration","自動回復による秒間[EnergyShield|エナジーシールド]回復","재생으로 인한 초당 [EnergyShield|에너지 보호막] 회복량","Recuperação do [EnergyShield|Escudo de Energia] com Regeneração por segundo","Восстановление [EnergyShield|энергетического щита] в секунду от регенерации","Recuperación de [EnergyShield|escudo de energía] por segundo de la regeneración","การ เติม[EnergyShield|โล่พลังงาน] ต่อวินาทีจากการ ฟื้นฟู","回復每秒[EnergyShield|能量護盾]恢復",[1058],0,[239],[],28,1,[2],0,[],"",[],"",[]
48,"EnergyShieldRecoveryRecharge","[EnergyShield|Energy Shield] Recovery per second from [ESRecharge|Recharge]","Récupération de [EnergyShield|Bouclier d'énergie] par seconde provenant de la [ESRecharge|Recharge]","[EnergyShield|Energieschild]-Wiederherstellung pro Sekunde durch [ESRecharge|Wiederherstellung]","[ESRecharge|リチャージ]による秒間[EnergyShield|エナジーシールド]回復","[ESRecharge|재충전]으로 인한 초당 [EnergyShield|에너지 보호막] 회복량","Recuperação do [EnergyShield|Escudo de Energia] com [ESRecharge|Recarga] por segundo","Восстановление [EnergyShield|энергетического щита] в секунду от [ESRecharge|перезарядки]","Recuperación de [EnergyShield|escudo de energía] por segundo de la [ESRecharge|recarga]","การ เติม[EnergyShield|โล่พลังงาน] ต่อวินาทีจากการ [ESRecharge|รีชาร์จ]","[ESRecharge|充能]每秒[EnergyShield|能量護盾]恢復",[12685],0,[239],[],28,1,[2],0,[],"",[],"",[]
49,"EnergyShieldRecoveryFlasks","[EnergyShield|Energy Shield] Recovery per second from [Flask|Flasks]","Récupération de [EnergyShield|Bouclier d'énergie] par seconde provenant de [Flask|Flacons]","[EnergyShield|Energieschild]-Wiederherstellung pro Sekunde durch [Flask|Fläschchen]","[Flask|フラスコ]による秒間[EnergyShield|エナジーシールド]回復","[Flask|플라스크]로 인한 초당 [EnergyShield|에너지 보호막] 회복량","Recuperação do [EnergyShield|Escudo de Energia] com [Flask|Frascos] por segundo","Восстановление [EnergyShield|энергетического щита] в секунду от [Flask|флаконов]","Recuperación de [EnergyShield|escudo de energía] por segundo de los [Flask|frascos]","การ เติม[EnergyShield|โล่พลังงาน] ต่อวินาทีจาก [Flask|ขวดยา]","[Flask|藥劑]每秒[EnergyShield|能量護盾]恢復",[12686],0,[239],[],28,1,[2],0,[],"",[],"",[]
50,"EnergyShieldRecoveryLeech","[EnergyShield|Energy Shield] Recovery per second from [EnergyShieldLeech|Leech]","Récupération de [EnergyShield|Bouclier d'énergie] par seconde provenant du [EnergyShieldLeech|Drain]","[EnergyShield|Energieschild]-Wiederherstellung pro Sekunde durch [EnergyShieldLeech|Raub]","[EnergyShieldLeech|リーチ]による秒間[EnergyShield|エナジーシールド]回復","[EnergyShieldLeech|흡수]로 인한 초당 [EnergyShield|에너지 보호막] 회복량","Recuperação do [EnergyShield|Escudo de Energia] de [EnergyShieldLeech|Dreno] por segundo","Восстановление [EnergyShield|энергетического щита] в секунду от [EnergyShieldLeech|похищения]","Recuperación de [EnergyShield|escudo de energía] por segundo de la [EnergyShieldLeech|absorción]","การ เติม[EnergyShield|โล่พลังงาน] ต่อวินาทีจากการ [Leech|ดูด]","[EnergyShieldLeech|偷取]每秒[EnergyShield|能量護盾]恢復",[8714],0,[239],[],28,1,[2],0,[],"",[],"",[]
51,"ArmourStats","[Armour]","[Armour|Armure]","[Armour|Rüstung]","[Armour|アーマー]","[Armour|방어도]","[Armour|Armadura] ","[Armour|Броня]","[Armour|Armadura]","[Armour|ค่าเกราะ]","[Armour|護甲值]",[233],0,[],[],30,1,[],0,[],"",[],"",[]
52,"ArmourEstimateReduction","Estimated [Physical] damage reduction","Estimation de la Réduction des Dégâts [Physical|Physiques]","Geschätzte [Physical|physische] Schadensminderung","推定[Physical|物理]ダメージ軽減率","[Physical|물리] 피해 감소 예상치","Redução estimada de dano [Physical|Físico] ","Ожидаемое снижение получаемого [Physical|физического] урона","Reducción estimada de daño [Physical|físico]","ค่าป้องกัน[Physical|กายภาพ] โดยประมาณ","預期[Physical|物理]傷害減少",[729],1,[233],[],30,"",[],0,[],"",[],"",[]
53,"ArmourVsHitsEstimateReduction","Estimated [Physical] damage reduction against [HitDamage|Hits]","Estimation de la Réduction des Dégâts [Physical|Physiques] contre les [HitDamage|Touches]","Geschätzte [Physical|physische] Schadensminderung gegen [HitDamage|Treffer]","[HitDamage|ヒット]に対する推定[Physical|物理]ダメージ軽減率","[HitDamage|명중] 대응 [Physical|물리] 피해 감소 예상치","Redução estimada de dano [Physical|Físico] contra [HitDamage|Acertos] ","Ожидаемое снижение получаемого [Physical|физического] урона от [HitDamage|ударов]","Reducción estimada de daño [Physical|físico] contra [HitDamage|impactos]","ค่าป้องกัน[Physical|กายภาพ] ต่อการ[HitDamage|ปะทะ] โดยประมาณ","對[HitDamage|擊中]預期[Physical|物理]傷害減少",[6932],1,[6931],[],30,"",[],0,[],"",[],"",[]
54,"EvasionStats","[Evasion] Rating","Score d'[Evasion|Évasion]","[Evasion|Ausweich]wert","[Evasion|回避力]","[Evasion|회피]","Valor de [Evasion|Evasão] ","[Evasion|Уклонение]","[Evasion|Evasión]","อัตรา[Evasion|การหลบหลีก]","[Evasion|閃避]值",[274],0,[],[],31,1,[],0,[],"",[],"",[]
55,"EvadeChance","Estimated chance to [Evasion|Evade]","Estimation des Chances d'[Evasion|Éviter]","Geschätzte Chance, Angriffen [Evasion|auszuweichen]","推定アタック[Evasion|回避]率","예상 [Evasion|회피] 확률","Chance estimada de [Evasion|Evadir] ","Ожидаемый шанс [Evasion|уклонения]","Probabilidad estimada de [Evasion|evadir]","โอกาส[Evasion|หลบหลีก] โดยประมาณ","預期[Evasion|閃避]機率",[689],1,"[10077,274]",[],31,"",[],0,[],"",[],"",[]
56,"MeleeEvadeChance","Estimated chance to [Evasion|Evade] [Strike|Strikes]","Estimation des Chances d'[Evasion|Éviter] les [Strike|Frappes]","Geschätzte Chance, [Strike|Schlägen] [Evasion|auszuweichen]","推定[Strike|ストライク][Evasion|回避]率","[Strike|타격] 예상 [Evasion|회피] 확률","Chance estimada de [Evasion|Evadir] [Strike|Golpes] ","Ожидаемый шанс [Evasion|уклонения] от [Strike|ударов]","Probabilidad estimada de [Evasion|evadir] [Strike|golpes]","โอกาส[Evasion|หลบหลีก] การ[Strike|ฟาด] โดยประมาณ","預期[Evasion|閃避][Strike|打擊]機率",[10075],1,[],[10077],31,1,[],0,[],"",[],"",[]
57,"ProjectileEvadeChance","Estimated chance to [Evasion|Evade] [Projectile|Projectiles]","Estimation des Chances d'[Evasion|Éviter] les [Projectile|Projectiles]","Geschätzte Chance, [Projectile|Projektilen] [Evasion|auszuweichen]","推定[Projectile|投射物][Evasion|回避]率","[Projectile|투사체] 예상 [Evasion|회피] 확률","Chance estimada de [Evasion|Evadir] [Projectile|Projéteis] ","Ожидаемый шанс [Evasion|уклонения] от [Projectile|снарядов]","Probabilidad estimada de [Evasion|evadir] [Projectile|proyectiles]","โอกาส[Evasion|หลบหลีก] [Projectile|โพรเจกไทล์] โดยประมาณ","預期[Evasion|閃避][Projectile|投射物]機率",[10076],1,[],[10077],31,1,[],0,[],"",[],"",[]
58,"Ward","Ward","Sauvegarde","Schutz","ワード","수호","Proteção","Барьер","Barrera","วอร์ดคุ้มภัย","保護",[13679],0,[],[],43,1,[],0,[],"",[],"",[]
59,"WardDelay","Ward Restoration time","Temps de Restauration de la Sauvegarde","Schutz-Wiederherstellungszeit","ワード回復時間","수호 회복 시간","Tempo de Restauração da Proteção","Время восстановления барьера","Tiempo de restauración de la barrera","เวลาการ ฟื้นคืนวอร์ดคุ้มภัย","保護回復時間",[13684],9,[13679],[],43,"",[9],0,[],"",[],"",[]
60,"EstimatedBlockChanceStats","Estimated Chance to [Block]","Chances de [Block|Bloquer] estimées","Geschätzte Chance auf [Block|Blocken]","推定[Block|ブロック]率","예상 [Block|막기] 확률","Chance estimada de [Block|Bloqueio]","Ожидаемый шанс [Block|блока]","Probabilidad estimada de [Block|bloquear]","โอกาส[Block|บล็อค] โดยประมาณ","預期[Block|格擋]率",[22388],1,"[6859,22390]",[],33,1,[],0,[],"",[],"",[]
