"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","i32_44","Text2","Text2 (French)","Text2 (German)","Text2 (Japanese)","Text2 (Korean)","Text2 (Portuguese)","Text2 (Russian)","Text2 (Spanish)","Text2 (Thai)","Text2 (Traditional Chinese)","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)"
13,1,"Grim","[674,238,592,3,2,603,26,21,8,7,57,10,9,37,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1694429810,"Grim","<if:MS>{ morne}<elif:FS>{ morne}<elif:NS>{NONEXISTENT}<elif:MP>{ mornes}<elif:FP>{ mornes}<elif:NP>{NONEXISTENT}","<if:MS>{Freudloser }<elif:FS>{Freudlose }<elif:NS>{Freudloses }<elif:MP>{Freudlose }<elif:FP>{Freudlose }<elif:NP>{Freudlose }","容赦ない","으스스한","<if:MS>{ Austero}<elif:FS>{ Austera}<elif:NS>{ Austero}<elif:MP>{ Austeros}<elif:FP>{ Austeras}<elif:NP>{ Austeros}","<if:MS>{Зловещий}<elif:FS>{Зловещая}<elif:NS>{Зловещее}<elif:MP>{Зловещие}<elif:FP>{Зловещие}<elif:NP>{Зловещие}","<if:MS>{ sombrío}<elif:FS>{ sombría}<elif:MP>{ sombríos}<elif:FP>{ sombrías}","Grim","冷酷","","","","","","","","","",""
14,1,"Whispering","[238,0]","[1000,0]",1087805279,"Whispering","<if:MS>{ murmurant}<elif:FS>{ murmurante}<elif:NS>{NONEXISTENT}<elif:MP>{ murmurants}<elif:FP>{ murmurantes}<elif:NP>{NONEXISTENT}","<if:MS>{Flüsternder}<elif:FS>{Flüsternde }<elif:NS>{Flüsterndes }<elif:MP>{Flüsternde }<elif:FP>{Flüsternde }<elif:NP>{Flüsternde }","囁く","속삭이는","<if:MS>{Sussurrante}<elif:FS>{Sussurrante}<elif:NS>{Sussurrante}<elif:MP>{Sussurrantes}<elif:FP>{Sussurrantes}<elif:NP>{Sussurrantes}","<if:MS>{Шепчущий}<elif:FS>{Шепчущая}<elif:NS>{Шепчущее}<elif:MP>{Шепчущие}<elif:FP>{Шепчущие}<elif:NP>{Шепчущие}","<if:MS>{ susurrante}<elif:FS>{ susurrante}<elif:MP>{ susurrantes}<elif:FP>{ susurrantes}","Whispering","低語","","","","","","","","","",""
15,1,"Foul","[238,0]","[1000,0]",2036870111,"Foul","<if:MS>{ abominable}<elif:FS>{ abominable}<elif:NS>{NONEXISTENT}<elif:MP>{ abominables}<elif:FP>{ abominables}<elif:NP>{NONEXISTENT}","<if:MS>{Fauler }<elif:FS>{Faule }<elif:NS>{Faules }<elif:MP>{Faule }<elif:FP>{Faule }<elif:NP>{Faule }","不潔な","지저분한","<if:MS>{ Putrefato}<elif:FS>{ Putrefata}<elif:NS>{ Putrefato}<elif:MP>{ Putrefatos}<elif:FP>{ Putrefatas}<elif:NP>{ Putrefatos}","<if:MS>{Гадкий}<elif:FS>{Гадкая}<elif:NS>{Гадкое}<elif:MP>{Гадкие}<elif:FP>{Гадкие}<elif:NP>{Гадкие}","<if:MS>{ pestilente}<elif:FS>{ pestilente}<elif:MP>{ pestilentes}<elif:FP>{ pestilentes}","Foul","汙濁","","","","","","","","","",""
16,1,"Enthralling","[238,0]","[1000,0]",-794706624,"Enthralling","<if:MS>{ captivant}<elif:FS>{ captivante}<elif:NS>{NONEXISTENT}<elif:MP>{ captivants}<elif:FP>{ captivantes}<elif:NP>{NONEXISTENT}","<if:MS>{Fesselnder }<elif:FS>{Fesselnde }<elif:NS>{Fesselndes }<elif:MP>{Fesselnde }<elif:FP>{Fesselnde }<elif:NP>{Fesselnde }","魅了する","매혹하는","<if:MS>{Cativante}<elif:FS>{Cativante}<elif:NS>{Cativante}<elif:MP>{Cativantes}<elif:FP>{Cativantes}<elif:NP>{Cativantes}","<if:MS>{Порабощающий}<elif:FS>{Порабощающая}<elif:NS>{Порабощающее}<elif:MP>{Порабощающие}<elif:FP>{Порабощающие}<elif:NP>{Порабощающие}","<if:MS>{ cautivador}<elif:FS>{ cautivadora}<elif:MP>{ cautivadores}<elif:FP>{ cautivadoras}","Enthralling","著迷","","","","","","","","","",""
17,1,"Hollow","[238,0]","[1000,0]",953145374,"Hollow","<if:MS>{ vide}<elif:FS>{ vide}<elif:NS>{NONEXISTENT}<elif:MP>{ vides}<elif:FP>{ vides}<elif:NP>{NONEXISTENT}","<if:MS>{Hohler }<elif:FS>{Hohle }<elif:NS>{Hohles }<elif:MP>{Hohle }<elif:FP>{Hohle }<elif:NP>{Hohle }","虚ろな","텅 빈","<if:MS>{Oco}<elif:FS>{Oca}<elif:NS>{Oco}<elif:MP>{Ocos}<elif:FP>{Ocas}<elif:NP>{Ocos}","<if:MS>{Пустой}<elif:FS>{Пустая}<elif:NS>{Пустое}<elif:MP>{Пустые}<elif:FP>{Пустые}<elif:NP>{Пустые}","<if:MS>{ hueco}<elif:FS>{ hueca}<elif:MP>{ huecos}<elif:FP>{ huecas}","Hollow","空洞","","","","","","","","","",""
18,1,"Void","[1118,911,0]","[1000,1000,0]",847777751,"Void"," du néant","Leeren-","虚無の","공허","<if:MS>{Vazio}<elif:FS>{ Vazia}<elif:NS>{ Vazio}<elif:MP>{ Vazios}<elif:FP>{ Vazias}<elif:NP>{ Vazios}","<if:MS>{Пустотный}<elif:FS>{Пустотная}<elif:NS>{Пустотное}<elif:MP>{Пустотные}<elif:FP>{Пустотные}<elif:NP>{Пустотные}","<if:MS>{ de vacío}<elif:FS>{ de vacío}<elif:MP>{ de vacío}<elif:FP>{ de vacío}","Void","虛空","","","","","","","","","",""
19,1,"Voidtouched","[1118,911,0]","[1000,1000,0]",-995247282,"Voidtouched","<if:MS>{ touché par le néant}<elif:FS>{ touchée par le néant}<elif:NS>{NONEXISTENT}<elif:MP>{ touchés par le néant}<elif:FP>{ touchées par le néant}<elif:NP>{NONEXISTENT}","<if:MS>{Leerenberührter }<elif:FS>{Leerenberührte }<elif:NS>{Leerenberührtes }<elif:MP>{Leerenberührte }<elif:FP>{Leerenberührte }<elif:NP>{Leerenberührte }","虚無に触れられし","공허에 닿은","<if:MS>{Tocado pelo Vazio}<elif:FS>{Tocada pelo Vazio}<elif:NS>{Tocado pelo Vazio}<elif:MP>{Tocados pelo Vazio}<elif:FP>{Tocadas pelo Vazio}<elif:NP>{Tocados pelo Vazio}","<if:MS>{Опустошающий}<elif:FS>{Опустошающая}<elif:NS>{Опустошающее}<elif:MP>{Опустошающие}<elif:FP>{Опустошающие}<elif:NP>{Опустошающие}","<if:MS>{ tocado por el vacío}<elif:FS>{ tocada por el vacío}<elif:MP>{ tocados por el vacío}<elif:FP>{ tocadas por el vacío}","Voidtouched","虛空之觸","","","","","","","","","",""
20,1,"Interdimensional","[1118,911,0]","[1000,1000,0]",1772301993,"Interdimensional","<if:MS>{ interdimensionnel}<elif:FS>{ interdimensionnelle}<elif:NS>{NONEXISTENT}<elif:MP>{ interdimensionnels}<elif:FP>{ interdimensionnelles}<elif:NP>{NONEXISTENT}","<if:MS>{Interdimensionaler }<elif:FS>{Interdimensionale }<elif:NS>{Interdimensionales }<elif:MP>{Interdimensionale }<elif:FP>{Interdimensionale }<elif:NP>{Interdimensionale }","次元間の","초차원적","<if:MS>{Interdimencional}<elif:FS>{Interdimencional}<elif:NS>{Interdimencional}<elif:MP>{Interdimencionais}<elif:FP>{Interdimencionais}<elif:NP>{Interdimencionais}","<if:MS>{Иномерный}<elif:FS>{Иномерная}<elif:NS>{Иномерное}<elif:MP>{Иномерные}<elif:FP>{Иномерные}<elif:NP>{Иномерные}","<if:MS>{ interdimensional}<elif:FS>{ interdimensional}<elif:MP>{ interdimensionales}<elif:FP>{ interdimensionales}","Interdimensional","跨維度","","","","","","","","","",""
21,1,"Celestial","[1118,911,0]","[1000,1000,0]",848763665,"Celestial","<if:MS>{ céleste}<elif:FS>{ céleste}<elif:NS>{NONEXISTENT}<elif:MP>{ célestes}<elif:FP>{ célestes}<elif:NP>{NONEXISTENT}","<if:MS>{Himmlischer }<elif:FS>{Himmlische }<elif:NS>{Himmlisches }<elif:MP>{Himmlische }<elif:FP>{Himmlische }<elif:NP>{Himmlische }","天体の","천공","<if:MS>{Celestial}<elif:FS>{Celestial}<elif:NS>{Celestial}<elif:MP>{Celestiais}<elif:FP>{Celestiais}<elif:NP>{Celestiais}","<if:MS>{Небесный}<elif:FS>{Небесная}<elif:NS>{Небесное}<elif:MP>{Небесные}<elif:FP>{Небесные}<elif:NP>{Небесные}","<if:MS>{ celestial}<elif:FS>{ celestial}<elif:MP>{ celestiales}<elif:FP>{ celestiales}","Celestial","星際","","","","","","","","","",""
22,1,"Cosmic","[1118,911,0]","[1000,1000,0]",66409243,"Cosmic","<if:MS>{ cosmique}<elif:FS>{ cosmique}<elif:NS>{NONEXISTENT}<elif:MP>{ cosmiques}<elif:FP>{ cosmiques}<elif:NP>{NONEXISTENT}","<if:MS>{Kosmischer }<elif:FS>{Kosmische }<elif:NS>{Kosmisches }<elif:MP>{Kosmische }<elif:FP>{Kosmische }<elif:NP>{Kosmische }","宇宙の","우주의","<if:MS>{Cósmico}<elif:FS>{Cósmica}<elif:NS>{Cósmico}<elif:MP>{Cósmicos}<elif:FP>{Cósmicas}<elif:NP>{Cósmicos}","<if:MS>{Космический}<elif:FS>{Космическая}<elif:NS>{Космическое}<elif:MP>{Космические}<elif:FP>{Космические}<elif:NP>{Космические}","<if:MS>{ cósmico}<elif:FS>{ cósmica}<elif:MP>{ cósmicos}<elif:FP>{ cósmicas}","Cosmic","宇宙","","","","","","","","","",""
23,1,"Planar","[1118,911,0]","[1000,1000,0]",-816896548,"Planar","<if:MS>{ planaire}<elif:FS>{ planaire}<elif:NS>{NONEXISTENT}<elif:MP>{ planaires}<elif:FP>{ planaires}<elif:NP>{NONEXISTENT}","<if:MS>{Planarer }<elif:FS>{Planare }<elif:NS>{Planares }<elif:MP>{Planare }<elif:FP>{Planare }<elif:NP>{Planare }","平面の","행성의","<if:MS>{Planar}<elif:FS>{Planar}<elif:NS>{Planar}<elif:MP>{Planares}<elif:FP>{Planares}<elif:NP>{Planares}","<if:MS>{Планарный}<elif:FS>{Планарная}<elif:NS>{Планарное}<elif:MP>{Планарные}<elif:FP>{Планарные}<elif:NP>{Планарные}","<if:MS>{ planar}<elif:FS>{ planar}<elif:MP>{ planares}<elif:FP>{ planares}","Planar","平面","","","","","","","","","",""
24,1,"Otherworldly","[1118,911,0]","[1000,1000,0]",385666551,"Otherworldly"," d'un autre monde","<if:MS>{Außerweltlicher }<elif:FS>{Außerweltliche }<elif:NS>{Außerweltliches }<elif:MP>{Außerweltliche }<elif:FP>{Außerweltliche }<elif:NP>{Außerweltliche }","異世界の","이계의","<if:MS>{Sobrenatural}<elif:FS>{Sobrenatural}<elif:NS>{Sobrenatural}<elif:MP>{Sobrenaturais}<elif:FP>{Sobrenaturais}<elif:NP>{Sobrenaturais}","<if:MS>{Потусторонний}<elif:FS>{Потусторонняя}<elif:NS>{Потустороннее}<elif:MP>{Потусторонние}<elif:FP>{Потусторонние}<elif:NP>{Потусторонние}","<if:MS>{ de otro mundo}<elif:FS>{ de otro mundo}<elif:MP>{ de otro mundo}<elif:FP>{ de otro mundo}","Otherworldly","異界的","","","","","","","","","",""
25,1,"Transcendental","[1118,911,0]","[1000,1000,0]",249636521,"Transcendental","<if:MS>{ transcendental}<elif:FS>{ transcendentale}<elif:NS>{NONEXISTENT}<elif:MP>{ transcendentaux}<elif:FP>{ transcendentales}<elif:NP>{NONEXISTENT}","<if:MS>{Überirdischer }<elif:FS>{Überirdische }<elif:NS>{Überirdisches }<elif:MP>{Überirdische }<elif:FP>{Überirdische }<elif:NP>{Überirdische }","超越的な","초월한","<if:MS>{Transcendental}<elif:FS>{Transcendental}<elif:NS>{Transcendental}<elif:MP>{Transcendentais}<elif:FP>{Transcendentais}<elif:NP>{Transcendentais}","<if:MS>{Непостижимый}<elif:FS>{Непостижимая}<elif:NS>{Непостижимое}<elif:MP>{Непостижимые}<elif:FP>{Непостижимые}<elif:NP>{Непостижимые}","<if:MS>{ trascendental}<elif:FS>{ trascendental}<elif:MP>{ trascendentales}<elif:FP>{ trascendentales}","Transcendental","卓越","","","","","","","","","",""
26,1,"Mythic","[1118,911,0]","[1000,1000,0]",-548835700,"Mythic","<if:MS>{ mythique}<elif:FS>{ mythique}<elif:NS>{NONEXISTENT}<elif:MP>{ mythiques}<elif:FP>{ mythiques}<elif:NP>{NONEXISTENT}","<if:MS>{Mythischer }<elif:FS>{Mythische }<elif:NS>{Mythisches }<elif:MP>{Mythische }<elif:FP>{Mythische }<elif:NP>{Mythische }","神話の","신화의","<if:MS>{Mítico}<elif:FS>{Mítica}<elif:NS>{Mítico}<elif:MP>{Míticos}<elif:FP>{Míticas}<elif:NP>{Míticos}","<if:MS>{Фантастический}<elif:FS>{Фантастическая}<elif:NS>{Фантастическое}<elif:MP>{Фантастические}<elif:FP>{Фантастические}<elif:NP>{Фантастические}","<if:MS>{ mítico}<elif:FS>{ mítica}<elif:MP>{ míticos}<elif:FP>{ míticas}","Mythic","神話","","","","","","","","","",""
27,1,"Malevolent","[929,0]","[1000,0]",-670448055,"Malevolent","<if:MS>{ malfaisant}<elif:FS>{ malfaisante}<elif:NS>{NONEXISTENT}<elif:MP>{ malfaisants}<elif:FP>{ malfaisantes}<elif:NP>{NONEXISTENT}","<if:MS>{Heimtückischer}<elif:FS>{Heimtückische}<elif:NS>{Heimtückisches}<elif:MP>{Heimtückische}<elif:FP>{Heimtückische}<elif:NP>{Heimtückische}","邪な","심술궂은","Malevolente","<if:MS>{Злорадный}<elif:FS>{Злорадная}<elif:NS>{Злорадное}<elif:MP>{Злорадные}<elif:FP>{Злорадные}<elif:NP>{Злорадные}","<if:MS>{ malévolo}<elif:FS>{ malévola}<elif:MP>{ malévolos}<elif:FP>{ malévolas}","Malevolent","惡劣","","","","","","","","","",""
28,1,"Pernicious","[929,0]","[1000,0]",1233649985,"Pernicious","<if:MS>{ pernicieux}<elif:FS>{ pernicieuse}<elif:NS>{NONEXISTENT}<elif:MP>{ pernicieux}<elif:FP>{ pernicieuses}<elif:NP>{NONEXISTENT}","<if:MS>{Bösartiger}<elif:FS>{Bösartige}<elif:NS>{Bösartiges}<elif:MP>{Bösartige}<elif:FP>{Bösartige}<elif:NP>{Bösartige}","悪意ある","유해한","Pernicioso","<if:MS>{Гибельный}<elif:FS>{Гибельная}<elif:NS>{Гибельное}<elif:MP>{Гибельные}<elif:FP>{Гибельные}<elif:NP>{Гибельные}","<if:MS>{ pernicioso}<elif:FS>{ perniciosa}<elif:MP>{ perniciosos}<elif:FP>{ perniciosas}","Pernicious","有害的","","","","","","","","","",""
29,1,"Ominous","[929,0]","[1000,0]",-1288737095,"Ominous","<if:MS>{ sinistre}<elif:FS>{ sinistre}<elif:NS>{NONEXISTENT}<elif:MP>{ sinistres}<elif:FP>{ sinistres}<elif:NP>{NONEXISTENT}","<if:MS>{Unheilbringender}<elif:FS>{Unheilbringende}<elif:NS>{Unheilbringendes}<elif:MP>{Unheilbringende}<elif:FP>{Unheilbringende}<elif:NP>{Unheilbringende}","不吉な","흉조의","Agourento","<if:MS>{Зловещий}<elif:FS>{Зловещая}<elif:NS>{Зловещее}<elif:MP>{Зловещие}<elif:FP>{Зловещие}<elif:NP>{Зловещие}","<if:MS>{ ominoso}<elif:FS>{ ominosa}<elif:MP>{ ominosos}<elif:FP>{ ominosas}","Ominous","不祥","","","","","","","","","",""
30,1,"Cryptic","[929,0]","[1000,0]",677243649,"Cryptic","<if:MS>{ énigmatique}<elif:FS>{ énigmatique}<elif:NS>{NONEXISTENT}<elif:MP>{ énigmatiques}<elif:FP>{ énigmatiques}<elif:NP>{NONEXISTENT}","<if:MS>{Kryptischer}<elif:FS>{Kryptische}<elif:NS>{Kryptisches}<elif:MP>{Kryptische}<elif:FP>{Kryptische}<elif:NP>{Kryptische}","不可解な","난해한","Críptico","<if:MS>{Тайный}<elif:FS>{Тайная}<elif:NS>{Тайное}<elif:MP>{Тайные}<elif:FP>{Тайные}<elif:NP>{Тайные}","<if:MS>{ críptico}<elif:FS>{ críptica}<elif:MP>{ crípticos}<elif:FP>{ crípticas}","Cryptic","隱祕","","","","","","","","","",""
31,1,"Nebulous","[929,0]","[1000,0]",-1499694807,"Nebulous","<if:MS>{ nébuleux}<elif:FS>{ nébuleuse}<elif:NS>{NONEXISTENT}<elif:MP>{ nébuleux}<elif:FP>{ nébuleuses}<elif:NP>{NONEXISTENT}","<if:MS>{Formloser}<elif:FS>{Formlose}<elif:NS>{Formloses}<elif:MP>{Formlose}<elif:FP>{Formlose}<elif:NP>{Formlose}","不明瞭な","모호한","Nebuloso","<if:MS>{Туманный}<elif:FS>{Туманная}<elif:NS>{Туманное}<elif:MP>{Туманные}<elif:FP>{Туманные}<elif:NP>{Туманные}","<if:MS>{ nebuloso}<elif:FS>{ nebulosa}<elif:MP>{ nebulosos}<elif:FP>{ nebulosas}","Nebulous","朦朧","","","","","","","","","",""
