"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","DamageIncrementalEffectiveness","IgnoredStats","bool_100"
27,"CommandCompanionPlayer",87,"[18358,18407,18706]","[18400,18462,20179]","[-70,160,50]",1,0.055,0,[],""
28,"CommandUnloadAmmoPlayer","","[18358,18407,18706,2883]",[18231],[7],1,0.055,0,[],""
29,"IceNovaPlayer","","[601,103,18407,23587]","[17776,17775,17777,17546,7914,18400,18462,20179,344]","[50,-90,20,32,1,-70,160,50,8000]",1.52,0.13,0.0074,[],""
30,"LeapSlamPlayer","","[601,9253,1978,19657]","[18299,16448,16088,17344,16452,16471,18250,17546,1888]","[1,650,5,15,500,30,500,25,-30]",0,0.0927,0,[],""
31,"ShieldChargePlayer",38,"[601,9270,1978,21527,22312]","[17546,18078,344,18472,447,18535,18536,18541,18542,18553,17967]","[24,1300,5000,90,80,0,400,10,-20,0,100]",1,0.2735,0,[],""
32,"DetonateDeadPlayer","","[601,18407,21962]","[17546,18400,18462,20179,18700,18777]","[26,-70,160,50,26,400]",6,0.05,0.003,[],""
33,"RaiseZombiePlayer",81,"[18407,20167]","[442,18242,158,18666,18400,18462,20179,18773,18775,20299,344]","[1,25,10,0,-70,160,50,25,100,30,20000]",0,0.0927,0,[],""
34,"FlickerStrikePlayer","","[1835,1978,17798,601]",[17797],[2],0,0.0927,0,[],""
35,"SparkPlayer",12,"[483,17733,4408,6453,9974,18407,23587]","[344,17353,11287,18400,18462,20179,21450]","[2000,20,1009,-70,160,50,660]",1.2,0.13,0.0061,[],""
36,"SparkColdInfusedPlayer",156,[1765],[687],[500],2.4,0.13,0.0061,"[18211,1463,1464]",""
37,"UniqueEarthboundTriggeredSparkPlayer","","[483,17733,4408,6453,9974,18407,23587]","[344,17353,11287,18400,18462,20179,21450,20589]","[2000,20,1009,-70,160,50,660,100]",1.2,0.13,0.0061,[],""
38,"UniqueEarthboundTriggeredSparkColdInfusedPlayer",156,[1765],[687],[500],2.4,0.13,0.0061,"[18211,1463,1464]",""
39,"SummonSpectrePlayer",81,"[18233,20167]","[18234,22129,22130,22131]","[12000,100,30,100]",0,0.0927,0,[],""
40,"FrostWallPlayer","","[1978,601,18407,23392,23589]","[493,344,17546,18400,18462,20179,18241,23466,23572,23573]","[150,8000,20,-70,160,50,50,-80,0,0]",2.28,0.13,0.0069,[],""
41,"FrostWallInfusedPlayer",157,[],[17549],[28],1.5,0.13,0.0069,"[1461,1462]",""
42,"EnervatingNovaPlayer","","[601,18407,17543]","[18400,18462,20179,17546,17549,344,22989]","[-70,160,50,26,10,4000,100]",1.2,0.13,0.0082,[],""
43,"TemporalChainsPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",0,0.0927,0,[],""
44,"EnfeeblePlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",0,0.0927,0,[],""
45,"SnipersMarkPlayer","","[2883,18407]","[344,18400,18462,20179,20447]","[8000,-70,160,50,1]",0,0.0927,0,[],""
46,"VulnerabilityPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",0,0.0927,0,[],""
47,"LightningWarpPlayer","","[1978,601,17771,18407]","[17546,3077,18400,18462,20179]","[40,10000,-70,160,50]",4.09,0.13,0.0096,[],""
48,"VileDisruptionPlayer","","[1978,601,17771,18407]","[17546,3077,18400,18462,20179,12045]","[40,0,-70,160,50,100]",4.09,0.13,0.0096,[],""
49,"ArmourBreakerPlayer","","[103,601,9167,23603]","[1225,16088,9624]","[2,17,40]",1,0.055,0,[],""
50,"FirestormPlayer",82,"[1978,601,18407,2269,21962,23587,23588,23589]","[595,11655,344,17546,17549,18400,18462,20179,20956,22280,23836,23837]","[200,1,6000,10,28,-70,160,50,150,5,18,200]",0.56,0.13,0.0089,[],""
51,"FallingThunderPlayer",2,[601],"[1099,16088,18045,17546]","[60,21,120,40]",0.62,0.055,0,[],""
52,"FallingThunderProjectilePlayer",3,"[483,4378,17733,4408,6453,9974,19962,20507]","[6673,1099,17415,19459,17413]","[50,40,3,100,50]",0.62,0.055,0,"[17546,17548]",""
53,"PowerSiphonPlayer","","[17771,18407,1217]","[18400,18462,20179]","[-70,160,50]",1.34,0.13,0.0082,[],""
54,"LightningArrowPlayer",3,"[483,4408,6453,9974,853,18172,18407,18427,18496,21961,22393,23603]","[1099,17546,18400,18462,20179]","[40,32,-70,160,50]",0.67,0.0927,0,[],""
55,"DisciplinePlayer","",[2883],[18795],[1],1,0.0927,0,[],""
56,"ShockwaveTotemPlayer",79,"[859,18784,13431,21537,20593,24106]","[865,867,871]","[12000,80,1]",1,0.055,0,[],""
57,"ShockwaveTotemQuakePlayer",44,"[601,9270,1773,20593]","[17546,16429]","[30,2]",1,0.055,0,[],""
58,"ShockwaveTotemJaggedQuakePlayer",16,[],[],[],1,0.055,0,[],1
59,"KnifeFlipPlayer","",[483],"[10190,10266,6673,344,168,2462]","[40,1,50,6000,-30,80]",2.1717,0.13,0.0082,[],""
60,"ArcPlayer","","[483,4408,6453,9974,8739,18407,18496,23603,23589]","[23826,23827,18400,18462,20179,16536]","[200,6,-70,160,50,50]",1.75,0.13,0.0082,[],""
61,"ArcticArmourPlayer","",[],[],[],2.18,0.13,0.0082,[],""
62,"FlammabilityPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",1,0.0927,0,[],""
63,"HypothermiaPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",1,0.0927,0,[],""
64,"ConductivityPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",1,0.0927,0,[],""
65,"ElementalWeaknessPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",1,0.0927,0,[],""
66,"BallLightningPlayer","","[483,601,18407,21962,23603,23588]","[18479,18400,18462,20179,17546,18937,24066,24067]","[750,-70,160,50,18,200,-25,350]",0.36,0.13,0.0069,[],""
67,"BallLightningInfusedExplosionPlayer",155,[],[17549],[26],3.5,0.13,0.0069,"[1463,1464,18937,18479,17546]",""
68,"BallLightningIgnitedGround",78,[],"[17552,344]","[9,4000]",4,0.13,0.0096,"[1463,1464,18937,18479,17546]",""
69,"PurityOfFirePlayer","",[2883],[18795],[1],1,0.0927,0,[],""
70,"PurityOfIcePlayer","",[2883],[18795],[1],1,0.0927,0,[],""
71,"PurityOfLightningPlayer","",[2883],[18795],[1],1,0.0927,0,[],""
72,"ImpurityPlayer","",[2883],[18795],[1],1,0.0927,0,[],""
73,"FlameblastPlayer","","[601,1978,18539,18018,18407]","[1982,7537,12226,17436,18078,18400,18462,20179]","[75,6,10,600,490,-70,160,50]",2.3,0.13,0.0096,[],""
74,"BarragePlayer","","[18407,2883,21381,21963]","[344,18787,18447,18448,18400,18462,20179,20303]","[5000,30000,2,1,-70,160,50,50]",1,0.0927,0,[],""
75,"BoneOfferingPlayer",39,"[18407,20167]","[344,3077,18400,18462,20179,18806,23309]","[8000,8000,-70,160,50,1,25]",1,0.055,0,[],""
76,"HeraldOfAshPlayer",39,"[2883,21567]",[17772],[20],1,0.055,0,[],""
77,"HeraldOfAshOnKillPlayer",5,[20167],"[344,17546]","[3000,12]",1,0.055,0,"[17772,2883]",""
78,"HeraldOfIcePlayer",39,"[2883,20167,20876]",[],[],1,0.055,0,[],""
79,"HeraldOfIceOnKillPlayer",5,"[601,1978,3070,1708,1319,693]","[17546,1098]","[16,100]",1,0.055,0,"[2883,20167,20876]",""
80,"HeraldOfThunderPlayer",39,[2883],[],[],1,0.055,0,[],""
81,"HeraldOfThunderOnKillPlayer",28,"[1978,1318,3070,693]","[1099,17546]","[100,10]",1,0.055,0,[2883],""
82,"InfernalCryPlayer","","[11353,18407,20167,23312,8944]","[344,17546,18117,18400,18462,20179,23313,23462]","[8000,40,200,-70,160,50,10,50]",1,0.055,0,[],""
83,"InfernalCryCorpseExplosionPlayer","","[1978,2250,601,11117,20507,1628]","[17546,17946]","[16,10]",1.05,0.13,0.0096,[],""
84,"SSMQuadrillaRock","","[2404,891]","[887,2117,4589]","[1022,1,-99]",1,0.0927,0,[],""
85,"MarakethUndeadPriestRollingMagma","","[601,483,12710,4408,6453,18434,18407,18496,1877]","[18400,18462,168,17546,18818,18819,18820,166]","[0,50,150,10,7,25,12,2]",5.25,0.1,0.0175,[],""
86,"RollingMagmaPlayer","","[601,483,12710,4408,6453,18434,18407,18496]","[18400,18462,20179,18818,18819,18820,18821,18822,18823]","[-70,160,50,10,25,6,40,6,50]",2.56,0.13,0.0082,[],""
87,"FrostBombPlayer","","[601,1978,8944,18407]","[17546,22111,3077,646,18400,18462,20179,23705,23706,23707,10015,24092]","[24,4000,8000,400,-70,160,50,20,2,50,300,1]",2.4,0.13,0.0089,[],""
88,"OrbOfStormsPlayer","","[1708,13075,8739,18407]","[8300,17546,17549,18633,18400,18462,20179,18750,18687,344,14926,7466]","[35,56,36,1,-70,160,50,25,75,12000,6,4000]",1.1,0.13,0.0089,[],""
89,"EarthquakePlayer",4,"[601,13882,20592,22087]","[18452,18453,17546,17552,16088,1888]","[4000,100,18,18,10,-30]",1.5,0.0927,0,[],""
90,"EarthquakeAftershockPlayer",18,[20507],[],[],1,0.055,0,[18452],1
91,"ContagionPlayer","","[3526,18407,22071]","[344,17546,18418,18746,18400,18462,20179,19439]","[5000,17,100,300,-70,160,50,10000]",1.8,0.17,0.0106,[],""
92,"WitherPlayer","",[],"[3300,18400,18462,20179,17546,22990]","[6,-70,160,50,25,18]",1,0.055,0,[],""
93,"EssenceDrainPlayer",3,"[483,4408,9974,5602,18407,8739,18496,21835,23603]","[18400,18462,20179,19439]","[-70,160,50,10000]",1.7,0.13,0.0082,[],""
94,"EssenceDrainDotPlayer",10,"[3526,20507]",[344],[4000],8.5,0.17,0.0106,"[1465,1466]",""
95,"SunderPlayer",15,"[601,1978,19657,24124]","[11473,11474,11496,5529,16088,17348,17546,1888,344,23194]","[2,5,7,0,11,24,9,-30,6000,20]",1,0.0927,0,[],""
96,"SunderShockwavePlayer",24,[20507],[17549],[12],1,0.055,0,"[8057,17546,11473,11474,16448]",1
97,"DarkPactPlayer","","[601,5937,18407]","[4409,5047,18400,18462,20179,17546,17549]","[13,100,-70,160,50,25,25]",0.64,0.13,0.0082,[],""
98,"SummonSkeletalWarriorsPlayer",81,"[18233,20167]","[442,18234,21899,21953,24063]","[2,12000,2,2,15]",0,0.0927,0,[],""
99,"SummonSkeletalReaversPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,6]",0,0.0927,0,[],""
100,"SummonSkeletalBrutesPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,60]",1,0.055,0,[],""
101,"SummonSkeletalSnipersPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,15]",1,0.055,0,[],""
102,"SummonSkeletalFrostMagesPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,35]",1,0.055,0,[],""
103,"SummonSkeletalStormMagesPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,25]",1,0.055,0,[],""
104,"SummonSkeletalArsonistsPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,15]",1,0.055,0,[],""
105,"SummonSkeletalClericsPlayer",81,"[18233,20167]","[442,18234,24063]","[2,12000,30]",1,0.055,0,[],""
106,"VolatileDeadPlayer",5,"[601,1978,18407]","[6120,17546,18400,18462,20179,344]","[1,22,-70,160,50,5000]",2.4,0.13,0.0096,[],""
107,"VolatileDeadIgniteAuraPlayer",161,[],[17546],[15],1.37,0.13,0.0096,"[1459,1460,17546]",""
108,"DespairPlayer","","[2883,18407]","[18236,18400,18462,20179]","[1500,-70,160,50]",1,0.0927,0,[],""
109,"IncineratePlayer","","[601,18407,1978,23603,23588,1877]","[18926,17546,18930,18078,18400,18462,20179,14282,18305,20371,20957,23816,23838,23815,18480]","[20,58,12,600,-70,160,50,-50,360,30,-98,1000,250,10000,-80]",3.9,0.13,0.0096,[],""
110,"IncinerateGroundPlayer",78,[20507],"[344,17549]","[4000,14]",1,0.055,0,"[14282,18480]",""
111,"RainOfArrowsPlayer","","[483,853,18172,18407,601,20611]","[17546,17549,19658,18432,18400,18462,20179,20827,20829,20956,19018]","[36,7,100,50,-70,160,50,1,80,120,1]",0,0.0927,0,[],""
112,"SoulrendPlayer",3,"[483,4378,18407,23603]","[6673,18400,18462,20179]","[25,-70,160,50]",1.6,0.13,0.0082,[],""
113,"SoulrendDotPlayer",10,"[3526,20507]","[344,19439]","[600,600]",1.6,0.13,0.0096,"[483,4378,1465,1466]",""
114,"PlagueBearerPlayer","",[2883],[9334],[4],1,0.055,0,[],""
115,"SiegeBallistaPlayer",73,"[18784,859,9839,18407,13431,2883,21537]","[867,865,871,18400,18462,20179]","[80,8000,1,-70,160,50]",1,0,0,[],""
116,"SiegeBallistaProjectilePlayer",72,"[483,601,20753,1773,21719,23829]","[18256,18211,18215,17549,17552,18251,16429,3092,1097,312]","[90,3,800,5,45,70,1,16,60,90]",1,0.055,0,[],""
117,"SiegeBallistaProjectileExplodePlayer",5,"[1773,23829]","[17549,1097]","[9,40]",1,0.055,0,[],1
118,"SnipePlayer",29,"[483,4408,6453,9974,853,18172,18019,18540,17814,1319,23603,21962,1319,1911]","[18305,16259,18538,17977,18078,20329,20485]","[120,2,300,16,300,2500,133]",1,0.0927,0,[],""
119,"SnipeExplosionPlayer",5,"[601,20507,19496]",[17546],[25],1,0.0927,0,"[18078,17977]",1
120,"SnipeHeavyExplosionPlayer",153,"[601,20507,19496]",[17546],[35],1,0.0927,0,"[18078,17977]",1
121,"SnipeFrozenExplosionPlayer",138,"[601,20507,19496]","[17546,1098,24128]","[32,100,50]",1,0.0927,0,"[18078,17977]",1
122,"SeismicCryPlayer","","[103,8944,601,1628,18407,18499,18498,23312]","[23313,23462,17546,18147,18400,18462,20179]","[10,50,40,1,-70,160,50]",2.1,0.13,0.0096,[],""
123,"EarthshatterPlayer",44,"[601,22089]","[344,11493,17546,9624]","[6000,6,10,-30]",1,0.055,0,[],""
124,"SigilOfPowerPlayer","","[12439,18407]","[11615,19244,11614,18400,18462,20179,17546]","[4,1,50,-70,160,50,30]",0.163,0.055,0,[],""
125,"FlameWallPlayer",60,"[601,18407,22603,23589]","[11717,15225,18400,18462,20179,23290,20957]","[3,1,-70,160,50,15,-50]",1.7,0.13,0.0096,[],""
126,"FlameWallProjectileBuffPlayer",130,[20507],[],[],0.6,0.12,0.0015,"[344,1459,1460,22603,338]",""
127,"FlameWallLingeringIgnitePlayer",0,[20507],[],[],1,0.055,0,"[12254,344,20838,20839,23790,23791,338]",""
128,"DoomBlastPlayer","","[11650,601]","[18839,17546]","[15,20]",1.72,0.13,0.0082,[],""
129,"HexblastPlayer","","[601,18407,22288]","[18415,17546,17549,18400,18462,20179]","[3,20,28,-70,160,50]",7.8,0.13,0.0096,[],""
130,"AncestralWarriorTotemPlayer","","[10001,859,18784,18464,20167,21537]","[865,867,18466,18373]","[8000,60,600,3]",1.86,0,0,[],""
131,"SupportAncestralWarriorTotemPlayer","",[1773],"[16429,13423]","[2,-25]",1,0.055,0,[],""
132,"SummonMetaTotemSpellTotemPlayer","","[10001,859,18784,24107]","[865,867,871]","[8000,80,1]",1,0.0927,0,[],""
133,"SupportMetaTotemSpellTotemPlayer","",[1773],[16429],[2],1,0.055,0,[],""
134,"SummonMetaTotemBallistaPlayer","","[10001,9839,18784,21537]","[865,867,871]","[12000,80,1]",1,0.0927,0,[],""
135,"SupportMetaTotemBallistaPlayer","",[],[16429],[2],1,0.055,0,[],""
136,"RapidAssaultPlayer",33,"[9167,601,23603]","[1225,13037,16088]","[6,-60,13]",1,0.055,0,[],""
137,"RapidAssaultFinalHitPlayer",9,"[20507,103]","[1225,21711,344,18860]","[6,5,30000,100]",1,0.055,0,[],1
138,"RapidAssaultDetonation",5,[20507],"[17546,18860]","[24,100]",1,0.055,0,[1225],1
139,"BloodHuntPlayer",96,"[9167,601,2620,21524,23603]","[17756,16448,16088,21560]","[50,150,15,1]",1,0.0927,0,[],""
140,"BloodHuntExplosionPlayer",5,"[20507,21962]","[17546,21561,17988]","[13,10,25]",1,0.055,0,"[17756,17967,16448,16088,21560]",1
141,"DisengagePlayer",8,"[601,21444,23603]","[7815,17348,1225,16448,22084,21421,22443,22445,22444]","[50,-8,25,200,40,1,68,90,163]",1,0.0927,0,[],""
142,"ExsanguinatePlayer",129,"[13377,18407,20106,23603]","[165,18400,18462,20179,13062]","[2,-70,160,50,3]",0.9,0.13,0.0082,[],""
143,"ExsanguinateDotPlayer",10,"[3526,20507,22603]","[344,19439]","[1000,2000]",0.9,0.17,0.0106,"[165,13062,1457,1458,13377]",""
144,"ReapPlayer","","[601,17771,573,23603,8944]","[17546,344]","[25,6000]",4.3,0.13,0.0082,[],""
145,"HisWinnowingFlamePlayer","","[601,17771,573,2269,8944]","[17546,24111,24115,24114]","[35,20,1,3]",4.5,0.13,0.0082,[],""
146,"TriggeredHisWinnowingFlamePillarPlayer","","[2269,601]","[24110,24112,17549,24113,344]","[100,25,15,10,1500]",1.5,0.055,0,[],""
147,"BoneshatterPlayer",8,"[18498,18499,23603]","[1225,16088,18249,1888]","[2,17,-100,-30]",0.1828,0.0927,0,[],""
148,"BoneshatterShockwavePlayer",24,"[601,20507]","[17546,24130]","[20,50]",0.1828,0.0927,0,"[18249,1225,18499]",1
149,"EyeOfWinterPlayer","","[483,13610,18407,23603]","[13738,18939,18400,18462,20179,13613]","[100,100,-70,160,50,900]",0.46,0.13,0.0074,[],""
150,"WhirlingSlashPlayer",2,"[17746,601,18116,103,23603]","[17776,17775,17777,16088]","[50,-90,15,26]",1,0.055,0,[],""
151,"WhirlingSlashSandstormPlayer",108,"[20507,21180,1978]","[17546,12605,18328,21068,18585,12604,12606,21212,21471,13039]","[18,3,250,10,-30,150,3,1,50,3]",1,0.055,0,"[18116,103,17776,17775,17777]",1
152,"SpearfieldPlayer","","[601,3662,2883]","[13523,344,17348,13038,17549,18138,23466]","[70,10000,40,20,6,10,-80]",1,0.0927,0,[],""
153,"TornadoPlayer","","[1708,13075,601,14549,17746,18407,23603]","[13998,1113,344,17546,18155,18160,18161,18400,18462,20179]","[1,1000,15000,30,100,60,50,-70,160,50]",1.5,0.2735,0,[],""
154,"LightningConduitPlayer","",[1318],"[17402,17747,17546,23736]","[30,1000,100,20]",2.85,0.13,0.0096,[],""
155,"GalvanicFieldBuffPlayer",39,"[18407,2883]","[22486,18400,18462,20179]","[30,-70,160,50]",1,0.055,0,[],""
156,"GalvanicFieldOrbPlayer",136,"[1318,1708,1978,20507]","[344,15666,17546,17549,15827,165,15667]","[6000,600,19,35,1,3,10]",0.55,0.13,0.0096,"[22486,2883]",""
157,"MtxDirectLineOfAntsPlayer","",[2883],[],[],1,0.0927,0,[],""
158,"MtxPolymorphCatPlayer","",[2883],"[344,8638]","[6000,107]",1,0.0927,0,[],""
159,"MtxBestiaryStampedeQuicksilverRhoaPlayer","",[2883],[],[],1,0.0927,0,[],""
160,"DemonMagusPlayer","","[18339,18233]","[13137,13512,13138,18350,18234]","[1,20,-30,-50,12000]",1,0.0927,0,[],""
161,"LightningSpearPlayer",116,"[483,4408,6453,9974,18106,13495,18407,20611,7201,18427,20606,22123,12109,23603]","[17546,1099,6673,18479,18400,18462,20179,22122,1744]","[50,80,25,100,-70,160,50,3,105]",1,0.0927,0,[],""
162,"LightningSpearSecondaryProjectilePlayer",104,[17293],"[1099,18479,18211]","[20,100,5]",1,0.0927,0,"[13495,22119,7201,18427,20606,22123,12109]",1
163,"GlacialLancePlayer",116,"[483,6668,4378,18172,18407,9974,4408,6453,22051,21962,17293,20606,22123,17074,23603]","[1098,17546,344,3077,18400,18462,20179,21986,1744]","[60,12,6000,1000,-70,160,50,30,105]",1,0.055,0,[],""
164,"GlacialLanceWallsPlayer",5,"[20507,601]","[1098,17546]","[40,26]",1,0.0927,0,"[17546,4378,17293,20606,22123]",1
165,"SummonInfernalHoundPlayer","",[18233],"[442,20027,20028,21953]","[8,20,25,1]",1,0.0927,0,[],""
166,"SummonWaterDjinnPlayer","",[18233],[21953],[1],1,0.0927,0,[],""
167,"SummonFireDjinnPlayer","",[18233],[21953],[1],1,0.0927,0,[],""
168,"SummonSandDjinnPlayer","",[18233],[21953],[1],1,0.0927,0,[],""
169,"CorpseBeetlesPlayer","",[2883],[],[],1,0.055,0,[],""
170,"SiegeCascadePlayer",58,"[483,601,18407,18172,19856,1319,21065]","[18256,18211,18215,17546,17549,18251,18400,18462,20179]","[90,1,500,40,4,70,-70,160,50]",1,0.055,0,[],""
171,"SiegeCascadeExplodePlayer",5,[],[17549],[4],1,0.055,0,[],1
172,"SiegeCascadeAmmoPlayer",80,"[18306,19858,18407,2883,20507,24133]","[18231,17717,20442]","[1,1000,-30]",1,0.055,0,[],""
173,"HailstormRoundsPlayer",58,"[483,601,18407,18172,19856,1978]","[18256,18211,18215,1098,18400,18462,20179,17546,17549,20956]","[90,1,300,80,-70,160,50,10,40,200]",1,0.055,0,[],""
174,"HailstormRoundsAmmoPlayer",80,"[19981,18306,19858,18407,2883,20336,20507,21061,24133]","[17717,20442]","[1000,100]",1,0.055,0,[],""
175,"StormblastBoltsPlayer",58,"[483,601,18407,18172,19856]","[18256,18211,18215,1099,18400,18462,17546,17549,344,20179,20707]","[90,3,150,60,-70,160,8,35,10000,50,30]",1,0.055,0,[],""
176,"StormblastBoltsExplosionPlayer",5,"[601,20507]","[1099,17546]","[40,8]",1,0.055,0,"[344,18211]",1
177,"StormblastBoltsAmmoPlayer",80,"[18306,19858,18407,2883,20507,21061,24133]","[18231,17717]","[5,1000]",1,0.055,0,[],""
178,"ExplosiveShotPlayer",57,"[483,18172,18257,4408,6453,9974,18295,8944,8739,13858,18407,18496,1978]","[18256,1097,18303,18310,18311,18312,18328,18400,18462,20179]","[90,30,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
179,"ExplosiveShotExplosionPlayer",5,"[601,20507]","[18232,1097]","[0,50]",1,0.055,0,[8739],""
180,"ExplosiveShotAmmoPlayer",80,"[18306,18407,2883,20507,24133]","[18231,17717,20442]","[1,1000,-30]",1,0.055,0,[],""
181,"IncendiaryShotPlayer",57,"[483,2732,18172,8739,18257,18496,4408,6453,9974,8944,18407,1978,23603]","[18252,18253,18255,18256,18211,8095,6673,1097,18310,18311,18312,18328,18343,17546,18480,18400,18462,20179,23176,18981,23478,1320]","[3,20,9,90,10,10,40,80,1,8,300,75,220,19,300,-70,160,50,30,30,50,200]",1,0.055,0,[],""
182,"IncendiaryShotConePlayer",0,"[20507,601]",[],[],1,0.055,0,[18328],""
183,"IncendiaryShotAmmoPlayer",80,"[18306,18407,2883,20507,24133]","[18231,17717]","[1,1000]",1,0.055,0,[],""
184,"HighVelocityRoundsPlayer",57,"[483,18172,18356,18257,18496,4408,6453,9974,18295,8944,8739,18407,1978,19657,23603]","[18299,18256,10086,5879,18303,18310,18311,18312,18328,18400,18462,20179]","[2,90,0,6,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
185,"HighVelocityRoundsArmourBrokenPlayer",77,[20507],"[344,23187,23191]","[5000,5,0]",1,0.055,0,[],1
186,"HighVelocityRoundsAmmoPlayer",80,"[18306,18407,2883,20507,24133]","[18231,17717]","[1,1000]",1,0.055,0,[],""
187,"FragmentationRoundsPlayer",57,"[483,2732,18172,18257,18496,4408,6453,9974,8944,18323,8739,18407,1978,18686,1319,23603]","[18252,18253,18255,18256,18211,8095,6673,18249,10086,5879,18328,18400,18462,20179]","[3,20,8,90,10,10,40,0,0,2,100,-70,160,50]",1,0.055,0,[],""
188,"FragmentationRoundsFreezeShatterPlayer",17,"[601,20507,16540]","[17546,19018,1098,24129]","[20,1,100,50]",1,0.055,0,"[18211,8739,18328,5879,2732,18352,18686]",1
189,"FragmentationRoundsAmmoPlayer",80,"[18306,18407,2883,20507,24133]","[18231,17717]","[1,1000]",1,0.055,0,[],""
190,"GlacialBoltPlayer",57,"[483,18172,18257,4408,6453,9974,18295,8944,13858,8739,18407,18496,1978]","[18256,1098,18303,18310,18311,18312,18328,18400,18462,20179]","[90,60,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
191,"GlacialBoltWallPlayer",60,"[601,20507,23392]","[1098,344,494,18125,17546,23572,23573,23466]","[40,8000,63,231,18,0,50,-80]",1,0.055,0,[18328],1
192,"GlacialBoltAmmoPlayer",80,"[18306,18407,2883,20507,24133]","[18231,17717]","[1,1000]",1,0.055,0,[],""
193,"PermafrostBoltsPlayer",57,"[483,2732,18172,8739,18257,18496,4408,6453,9974,8944,18407,1978,23603]","[18252,18253,18255,18256,18211,8095,6673,1098,18328,18343,17546,18400,18462,20179]","[3,20,14,90,10,10,40,80,100,40,27,-70,160,50]",1,0.055,0,[],""
194,"PermafrostBoltsConePlayer",0,"[20507,601,21688]",[],[],1,0.055,0,[18328],""
