"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32_32","i32_36"
10,"Marauder11","When bones walk, they are not Karui. ","Quand les ossements se relèvent, ce ne sont plus des Karuis. ","Wenn Gebeine durch die Gegend wandeln, sind es keine Karui. ","骨が歩く時、彼らはカルイではない。","죽음에서 일어난 카루이는 카루이가 아니다.","Esqueletos errantes não são Karui.","Ходячие кости – больше не каруи.","Cuando los huesos caminan, no son Karui.","ยาม​ที่​โครง​กระดูก​เดิน​ได้ พวก​มัน​ก็​ไม่ใช่​ชาว​คารุย​อีก​ต่อ​ไป","那些骨兵只是行屍走肉，不配為卡魯族人。","Audio/Dialogue/Character/Str/Event/Ma_11.ogg","",10000,0
11,"Marauder12","The 'black spirit'. Lavianga speaks of Kitava, Father of Corruption.","L'esprit noir. Lavianga parle de Kitava, Père de la corruption.","Der \""schwarze Geist\"". Lavianga spricht von Kitava, dem Vater der Verderbtheit.","「黒き魂」か。ラヴィアンガは腐敗の父キタヴァのことを言っている。","'검은 영혼'. 라비앙가는 타락의 아버지 키타바를 두고 그렇게 부르더군.","O \""espírito sombrio\"". Lavianga fala sobre Kitava, Pai da Corrupção.","«Чёрный дух». Лавианга сказал о Китаве, Отце порчи.","El \""espíritu negro\"". Lavianga habla de Kitava, el Padre de la Corrupción.","​'วิญญาณ​ที่​ชั่ว​ร้าย' นั่น ลาเวียนกา​พูด​ถึง​คิทาวา พระบิดา​แห่ง​มลทิน","「暗靈」。拉維安加是如此形容腐化之父奇塔弗。","Audio/Dialogue/Character/Str/Event/Ma_12.ogg","",10000,0
12,"Marauder13","Kaom bowed to Kitava. He betrayed us!","Kaom s'est soumis à Kitava. Il nous a trahis !","Kaom hat sich vor Kitava verneigt. Er hat uns verraten!","カオムはキタヴァに頭を下げた。我らを裏切ったのだ！","카옴은 키타바에게 무릎을 꿇었지. 우리를 배신한 것이다!","Kaom se ajoelhava perante Kitava. Ele nos traiu!","Каом поклонился Китаве. Он предал нас!","Kaom se inclinó ante Kitava. ¡Nos traicionó!","คอมม์​ก้ม​หัว​ให้​คิทาวา เขา​หัก​หลัง​พวก​เรา​!","岡姆向奇塔弗鞠躬臣服。他背叛了我們！","Audio/Dialogue/Character/Str/Event/Ma_13.ogg","",10000,0
13,"Marauder14","The Karui remember you, Fairgraves. Your death will be much celebrated.","Les Karuis se souviennent de toi, Fairgraves. Ta mort donnera lieu à de grandes réjouissances.","Die Karui haben Euch nicht vergessen, Fairgraves. Euer Tod wird ausgiebig gefeiert werden.","カルイはお前を覚えているぞ、フェアグレーヴズ。お前の死はとても歓迎されるだろう。","카루이가 페어그레이브즈 너를 기억하마. 네 죽음은 길이 남을거다.","Os Karui se lembram de você, Fairgraves. Sua morte será muito comemorada.","Каруи запомнит тебя, капитан. Я устрою пир в честь твоей смерти.","Los Karui te recuerdan, Fairgraves. Tu muerte será celebrada.","ชาว​คารุย​จดจำ​แก​ได้​เสมอ แฟร์เกรฟส์ พวก​เรา​ย่อม​ยินดี​กับ​ความ​ตาย​ของ​แก","卡魯族記得你，費爾。大家會為你的死舉杯歡慶。","Audio/Dialogue/Character/Str/Event/Ma_14.ogg","",10000,0
14,"Marauder15","Your curse is over, siren. Rest with Hinekora, Mother of the Dead.","Ta malédiction est terminée, sirène. Repose avec Hinekora, Mère des morts.","Euer Fluch ist aufgehoben, Sirene. Jetzt werdet Ihr bei Hinekora, Mutter der Toten, ruhen.","セイレーンよ、お前の呪いは終わりだ。死者の母ヒネコラと共に休むが良い。","네 저주는 이제 끝이다, 사이렌. 죽음의 어머니 히네코라의 품에 잠들어라.","Sua maldição chegou ao fim, sereia. Descanse com Hinekora, a Mãe dos Mortos.","Сирена, ты больше не проклята. Отдохни в земле Хинекоры, Матери мёртвых.","Tu maldición ha terminado, sirena. Descansa con Hinekora, Madre de los Muertos.","คำ​สาป​เจ้า​สิ้น​สุด​แล้ว พรายน้ำ จง​หลับ​ใหล​ไปกับ​ฮิเนโครา พระแม่มรณา​เสีย​เถิด","你的詛咒失效了，海妖。與悉妮蔻拉共赴黃泉吧。","Audio/Dialogue/Character/Str/Event/Ma_15.ogg","",10000,0
15,"Marauder16","All life is twisted in Wraeclast. ","Toute vie est pervertie à Wraeclast. ","Alles Leben in Wraeclast ist verderbt. ","レイクラストでは全ての命が歪んでいる。","레이클라스트의 모든 생명이 뒤틀렸구나.","Toda vida em Wraeclast é uma perversão.","Здесь жизнь страшнее смерти.","Toda forma de vida en Wraeclast está corrupta.","ทุก​ชีวิต​ย่อม​เสื่อมทราม​ใน​เวร์แคลส์ท","瓦爾克拉斯的所有生命都發生扭曲異變。","Audio/Dialogue/Character/Str/Event/Ma_16.ogg","",10000,0
16,"Marauder17","The Eternal Empire was built by sickened minds.","L'Empire éternel a été construit par des esprits maladifs.","Es waren kranke Gemüter, die das Ewige Kaiserreich errichtet haben.","永遠なる帝国は病んだ精神によって作られたようだ。","영원한 제국을 얼마나 역겨운 놈들이 세운 건지 알겠구나.","O Império Eterno foi erguido por mentes doentias.","Вечная империя была создана безумцами.","El Imperio Eterno fue construido por mentes enfermas.","จักรวรรดิ​นิรันดร์​ถูก​สร้าง​ขึ้น​มา​จาก​น้ำมือ​ของ​เหล่า​ผู้​ที่​วิปริต","不朽帝國是由喪心病狂之人所建。","Audio/Dialogue/Character/Str/Event/Ma_17.ogg","",10000,0
17,"Marauder18","Ancestors, forgive me. I have opened the 'Way' to Kitava, Father of Corruption.","Mes Ancêtres, pardonnez-moi. J'ai ouvert la Voie à Kitava, Père de la corruption.","Ahnen, vergebt mir. Ich habe den Kodex an Kitava, den Vater der Verderbtheit, verraten.","先祖達よ、私を許してくれ。腐敗の父キタヴァへの「道」を開いてしまった。","선조들이시여, 용서하소서. 제가 타락의 아비 키타바로의 '길'을 열어버렸습니다.","Ancestrais, perdoem-me. Eu abri o \""Caminho\"" para Kitava, Pai da Corrupção.","Предки, простите. Я отпер путь Китавы, Отца порчи.","Perdónenme, Ancestros. Le abrí el camino a Kitava, el Padre de la Corrupción.","ท่าน​บรรพชน​ทั้งหลาย โปรด​ยก​โทษ​ให้​ข้า​เถิด ขัา​ได้​เปิด 'วิถี' ให้​แก่​คิทาวา พระ​บิดา​แห่ง​มลทิน","拉先祖，原諒我吧。我竟替腐化之父奇塔弗助紂為孽。","Audio/Dialogue/Character/Str/Event/Ma_18.ogg","",10000,0
18,"Marauder19","I give this warrior of Kitava to you, Tukohama, my Father of War.","Ce guerrier de Kitava, c'est à toi que je l'offre, Tukohama, mon Père de la guerre.","Ich übergebe diesen Kitava-Krieger Euch, Tukohama, meinem Kriegsvater.","トゥコハマ、我が戦いの父よ、このキタヴァの戦士を捧げる。","이 키타바의 전사를 전쟁의 아버지인 투코하마 당신께 바칩니다.","Tukohama, meu Pai da Guerra, eu entrego a você este guerreiro de Kitava.","Тукохама, Отец войны, я отдаю тебе этого воина Китавы.","Te entrego este guerrero de Kitava a ti, Tukohama, mi Padre de la Guerra.","ข้า​ขอ​มอบ​นักรบ​ผู้รับใช้​คิทาวา​ราย​นี้​ให้​กับ​ท่าน ทู​โค​ฮา​ม่า​ พระ​บิดา​แห่ง​การศึก","我將這位奇塔弗戰士獻給您，戰爭之父圖克哈瑪。","Audio/Dialogue/Character/Str/Event/Ma_19.ogg","",10000,0
19,"Marauder20","Your death had more honour than your life, Kraityn.","Tu as montré plus d'honneur dans la mort que dans la vie, Kraityn.","Euer Tod war ehrenvoller als Euer Leben, Kraityn.","クレイティン、お前の死はお前の生よりも誇りがあった。","그렇게 사느니 차라리 죽는게 더 명예롭겠구나, 크레이틴.","Sua morte teve mais honra que sua vida, Kraityn.","Крайтин, ты не заслужил такую почётную смерть.","Tu muerte tuvo más honor que tu vida, Kraityn.","ความ​ตาย​ของ​เจ้า​มี​เกียรติ​กว่า​ชีวิต​เจ้า​เสีย​อีก เครทิน","克雷頓，你死了比活著更光榮。","Audio/Dialogue/Character/Str/Event/Ma_20.ogg","",10000,0
20,"Marauder21","There's no blacker magic than death, witch.","Il n'y a pas de magie plus noire que la mort, sorcière.","Es gibt keine schwärzere Magie als den Tod, Hexe.","魔女よ、死よりも邪悪な魔法はない。","죽음이야말로 제일 어두운 마법이다, 마녀여.","Não existe magia mais sombria do que a morte, bruxa.","Женщина, мужчине не нужна такая «спутница».","No hay magia más oscura que la muerte, bruja.","ไม่มี​เวทมนตร์​ใด​ดำ​มืด​ไป​กว่า​ความ​ตาย ไอ้​แม่มด","女巫，這世上沒有比死亡來得更黑暗的魔法了。","Audio/Dialogue/Character/Str/Event/Ma_21.ogg","",10000,0
21,"Marauder22","Your reign is over, bandit king.","C'est la fin de ton règne, roi-bandit.","Die Tage Eurer Herrschaft sind gezählt, Banditenkönig.","山賊王よ、お前の支配は終わりだ。","네 시대는 끝이다, 도적왕.","Seu reinado acabou, rei dos bandidos.","Вождь стервятников повержен.","Tu dominio ha terminado, rey bandido.","การ​ครอง​ราชย์​ของ​เจ้า​จบ​ลง​แล้ว ราชา​แห่ง​โจร","你橫行霸道的日子結束了，盜賊頭子。","Audio/Dialogue/Character/Str/Event/Ma_22.ogg","",10000,0
22,"Marauder23","It is good to feel your warmth again, Ramako, Father of Light.","Il est bon de sentir ta chaleur à nouveau, Ramako, Père de la lumière.","Es tut gut, erneut Eure Wärme zu spüren, Ramako, Vater des Lichts.","光の父ラマコよ、其方の暖かさを再び感じられることに感謝する。","당신의 온기가 다시 느껴집니다, 빛의 아버지 라마코여.","Ramako, Pai da Luz, é bom sentir seu calor novamente.","Рамако, Отец света. Хорошо, что твоё тепло снова с нами.","Es bueno sentir nuevamente tu calidez, Ramako, Padre de la Luz.","ดี​เสีย​จริง​ที่​ได้รับ​ไอ​อุ่น​จาก​ท่าน​อีก​ครั้ง ​รามาโค​ พระบิดา​แห่ง​แสง​สว่าง","能再次感受您的溫暖真好，光明之父雷默科。","Audio/Dialogue/Character/Str/Event/Ma_23.ogg","",10000,0
23,"Marauder24","You are a welcome sight, daughter of Ngamakanui.","Ta présence est appréciée, fille de Ngamakanui.","Welch angenehmer Anblick, Tochter von Ngamakanui.","ナーマカヌイの娘よ、其方に会えて嬉しいぞ。","만나서 반갑군, 나마카누이의 딸이여.","É muito bom ver você, filha de Ngamakanui.","Рад тебя видеть, дочь Нгамакануи.","Eres una encantadora visión, hija de Ngamakanui.","การ​พบ​เจ้า​นั้น​ช่าง​เป็น​บุญ​ตา​แก่​ข้า​ยิ่ง​นัก ธิดา​แห่ง​นามาคานุย","你真是賞心悅目呢，尼加馬卡努伊之女","Audio/Dialogue/Character/Str/Event/Ma_24.ogg","",10000,0
24,"Marauder25","Karui slaves were once bought and sold like pigs here.","Ici, les esclaves karuis étaient achetés et vendus comme du bétail.","Einst hatte man Karui-Sklaven hierher verschleppt, um sie wie Schweine zu verkaufen.","かつてはカルイの奴隷達はここで豚のように売り買いされていた。","여기서 카루이 노예가 돼지처럼 사고 팔렸다지.","Os escravos Karui já foram comercializados como porcos aqui.","Здесь каруи покупали и продавали, как свиней.","En este lugar, los esclavos Karui eran vendidos como cerdos.","ครั้ง​หนึ่ง​ทาส​ชาว​คารุย​เคย​ถูก​ซื้่อ​ขาย​ที่​นี่​ไม่​ต่าง​จาก​หมู","卡魯族奴隸曾在此被當成豬隻般買賣。","Audio/Dialogue/Character/Str/Event/Ma_25.ogg","",10000,0
25,"Marauder26","To live too long is to live in pain.","Vivre trop longtemps, c'est vivre dans la douleur.","Ein zu langes Leben ist nur ein Leben voller Schmerz.","長過ぎる生は苦痛の生だ。","삶이 너무 길어지면 도리어 고통스러워지는 것인가...","Viver por muito tempo é viver na dor.","Долгая жизнь приносит боль.","Vivir demasiado tiempo es vivir en el dolor.","การ​อยู่​นาน​เกิน​ควร​คือ​การ​อยู่อย่าง​เจ็บ​ปวด","活得越久，痛苦越久。","Audio/Dialogue/Character/Str/Event/Ma_26.ogg","",10000,0
26,"Marauder27","This is the Eternal Way, pretty and lifeless.","Voici la Voie des Éternels, belle et sans vie.","Dies ist die Art der Ewigen, so wunderbar und so entseelt.","これが永遠なる道だ。美しく、生命がいない。","이것이 영원의 길인가. 아름답고... 다 죽어버렸군.","Este é o Caminho Eterno, belo e sem vida.","Это путь вечных, красивый и пустой.","Esta es la Tradición Eterna, bella y sin vida.","นี่​คือ​วิถี​นิรันดร์​ชน งดงาม ไร้​ชีวิต","這裡是永恆之道，景色優美卻毫無生氣。","Audio/Dialogue/Character/Str/Event/Ma_27.ogg","",10000,0
27,"Marauder28","Piety, you are truly Kitava's slave, a daughter of corruption. ","Piété, tu es vraiment l'esclave de Kitava ; une fille de la corruption. ","Piety, Ihr seid wahrlich eine Sklavin Kitavas, eine Tochter der Verderbtheit. ","パイエティ、お前は真にキタヴァの奴隷だ、腐敗の娘だ。","타락의 딸이자 키타바의 진정한 노예로구나, 파이어티.","Piety, você é mesmo uma escrava de Kitava, uma filha da Corrupção. ","Вера, ты рабыня Китавы и грязная дочь порчи.","Piedad, en verdad eres esclava de Kitava, una hija de la corrupción.","พายตี้ แก​เป็น​ทาส​ของ​คิทาวา เป็น​ธิดา​แห่งมลทินอย่าง​แท้จริง","派蒂，你還真是奇塔弗的好奴才，你這腐化之女。","Audio/Dialogue/Character/Str/Event/Ma_28.ogg","",10000,0
28,"Marauder29","I will take everything Dominus loves, as he took it from me. ","Je vais arracher à Dominus tout ce qu'il aime, comme il l'a fait avec moi. ","Ich werde Dominus alles nehmen, was er je geliebt hat, so wie er mir alles nahm. ","私はドミナスの愛する物全てを奪う。奴が私からそれを奪ったように。","도미누스가 내게 그러했듯, 놈이 아끼는 모든 것을 빼앗겠다.","Eu tomarei tudo o que Dominus ama, assim como ele tomou de mim. ","Владыка потеряет всё, что любил. Так же, как потерял я.","Voy a quitarle a Dóminus todo lo que ame, como él hizo conmigo.","ข้า​จะ​ช่วง​ชิง​ทุก​อย่าง​ที่​โดมินัส​รัก เช่น​เดียว​กับ​ที่​มัน​ช่วง​ชิง​ไป​จาก​ข้า","我會奪走神主所珍愛的一切，就像他奪走我的一切。","Audio/Dialogue/Character/Str/Event/Ma_29.ogg","",10000,0
29,"Marauder30","The Karui do not hide in towers built of fear.","Les Karuis ne se cachent pas dans des tours construites sur la peur.","Die Karui verstecken sich nicht in Türmen, deren Grundfeste aus Furcht bestehen.","カルイは恐怖から造られた塔に隠れはしない。","카루이는 두려움으로 세워진 탑에 숨지 않는다.","Os Karui não se escondem em torres erguidas pelo medo.","Каруи не прячутся за стенами. Это удел трусов.","Los Karui no se esconden en torres construidas en base a miedo.","ชาวคารุย​ไม่​หลบ​ซ่อน​ใน​หอคอย​ที่​สร้าง​ด้วย​ความ​กลัว","卡魯族不會躲在恐懼砌成的高塔裡。","Audio/Dialogue/Character/Str/Event/Ma_30.ogg","",10000,0
30,"Marauder31","The Empire dies with you, Dominus. The Karui will never again be slaves.","L'Empire meurt avec toi, Dominus. Les Karuis ne seront plus jamais des esclaves.","Das Kaiserreich stirbt mit Euch, Dominus. Nie wieder werden die Karui ein Leben als Sklaven fristen.","帝国はお前と共に死ぬのだ、ドミナス。カルイは二度と、奴隷にはならぬ。","제국과 함께 죽어라, 도미누스. 카루이가 노예가 되는 일은 다시는 없을 것이다.","O Império morre com você, Dominus. Os Karui nunca mais serão escravos.","Владыка, империя умрёт вместе с тобой! Каруи не будут рабами!","El Imperio muere contigo Dóminus. Los Karui ya nunca serán esclavos.","จักรวรรดิ​แก​ตาย​ไป​พร้อม​กับ​แก​แล้ว โดมินัส ชาวคารุย​จะ​ไม่​เป็น​ทาส​อีก​ต่อ​ไป","帝國會和你一起墜落，神主。卡魯族絕對不會成為奴隸。","Audio/Dialogue/Character/Str/Event/Ma_31.ogg","",10000,0
31,"Marauder32","I am honoured to serve you, my Ancestor.","Je suis honoré de te servir, cher Ancêtre.","Ich fühle mich geehrt, Euch dienen zu dürfen, mein Ahne.","先祖よ、其方に仕える名誉に感謝します。","선조시여, 당신을 도울 수 있어 영광입니다.","É uma honra te servir, meu Ancestral.","Я рад служить тебе, предок.","Me honra servirlo, Ancestro.","ข้า​รู้สึก​เป็น​เกียรติ​ที่​ได้​รับ​ใช้​ท่าน บรรพชน","我很榮幸能為你效勞，先祖。","Audio/Dialogue/Character/Str/Event/Ma_32.ogg","",10000,0
