"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_16","bool_17","bool_18"
17,"FreezeConsumption","Vs Frozen","Vs Gelé","Ggn. Eingefrorene","対凍結","동결 상대","Vs Congelado","Против замороженных","Vs. congelados","ต่อสถานะ แช่แข็ง","對凍結者",1,1,1
18,"Aftershock","Aftershock","Réplique","Nachbeben","余震","여진","Abalo Secundário","Остаточная волна","Réplica","คลื่นสะท้อน","餘震",1,"",1
19,"Armed","When Armed","Quand armé","Wenn bewaffnet","武装時","무장 시","Quando Armado","Если заряжен","Cuando estás armado","เมื่อติดตั้ง","裝備武器時",1,1,1
20,"SecondProjectile","Second Projectile","Deuxième projectile","Zweites Projektil","第二投射物","2차 투사체","Segundo Projétil","Второй снаряд","Segundo proyectil","โพรเจกไทล์สอง","第二投射物",1,"",1
21,"FireTrail","Fire Trail","Traînée de feu","Feuerspur","火の軌跡","화염 자취","Rastro de Fogo","Огненный след","Rastro de fuego","แถบไฟ","火焰蹤跡",1,"",1
22,"DSFirstImpact","First Slam","Premier fracas","Erster Hieb","第一スラム","1차 강타","Primeiro Impacto","Первый мощный удар","Primer embate","ทุบแรก","第一下重擊",1,"",1
23,"DSSecondImpact","Second Slam","Deuxième fracas","Zweiter Hieb","第二スラム","2차 강타","Segundo Impacto","Второй мощный удар","Segundo embate","ทุบสอง","第二下重擊",1,"",1
24,"Shockwave","Shockwave","Onde de choc","Schockwelle","衝撃波","충격파","Onda de Choque","Ударная волна","Onda expansiva","คลื่นพลัง","震波",1,1,1
25,"Storm","Storm","Tempête","Sturm","嵐","태풍","Tempestade","Буря","Tormenta","วายุ","暴風",1,1,1
26,"WhenSlammed","When Slammed","Quand Fracassé","Nach Hieb","スラム時","강타 시","Quando Atacado","При мощном ударе","Cuando recibes un embate","เมื่อถูกทุบ","遭重擊時",1,1,1
27,"Minion","Minion","Créature","Kreatur","ミニオン","소환수","Lacaio","Приспешник","Esbirro","มิเนียน","召喚物",1,1,1
28,"Bolt","Bolt","Éclair","Bolzen","ボルト","볼트","Tiro","Болт","Descarga","ลูกพลัง","弩箭",1,1,1
29,"Arrow","Arrow","Fléche","Pfeil","矢","화살","Flecha","Стрела","Flecha","ศร","箭矢",1,1,1
30,"Firebolts","Firebolts","Traits de feu","Feuerbolzen","ファイヤーボルト","화염 화살","Disparos Flamejantes","Огненные снаряды","Bolas de fuego","ลูกพลังไฟ","火焰彈",1,1,1
31,"CastOnFrostbolt","Cast on Frostbolt","Lancé sur Globe de givre","Zaubern von Frostkugel","フロストボルト時キャスト","서리 구체 시 시전","Conjurar no Disparo Congelante","Сотворение на Морозном шаре","Lanzar sobre Descarga de escarcha","ร่ายบนบอลน้ำแข็ง","隨寒冰彈施放",1,1,1
32,"Nova","Nova","Nova","Nova","ノヴァ","폭발","Nova","Кольцо","Nova","กระจาย","新星",1,1,1
33,"NormalStrike","Normal Strikes","Frappes normales","Normale Schläge","通常ストライク","일반 타격","Golpes Normais","Обычные удары","Golpes normales","ฟาดธรรมดา","一般打擊",1,1,1
34,"PerfectStrike","Perfect Strike","Frappe parfaite","Perfekter Schlag","完全ストライク","완벽한 타격","Golpe Perfeito","Идеальный удар","Golpe perfecto","ฟาดตรงจังหวะ","完美打擊",1,1,1
35,"Collision","Collision","Collision","Kollision","衝突","충돌","Colisão","Столкновение","Colisión","การชน","碰撞",1,1,1
36,"Vines","Vines","Lianes","Ranken","ツタ","덩굴","Cipós","Лозы","Enredaderas","เถาวัลย์","藤蔓",1,1,1
37,"Support","Support","Soutien","Unterstützung","サポート","보조","Suporte","Поддержка","Asistencia","เสริม","輔助",1,1,1
38,"AoE","Area of Effect","Zone d'effet","Wirkungsbereich","範囲効果","효과 범위","Área de Efeito","Область действия","Área de efecto","พื้นที่ส่งผล","影響範圍",1,1,1
39,"Buff","Buff","Effet bénéfique","Stärkung","バフ","버프","Buff","Положительный эффект","Efecto beneficioso","บัฟ","增益效果",1,1,1
40,"Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat","[DNT] Hoofbeat",1,1,1
41,"Crystal","Crystal","Cristal","Kristall","結晶","수정","Cristal","Кристалл","Cristal","ผลึก","水晶",1,1,1
42,"FireRain","Fire Rain","Pluie de feu","Feuerregen","火の雨","불의 비","Chuva de Fogo","Огненный дождь","Lluvia de fuego","ฝนไฟ","火焰之雨",1,1,1
43,"ChaosRain","Chaos Rain","Pluie de chaos","Chaosregen","混沌の雨","카오스의 비","Chuva de Caos","Дождь хаоса","Lluvia de caos","ฝนเคออส","混沌之雨",1,1,1
44,"Slam","Slam","Fracas","Hieb","スラム","강타","Pancada","Мощный удар","Embate","ทุบ","重擊",1,1,1
45,"Swipe","Swipe","Balayage","Schwung","スワイプ","후려치기","Varrida","Взмах","Barrido","ตะครุบ","揮掃",1,1,1
46,"Screech","Screech","Hurlement","Kreischen","悲鳴","비명","Grito","Крик","Chirrido","แผดเสียง","海妖之嚎",1,1,1
47,"Pulse","Pulse","Impulsion","Impuls","パルス","파동","Pulso","Импульс","Pulso","คลื่นพลัง","脈搏",1,1,1
48,"StaggeringPalmStaffProjectile","Projectile (Quarterstaff)","Projectile (Bâton de combat)","Projektil (Kampfstab)","投射物（クォータースタッフ）","투사체 (육척봉)","Projétil (Bastão)","Снаряд (боевой посох)","Proyectil (bastón)","โพรเจกไทล์ (ไม้พลองวรยุทธ์)","投射物（細杖）",1,1,1
49,"StaggeringPalmUnarmedProjectile","Projectile (Unarmed)","Projectile (Mains nues)","Projektil (Unbewaffnet)","投射物（素手状態）","투사체 (비무장)","Projétil (Desarmado)","Снаряд (без оружия)","Proyectil (desarmado)","โพรเจกไทล์ (มือเปล่า)","投射物（空手）",1,1,1
50,"ExplosionStatSuppress","Explosion","Explosion","Explosion","爆発","폭파","Explosão","Взрыв","Explosión","ระเบิด","爆炸",1,"",1
51,"FourthStrike","Fourth Strike","Quatrième frappe","Vierter Schlag","第四ストライク","4차 타격","Quarto Golpe","Четвёртый удар","Cuarto golpe","ฟาดที่สี่","第四次打擊",1,1,1
52,"Curses","Curses","Malédictions","Flüche","呪い","저주","Maldições","Проклятия","Maldiciones","คำสาป","詛咒",1,1,1
53,"Illusion","Illusion","Illusion","Illusion","幻影","환상","Ilusão","Иллюзия","Ilusión","ร่างลวงตา","幻影",1,1,1
54,"VoidIllusion","Void Illusion","Illusion du Néant","Leerenillusion","ヴォイドイリュージョン","공허 환상","Ilusão Vazia","Иллюзия пустоты","Ilusión de vacío","ห้วงว่างลวงตา","虛空幻影",1,1,1
55,"Shrapnel","Shrapnel","Shrapnel","Schrapnell","弾片","파편","Estilhaços","Шрапнель","Metralla","สะเก็ดระเบิด","彈片",1,1,1
56,"GroundEffect","Ground Surface","Surface de sol","Bodenflächen","地表領域","지대 효과","Superfície de Solo","Наземный эффект","Superficie de suelo","พื้นปกคลุม","地面",1,1,1
57,"ProjectileHideDescription","Projectile","Projectile","Projektil","投射物","투사체","Projétil","Снаряд","Proyectil","โพรเจกไทล์","投射物",1,1,""
58,"ImpactHideDescription","Impact","Impact","Einschlag","衝撃","충격","Impacto","Воздействие","Choque","กระทบ","衝擊",1,1,""
59,"Mark","Mark","Marque","Mal","呪印","징표","Marca","Метка","Señal","คำแช่ง","印記",1,1,1
60,"Wall","Wall","Mur","Mauer","壁","벽","Parede","Стена","Muro","กำแพง","牆壁",1,1,1
61,"Shard","Shard","Éclat","Splitter","シャード","조각","Fragmento","Осколок","Esquirla","สะเก็ด","碎片",1,1,1
62,"PoisonCloud","Poison Cloud","Nuage de poison","Giftwolke","毒の雲","중독 구름","Nuvem de Veneno","Облако яда","Nube de veneno","ควันพิษ","劇毒雲霧",1,1,1
63,"Footsteps","Footsteps","Pas","Fußspuren","足跡","발걸음","Passos","Следы","Pasos","รอยเท้า","腳印",1,1,1
64,"ExplosionNoStats","Explosion","Explosion","Explosion","爆発","폭발","Explosão","Взрыв","Explosión","ระเบิด","爆炸",1,"",1
65,"Shards","Shards","Éclats","Splitter","シャード","파편","Fragmentos Gélidos","Осколки","Esquirlas","สะเก็ด","碎片",1,1,1
66,"FrozenShards","Frozen Shards","Éclats gelés","Gefrorene Splitter","フローズンシャード","얼어붙은 파편","Fragmentos Gélidos","Ледяные осколки","Esquirlas congeladas","สะเก็ดแช่แข็ง","冰凍碎片",1,1,1
67,"WildStrikeFire","Fiery Explosion","Explosion de feu","Feurige Explosion","火の爆発","불타는 폭발","Explosão Ardente","Огненный взрыв","Explosión ardiente","ระเบิดไฟ","烈炎爆炸",1,"",1
68,"WildStrikeCold","Icy Wave","Vague de glace","Eisige Welle","氷の波動","얼음 파도","Onda Gélida","Волна холода","Ola helada","คลื่นน้ำแข็ง","寒風之波",1,"",1
69,"WildStrikeLightning","Arcing Bolt","Chaîne de foudre","Wölbender Blitz","稲妻の放電","지직거리는 번개","Tiro Arqueante","Цепная молния","Descarga eléctrica","สายฟ้าชิ่ง","電能弩箭",1,"",1
70,"Strike","Strike","Frappe","Schlag","ストライク","타격","Golpe","Удар","Golpe","ฟาด","打擊",1,1,1
71,"BoltsNoDescription","Bolts","Carreaux","Bolzen","ボルト","볼트","Disparos","Болты","Saetas","ลูกศร","弩箭",1,1,""
72,"ArtilleryNoDescription","Artillery","Artillerie","Artillerie","アーティラリー","포대","Artilharia","Артиллерия","Artillería","ลูกศรระฟ้า","砲火",1,1,""
73,"Ballista","Ballista","Baliste","Balliste","バリスタ","쇠뇌","Balista","Баллиста","Balista","ป้อมหน้าไม้","砲塔",1,1,1
74,"Tornado","Tornado","Tornade","Tornado","トルネード","회오리","Tornado","Торнадо","Tornado","พายุสลาตัน","龍捲風",1,1,1
75,"PrimaryGrenade","Primary Grenade","Grenade principale","Primärgranate","主グレネード","주 유탄","Granada Primária","Основная граната","Granada principal","ลูกระเบิดหลัก","主要擲彈",1,1,1
76,"MiniGrenades","Mini Grenades","Mini Grenades","Minigranate","小型グレネード","소형 유탄","Mini Granadas","Мини-гранаты","Minigranadas","ลูกระเบิดจิ๋ว","小型擲彈",1,1,1
77,"ArmourBroken","Vs Armour Broken","Vs Armure brisée","Ggn. zerbrochene Rüstung","対アーマー破壊","방어구 파괴 상태의 적 상대","Vs Quebra de Armadura","Против разрушенной брони","Vs. armadura rota","ต่อ เกราะหักโดยสมบูรณ์","對破甲者",1,1,1
78,"IgnitedGround","Ignited Ground","Sol embrasé","Entzündeter Boden","発火領域","점화 지대","Solo Ardente","Подожжённая земля","Suelo quemado","พื้นลุกไหม้","點燃地面",1,1,1
79,"Totem","Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",1,1,1
80,"Ammo","Ammunition","Munitions","Munition","弾薬","탄약","Munição","Боеприпас","Munición","กระสุน","彈藥",1,1,1
81,"MinionInfo","Minion Info","Info créature","Kreatureninfo","ミニオン情報","소환수 정보","Info. Do Lacaio","Сведения о приспешнике","Info de esbirros","ข้อมูลมิเนียน","召喚物資訊",1,1,1
82,"Firestorm","Firestorm","Tempête de feu","Feuerregen","ファイヤーストーム","화염 폭풍","Tempestade de Fogo","Огненный шторм","Tormenta de fuego","พายุไฟ","烈炎風暴",1,1,1
83,"ImprovedBolt","Improved Bolt","Globe amélioré","Verbesserte Kugel","改良ボルト","강화된 볼트","Disparo Melhorado","Улучшенный болт","Saeta mejorada","ลูกไฟเพิ่มพลัง","強化弩箭",1,1,1
84,"NormalDash","Normal Dash","Élan normal","Normaler Spurt","通常ダッシュ","일반 질주","Avanço Normal","Обычный рывок","Finta normal","พุ่งตัวปกติ","一般衝刺",1,1,1
85,"PerfectDash","Perfect Dash","Élan parfait","Perfekter Spurt","完全ダッシュ","완벽한 질주","Avanço Perfeito","Идеальный рывок","Finta perfecta","พุ่งตัวตรงจังหวะ","完美衝刺",1,1,1
86,"ChilledGround","Chilled Ground","Sol frigorifiant","Unterkühlender Boden","冷却領域","얼음 지대","Solo Resfriado","Замёрзшая земля","Suelo escarchado","พื้นหนาวเย็น","冰緩地面",1,1,1
87,"Command","Command","Ordre","Befehl","コマンド","명령","Comandar","Приказ","Orden","สั่งการ","命令",1,1,1
88,"CommandWaterDjinn1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1","[DNT] Water Djinn Command 1",1,1,1
89,"CommandWaterDjinn2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2","[DNT] Water Djinn Command 2",1,1,1
90,"CommandWaterDjinn3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3","[DNT] Water Djinn Command 3",1,1,1
91,"CommandSandDjinn1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1","[DNT] Sand Djinn Command 1",1,1,1
92,"CommandSandDjinn2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2","[DNT] Sand Djinn Command 2",1,1,1
93,"CommandSandDjinn3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3","[DNT] Sand Djinn Command 3",1,1,1
94,"CommandCorpseBeetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle","[DNT] Command Corpse Beetle",1,1,1
95,"CommandFireDjinn1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1","[DNT] Command Fire Djinn 1",1,1,1
96,"Dash","Dash","Élan","Spurt","ダッシュ","질주","Avanço","Рывок","Finta","พุ่งตัว","幻步",1,1,1
97,"Fire","Fire","Feu","Feuer","火","화염","Fogo","Огонь","Fuego","ไฟ","火焰",1,1,1
98,"Lightning","Lightning","Foudre","Blitz","雷","번개","Raio","Молния","Rayo","สายฟ้า","閃電",1,1,1
99,"Cold","Cold","Froid","Kälte","冷気","냉기","Gelo","Холод","Hielo","น้ำแข็ง","冰冷",1,1,1
100,"LingeringIgnite","Lingering Ignite","Embrasement persistant","Anhaltende Entzündung","残存する発火","지속되는 점화","Incêndio Persistente","Длительный поджог","Quemadura persistente","ลุกไหม้ ที่มีผลต่อไป","殘留點燃",1,1,1
101,"Heal","Heal","Soin","Heilung","癒し","치유","Curar","Исцеление","Curación","รักษา","治療",1,1,1
102,"PoisonBurst","Poison Burst","Explosion de Poison","Giftexplosion","毒爆発","독 격발","Explosão de Veneno","Вспышка яда","Estallido de veneno","พิษปะทุ","毒素爆發",1,1,1
103,"Ignite","Ignite","Embrasement rémanent","Entzünden","発火","점화","Incêndio","Поджог","Quemadura","ลุกไหม้","點燃",1,1,1
104,"LightningBolts","Lightning Bolts","Éclairs","Blitzschläge","ライトニングボルト","낙뢰","Relâmpago","Разряды молнии","Descargas de rayo","ฟ้าผ่า","雷彈",1,1,1
105,"Spin","Spin","Rotation","Drehen","スピン","회전","Girar","Вращение","Girar","หมุน","迴旋",1,1,1
106,"Stab","Stab","Perforation","Stechen","スタブ","찌르기","Apunhalar","Укол","Apuñalar","แทง","刺擊",1,1,1
107,"SecondSlash","Second Slash","Deuxième taillade","Zweiter Schlag","第二スラッシュ","2차 베기","Avanço Secundário","Второй удар","Segundo corte","ฟันที่สอง","二度斬擊",1,1,1
108,"Whirlwind","Whirlwind","Tourbillon","Wirbelwind","ワールウィンド","와류","Furacão","Вихрь","Remolino","ลมวน","旋風",1,1,1
109,"StrongExplosion","Strong Explosion","Explosion violente","Starke Explosion","強い爆発","강한 폭발","Explosão Forte","Сильный взрыв","Explosión fuerte","ระเบิดแรงกล้า","強力爆炸",1,1,1
110,"Fireball","Fireball","Boule de feu","Feuerball","ファイヤーボール","화염구","Bola de Fogo","Огненный шар","Bola de fuego","บอลไฟ","火球",1,1,1
111,"Wall1","Wall 1","Mur 1","Mauer 1","壁 1","벽 1","Parede 1","Стена 1","Muro 1","กำแพง 1","牆壁1",1,1,1
112,"Wall2","Wall 2","Mur 2","Mauer 2","壁 2","벽 2","Parede 2","Стена 2","Muro 2","กำแพง 2","牆壁2",1,1,1
113,"Wall3","Wall 3","Mur 3","Mauer 3","壁 3","벽 3","Parede 3","Стена 3","Muro 3","กำแพง 3","牆壁3",1,1,1
114,"FireWave","Fire Wave","Vague de feu","Feuerwelle","ファイヤーウェーブ","화염 파도","Onda de Fogo","Волна огня","Ola de fuego","คลื่นไฟ","火焰波",1,1,1
115,"HeavyStun","Heavy Stun","Étourdissement massif","Schwere Betäubung","ヘビースタン","강력 기절","Atordoamento Pesado","Сильное оглушение","Aturdimiento total","สตันหนัก","沉重暈眩",1,1,1
116,"Spear","Spear","Lance","Speer","槍","창","Lança","Копьё","Lanza","หอก","長鋒",1,1,1
117,"Detonation","Detonation","Détonation","Detonation","起爆","기폭","Detonação","Детонация","Detonación","การจุุดระเบิด","引爆",1,1,1
118,"FireSurge","Fire Surge","Éruption de feu","Feuerwoge","ファイヤーサージ","화염 쇄도","Fúria de Fogo","Всплеск огня","Sobrecarga de fuego","กระแสไฟ","火焰波動",1,1,1
119,"ColdSurge","Cold Surge","Éruption de froid","Kältewoge","ファイヤーサージ","냉기 쇄도","Fúria de Frio","Всплеск холода","Sobrecarga de hielo","กระแสน้ำแข็ง","冰冷波動",1,1,1
120,"LightningSurge","Lightning Surge","Éruption de foudre","Blitzwoge","ファイヤーサージ","번개 쇄도","Fúria Elétrica","Всплеск молнии","Sobrecarga de rayo","กระแสสายฟ้า","閃電波動",1,1,1
121,"DeathFromAbove","Death From Above","Final aérien","Tod von oben","上からの死","하늘에서 내려준 죽음","Morte dos Céus","Смерть с высоты","Muerte desde las alturas","เบื้องบนสั่งตาย","死從天降",1,1,1
122,"LodgedSpear","Lodged Spear","Lance plantée","Feststeckender Speer","刺さった槍","꽂힌 창","Lança Alojada","Вонзившееся копьё","Lanza clavada","หอกปักพื้น","附著長鋒",1,1,1
123,"InfusedSpear","Infused Spear","Lance infusée","Verstärkter Speer","注入された槍","주입된 창","Lança Infundida","Насыщенное копьё","Lanza infundida","หอกอาบพลัง","灌注長鋒",1,1,1
124,"Thrust","Thrust","Charge","Stich","突き","내지르기","Estocada","Выпад","Arremetida","พุ่งแทง","突刺",1,1,1
125,"Serpent","Serpent","Serpent","Schlange","蛇","독사","Serpente","Змеи","Serpiente","งู","蝮蛇",1,1,1
126,"EmpoweredSpear","Empowered Spear","Lance améliorée","Ermächtigter Speer","強化された槍","강화된 창","Lança Empoderada","Улучшенное копьё","Lanza potenciada","หอกที่ถูกเสริมฤทธิ์","強化長鋒",1,1,1
127,"FrenzyCharged","Frenzy-Charged","Chargé de frénésie","Raserei-geladen","フレンジーチャージ","격분 충전됨","Carregado com Frenesi","Зарядка яростью","Cargado de frenesí","เมื่อใช้ Frenzy Charge","狂怒球充能",1,1,1
128,"Spirits","Spirits","Esprits","Geister","精霊","혼백","Espíritos","Духи","Espíritus","วิญญาณ","魂靈",1,1,1
129,"Tendrils","Tendrils","Filaments","Ranken","テンドリル","덩굴","Tentáculos","Побеги","Tentáculos","ฟ้าแลบ","觸手",1,1,1
130,"ProjectileDamage","Projectile Damage","Dégâts de Projectile","Projektilschaden","投射物ダメージ","투사체 피해","Dano com Projéteis","Урон от снарядов","Daño de proyectiles","ความเสียหายโพรเจกไทล์","投射物傷害",1,1,1
131,"AnimatedWeaponSpearLunge","Lunge (Spear)","Ruée (Lance)","Sprung (Speer)","突き（槍）","달려들기 (창)","Investida (Lança)","Выпад (Копьё)","Acometida (lanza)","การเสียบ (หอก)","突進(長鋒)",1,1,1
132,"AnimatedWeaponMaceSlam","Slam (Mace)","Fracas (Masse)","Hieb (Streitkolben)","スラム（メイス）","강타 (철퇴)","Pancada (Maça)","Мощный удар (Булава)","Embate (maza)","การทุบ (กระบอง)","重擊(錘)",1,1,1
133,"AnimatedWeaponStaffSpin","Sweep (Quarterstaff)","Balayage (Bâton de combat)","Schwung (Kampfstab)","振り（クォータースタッフ）","휩쓸기 (육척봉)","Varredura (Bastão)","Взмах (Боевой посох)","Barrido (bastón)","การเหวี่ยง (ไม้พลองวรยุทธ์)","橫掃(細杖)",1,1,1
134,"Pustules","Pustules","Pustules","Pusteln","膿疱","농포","Pústulas","Пустулы","Pústulas","ตุ่มพิษ","膿包",1,1,1
135,"Enraged","Enraged","Enragé","Wütend","激怒状態","격앙됨","Enfurecido","Исступление","Enfurecido","เดือดดาล","狂怒",1,1,1
136,"Orb","Orb","Orbe","Sphäre","オーブ","보주","Orbe","Сфера","Orbe","ลูกแก้ว","球體",1,1,1
137,"Eruption","Eruption","Éruption","Eruption","噴出","분출","Erupção","Извержение","Erupción","การปะทุ","爆發",1,1,1
138,"FrozenExplosion","Icy Blast","Explosion glaciale","Eisige Explosion","氷の爆発","얼어붙은 폭발","Explosão Gélida","Ледяной взрыв","Explosión helada","ระเบิดน้ำแข็ง","寒冰爆破",1,1,1
139,"Roots","Roots","Racines","Wurzeln","根","뿌리","Raízes","Корни","Raíces","ราก","扎根",1,1,1
140,"Requiem","Requiem","Requiem","Requiem","レクイエム","진혼곡","Réquiem","Реквием","Réquiem","เพลงสวดศพ","安魂曲",1,1,""
141,"Empowered","Empowered","Amélioré","Ermächtigt","強化","강화","Fortalecido","Усилен","Potenciado","ถูกเสริมฤทธิ์","強化的",1,1,1
142,"Mirage","Mirage","Mirage","Phantom","ミラージュ","신기루","Miragem","Призрак","Espejismo","ร่างเงา","幻影之體",1,1,1
143,"Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade","[DNT] Knife Cascade",1,1,1
144,"Warcry","Warcry","Cri de guerre","Kriegsschrei","ウォークライ","함성","Clamor","Боевой клич","Grito de guerra","คำราม","戰吼",1,1,1
145,"ToxicDomainBloom","Toxic Bloom","Floraison toxique","Giftige Blüte","毒の開花","맹독성 꽃","Esplendor Tóxico","Ядовитые цветы","Florecimiento tóxico","พิษบานสะพรั่ง","劇毒之花",1,1,1
146,"ToxicDomainPustuleExplosion","Pustule Explosion","Explosion de Pustule","Pustelexplosion","膿疱の爆発","농포 폭발","Explosão de Pústula","Взрыв пустул","Explosión de pústulas","ระเบิดตุ่ม","膿包爆炸",1,1,1
147,"IceFragment","Ice Fragment","Fragment de glace","Eisfragment","アイスフラグメント","얼음 파편","Fragmento de Gelo","Кусок льда","Fragmento de hielo","เศษน้ำแข็ง","寒冰碎片",1,1,1
148,"Fissures","Fissures","Fissures","Spalten","亀裂","균열","Fendas","Расселины","Fisuras","รอยแยก","裂縫",1,1,1
149,"TawhoasVengeance","Tawhoa's Vengeance","Vengeance de Tawhoa","Tawhoas Rache","タウホアの復讐","타호아의 복수","Vingança de Tawhoa","Взрыв осколков","Venganza de Tawhoa","ทาฟัวทวงแค้น","塔赫亞的復仇",1,1,1
