"rownum","Id","[rid]_8","Ascendancy","QuestFlag","[rid]_56","ItemClass","[i32]_88","SkillGem","Mtx","bool_128","bool_129","bool_130"
72,"206",[],[],[],[],[],[],[410],"KaruiRhoaMountEffect",1,"",1
73,"254",[],[12],[],[],[],[],[],"ArbiterOfAshWings",1,"",1
74,"262",[],[12],[],[],[],[],[],"DevilTailHipAttachment",1,"",1
75,"265",[],"[36,11,14]",[],[],[],[],[],"SkeletonSkin",1,"",1
76,"268",[1],[],[],[],[],[],[],"WidebrimmedWitchHat",1,"",1
77,"176",[],[16],[],[],[],[],[],"WardensWeaponSkin",1,"",1
78,"271",[],[17],[],[],[],[],[],"VaalChronoSeerWeaponSkin",1,"",1
79,"273",[],[17],[],[],[],[],[],"VaalChronoSeerArmourPackAndSkin",1,"",1
80,"278",[],[35],[],[],[],[],[],"VaalChronoSeerCharacterSkin",1,"",1
81,"279",[],[17],[],[],[],[],[46],"VaalChronoSeerTemporalChainsEffect",1,"",1
82,"280",[],[17],[],[],[],[],[483],"VaalChronoSeerBlinkEffect",1,"",1
83,"272",[],[12],[],[],[],[],[],"MoltenForgemasterArmourPack","","",1
84,"274",[],[12],[],[],[],[],[],"MoltenForgemasterCharacterSkin",1,"",1
85,"97",[],[8],[],[],[],[],"[390,409,392,1056,397]","BlightbornArmourPack",1,"",1
86,"141",[],[8],[],[],[],[],[],"BlightbornBowAndQuiver",1,"",1
87,"100",[],"[12,3,35]",[],[],[],[],[],"AwakenersWeaponEffect",1,"",1
88,"104",[],"[3,22]",[],[],[],[],[],"HallowedKeeperBoots",1,"",1
89,"105",[],[3],[],[],[],[],[],"HallowedKeeperGloves",1,"",1
90,"106",[],[3],[],[],[],[],[],"NethermancerBodyArmour",1,"",1
91,"107",[],"[3,5]",[],[],[17],[],[],"TortureMace",1,"",1
92,"108",[],"[3,4,5,11,14,15,16,24,28,35,36,13,10,34]",[],[],[],[],[],"VanishingDye",1,"",1
93,"109",[],[4],[],[],[],[],[],"CrocoliskCharacterSkin",1,"",1
94,"110",[],[4],[],[],[],[],[],"NethermancerBoots",1,"",1
95,"111",[],[4],[],[],[],[],[],"NethermancerGloves",1,"",1
96,"112",[],[4],[],[],[],[],[],"HallowedKeeperBodyArmour",1,"",1
97,"113",[],[4],[],[],[],[],[],"BreachlordsCrusaderMaceSkin",1,"",1
98,"114",[],[5],[],[],[],[],[],"GhoulhunterBoots",1,"",1
99,"115",[],"[5,22]",[],[],[],[],[],"GhoulhunterGloves",1,"",1
100,"116",[],[6],[],[],[],[],[],"VerdantWeaponSkin",1,"",1
101,"118",[],"[6,35,16]",[],[],[],[],[],"HonourGuardBoots",1,"",1
102,"119",[],[6],[],[],[],[],[],"HonourGuardGloves",1,"",1
103,"120",[],"[6,28,35]",[],[],[],[],[],"HonourGuardBodyArmour",1,"",1
104,"121",[],"[6,10]",[],[],[],[],[],"SunClanRaiderCharacterSkin",1,"",1
105,"123",[],[6],[],[],[],[],[],"SunClanRaiderHelmet",1,"",1
106,"127",[],[6],[],[],[],[],[410],"HonourGuardRhoaMountEffect",1,"",1
107,"128",[],[10],[],[],[],[],[],"SpiritWalkerTattooSkin","","",1
108,"129",[],[10],[],[],[],[],[],"HuntressSpiritWalkerPortalEffect","","",1
109,"133",[],[10],[],[],[],[],[],"SpiritWalkerWeaponSkin","","",1
110,"135",[],"[11,14,15]",[],[],[],[],[],"GoblinWitchdoctorBodyArmour",1,"",1
111,"136",[],"[11,10]",[],[],[],[],[],"GoblinWitchdoctorBoots",1,"",1
112,"137",[],"[11,10]",[],[],[],[],[],"GoblinWitchdoctorGloves",1,"",1
113,"138",[],[11],[],[],[],[],[],"GoblinWitchdoctorBackAttachment",1,"",1
114,"142",[],[16],[],[],[],[],[],"SunClanRaiderBodyArmour",1,"",1
115,"147",[],"[16,24,28,35]",[],[],[],[],[],"VaalChronoSeerGloves",1,"",1
116,"151",[],[17],[],[],[],[],[],"VaalChronoSeerBackAttachment","","",1
117,"144",[],[17],[],[],[],[],[],"TimeDjinnsPortal",1,"",1
118,"154",[],[18],[],[],[],[],[],"DjinnArmourPack",1,"",1
119,"158",[],[18],[],[],[],[],[],"DjinnWeaponSkin",1,"",1
120,"159",[],"[18,5,16,34]",[],[],[],[],[],"DjinnCharacterSkin",1,"",1
121,"160",[],[18],[],[],[],[],[],"ArcaneDjinnsPortal",1,"",1
122,"145",[],[24],[],[],[],[],[],"GhoulhunterBodyArmour",1,"",1
123,"148",[],[24],[],[],[],[],[],"WitchhunterBoots",1,"",1
124,"149",[],"[24,22]",[],[],[],[],[],"WitchhunterCrossbowSkin",1,"",1
125,"152",[],[28],[],[],[],[],[],"DjinnHelmetAttachment",1,"",1
126,"153",[],"[28,34]",[],[],[],[],[],"CrocoliskBoots",1,"",1
127,"150",[],"[13,15]",[],[],[],[],[],"SupporterEliteBloodreaverCharacterSkin","","",1
128,"161",[],[13],[],[],[],[],[],"ImmortalBodyBodyArmour",1,"",1
129,"162",[],[13],[],[],[],[],[],"ImmortalBodyBoots",1,"",1
130,"164",[],[13],[],[],[],[],[],"ImmortalBodyGloves",1,"",1
131,"166",[],[13],[],[],[],[],[],"VampiresWeaponEffect",1,"",1
132,"167",[],[13],[],[],[],[],[],"DjinnGloves",1,"",1
133,"168",[],[15],[],[],[],[],[],"AbyssalFleshwardenBoots",1,"",1
134,"170",[],[15],[],[],[],[],[],"AbyssalFleshwardenGloves",1,"",1
135,"171",[],[14],[],[],[],[],[],"FleshWardenBoots",1,"",1
136,"172",[],[14],[],[],[],[],[],"FleshWardenGloves",1,"",1
137,"173",[],[22],[],[],[],[],[],"WitchhunterBodyArmour",1,"",1
138,"177",[],[16],[],[],[],[],[],"RisingAshCharacterEffect",1,"",1
139,"178",[],"[22,23]",[],[],[],[],[],"VerisiumWeaponEffect",1,"",1
140,"185",[],[10],[],[],[],[],[],"SunClanRaiderSpearSkin",1,"",1
141,"187",[],[10],[],[],[],[],[],"CrocoliskBodyArmour",1,"",1
142,"194",[],[10],[],[],[],[],[],"GhostDogPet",1,"",1
143,"195",[],[34],[],[],[],[],[],"MartialArtistCharacterSkin","","",1
144,"201",[],[34],[],[],[],[],[],"CrocoliskGloves",1,"",1
