"rownum","NPCKey","i32_16","DialogueOption","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[rid]_28","[rid]_44","[rid]_60","Script","QuestFlags1","Category","QuestRewardOffersKey","QuestFlag2","NPCTextAudioKeys","Script2","bool_172","bool_173","[i32]_174","[i32]_190","i32_206","[i32]_210","[i32]_226","bool_242","BaseItemTypes","[i32]_259","bool_275","DialogueOption2","ConsoleQuickAction","Music1","i32_316","[rid]_320","i32_336","Music2","i32_356","QuestFlag3","bool_376","i32_377","row_381","TalkDialogue","bool_405","Ascendancy","bool_422"
10,26,3,"Page 4","Page 4","Seite 4","ページ 4","4장","Página 4","Страница 4","Página 4","หน้าที่ 4","第4頁",[],[],[],"",[],3,"","",[72],"","","",[387],[],387,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
11,26,4,"Page 5","Page 5","Seite 5","ページ 5","5장","Página 5","Страница 5","Página 5","หน้าที่ 5","第5頁",[],[],[],"",[],3,"","",[73],"","","",[388],[],388,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
12,26,5,"Page 6","Page 6","Seite 6","ページ 6","6장","Página 6","Страница 6","Página 6","หน้าที่ 6","第6頁",[],[],[],"",[],3,"","",[74],"","","",[389],[],389,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
13,26,6,"Page 7","Page 7","Seite 7","ページ 7","7장","Página 7","Страница 7","Página 7","หน้าที่ 7","第7頁",[],[],[],"",[],3,"","",[75],"","","",[390],[],390,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
14,26,7,"Page 8","Page 8","Seite 8","ページ 8","8장","Página 8","Страница 8","Página 8","หน้าที่ 8","第8頁",[],[],[],"",[],3,"","",[76],"","","",[391],[],391,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
15,26,8,"Page 9","Page 9","Seite 9","ページ 9","9장","Página 9","Страница 9","Página 9","หน้าที่ 9","第9頁",[],[],[],"",[],3,"","",[77],"","","",[392],[],392,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
16,26,9,"Page 10","Page 10","Seite 10","ページ 10","10장","Página 10","Страница 10","Página 10","หน้าที่ 10","第10頁",[],[],[],"",[],3,"","",[78],"","","",[393],[],393,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
17,26,10,"Page 11","Page 11","Seite 11","ページ 11","11장","Página 11","Страница 11","Página 11","หน้าที่ 11","第11頁",[],[],[],"",[],3,"","",[79],"","","",[394],[],394,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
18,26,11,"Page 12","Page 12","Seite 12","ページ 12","12장","Página 12","Страница 12","Página 12","หน้าที่ 12","第12頁",[],[],[],"",[],3,"","",[80],"","","",[395],[],395,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
19,26,12,"Page 13","Page 13","Seite 13","ページ 13","13장","Página 13","Страница 13","Página 13","หน้าที่ 13","第13頁",[],[],[],"",[],3,"","",[81],"","","",[396],[],396,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
20,26,13,"Page 14","Page 14","Seite 14","ページ 14","14장","Página 14","Страница 14","Página 14","หน้าที่ 14","第14頁",[],[],[],"",[],3,"","",[82],"","","",[397],[],397,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
21,26,14,"Page 15","Page 15","Seite 15","ページ 15","15장","Página 15","Страница 15","Página 15","หน้าที่ 15","第15頁",[],[],[],"",[],3,"","",[83],"","","",[398],[],398,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
22,26,15,"Page 16","Page 16","Seite 16","ページ 16","16장","Página 16","Страница 16","Página 16","หน้าที่ 16","第16頁",[],[],[],"",[],3,"","",[84],"","","",[383],[],383,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
23,163,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[2752],"",[2752],3,"",2752,[10797],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
24,163,1,"The Temple","Le Temple","Der Tempel","寺院","사원","O Templo","Храм","El templo","วิหาร","神殿",[],[],[2753],"",[],3,"",2753,[10798],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
25,163,2,"Chaos","Chaos","Chaos","カオス","혼돈","Caos","Хаос","Caos","เคออส","混沌",[],[],[2754],"",[],3,"",2754,[10799],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
26,163,3,"Refund Passives","Rembourser les Talents","Punkte korrigieren","パッシブを振り直す","패시브 스킬 반환","Restituir Passivas","Сброс умений","Reintegrar pasivas","รับคืนพาสซีฟ","重置天賦點數",[2167],[],[],"triggerer.SendOpenScreen( CharacterPassiveTreeScreen, 1 );\r\ntriggerer.FinishNPCChat();",[],29,"",72,[],"","","",[],[],4833,[],[],"","",[2],"","",4,"",56,[],56,"",0,"","",0,"",[],"",[],""
27,163,4,"Change Ascendancy","Changer d'Ascendance","Aszendenz wechseln","アセンダンシーを変更","전직 변경하기","Alterar Ascendência","Сменить Восхождение","Cambiar de ascendencia","เปลี่ยนคลาสเสริม","變更昇華職業","[4938,1553]",[],[],"triggerer.SendOpenScreen( AscendancyClassSelectorWindow, 2 );\r\ntriggerer.FinishNPCChat();",[],36,"",72,[],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,173,0,"","",0,"",[],"",[],""
28,249,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[934],"",[934],3,"",934,"[7106,7107,7108,7109,7110,7111,7112]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
29,249,1,"Cadiro","Cadiro","Cadiro","カディーロ","카디로","Cadiro","Кадиро","Cadiro","คาดิโร","卡迪羅",[],[],[910],"",[],3,"",910,[7101],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
30,249,2,"Chitus","Chitus","Chitus","チータス","치투스","Chitus","Титус","Chitus","ชิตัส","切斯特",[893],[],[912],"",[],3,"",912,[7104],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
31,249,5,"Niko","Niko","Niko","ニコ","니코","Niko","Нико","Niko","นิโค้","尼科",[],[],[2152],"",[],3,"",2152,[7105],"","","",[],[68],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
32,249,6,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",[],[],[2153],"",[],3,"",2153,[7114],"","","",[],[606],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
33,249,7,"Alva","Alva","Alva","アルヴァ","알바","Alva","Альва","Alva","อัลวา","艾瓦",[],[],[2154],"",[],3,"",2154,[7113],"","","",[],[112],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
34,249,8,"Tane","Tane","Tane","ターネ","테인","Tane","Танэ","Tane","ทาเน","塔恩",[],[],[2155],"",[],3,"",2155,[7115],"","","",[],[660],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
35,249,9,"Jun","Jun","Jun","ジュン","준","Jun","Джун","Jun","จุน","瓊恩",[],[],[2159],"",[],3,"",2159,[7116],"","","",[],[592],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
36,249,10,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",[],[],[2160],"",[],3,"",2160,[7117],"","","",[],[1207],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
37,249,11,"[DNT-UNUSED] Disenchant Items","[DNT-UNUSED] Disenchant Items","[DNT-UNUSED] Disenchant Items","[DNT-UNUSED] Disenchant Items","WIP","[DNT-UNUSED]","[DNT-UNUSED] Disenchant Items","[DNT-UNUSED] Disenchant Items","DNT","WIP",[],[],[],"",[],13,"",72,[],"","","",[],[],4833,[],[],"","",[1],"","",1,"",56,[],56,"",0,"","",0,"",[],"",[],""
38,249,12,"Trade Divination Cards","Troc de Cartes divinatoires","Weissagungskarten eintauschen","占いカードを交換する","점술 카드 거래","Trocar Cartas de Adivinhação","Обменять гадальные карты","Intercambiar cartas de adivinación","แลกไพ่พยากรณ์","交易命運卡",[],[],[],"",[],19,"",72,[],"","","",[],[1163],4833,[],[],"","",[2],"","",0,"",56,[],56,"",0,"","",0,"",[],"",[],""
39,268,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[],"",[],3,"","",[363],"","","","[69,125]",[],125,[112],[125],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
40,268,1,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[],"",[],3,"","",[94],"","","",[69],[112],69,[],[69],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
41,268,2,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",[],[],[],"",[],3,"","",[109],"","","",[70],[],70,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
42,268,3,"The First Ones","Les Premiers","Die Ersten","最初の者たち","최초의 존재","Os Primevos","Первые","Los primeros","ทวยเทพผู้บุกเบิก","初始之靈",[],[],[],"",[],3,"","",[110],"","","",[110],[],110,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
43,268,4,"Trading","Le commerce","Handel","取引","거래","Comércio","Торговля","Comerciar","การซื้อขาย","交易",[],[],[],"",[],3,"","",[112],"","","",[111],[409],111,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
44,268,5,"The Menagerie","La Ménagerie","Die Menagerie","怪獣園","야수관","O Viveiro","Зверинец","El animalario","สวนสัตว์","獸園",[],[],[],"",[],3,"","",[104],"","","",[409],[112],409,[],[409],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
45,268,6,"View Bestiary","Consulter le Bestiaire","Bestiarium anzeigen","ベスティアリーを見る","야수 도감 보기","Ver o Bestiário","Посмотреть Бестиарий","Ver el bestiario","ดูสมุดรวมสัตว์","查看獸獵寓言",[],[],[],"triggerer.SendOpenScreen( BestiaryScreen ); triggerer.FinishNPCChat();",[],6,"",72,[],"","","",[],[],4833,[],[],"","",[1],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
46,268,7,"Visit Menagerie","Visiter la Ménagerie","Menagerie besuchen","怪獣園に行く","야수관 방문하기","Ir ao Viveiro","Посетить зверинец","Visitar el Animalario","ไปยัง สวนสัตว์","前往獸園",[],[],[],"triggerer.OpenMenageriePortal(); triggerer.FinishNPCChat();",[],6,"","",[],"","","",[],[409],1,[],[],"","",[],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
47,268,8,"Saqawal, First of the Sky","Saqawal, le Premier du Ciel","Saqawal, Erster des Himmels","空の始祖、サカワル","하늘의 최초, 사카왈","Saqawal, Primeva dos Céus","Сакаваль, Первый Неба","Saqawal, el Primero de los cielos","ซาคาวอล ผู้บุกเบิกนภา","初始之天．斯卡沃",[],[],[],"",[],3,"","",[114],"","","",[117],[113],117,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
48,268,9,"Farrul, First of the Plains","Farrul, la Première des Plaines","Farrul, Erste des Flachlands","平原の始祖、ファルウル","평야의 최초, 페룰","Farrul, Primeva dos Planos","Фаррул, Первая Равнин","Farrul, la Primera de las planicies","ฟาร์รุล ผู้บุกเบิกที่ราบ","初始之地．費爾羅",[],[],[],"",[],3,"","",[115],"","","",[118],[114],118,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
49,268,10,"Craiceann, First of the Deep","Craïcéann, le Premier des Profondeurs","Craiceann, Erster der Tiefe","深海の始祖、クレイシアン","심해의 최초, 크라칸","Craiceann, Primevo das Profundezas","Краценн, Первый Глубин","Craiceann, el Primero de las profundidades","เครเชียนน์ ผู้บุกเบิกเบื้องลึก","初始之潭．奎爾珊",[],[],[],"",[],3,"","",[116],"","","",[119],[115],119,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
50,268,11,"Fenumus, First of the Night","Fénumus, la Première de la Nuit","Fenumus, Erste der Nacht","夜の始祖、フィヌムス","밤의 최초, 페누무스","Fenumus, Primeva da Noite","Фенума, Первая Ночи","Fenumus, la Primera de la noche","เฟนูมัส ผู้บุกเบิกราตรี","初始之夜．菲恩絲",[],[],[],"",[],3,"","",[117],"","","",[120],[116],120,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
51,269,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[],"",[],3,"","",[94],"","","",[69],[],69,[],[69],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
52,269,1,"Saqawal, First of the Sky","Saqawal, le Premier du Ciel","Saqawal, Erster des Himmels","空の始祖、サカワル","하늘의 최초, 사카왈","Saqawal, Primeva dos Céus","Сакаваль, Первый Неба","Saqawal, el Primero de los cielos","ซาคาวอล ผู้บุกเบิกนภา","初始之天．斯卡沃",[],[],[],"",[],3,"","",[114],"","","",[117],[113],117,[117],[117],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
53,269,2,"Farrul, First of the Plains","Farrul, la Première des Plaines","Farrul, Erste des Flachlands","平原の始祖、ファルウル","평야의 최초, 페룰","Farrul, Primeva dos Planos","Фаррул, Первая Равнин","Farrul, la Primera de las planicies","ฟาร์รุล ผู้บุกเบิกที่ราบ","初始之地．費爾羅",[],[],[],"",[],3,"","",[115],"","","",[118],[114],118,[118],[118],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
54,269,3,"Craiceann, First of the Deep","Craïcéann, le Premier des Profondeurs","Craiceann, Erster der Tiefe","深海の始祖、クレイシアン","심해의 최초, 크라칸","Craiceann, Primevo das Profundezas","Краценн, Первый Глубин","Craiceann, el Primero de las profundidades","เครเชียนน์ ผู้บุกเบิกเบื้องลึก","初始之潭．奎爾珊",[],[],[],"",[],3,"","",[116],"","","",[119],[115],119,[119],[119],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
55,269,4,"Fenumus, First of the Night","Fénumus, la Première de la Nuit","Fenumus, Erste der Nacht","夜の始祖、フィヌムス","밤의 최초, 페누무스","Fenumus, Primeva da Noite","Фенума, Первая Ночи","Fenumus, la Primera de la noche","เฟนูมัส ผู้บุกเบิกราตรี","初始之夜．菲恩絲",[],[],[],"",[],3,"","",[117],"","","",[120],[116],120,[120],[120],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
56,269,5,"The Menagerie","La Ménagerie","Die Menagerie","怪獣園","야수관","O Viveiro","Зверинец","El animalario","สวนสัตว์","獸園",[1935],[],[],"",[],3,"","",[104],"","","",[409],[112],409,[],[409],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
57,269,6,"View Bestiary","Consulter le Bestiaire","Bestiarium anzeigen","ベスティアリーを見る","야수 도감 보기","Ver o Bestiário","Посмотреть Бестиарий","Ver el bestiario","ดูสมุดรวมสัตว์","查看獸獵寓言",[],[],[],"triggerer.SendOpenScreen( BestiaryScreen ); triggerer.FinishNPCChat();",[],6,"",72,[],"","","",[],[],4833,[],[],"","",[1],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
58,269,7,"Visit Menagerie","Visiter la Ménagerie","Menagerie besuchen","怪獣園に行く","야수관 방문하기","Ir ao Viveiro","Посетить зверинец","Visitar el Animalario","ไปยัง สวนสัตว์","前往獸園",[1935],[],[],"triggerer.OpenMenageriePortal(); triggerer.FinishNPCChat();",[],6,"","",[],"","","",[],"[112,409]",1,[],[],"","",[],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
59,270,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[3136],"",[3136],3,"",3136,[7726],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
60,270,1,"The Village","Le Village","Das Dorf","村","마을","A Vila","Деревня","El pueblo","หมู่บ้าน","村莊",[],[],[3133],"",[],3,"",3133,[7728],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
61,270,2,"The Count","Le Comte","Der Graf","伯爵","백작","O Conde","Граф","El conde","เคานต์","伯爵",[],[],[3134],"",[],3,"",3134,[7729],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
62,270,3,"Locals","Locaux","DIe Heimischen","地元民","지역 주민","Nativos","Местные","Locales","คนท้องถิ่น","當地人",[],[],[3135],"",[],3,"",3135,[7730],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
63,270,4,"Hunt for the Crowbell","Chasse au Clochebeau","Jagd nach der Glockenkrähe","クロウベル狩り","까마귀종 사냥","Caçada ao Sinorvo","Охота на Колокольщика","A la caza del cuervo","ตามล่าโครว์เบลล์","獵捕鴉鈴",[],[],[],"SetStateTo( hunt_engaged, 1 );",[],6,"",72,[7727],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
64,272,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","介紹",[],[],[2924],"",[2924],3,"",2924,"[7552,7553]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
65,272,1,"Mercy for the Miller Reward","Miséricorde pour le Meunier (récompense)","Belohnung: Gnade für den Müller","粉屋への慈悲 - 報酬","밀러를 위한 자비 보상","Recompensa de Misericórdia para o Moleiro","Милосердие для мельника (награда)","Recompensa de Misericordia para el molinero","รางวัลเควสต์ เมตตาต่อเจ้าของโรงสี","米勒的憐憫獎勵",[2934],[2936],[2935],"",[2935],7,0,72,[],"","","",[],[],4833,[],[],"","",[],1,"","","",56,[],56,"",0,"",1,0,"",[],"",[],""
66,272,2,"Clearfell","La Clairière","Lichtfall","クリアフェル","클리어펠","Clearfell","Клирфелл","Sierraclara","เคลียร์เฟล","皆伐",[],"[2931,2902]",[3032],"",[],3,"",3032,[7563],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
67,272,3,"Ogham","Ogham","Ogham","オガム","오검","Ogham","Огам","Ogham","อ็อกแฮม","奧格姆",[],[],[3037],"",[],3,"",3037,[7570],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
68,272,4,"Fatherhood","La Paternité","Vaterschaft","父として","부성애","Paternidade","Отцовство","Paternidad","การเป็นพ่อคน","父親的身分",[2891],[],[3039],"",[],3,"",3039,"[7572,7573]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
69,272,5,"The Grelwood","Grelbois","Der Grelwald","グレルウッド","그렐우드","Grelwood","Грельвуд","El bosque singular","ป่าเกรลวูด","葛瑞爾林",[2893],[2902],[3042],"",[],3,"",3042,"[7575,7576]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
70,272,6,"Cemetery of the Eternals","Cimetière des Éternels","Friedhof der Ewigen","永遠なる帝国の墓地","영원한 자의 공동묘지","Cemitério dos Eternos","Кладбище Вечных","Cementerio de los eternos","สุสานนิรันดร์ชน","不朽帝國之墓",[2896],[],[3043],"",[],3,"",3043,[7583],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
71,272,7,"The Hooded One","L'Encapuchonné","Der Verhüllte","フードをかぶった者","두건 쓴 자","O Encapuzado","Скрытный","El encapuchado","ผู้คลุมกาย","黑衣幽魂",[3053],[],[3044],"",[3044],3,"",3044,"[7578,7577]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
72,272,8,"Home","Votre contrée d'origine","Heimat","ホーム","고향","Início","Дом","Hogar","บ้าน","主頁",[3053],[2902],[3046],"",[],3,"",3046,"[7584,7585]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
73,272,9,"Finn","Finn","Finn","フィン","핀","Finn","Финн","Finn","ฟินน์","費恩",[2900],[],[3036],"",[],3,"",3036,[7566],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
74,272,10,"Twisted Animals","Animaux tordus","Verderbtes Wild","歪みし獣","뒤틀린 동물","Animais Distorcidos","Обезумевшие животные","Animales retorcidos","สัตว์ที่ผิดเพี้ยน","扭曲的動物",[2900],[3000],[3045],"",[],3,"",3045,[7574],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
75,272,11,"Una's Music","Musique d'Una","Unas Musik","ウーナの楽曲","우나의 음악","Música de Una","Музыка Уны","La música de Una","เพลงของอูน่า","烏娜的音樂",[2940],[],[3035],"",[],3,"",3035,[7568],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
76,272,12,"The Count","Le Comte","Der Graf","伯爵","백작","O Conde","Граф","El conde","เคานต์","伯爵",[3151],[3000],[3040],"",[],3,"",3040,[7587],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
77,272,13,"The Village","Le Village","Das Dorf","村","마을","A Vila","Деревня","El pueblo","หมู่บ้าน","村莊",[3000],[],[3047],"",[],3,"",3047,[7586],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
78,272,14,"Count Geonor","Comte Géonor","Graf Geonor","ジオノール伯爵","지오너 백작","Conde Geonor","Граф Жеонор","Conde Geonor","เคานต์จีโอนอร์","吉恩諾伯爵",[3000],[],[3041],"",[],3,"",3041,[7590],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
79,272,15,"Onwards","En avant","Vorwärts","前へ","전진","Em Frente","Будущее","Hacia delante","สู่เบื้องหน้า","向前",[3001],[],[3352],"",[3352],3,"",3352,"[7588,7589]","","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"","",0,"",[],"",[],""
80,272,16,"The Devourer","Le Dévoreur","Der Verschlinger","デヴァウラー","포식자","O Devorador","Пожиратель","El devorador","ตัวสวาปาม","吞噬獸",[],[2926],[2925],"",[2925],6,"",2925,[7554],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
81,272,17,"Devourer Slain","Dévoreur tué","Verschlinger erschlagen","デヴァウラーの討伐","포식자 처치","Devorador Morto","Пожиратель (убит)","El devorador derrotado","ตัวสวาปามที่ถูกสังหาร","已擊殺吞噬獸",[2931],[2929],[2926],"",[2926],6,"",72,[7555],"","","",[],[],4833,[],[],"","",[],"","","","",56,[],56,"",0,"",1,0,"",[],"",[],""
