"rownum","Id","TargetCharacter","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OGGFiles","[rid]_48","rid_64","TargetCharacters","i32_96","i32_100","[rid]_104","[rid]_120","[rid]_136","[string]_152","[rid]_168","[rid]_184","[string]_200","[string]_200 (French)","[string]_200 (German)","[string]_200 (Japanese)","[string]_200 (Korean)","[string]_200 (Portuguese)","[string]_200 (Russian)","[string]_200 (Spanish)","[string]_200 (Thai)","[string]_200 (Traditional Chinese)","[string]_216","[string]_216 (French)","[string]_216 (German)","[string]_216 (Japanese)","[string]_216 (Korean)","[string]_216 (Portuguese)","[string]_216 (Russian)","[string]_216 (Spanish)","[string]_216 (Thai)","[string]_216 (Traditional Chinese)","rid_232","string_248"
10,"HuntressDelwynOnSacredWispsA",8,"Think the Spirit's trying to tell us somethin'?","Vous pensez que l'Esprit cherche à nous dire quelque chose ?","Glaubst du, der Geist versucht uns etwas zu sagen?","精霊様が何かを伝えようとしているっていうのかい？","혼백이 우리에게 하고 싶은 말이라도 있는 걸까?","Será que o espírito está tentando nos dizer alguma coisa?","Думаешь, Дух пытается нам что-то сказать?","¿Crees que el Espíritu está intentando decirnos algo?","เจ้าว่าพระวิญญาณพยายามบอกอะไรเราอยู่รึ?","你覺得魂靈正試著告訴我們什麼嗎？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_10_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
11,"HuntressDelwynOnSacredWispsB",8,"I'm here, aren't I? ","Je suis là, après tout. ","Ich bin hier, nicht wahr?","ここにいるだろ？","나 여기 있잖아. 안 보여?","Estou aqui, certo?","Я же здесь, разве нет?","Estoy aquí, ¿no?","ข้าอยู่ที่นี่แล้วไง","我這不是來了嗎？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_10_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
12,"HuntressDelwynOnMapIntroA",8,"Aye. It's me. ","Oui. C'est moi. ","Jawohl. Ich bin's. ","ああ。あたしだ。","맞아. 나야.","É, sou eu.","Да. Это я.","Sí. Soy yo. ","ใช่ นี่ข้าเอง","嗯。是我。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_13_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
13,"HuntressDelwynOnMapIntroB",8,"I wish it were—but I'm glad yer okay. How'd you end up here? ","Je l'aurais souhaité, mais vous allez bien et m'en voilà rassurée. Comment avez-vous fini ici ? ","Ich wünschte, es wäre so, aber ich bin froh, dass es dir gut geht. Wie bist du hier gelandet? ","そうだった方が良かったよ……でも無事で良かった。どうやってここへ来たんだい？","차라리 꿈이었으면 좋겠지만... 당신이 무사하다니 다행이야. 여긴 웬일이야?","Bem que eu queria... mas fico feliz por você estar bem. Como chegou aqui?","Я бы хотела, чтобы это был он – но рада, что ты цел. Как ты здесь оказался?","Me gustaría que fuera así, pero me alegro de que estés bien. ¿Cómo terminaste aquí? ","หากเป็นฝันก็ดีนัก แต่ข้าดีใจที่เจ้ายังอยู่ดี เจ้าอยู่ถิ่นนี้ได้เช่นไร\r\nเล่า?","我希望是──但我很高興你沒事。你怎麼會跑來這裡？","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Conv_13_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
14,"TujenA4_Intro_A","","The name's Tujen. I'm the harbourmaster 'round here. <continue>Welcome to our fair little town. You've a vessel charter, I see?","M'appelle Tujen. J'suis le capitaine de port du coin.<continue>Bienvenue dans notre humble petite ville. Z'avez déjà un bateau affrété à c'que j'vois ?","Mein Name ist Tujen. Ich bin hier der Hafenmeister. \r\n<continue>Willkommen in unserer hübschen kleinen Stadt. Wie ich sehe, seid Ihr also auf der Suche nach einem Schiff?","俺はトゥージェン。ここの港を任されてる。<continue>俺たちの素敵な町へようこそ。傭船契約書を持ってるみてえだな？","난 투젠이라고 해. 이 항구 소장이지. <continue>우리 작지만 멋진 마을에 잘 왔어. 용선 증서를 가지고 있네?","Boas-vindas à nossa humilde vila. Me chamo Tujen, sou o chefe do porto por aqui. <continue>Então você tem uma carta de navegação?","Туджин меня зовут. Я тут начальник порта. <continue>Добро пожаловать в наш славный милый городок. Вижу, у тебя есть судовая грамота?","Soy Tujen. Soy el capitán de este puerto.\r\n<continue>Bienvenido a nuestro lindo pueblito. Tienes un contrato de barco, por lo que veo.","ข้าชื่อทูเจน เป็นนายท่าในแถบนี้<continue>ยินดีต้อนรับสู่เมืองเล็กๆ ของเรานะ ได้สัญญาเช่าเรือมาแล้ว\r\nใช่ไหม?","我名叫圖貞，是這裡的港務長。<continue>歡迎來到這座小鎮。我相信你有帶著一份船隻特許證？","[""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_01_01.ogg"",""Audio/Dialogue/4.0/NPC/Part1/Act4/Tujen/TujenA4_01_02.ogg""]",[447],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
15,"TujenA4_Intro_A_Dex4b",8,"Greetings, Tujen. I'm lookin' for Makoru.","Salut à vous, Tujen. Je cherche Makoru.","Seid gegrüßt, Tujen. Ich suche nach Makoru.","よろしく、トゥージェン。マコルを探してるんだ。","반갑다, 투젠. 나는 마코루를 찾고 있다.","Saudações, Tujen. Tô procurando a Makoru.","Приветствую, Туджин. Я ищу Макору.","Saludos, Tujen. Estoy buscando a Makoru.","สวัสดีทูเจน ข้ามาหามาโครู","你好啊，圖貞。我正在找瑪寇魯。 ","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_01_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
16,"TujenA4_Intro_A_DexInt4b",10,"Yes. I seek Makoru.","Oui, je suis à la recherche de Makoru.","Ja. Ich suche Makoru.","うむ。マコルを探している。","맞다. 마코루를 찾고 있다.","Sim, eu procuro a Makoru.","Да. Я ищу Макору.","Sí. Estoy buscando a Makoru.","ใช่ ข้ากำลังมองหามาโครู","是的。我來找瑪寇魯。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_25.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
17,"TujenA4_Intro_A_Str4b",6,"That's right. I'm looking for Makoru.","Tout à fait. Je suis à la recherche de Makoru.","Das stimmt. Ich suche nach Makoru.","そうだ。マコルを探してるんだ。","그렇다. 나는 마코루를 찾고 있다.","Isso mesmo. Estou procurando a Makoru.","Верно. Я ищу Макору.","Así es. Estoy buscando a makoru.","ใช่ ข้าหามาโครูอยู่","你說的對。我正在找瑪寇魯。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
18,"TujenA4_Intro_A_Int4",1,"Hello, little one! Yes. I'm looking for Makoru.","Salut, petit homme ! En effet, je cherche Makoru.","Hallo, Kleiner! Ja. Ich suche nach Makoru.","こんにちは、おちびさん！ええ、マコルを探してるの。","안녕, 꼬마야! 그래, 나는 마코루를 찾고 있다.","Olá, baixinho! Sim. Estou procurando a Makoru.","А, привет, маленький! Да, я ищу Макору.","¡Hola, pequeño! Sí. Estoy buscando a Makoru.","สวัสดีเจ้าเปี๊ยก! ใช่ ข้าหามาโครูอยู่พอดี","你好啊，小傢伙！是的，我正在找瑪寇魯。 ","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
19,"TujenA4_Intro_A_Int4b",7,"Greetings, Master Tujen. Indeed, I have a charter. I seek Makoru.","Bien le bonjour, maître Tujen. En effet, j'ai une charte. Je cherche Makoru.","Seid gegrüßt, Meister Tujen. Ich habe bereits einen Chartervertrag. Ich suche Makoru.","よろしく、トゥージェン殿。いかにも、傭船契約書がある。マコルを探している。","반갑다, 투젠 소장. 용선 증서는 가지고 있고, 마코루를 찾고 있다.","Saudações, mestre Tujen. De fato, tenho uma carta de navegação. Procuro a Makoru.","Приветствую, мастер Туджин. Я ищу Макору. Нужный документ у меня есть.","Saludos, maestro Tujen, Ciertamente, poseo un contrato. Busco a Makoru.","สวัสดีคุณทูเจน ใช่ ข้าได้สัญญาเช่ามาแล้ว ข้าตามหามาโครู\r\nอยู่","你好啊，圖貞港務長。是的，我有張特許證。我來找瑪寇魯。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
20,"TujenA4_Intro_A_Dex4",2,"Yes. Where can I find Makoru?","Oui. Où puis-je trouver Makoru ?","Ja. Wo finde ich Makoru.","ええ。マコルはどこに行けば会えるの？","그렇다. 마코루는 어디 있지?","Sim. Onde posso encontrar a Makoru?","Да. Скажи, где найти Макору?","Sí. ¿Dónde puedo encontrar a Makoru?","ใช่ มาโครูอยู่ที่ไหน?","是的，我在哪裡可以找到瑪寇魯？","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
21,"TujenA4_Intro_A_StrDex4b",9,"Hey, mate. Yeah... <continue>Know where Makoru is?","Hé, l'ami. Ouais… <continue>Savez où est Makoru ?","Hey, Kumpel. Ja ...\r\n<continue>'Ne Ahnung, wo Makoru ist?","よお。そうだな……<continue>マコルの居場所はわかるか？","안녕. 그래... <continue>마코루가 어디 있는지 아니?","E aí, colega. Aham... <continue>Sabe onde a Makoru está?","Привет, приятель. Ага...<continue>Знаешь, где найти Макору?","Qué tal, amigo. Sí... <continue>¿Sabes dónde está Makoru?","ไงพวก คืองี้นะ...<continue>รู้ไหมว่ามาโครูอยู่ไหน?","嘿，夥計。是啊...<continue>知道瑪寇魯在哪裡嗎？ ","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_01_01.ogg"",""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_01_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
22,"TujenA4_Intro_A_StrInt4b",11,"Aye that's right, wee fella. Where will I find Makoru?","C'est bien ça, mon p'tit gars. Où est-ce que je peux trouver Makoru ?","Aye, das stimmt, Kleiner. Wo kann ich Makoru find'n?","その通りじゃ、ちっこいの。マコルに会うにはどこへ行けばいい？","그래, 조그만 친구. 마코루는 어디서 찾을 수 있지?","Isso mesmo, carinha. Onde posso encontrar a Makoru?","Да, всё так, коротышка. Где я найду Макору?","Así es, hombrecillo. ¿Dónde puedo encontrar a Makoru?","ใช่แล้วเจ้าเปี๊ยก ข้าจะหามาโครูได้ที่ไหนกัน?","嘿，是的，小傢伙。你知道我可以在哪裡找到瑪寇魯嗎？","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_01.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
23,"TujenA4_Intro_A_PostMakoru_Dex4b",8,"Aye. Makoru's had her eyes on it.","Ouais. Ça intéressait particulièrement Makoru.","Aye. Makoru hat einen Blick darauf geworfen.","ああ。マコルには見せたよ。","그럼. 마코루가 증서를 봤다.","Sim. A Makoru tava de olho nisso.","Точно. Макору её уже проверяла.","Sí. Makoru ya lo vio.","ใช่ มาโครูหาสิ่งนี้อยู่","嗯。給瑪寇魯過目了。","[""Audio/Dialogue/4.0/Characters/Dex/Huntress/Huntress_Convo/Huntress_Tujen_Convo_A4_01_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
24,"TujenA4_Intro_A_PostMakoru_DexInt4b",10,"Yes. Makoru is now in my employ.","Oui, Makoru travaille désormais pour moi.","Ja. Makoru arbeitet jetzt für mich.","うむ。マコルは私が雇った。","그래. 마코루는 이제 내가 고용했지.","Sim, a Makoru agora trabalha para mim.","А как же. Макору теперь работает на меня.","Sí. Ahora Makoru trabajará para mí.","ใช่ มาโครูเป็นลูกจ้างข้าแล้ว","是的。瑪寇魯現在被我顧下了。","[""Audio/Dialogue/4.0/Characters/DexInt/Monk/Monk_Convo/Monk_Tujen_Convo_A4_27.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
25,"TujenA4_Intro_A_PostMakoru_Str4b",6,"That's right. <continue>Makoru has accepted the charter.","Exactement. <continue>Makoru a accepté la charte.","Das stimmt. \r\n<continue>Makoru hat den Vertrag akzeptiert.","ああ。<continue>マコルと傭船契約を交わした。","맞아. <continue>마코루가 용선 증서를 인정했다.","É isso mesmo. <continue>A Makoru aceitou a carta de navegação.","Именно. <continue>Макору грамоту приняла.","Es correcto. <continue>Y Makoru ha aceptado dicho contrato.","ถูกแล้ว<continue>มาโครูรับสัญญาเช่าไปแล้ว","沒錯。<continue>瑪寇魯已經接受那份特許證了。","[""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_03_01.ogg"",""Audio/Dialogue/4.0/Characters/Str/Warrior/Warrior_Convo/Warrior_Tujen_Convo_03_02.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
26,"TujenA4_Intro_A_PostMakoru_Int4",1,"Yes, yes. Makoru has seen it.","Oui, oui, Makoru l'a vue.","Ja, ja. Makoru hat ihn gesehen.","ええ、ええ。既にマコルには見せたわ。","그래, 맞다. 마코루가 그걸 보았다.","Sim, sim. A Makoru já viu isso.","Да-да, Макору его видела.","Sí, sí. Makoru lo ha visto.","ใช่สิ มาโครูเห็นสัญญานี่แล้ว","對，對。瑪寇魯看過了。","[""Audio/Dialogue/4.0/Characters/Int/Witch/Witch_Convo/Witch_Convo_TujenA4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
27,"TujenA4_Intro_A_PostMakoru_Int4b",7,"Indeed. Makoru has seen it.","En effet. Makoru l'a vue.","In der Tat. Makoru hat ihn gesehen.","うむ。マコルには見せた。","맞다. 마코루가 그걸 보았다.","De fato. Makoru a viu.","Да, Макору уже в курсе.","Así es. Makoru ya lo ha visto.","จริงแท้ มาโครูเห็นสัญญานี้มาก่อน","沒錯，瑪寇魯已經看過了。","[""Audio/Dialogue/4.0/Characters/Int/Sorceress/Sorceress_Convo/Sorceress_Convo_TujenA4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
28,"TujenA4_Intro_A_PostMakoru_Dex4",2,"Yes. Makoru has seen it.","Oui, Makoru l'a vue.","Ja. Makoru hat ihn gesehen.","ええ。マコルに見せたわ。","그래. 마코루가 그걸 보았다.","Sim. A Makoru já viu isso.","Да, Макору его видела.","Sí. Makoru ya lo ha visto.","ใช่ มาโครูเห็นสัญญานี้แล้ว","是的，瑪寇魯看過了。","[""Audio/Dialogue/4.0/Characters/Dex/Ranger/Ranger_Convo/Ranger_Convo_TujenA4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
29,"TujenA4_Intro_A_PostMakoru_StrDex4b",9,"That's right. Makoru's agreed to work for me.","Exact. Makoru a accepté de bosser pour moi.","Das stimmt. Makoru ist einverstanden, für mich zu arbeiten.","ああ。マコルは俺のために働いてくれることになった。","맞다. 마코루가 나와 일하기로 했지.","Isso mesmo. A Makoru concordou em trabalhar para mim.","Верно. Макору согласилась работать на меня.","Así es. Makoru ha aceptado trabajar para mí.","ใช่แล้ว มาโครูตกลงว่าจะร่วมงานกับข้า","你說的對。瑪寇魯同意在我底下工作。","[""Audio/Dialogue/4.0/Characters/StrDex/Mercenary/Mercenary_Convo/Mercenary_Tujen_Convo_A4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
30,"TujenA4_Intro_A_PostMakoru_StrInt4b",11,"That's right. Makoru's taken the charter.","Tout à fait. Makoru a pris la charte-partie.","Das stimmt. Makoru hat den Vertrag akzeptiert.","うむ。マコルは契約を受けてくれた。","맞아. 마코루가 용선 증서를 받아들였다.","Isso mesmo. Makoru ficou com a carta de navegação.","Верно. Макору забрала грамоту.","Así es. Makoru ha aceptado el contrato.","ใช่ มาโครูรับสัญญาเช่าเรือไปแล้ว","沒錯。瑪寇魯收下特許證了。","[""Audio/Dialogue/4.0/Characters/StrInt/Druid/Druid_Convo/Druid_Tujen_Convo_A4_03.ogg""]",[],"",[],0,100,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"",""
