"rownum","Essence","TargetItemCategory","Mod","DisplayMod","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","OutcomeMods","OutcomeModWeights"
41,16,21,516,"","","","","","","","","","","",[],[]
42,16,22,526,"","","","","","","","","","","",[],[]
43,28,21,518,"","","","","","","","","","","",[],[]
44,28,22,528,"","","","","","","","","","","",[],[]
45,40,21,14468,"","","","","","","","","","","",[],[]
46,40,22,14469,"","","","","","","","","","","",[],[]
47,5,21,533,"","","","","","","","","","","",[],[]
48,5,22,543,"","","","","","","","","","","",[],[]
49,17,21,536,"","","","","","","","","","","",[],[]
50,17,22,546,"","","","","","","","","","","",[],[]
51,29,21,538,"","","","","","","","","","","",[],[]
52,29,22,548,"","","","","","","","","","","",[],[]
53,41,21,14470,"","","","","","","","","","","",[],[]
54,41,22,14471,"","","","","","","","","","","",[],[]
55,6,21,553,"","","","","","","","","","","",[],[]
56,6,22,563,"","","","","","","","","","","",[],[]
57,18,21,556,"","","","","","","","","","","",[],[]
58,18,22,566,"","","","","","","","","","","",[],[]
59,30,21,558,"","","","","","","","","","","",[],[]
60,30,22,568,"","","","","","","","","","","",[],[]
61,42,21,14472,"","","","","","","","","","","",[],[]
62,42,22,14473,"","","","","","","","","","","",[],[]
63,7,10,72,"","","","","","","","","","","",[],[]
64,19,10,73,"","","","","","","","","","","",[],[]
65,31,10,75,"","","","","","","","","","","",[],[]
66,43,7,14477,"","","","","","","","","","","",[],[]
67,8,1,1008,"","","","","","","","","","","",[],[]
68,20,1,1010,"","","","","","","","","","","",[],[]
69,32,27,"",1003,"","","","","","","","","","","[1012,1003]",[]
70,44,21,14478,"","","","","","","","","","","",[],[]
71,44,22,14479,"","","","","","","","","","","",[],[]
72,9,23,635,"","","","","","","","","","","",[],[]
73,9,18,643,"","","","","","","","","","","",[],[]
74,21,23,637,"","","","","","","","","","","",[],[]
75,21,18,645,"","","","","","","","","","","",[],[]
76,33,23,639,"","","","","","","","","","","",[],[]
77,33,18,647,"","","","","","","","","","","",[],[]
78,45,40,14480,"","","","","","","","","","","",[],[]
79,45,18,14481,"","","","","","","","","","","",[],[]
80,10,20,962,"","","","","","","","","","","",[],[]
81,10,26,961,"","","","","","","","","","","",[],[]
82,22,20,964,"","","","","","","","","","","",[],[]
83,22,26,962,"","","","","","","","","","","",[],[]
84,34,20,966,"","","","","","","","","","","",[],[]
85,34,26,963,"","","","","","","","","","","",[],[]
86,46,1,14482,"","","","","","","","","","","",[],[]
87,11,0,"",14449,"","","","","","","","","","","[1,10,19]",[]
88,23,0,"",14450,"","","","","","","","","","","[3,12,21]",[]
89,35,0,"",14451,"","","","","","","","","","","[5,14,23]",[]
90,47,9,"",14453,"","","","","","","","","","","[14485,14486,14487]","[50,50,50]"
91,52,1,1031,"","","","","","","","","","","",[],[]
92,52,23,1037,"","","","","","","","","","","",[],[]
93,52,18,1043,"","","","","","","","","","","",[],[]
94,53,1,1032,"","","","","","","","","","","",[],[]
95,53,23,1038,"","","","","","","","","","","",[],[]
96,53,18,1044,"","","","","","","","","","","",[],[]
97,54,1,1033,"","","","","","","","","","","",[],[]
98,54,23,1039,"","","","","","","","","","","",[],[]
99,54,18,1045,"","","","","","","","","","","",[],[]
100,55,7,14488,"","","","","","","","","","","",[],[]
101,58,10,37,"","","","","","","","","","","",[],[]
102,59,10,39,"","","","","","","","","","","",[],[]
103,60,10,41,"","","","","","","","","","","",[],[]
104,61,8,14474,"","","","","","","","","","","",[],[]
105,62,10,45,"","","","","","","","","","","",[],[]
106,63,10,47,"","","","","","","","","","","",[],[]
107,64,10,49,"","","","","","","","","","","",[],[]
108,65,30,14475,"","","","","","","","","","","",[],[]
109,66,10,53,"","","","","","","","","","","",[],[]
110,67,10,55,"","","","","","","","","","","",[],[]
111,68,10,57,"","","","","","","","","","","",[],[]
112,69,37,14476,"","","","","","","","","","","",[],[]
113,70,23,973,"","","","","","","","","","","",[],[]
114,70,18,980,"","","","","","","","","","","",[],[]
115,71,23,974,"","","","","","","","","","","",[],[]
116,71,18,981,"","","","","","","","","","","",[],[]
117,72,23,976,"","","","","","","","","","","",[],[]
118,72,18,983,"","","","","","","","","","","",[],[]
119,73,23,14483,"","","","","","","","","","","",[],[]
120,73,18,14484,"","","","","","","","","","","",[],[]
121,74,5,1110,"","","","","","","","","","","",[],[]
122,75,5,1111,"","","","","","","","","","","",[],[]
123,76,5,1112,"","","","","","","","","","","",[],[]
124,77,37,14489,"","","","","","","","","","","",[],[]
125,78,35,626,"","","","","","","","","","","",[],[]
126,79,35,628,"","","","","","","","","","","",[],[]
127,80,35,630,"","","","","","","","","","","",[],[]
128,81,35,14490,"","","","","","","","","","","",[],[]
129,57,12,4585,"","","","","","","","","","","",[],[]
130,82,36,15590,"","","","","","","","","","","",[],[]
131,82,9,15592,"","","","","","","","","","","",[],[]
132,82,8,15591,"","","","","","","","","","","",[],[]
133,83,18,15595,"","","","","","","","","","","",[],[]
134,83,40,15594,"","","","","","","","","","","",[],[]
135,83,35,15596,"","","","","","","","","","","",[],[]
136,83,37,15597,"","","","","","","","","","","",[],[]
137,84,8,15598,"","","","","","","","","","","",[],[]
138,84,43,15601,"","","","","","","","","","","",[],[]
139,84,38,15593,"","","","","","","","","","","",[],[]
140,85,37,15602,"","","","","","","","","","","",[],[]
141,85,7,15603,"","","","","","","","","","","",[],[]
142,85,30,15604,"","","","","","","","","","","",[],[]
143,85,28,15605,"","","","","","","","","","","",[],[]
144,86,37,15606,"","","","","","","","","","","",[],[]
145,86,36,15607,"","","","","","","","","","","",[],[]
146,86,8,15608,"","","","","","","","","","","",[],[]
147,86,41,15609,"","","","","","","","","","","",[],[]
148,87,7,15610,"","","","","","","","","","","",[],[]
149,87,28,15611,"","","","","","","","","","","",[],[]
150,87,37,15612,"","","","","","","","","","","",[],[]
151,87,30,15613,"","","","","","","","","","","",[],[]
152,88,37,15614,"","","","","","","","","","","",[],[]
153,88,1,15615,"","","","","","","","","","","",[],[]
154,88,29,15616,"","","","","","","","","","","",[],[]
155,88,35,15617,"","","","","","","","","","","",[],[]
156,89,30,15618,"","","","","","","","","","","",[],[]
157,89,37,15619,"","","","","","","","","","","",[],[]
158,89,28,15620,"","","","","","","","","","","",[],[]
159,89,32,15621,"","","","","","","","","","","",[],[]
160,89,3,15622,"","","","","","","","","","","",[],[]
161,90,43,15623,"","","","","","","","","","","",[],[]
162,90,2,15599,"","","","","","","","","","","",[],[]
163,90,4,15624,"","","","","","","","","","","",[],[]
164,91,42,15625,"","","","","","","","","","","",[],[]
165,91,1,15626,"","","","","","","","","","","",[],[]
166,92,18,15628,"","","","","","","","","","","",[],[]
167,92,23,15629,"","","","","","","","","","","",[],[]
168,92,1,15630,"","","","","","","","","","","",[],[]
169,93,18,15632,"","","","","","","","","","","",[],[]
170,93,40,15633,"","","","","","","","","","","",[],[]
171,94,44,15634,"","","","","","","","","","","",[],[]
172,94,45,15635,"","","","","","","","","","","",[],[]
173,93,35,15636,"","","","","","","","","","","",[],[]
174,94,46,15637,"","","","","","","","","","","",[],[]
175,93,47,15638,"","","","","","","","","","","",[],[]
176,94,48,15639,"","","","","","","","","","","",[],[]
177,93,49,15640,"","","","","","","","","","","",[],[]
