"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","rid","rid"
13,"Metadata/Items/Currency/CurrencyConvertToNormal",30,1,1,"Orb of Scouring","Metadata/Items/Currency/StackableCurrency",12,"",[],1,518,[],36,1,14,2131686967,"[148,8334]","","","",[],[],"","","","","","","",[],"",""
14,"Metadata/Items/Currency/CurrencyAddModToRare",30,1,1,"Exalted Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,517,[],36,1,16,-1068542423,[],"","","",[],[],"","","","","","","",[],"",""
15,"Metadata/Items/Currency/CurrencyUpgradeMagicToRare",30,1,1,"Regal Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,524,[],36,1,17,-658682019,[9207],"","","",[],[],"","","","","","","",[],"",""
16,"Metadata/Items/Currency/CurrencyAddModToMagic",30,1,1,"Orb of Augmentation","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,18,-172267806,[],"","","",[],[],"","","","","","","",[],"",""
17,"Metadata/Items/Currency/CurrencyPortal",30,1,1,"Portal Scroll","Metadata/Items/Currency/StackableCurrency",2,"",[],1,27,[],36,1,19,1328218349,[],"","","",[],[],"","","","","","","",[],"",""
18,"Metadata/Items/Currency/CurrencyFlaskQuality",30,1,1,"Glassblower's Bauble","Metadata/Items/Currency/StackableCurrency",12,"",[],1,723,[348],36,1,20,-579550017,[7079],"","","",[],[],"","","","","","","",[],"",""
19,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Metadata/Items/Currency/StackableCurrency",12,"",[],1,513,[348],36,1,21,128553707,[7566],"","","",[],[],"","","","","","","",[],"",""
20,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,724,[],36,1,31,471734571,[8717],"","","",[],[],"","","","","","","",[],"",""
21,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],36,1,32,-954468979,[9009],"","","",[],[],"","","","","","","",[],"",""
22,"Metadata/Items/Currency/CurrencyAddSkillGemSocket3",30,1,1,"Lesser Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",25,"",[],1,510,[1110],36,1,33,-220585431,"[7815,8947]","","","",[],[],"","","","","","","",[],"",""
23,"Metadata/Items/Currency/CurrencyAddSkillGemSocket4",30,1,1,"Greater Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",45,"",[],1,511,[1110],36,0,34,1357587227,[],"","","",[],[],"","","","","","","",[],"",""
24,"Metadata/Items/Currency/CurrencyAddSkillGemSocket5",30,1,1,"Perfect Jeweller's Orb","Metadata/Items/Currency/StackableCurrency",65,"",[],1,512,"[1110,1111]",36,0,35,-58507528,[],"","","",[],[],"","","","","","","",[],"",""
25,"Metadata/Items/Currency/CurrencyAddEquipmentSocket",30,1,1,"Artificer's Orb","Metadata/Items/Currency/StackableCurrency",5,"",[],1,34,[1110],36,0,36,-1962075321,[],"","","",[],[],"","","","","","","",[],"",""
26,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],36,1,37,-2147189507,[8140],"","","",[],[],"","","","","","","",[],"",""
27,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],36,1,38,764311090,[],"","","",[],[],"","","","","","","",[],"",""
28,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],36,1,39,1784206883,[],"","","",[],[],"","","","","","","",[],"",""
29,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],36,1,6,-601787753,[7318],"","","",[],[],"","","","","","","",[],"",""
30,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],36,0,26,1594034883,[],"","","",[],[],"","","","","","","",[],"",""
31,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],36,0,28,1280989466,[],"","","",[],[],"","","","","","","",[],"",""
32,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],36,0,29,216495198,[],"","","",[],[],"","","","","","","",[],"",""
33,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],36,0,30,-1225932478,[],"","","",[],[],"","","","","","","",[],"",""
34,"Metadata/Items/Currency/CurrencyUpgradeRandomlyShard",30,1,1,"Chance Shard","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],36,0,27,-214853539,[],"","","",[],[],"","","","","","","",[],"",""
35,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],36,0,40,2003183108,[],"","","",[],[],"","","","","","","",[],"",""
36,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],36,0,41,1639118317,[],"","","",[],[],"","","","","","","",[],"",""
37,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,42,-1778209926,[],"","","",[],[],"","","","","","","",[],"",""
38,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",35,"",[],1,515,[],36,1,43,118945160,[],"","","",[],[],"","","","","","","",[],"",""
39,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,47,-373756366,[],"","","",[],[],"","","","","","","",[],"",""
40,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,48,770737543,[],"","","",[],[],"","","","","","","",[],"",""
41,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,49,-350425493,[],"","","",[],[],"","","","","","","",[],"",""
42,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],36,0,50,869188640,[],"","","",[],[],"","","","",1,"","",[],"",""
43,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],36,0,51,-1627937231,[],"","","",[],[],"","","","","","","",[],"",""
44,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,52,1684876054,[],"","","",[],[],"","","","","","","",[],"",""
45,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],36,1,53,-642231840,[],"","","",[],[],"","","","","","","",[],"",""
46,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,54,1322399661,[],"","","",[],[],"","","","","","","",[],"",""
47,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],36,1,55,-35579070,[],"","","",[],[],"","","","","","","",[],"",""
48,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,56,1338342621,[],"","","",[],[],"","","","","","","",[],"",""
49,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,57,952467265,[],"","","",[],[],"","","","","","","",[],"",""
50,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,58,-758415450,[],"","","",[],[],"","","","","","","",[],"",""
51,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,59,1432765449,[],"","","",[],[],"","","","","","","",[],"",""
52,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,60,1575994632,[],"","","",[],[],"","","","","","","",[],"",""
53,"Metadata/Items/Currency/CurrencyEssenceLife",30,1,1,"Essence of the Body","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11982,606369470,[],"","","",[],[],"","","","","",42,"",[],"",""
54,"Metadata/Items/Currency/CurrencyEssenceMana",30,1,1,"Essence of the Mind","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11983,1860412592,[],"","","",[],[],"","","","","",42,"",[],"",""
55,"Metadata/Items/Currency/CurrencyEssenceDefences",30,1,1,"Essence of Enhancement","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11984,-680445052,[],"","","",[],[],"","","","","",42,"",[],"",""
56,"Metadata/Items/Currency/CurrencyEssencePhysical",30,1,1,"Essence of Torment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11985,371926669,[],"","","",[],[],"","","","","",42,"",[],"",""
57,"Metadata/Items/Currency/CurrencyEssenceFire",30,1,1,"Essence of Flames","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11986,-1469932049,[],"","","",[],[],"","","","","",42,"",[],"",""
58,"Metadata/Items/Currency/CurrencyEssenceCold",30,1,1,"Essence of Ice","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11987,558387611,[],"","","",[],[],"","","","","",42,"",[],"",""
59,"Metadata/Items/Currency/CurrencyEssenceLightning",30,1,1,"Essence of Electricity","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11988,-77532113,[],"","","",[],[],"","","","","",42,"",[],"",""
60,"Metadata/Items/Currency/CurrencyEssenceChaos",30,1,1,"Essence of Ruin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11989,-1006259903,[],"","","",[],[],"","","","","",42,"",[],"",""
61,"Metadata/Items/Currency/CurrencyEssenceAttack",30,1,1,"Essence of Battle","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11990,-775141945,[],"","","",[],[],"","","","","",42,"",[],"",""
62,"Metadata/Items/Currency/CurrencyEssenceCaster",30,1,1,"Essence of Sorcery","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11991,-2086692883,[],"","","",[],[],"","","","","",42,"",[],"",""
63,"Metadata/Items/Currency/CurrencyEssenceSpeed",30,1,1,"Essence of Haste","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11992,1505875072,[],"","","",[],[],"","","","","",42,"",[],"",""
64,"Metadata/Items/Currency/CurrencyEssenceAttribute",30,1,1,"Essence of the Infinite","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11993,-1856166571,[],"","","",[],[],"","","","","",42,"",[],"",""
65,"Metadata/Items/Currency/CurrencyGreaterEssenceLife",30,1,1,"Greater Essence of the Body","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11994,-1221514573,[],"","","",[],[],"","","","","","","",[],"",""
66,"Metadata/Items/Currency/CurrencyGreaterEssenceMana",30,1,1,"Greater Essence of the Mind","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11995,394938549,[],"","","",[],[],"","","","","","","",[],"",""
67,"Metadata/Items/Currency/CurrencyGreaterEssenceDefences",30,1,1,"Greater Essence of Enhancement","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11996,2074231179,[],"","","",[],[],"","","","","","","",[],"",""
68,"Metadata/Items/Currency/CurrencyGreaterEssencePhysical",30,1,1,"Greater Essence of Torment","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11997,577438355,[],"","","",[],[],"","","","","","","",[],"",""
69,"Metadata/Items/Currency/CurrencyGreaterEssenceFire",30,1,1,"Greater Essence of Flames","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11998,-122058062,[],"","","",[],[],"","","","","","","",[],"",""
70,"Metadata/Items/Currency/CurrencyGreaterEssenceCold",30,1,1,"Greater Essence of Ice","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,11999,-707892653,[],"","","",[],[],"","","","","","","",[],"",""
71,"Metadata/Items/Currency/CurrencyGreaterEssenceLightning",30,1,1,"Greater Essence of Electricity","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,12000,1764598813,[],"","","",[],[],"","","","","","","",[],"",""
72,"Metadata/Items/Currency/CurrencyGreaterEssenceChaos",30,1,1,"Greater Essence of Ruin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,12001,-603919414,[],"","","",[],[],"","","","","","","",[],"",""
73,"Metadata/Items/Currency/CurrencyGreaterEssenceAttack",30,1,1,"Greater Essence of Battle","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,12002,122023020,[],"","","",[],[],"","","","","","","",[],"",""
74,"Metadata/Items/Currency/CurrencyGreaterEssenceCaster",30,1,1,"Greater Essence of Sorcery","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,12003,-888716293,[],"","","",[],[],"","","","","","","",[],"",""
75,"Metadata/Items/Currency/CurrencyGreaterEssenceSpeed",30,1,1,"Greater Essence of Haste","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,12004,890988114,[],"","","",[],[],"","","","","","","",[],"",""
76,"Metadata/Items/Currency/CurrencyGreaterEssenceAttribute",30,1,1,"Greater Essence of the Infinite","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],36,1,12005,1170564337,[],"","","",[],[],"","","","","","","",[],"",""
77,"Metadata/Items/Currency/CurrencyAddAtlasMod",30,1,1,"Simple Sextant","Metadata/Items/Currency/StackableCurrency",68,"",[],1,34,"[70,616]",36,0,12008,-1612288497,[],"","","",[],[],79,"","","","","","",[],"",""
78,"Metadata/Items/Currency/CurrencyAddAtlasModMid",30,1,1,"Prime Sextant","Metadata/Items/Currency/StackableCurrency",73,"",[],1,34,"[70,616]",36,0,12009,1119070842,[7320],"","","",[],[],79,"","","","","","",[],"",""
79,"Metadata/Items/Currency/CurrencyAddAtlasModHigh",30,1,1,"Awakened Sextant","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,"[70,616]",36,1,12010,2064612145,[7320],"","","",[],[],"","","","","","","",[],"",""
80,"Metadata/Items/Currency/CurrencyAddAtlasModMaven",30,1,1,"Elevated Sextant","Metadata/Items/Currency/StackableCurrency",83,"",[],1,34,"[70,616]",36,1,12011,-379771748,[],"","","",[],[],"",1,"","","","","",[],"",""
81,"Metadata/Items/Currency/CurrencySealMapLow",30,1,1,"Apprentice Cartographer's Seal","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,12032,-1985734643,[],"","","",[],[],"","","","","","","",[],"",""
82,"Metadata/Items/Currency/CurrencySealMapMid",30,1,1,"Journeyman Cartographer's Seal","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,12033,385790233,[],"","","",[],[],"","","","","","","",[],"",""
83,"Metadata/Items/Currency/CurrencySealMapHigh",30,1,1,"Master Cartographer's Seal","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,0,12034,702360988,[],"","","",[],[],"","","","","","","",[],"",""
84,"Metadata/Items/Currency/CurrencyRespecShapersOrb",30,1,1,"Unshaping Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,84,-1248033172,[],"","","",[],[],"","","","","","","",[],"",""
85,"Metadata/Items/Currency/CurrencyBreachShard",30,1,1,"Breach Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],36,1,90,696320279,[],"","","",[],[],"","","","","","","",[],"",""
86,"Metadata/Items/Currency/CurrencyBreachFireShard",30,1,1,"Splinter of Xoph","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],36,1,85,1990798296,[],"","","",[],[],"","","","","","","",[],"",""
87,"Metadata/Items/Currency/CurrencyBreachColdShard",30,1,1,"Splinter of Tul","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],36,1,86,82596217,[],"","","",[],[],"","","","","","","",[],"",""
88,"Metadata/Items/Currency/CurrencyBreachLightningShard",30,1,1,"Splinter of Esh","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],36,1,87,-1467398811,[],"","","",[],[],"","","","","","","",[],"",""
89,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",30,1,1,"Splinter of Uul-Netol","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],36,1,88,-1485214970,[],"","","",[],[],"","","","","","","",[],"",""
90,"Metadata/Items/Currency/CurrencyBreachChaosShard",30,1,1,"Splinter of Chayula","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[202],36,1,89,1862256734,[],"","","",[],[],"","","","","","","",[],"",""
91,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueFire",30,1,1,"Blessing of Xoph","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],36,1,91,-1497360724,[],"","","",[],[],"",1,"","","","","",[],"",""
92,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueCold",30,1,1,"Blessing of Tul","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],36,1,92,-473126873,[],"","","",[],[],"",1,"","","","","",[],"",""
93,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueLightning",30,1,1,"Blessing of Esh","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],36,1,93,-796395637,[],"","","",[],[],"",1,"","","","","",[],"",""
94,"Metadata/Items/Currency/CurrencyBreachUpgradeUniquePhysical",30,1,1,"Blessing of Uul-Netol","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],36,1,94,1922475844,[],"","","",[],[],"",1,"","","","","",[],"",""
95,"Metadata/Items/Currency/CurrencyBreachUpgradeUniqueChaos",30,1,1,"Blessing of Chayula","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[440],36,1,95,-1297711803,[],"","","",[],[],"",1,"","","","","",[],"",""
96,"Metadata/Items/Currency/CurrencyLegionKaruiShard",30,1,1,"Timeless Karui Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],36,1,96,-930594287,[],"","","",[],[],"","","","","","","",[],"",""
97,"Metadata/Items/Currency/CurrencyLegionMarakethShard",30,1,1,"Timeless Maraketh Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],36,1,97,-979183247,[],"","","",[],[],"","","","","","","",[],"",""
98,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",30,1,1,"Timeless Eternal Empire Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],36,1,98,-1085009195,[],"","","",[],[],"","","","","","","",[],"",""
99,"Metadata/Items/Currency/CurrencyLegionTemplarShard",30,1,1,"Timeless Templar Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],36,1,99,-290236543,[],"","","",[],[],"","","","","","","",[],"",""
100,"Metadata/Items/Currency/CurrencyLegionVaalShard",30,1,1,"Timeless Vaal Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[455],36,1,100,-390923639,[],"","","",[],[],"","","","","","","",[],"",""
101,"Metadata/Items/Currency/CurrencyAfflictionShard",30,1,1,"Simulacrum Splinter","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[613],36,1,101,755297388,[],"","","",[],[],"","","","","","","",[],"",""
102,"Metadata/Items/Currency/CurrencyRemoveMod",30,1,1,"Orb of Annulment","Metadata/Items/Currency/StackableCurrency",35,"",[],1,516,[],36,1,102,-1213636056,[],"","","",[],[],"","","","","","","",[],"",""
103,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSockets",30,1,1,"Orb of Binding","Metadata/Items/Currency/StackableCurrency",25,"",[],1,34,[],36,1,103,-83247260,[],"","","",[],[],"","","","","","","",[],"",""
104,"Metadata/Items/Currency/CurrencyRerollMapType",30,1,1,"Orb of Horizons","Metadata/Items/Currency/StackableCurrency",68,"",[],1,34,[],36,1,104,-874118445,[],"","","",[],[],"","","","","","","",[],"",""
105,"Metadata/Items/Currency/CurrencyUpgradeMapTier",30,1,1,"Harbinger's Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,105,-82741359,[],"","","",[],[],"","","","","","","",[],"",""
106,"Metadata/Items/Currency/CurrencyStrongboxQuality",30,1,1,"Engineer's Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,106,838636496,[],"","","",[],[],"","","","","","","",[],"",""
107,"Metadata/Items/Currency/CurrencyStrongboxQualityInfused",30,1,1,"Infused Engineer's Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,2,107,-1843119296,[],"","","",[],[],"","","","","","","",[],"",""
108,"Metadata/Items/Currency/CurrencyRerollUnique",30,1,1,"Ancient Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,108,-1064739039,[],"","","",[],[],"","","","","","","",[],"",""
109,"Metadata/Items/Currency/CurrencyFractureRare",30,1,1,"Fracturing Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],36,1,109,-1207746870,[],"","","",[],[],"","","","","","","",[],"",""
110,"Metadata/Items/Currency/CurrencyRemoveModShard",30,1,1,"Annulment Shard","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[231],36,1,110,-258985152,[],"","","",[],[],"","","","","","","",[],"",""
111,"Metadata/Items/Currency/CurrencyUpgradeToRareAndSetSocketsShard",30,1,1,"Binding Shard","Metadata/Items/Currency/StackableCurrency",25,"",[],1,34,[231],36,1,111,-1360627955,[],"","","",[],[],"","","","","","","",[],"",""
112,"Metadata/Items/Currency/CurrencyRerollMapTypeShard",30,1,1,"Horizon Shard","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[231],36,1,112,522826314,[],"","","",[],[],"","","","","","","",[],"",""
113,"Metadata/Items/Currency/CurrencyUpgradeMapTierShard",30,1,1,"Harbinger's Shard","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,"[231,232]",36,1,113,-558699116,[],"","","",[],[],"","","","","","","",[],"",""
114,"Metadata/Items/Currency/CurrencyStrongboxQualityShard",30,1,1,"Engineer's Shard","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[231],36,1,114,-545554861,[],"","","",[],[],"","","","","","","",[],"",""
115,"Metadata/Items/Currency/CurrencyRerollUniqueShard",30,1,1,"Ancient Shard","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[231],36,1,115,-1817950033,[],"","","",[],[],"","","","","","","",[],"",""
116,"Metadata/Items/Currency/CurrencyRerollRareShard",30,1,1,"Chaos Shard","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[231],36,1,116,-703442496,[],"","","",[],[],"","","","","","","",[],"",""
