"rownum","Id","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","string","i32","[rid]","i32","i32","rid","rid","i32","i32","i32","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","[string]","bool","i32","i32","i32","i32","i32","i16","bool"
10,"Dexterity2",28131629,720896,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,57671680,0,131072,65536,0,59375616,0,589824,786432,0,0,0,0,0,0,0,0,60424192,4849664,0,0,0,60424192,0,0,0,60424192,60424192,0,4849664,0,0,0,60424192,0,0,0,60424192,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,60424192,60424192,60424192,4849664,0,0,0,60424192,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,139741561,[],"",0,0,-1442840576,3,50331648,0,""
11,"Dexterity3",28125018,1441792,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,63045632,0,131072,65536,0,64618496,0,851968,1048576,0,0,0,0,0,0,0,0,65667072,4849664,0,0,0,65667072,0,0,0,65667072,65667072,0,4849664,0,0,0,65667072,0,0,0,65667072,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,65667072,65667072,65667072,4849664,0,0,0,65667072,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,186526788,[],"",0,0,-100663296,3,50331648,0,""
12,"Dexterity4",28165854,2162688,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,68288512,0,131072,65536,0,70254592,0,1114112,1310720,0,0,0,0,0,0,0,0,71303168,4849664,0,0,0,71303168,0,0,0,71303168,71303168,0,4849664,0,0,0,71303168,0,0,0,71303168,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,71303168,71303168,71303168,4849664,0,0,0,71303168,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,114212880,[],"",0,0,1342177280,4,50331648,0,""
13,"Dexterity5",28171257,2883584,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,73924608,0,131072,65536,0,76021760,0,1376256,1572864,0,0,0,0,0,0,0,0,77070336,4849664,0,0,0,77070336,0,0,0,77070336,77070336,0,4849664,0,0,0,77070336,0,0,0,77070336,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,77070336,77070336,77070336,4849664,0,0,0,77070336,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1283495801,[],"",0,0,-1476395008,4,50331648,0,""
14,"Dexterity6",28120922,3604480,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,79691776,0,131072,65536,0,81788928,0,1638400,1769472,0,0,0,0,0,0,0,0,82837504,4849664,0,0,0,82837504,0,0,0,82837504,82837504,0,4849664,0,0,0,82837504,0,0,0,82837504,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,82837504,82837504,82837504,4849664,0,0,0,82837504,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-305005941,[],"",0,0,0,5,50331648,0,""
15,"Dexterity7",28130702,4325376,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,85458944,0,131072,65536,0,87425024,0,1835008,1966080,0,0,0,0,0,0,0,0,88473600,4849664,0,0,0,88473600,0,0,0,88473600,88473600,0,4849664,0,0,0,88473600,0,0,0,88473600,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,88473600,88473600,88473600,4849664,0,0,0,88473600,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,116669306,[],"",0,0,1442840576,5,50331648,0,""
16,"Dexterity8",28174045,4849664,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,91095040,0,131072,65536,0,93192192,0,2031616,2162688,0,0,0,0,0,0,0,0,94240768,4849664,0,0,0,94240768,0,0,0,94240768,94240768,0,4849664,0,0,0,94240768,0,0,0,94240768,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,94240768,94240768,94240768,4849664,0,0,0,94240768,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2085132949,[],"",0,0,-1375731712,5,50331648,0,""
17,"Dexterity9",28156499,5308416,37158912,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,96862208,0,131072,65536,0,98566144,0,2228224,2359296,0,0,0,0,0,0,0,0,99614720,4849664,0,0,0,99614720,0,0,0,99614720,99614720,0,4849664,0,0,0,99614720,0,0,0,99614720,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,99614720,99614720,99614720,4849664,0,0,0,99614720,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1940247030,[],"",0,0,0,6,50331648,0,""
18,"Intelligence1",28382104,65536,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,102629376,0,131072,65536,0,104464384,0,327680,524288,0,0,0,0,0,0,0,0,105512960,4849664,0,0,0,105512960,0,0,0,105512960,105512960,0,4849664,0,0,0,105512960,0,0,0,105512960,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,105512960,105512960,105512960,4849664,0,0,0,105512960,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1853259247,[],"",0,0,1509949440,6,50331648,0,""
19,"Intelligence2",28422733,720896,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,108527616,0,131072,65536,0,110624768,0,589824,786432,0,0,0,0,0,0,0,0,111673344,4849664,0,0,0,111673344,0,0,0,111673344,111673344,0,4849664,0,0,0,111673344,0,0,0,111673344,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,111673344,111673344,111673344,4849664,0,0,0,111673344,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2079902133,[],"",0,0,-1207959552,6,50331648,0,""
20,"Intelligence3",28421761,1441792,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,114688000,0,131072,65536,0,116785152,0,851968,1048576,0,0,0,0,0,0,0,0,117833728,4849664,0,0,0,117833728,0,0,0,117833728,117833728,0,4849664,0,0,0,117833728,0,0,0,117833728,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,117833728,117833728,117833728,4849664,0,0,0,117833728,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1776535394,[],"",0,0,369098752,7,50331648,0,""
21,"Intelligence4",28424548,2162688,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,120848384,0,131072,65536,0,122683392,0,1114112,1310720,0,0,0,0,0,0,0,0,123731968,4849664,0,0,0,123731968,0,0,0,123731968,123731968,0,4849664,0,0,0,123731968,0,0,0,123731968,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,123731968,123731968,123731968,4849664,0,0,0,123731968,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2058994653,[],"",0,0,1879048192,7,50331648,0,""
22,"Intelligence5",28423701,2883584,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,126746624,0,131072,65536,0,129368064,0,1376256,1572864,0,0,0,0,0,0,0,0,130416640,4849664,0,0,0,130416640,0,0,0,130416640,130416640,0,4849664,0,0,0,130416640,0,0,0,130416640,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,130416640,130416640,130416640,4849664,0,0,0,130416640,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,2020724324,[],"",0,0,-704643072,7,50331648,0,""
23,"Intelligence6",28403039,3604480,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,133431296,0,131072,65536,0,135135232,0,1638400,1769472,0,0,0,0,0,0,0,0,136183808,4849664,0,0,0,136183808,0,0,0,136183808,136183808,0,4849664,0,0,0,136183808,0,0,0,136183808,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,136183808,136183808,136183808,4849664,0,0,0,136183808,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1430728728,[],"",0,0,771751936,8,50331648,0,""
24,"Intelligence7",28410208,4325376,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,139198464,0,131072,65536,0,141164544,0,1835008,1966080,0,0,0,0,0,0,0,0,142213120,4849664,0,0,0,142213120,0,0,0,142213120,142213120,0,4849664,0,0,0,142213120,0,0,0,142213120,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,142213120,142213120,142213120,4849664,0,0,0,142213120,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1677845857,[],"",0,0,-1979711488,8,50331648,0,""
25,"Intelligence8",28382446,4849664,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,145227776,0,131072,65536,0,147456000,0,2031616,2162688,0,0,0,0,0,0,0,0,148504576,4849664,0,0,0,148504576,0,0,0,148504576,148504576,0,4849664,0,0,0,148504576,0,0,0,148504576,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,148504576,148504576,148504576,4849664,0,0,0,148504576,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1800175523,[],"",0,0,-369098752,8,50331648,0,""
26,"Intelligence9",28396963,5308416,36962304,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,151519232,0,131072,65536,0,153485312,0,2228224,2359296,0,0,0,0,0,0,0,0,154533888,4849664,0,0,0,154533888,0,0,0,154533888,154533888,0,4849664,0,0,0,154533888,0,0,0,154533888,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,154533888,154533888,154533888,4849664,0,0,0,154533888,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-215957885,[],"",0,0,1174405120,9,50331648,0,""
27,"AllAttributes1",28566135,65536,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,157679616,0,131072,65536,0,159645696,0,131072,262144,0,0,0,0,0,0,0,0,160694272,4849664,0,0,0,160694272,0,0,0,160694272,160694272,0,4849664,0,0,0,160694272,0,0,0,160694272,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,160694272,160694272,160694272,4849664,0,0,0,160694272,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1887408648,[],"",0,0,-1543503872,9,50331648,0,""
28,"AllAttributes2",28545720,720896,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,163840000,0,131072,65536,0,165412864,0,327680,458752,0,0,0,0,0,0,0,0,166461440,4849664,0,0,0,166461440,0,0,0,166461440,166461440,0,4849664,0,0,0,166461440,0,0,0,166461440,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,166461440,166461440,166461440,4849664,0,0,0,166461440,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-1685714626,[],"",0,0,-67108864,9,50331648,0,""
29,"AllAttributes3",28562599,1441792,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,169607168,0,131072,65536,0,171573248,0,524288,655360,0,0,0,0,0,0,0,0,172621824,4849664,0,0,0,172621824,0,0,0,172621824,172621824,0,4849664,0,0,0,172621824,0,0,0,172621824,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,172621824,172621824,172621824,4849664,0,0,0,172621824,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,249944642,[],"",0,0,1509949440,10,50331648,0,""
30,"AllAttributes4",28545272,2162688,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,175767552,0,131072,65536,0,177602560,0,720896,851968,0,0,0,0,0,0,0,0,178651136,4849664,0,0,0,178651136,0,0,0,178651136,178651136,0,4849664,0,0,0,178651136,0,0,0,178651136,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,178651136,178651136,178651136,4849664,0,0,0,178651136,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1518652028,[],"",0,0,-1241513984,10,50331648,0,""
31,"AllAttributes5",28562382,2883584,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,181796864,0,131072,65536,0,183894016,0,917504,1048576,0,0,0,0,0,0,0,0,184942592,4849664,0,0,0,184942592,0,0,0,184942592,184942592,0,4849664,0,0,0,184942592,0,0,0,184942592,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,184942592,184942592,184942592,4849664,0,0,0,184942592,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1639035519,[],"",0,0,369098752,11,50331648,0,""
32,"AllAttributes6",28536018,3604480,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,188088320,0,131072,65536,0,190054400,0,1114112,1179648,0,0,0,0,0,0,0,0,191102976,4849664,0,0,0,191102976,0,0,0,191102976,191102976,0,4849664,0,0,0,191102976,0,0,0,191102976,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,191102976,191102976,191102976,4849664,0,0,0,191102976,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,-454719433,[],"",0,0,1946157056,11,50331648,0,""
33,"AllAttributes7",28538740,4325376,38666240,0,0,0,-16908288,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,130814,194248704,0,131072,65536,0,196476928,0,1245184,1310720,0,0,0,0,0,0,0,0,197525504,4849664,0,0,0,197525504,0,0,0,197525504,197525504,0,4849664,0,0,0,197525504,0,0,0,197525504,0,0,0,-16908288,-16843010,-16843010,-16843010,65278,0,197525504,197525504,197525504,4849664,0,0,0,197525504,0,0,0,-33554432,-16843010,-16843010,-16843010,1694433022,0,[],"",2,[],0,0,"","",0,0,6,[581],"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",-16843010,-16843010,1318205926,[],"",0,0,-704643072,11,50331648,0,""
