"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile","[i32]_64"
34,"ToggleStatuesEndgame_Fire","",546,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue1.ot",[]
35,"ToggleStatuesEndgame_Cold","",548,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue2.ot",[]
36,"ToggleStatuesEndgame_Lightning","",550,"[30,-20,30]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/EmpowerStatue3.ot",[]
37,"ToggleStatuesEndgame_Fire2","",547,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[30,-20,30,500,0]"
38,"ToggleStatuesEndgame_Cold2","",549,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[30,-20,30,500,0]"
39,"ToggleStatuesEndgame_Lightning2","",551,"[30,-20,30,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[30,-20,30,500,0]"
40,"PowerPylonsCruel_Vulnerability",4993,"",[],"",[]
41,"PowerPylonsCruel_TempChains",4991,"",[],"",[]
42,"PowerPylonsCruel_EleWeakness",4995,"",[],"",[]
43,"PowerPylonsCruel_Vulnerability2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
44,"PowerPylonsCruel_TempChains2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
45,"PowerPylonsCruel_EleWeakness2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
46,"PowerPylonsMerciless_Vulnerability",4992,"",[],"",[]
47,"PowerPylonsMerciless_TempChains",4990,"",[],"",[]
48,"PowerPylonsMerciless_EleWeakness",4994,"",[],"",[]
49,"PowerPylonsMerciless_Vulnerability2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
50,"PowerPylonsMerciless_TempChains2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
51,"PowerPylonsMerciless_EleWeakness2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
52,"PowerPylonsEndgame_Vulnerability",4992,"",[],"",[]
53,"PowerPylonsEndgame_TempChains",4990,"",[],"",[]
54,"PowerPylonsEndgame_EleWeakness",4994,"",[],"",[]
55,"PowerPylonsEndgame_Vulnerability2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot","[500,0]"
56,"PowerPylonsEndgame_TempChains2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot","[500,0]"
57,"PowerPylonsEndgame_EleWeakness2","",657,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot","[500,0]"
58,"ElementalNormal_Fire",1151,621,[20],"",[]
59,"ElementalNormal_Cold",1152,623,[20],"",[]
60,"ElementalNormal_Lightning",1153,625,[20],"",[]
61,"ElementalNormal_Fire2",1154,622,"[20,500,667]","","[20,500,0]"
62,"ElementalNormal_Cold2",1155,624,"[20,500,667]","","[20,500,0]"
63,"ElementalNormal_Lightning2",1156,626,"[20,500,667]","","[20,500,0]"
64,"ElementalCruel_Fire",1151,621,[30],"",[]
65,"ElementalCruel_Cold",1152,623,[30],"",[]
66,"ElementalCruel_Lightning",1153,625,[30],"",[]
67,"ElementalCruel_Fire2",1154,622,"[30,500,667]","","[30,500,0]"
68,"ElementalCruel_Cold2",1155,624,"[30,500,667]","","[30,500,0]"
69,"ElementalCruel_Lightning2",1156,626,"[30,500,667]","","[30,500,0]"
70,"ElementalMerciless_Fire",1151,621,[40],"",[]
71,"ElementalMerciless_Cold",1152,623,[40],"",[]
72,"ElementalMerciless_Lightning",1153,625,[40],"",[]
73,"ElementalMerciless_Fire2",1154,622,"[40,500,667]","","[40,500,0]"
74,"ElementalMerciless_Cold2",1155,624,"[40,500,667]","","[40,500,0]"
75,"ElementalMerciless_Lightning2",1156,626,"[40,500,667]","","[40,500,0]"
76,"ElementalEndgame_Fire",1151,621,[60],"",[]
77,"ElementalEndgame_Cold",1152,623,[60],"",[]
78,"ElementalEndgame_Lightning",1153,625,[60],"",[]
79,"ElementalEndgame_Fire2",1154,622,"[60,500,667]","","[60,500,0]"
80,"ElementalEndgame_Cold2",1155,624,"[60,500,667]","","[60,500,0]"
81,"ElementalEndgame_Lightning2",1156,626,"[60,500,667]","","[60,500,0]"
82,"PortalSummon1_Fire",5007,"",[],"",[]
83,"PortalSummon1_Cold",5008,"",[],"",[]
84,"PortalSummon1_Lightning",5009,"",[],"",[]
85,"PortalSummon2_Fire",5010,657,"[500,667]","","[500,0]"
86,"PortalSummon2_Cold",5011,657,"[500,667]","","[500,0]"
87,"PortalSummon2_Lightning",5012,657,"[500,667]","","[500,0]"
88,"GargoylesNormal_Fire",4998,640,[-20],"",[]
89,"GargoylesNormal_Cold",4997,638,"[20,20]","",[]
90,"GargoylesNormal_Lightning",4996,636,[12],"",[]
91,"GargoylesNormal_Fire2",5001,641,"[-20,500,667]","","[-20,500,0]"
92,"GargoylesNormal_Cold2",5000,639,"[20,20,500,667]","","[20,20,500,0]"
93,"GargoylesNormal_Lightning2",4999,637,"[12,500,667]","","[12,500,0]"
94,"GargoylesCruel_Fire",4998,640,[-20],"",[]
95,"GargoylesCruel_Cold",4997,638,"[20,20]","",[]
96,"GargoylesCruel_Lightning",4996,636,[20],"",[]
97,"GargoylesCruel_Fire2",5001,641,"[-20,500,667]","","[-20,500,0]"
98,"GargoylesCruel_Cold2",5000,639,"[20,20,500,667]","","[20,20,500,0]"
99,"GargoylesCruel_Lightning2",4999,637,"[20,500,667]","","[20,500,0]"
100,"GargoylesMerciless_Fire",4998,640,[-20],"",[]
101,"GargoylesMerciless_Cold",4997,638,"[20,20]","",[]
102,"GargoylesMerciless_Lightning",4996,636,[20],"",[]
103,"GargoylesMerciless_Fire2",5001,641,"[-20,500,667]","","[-20,500,0]"
104,"GargoylesMerciless_Cold2",5000,639,"[20,20,500,667]","","[20,20,500,0]"
105,"GargoylesMerciless_LIghtning2",4999,637,"[20,500,667]","","[20,500,0]"
106,"GargoylesEndgame_Fire",4998,640,[-25],"",[]
107,"GargoylesEndgame_Cold",4997,638,"[30,30]","",[]
108,"GargoylesEndgame_Lightning",4996,636,[20],"",[]
109,"GargoylesEndgame_Fire2",5001,641,"[-25,500,667]","","[-25,500,0]"
110,"GargoylesEndgame_Cold2",5000,639,"[30,30,500,667]","","[30,30,500,0]"
111,"GargoylesEndgame_Lightning2",4999,637,"[20,500,667]","","[20,500,0]"
112,"ChronoStatues1_1",5013,"",[],"",[]
113,"ChronoStatues1_2",5014,"",[],"",[]
114,"ChronoStatues1_3",5015,"",[],"",[]
115,"ChronoStatues2_1",5016,657,"[500,667]","","[500,0]"
116,"ChronoStatues2_2",5017,657,"[500,667]","","[500,0]"
117,"ChronoStatues2_3",5018,657,"[500,667]","","[500,0]"
118,"Pedestals1_1",5019,646,[10],"",[]
119,"Pedestals1_2",5020,644,[25],"",[]
120,"Pedestals1_3",5021,642,[10],"",[]
121,"Pedestals2_1","",647,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot","[20,500,0]"
122,"Pedestals2_2","",645,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot","[20,500,0]"
123,"Pedestals2_3","",643,"[20,500,667]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot","[20,500,0]"
