"rownum","Mtx","VisualEffect","VisualIdentity","Stats","ItemClasses","BaseItemTypes","bool_96","[i32]_97","[i32]_113","bool_129","Name","bool_146","[rid]_147","Character","GrantedEffect","OnKillEffect","rid_211","bool_227","EffectSlotType","VisualEffectType","bool_260","GameObjectTask","i32_277"
43,81,"",4736,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
44,82,"",4737,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
45,83,"",4738,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
46,84,"",4739,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
47,85,"",4740,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
48,86,"",4741,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
49,87,"",4742,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
50,88,"",4743,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
51,89,"",4744,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
52,90,"",4745,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
53,91,"",4746,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
54,92,"",4747,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
55,93,"",4748,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
56,94,"",4749,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
57,95,"",4750,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
58,96,"",4751,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
59,97,"",4752,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
60,98,"",4753,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
61,99,"",4755,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
62,100,"",4756,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
63,257,"",4809,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
64,258,"",4810,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
65,183,"",4754,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
66,101,"",4726,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
67,63,"",10157,[],"[25,24,22,23,26,20]",[],"",[],"[4,6,8,9,1]","",[],"",[],[],[],[],"","","","","","",0
68,65,"","",[16275],"[0,1,2,33,34]",[],"",[-1],[21],"",[],"",[],[],[],[],"","","","","","",0
69,64,"","",[7890],[],"[1718,1744,1724,1789,1717,1715,1787,1716,1712,1719,1849,1850,1851,1791,1707,1713,1706,1835,1837,1836,1838,1814,1714,1720,1868,2054,2390,1788,1790,1792,1635,1667,1852,1853,1985,1987,2008,2004,2005,2103,2104,2105,2106,2111,2014,2013,1745]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
70,102,"","",[348],[],[1803],"",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
71,103,"","",[348],[],"[1683,1830]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
72,104,"","",[348],[],"[1683,1830]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
73,105,"","",[348],[],"[1683,1830]","",[3],[27],"",[],"",[],[],[],[],"","",0,"","","",0
74,106,"","",[348],[],"[1683,1830]","",[4],[27],"",[],"",[],[],[],[],"","",0,"","","",0
75,110,"","",[348],[],"[1596,1810]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
76,111,"","","[348,1308]",[],"[1693,1823]","","[1,1]",[27],"",[],"",[],[],[],[],"","",0,"","","",0
77,115,"","",[348],[],"[1704,2324]","",[-29],[27],"",[],"",[],[],[],[],"","",0,"","","",0
78,117,"","",[348],[],"[1597,1819]","",[-3],[27],"",[],"",[],[],[],[],"","",0,"","","",0
79,118,"","",[348],[],"[1614,1824]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
80,119,"","",[348],[],[1742],"",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
81,120,"","",[348],[],"[1652,1812]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
82,121,"","",[1227],[],"[1731,1748,1733,1734,1740,1746,1741,1766,1888,2030,2026,2325]","",[1],[27],"",[],"",[],[],[],[],"","",1,"","","",0
83,122,"","",[348],[],[1760],"",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
84,123,"","",[348],[],"[1761,1818]","",[3],[27],"",[],"",[],[],[],[],"","",0,"","","",0
85,124,"","",[348],[],"[1761,1818]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
86,125,"","",[348],[],"[1761,1818]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
87,126,"","",[348],[],"[1744,1745]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
88,127,"","",[348],[],[1766],"",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
89,109,"","","[348,1308]",[],"[1603,1822]","","[1,1]",[27],"",[],"",[],[],[],[],"","",0,"","","",0
90,128,"","","[348,1308]",[],"[1604,2312]","","[1,1]",[27],"",[],"",[],[],[],[],"","",0,"","","",0
91,107,"","",[348],[],[1615],"",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
92,129,"","",[348],[],"[1712,1838,1713,1714,1715,1837,1716,1836,1717,1718,1719,1720,1724,1835,1787,1789,1791,1868,2054,2390,1788,1790,1792,1973,1972,1985,1987,2008,2004,2103,2104,2105,2106,2114]","",[-6],[27],"",[],"",[],[],[],[],"","",0,"","","",0
93,130,"","",[348],[],"[1712,1838,1713,1714,1715,1837,1716,1836,1717,1718,1719,1720,1724,1835,1787,1789,1791,1868,2054,2390,1788,1790,1792,1973,1972,1985,1987,2008,2004,2103,2104,2105,2106,2114]","",[-8],[27],"",[],"",[],[],[],[],"","",0,"","","",0
94,131,"","",[348],[],"[1712,1838,1713,1714,1715,1837,1716,1836,1717,1718,1719,1720,1724,1835,1787,1789,1791,1868,2054,2390,1788,1790,1792,1973,1972,1985,1987,2008,2004,2103,2104,2105,2106,2114]","",[-9],[27],"",[],"",[],[],[],[],"","",0,"","","",0
95,132,"","",[348],[],"[1712,1838,1713,1714,1715,1837,1716,1836,1717,1718,1719,1720,1724,1835,1787,1789,1791,1868,2054,2390,1788,1790,1792,1973,1972,1985,1987,2008,2004,2103,2104,2105,2106,2114]","",[-7],[27],"",[],"",[],[],[],[],"","",0,"","","",0
96,133,"","",[348],[],"[1779,1825]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
97,134,"","",[348],[],"[1779,1825]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
98,135,"","",[348],[],"[1779,1825]","",[3],[27],"",[],"",[],[],[],[],"","",0,"","","",0
99,136,"","",[1227],[],"[1731,1748,1733,1734,1740,1746,1741,1766,1888,2030,2026,2325]","",[3],[27],"",[],"",[],[],[],[],"","",1,"","","",0
100,137,"","",[348],[],"[1793,1831]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
101,138,"","","[348,1308]",[],"[1597,1819]","","[-2,1]",[27],"",[],"",[],[],[],[],"","",0,"","","",0
102,139,"","","[348,1308]",[],[1807],"","[1,2]",[27],"",[],"",[],[],[],[],"","",0,"","","",0
103,140,"","",[348],[],"[1712,1838,1713,1714,1715,1837,1716,1836,1717,1718,1719,1720,1724,1835,1787,1789,1791,1868,2054,2390,1788,1790,1792,1973,1972,1985,1987,2008,2004,2103,2104,2105,2106,2114]","",[-5],[27],"",[],"",[],[],[],[],"","",0,"","","",0
104,141,"","","[348,1308,2725]",[],[1800],"","[1,1,2]",[27],"",[],"",[],[],[],[],"","",0,"","","",0
105,60,"","",[1064],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57]",[],"",[1],[3],"",[],"",[],[],[],[],"","","","","","",0
106,61,"","",[4881],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57]",[],"",[1],[3],"",[],"",[],[],[],[],"","","","","","",0
107,62,38,"",[],"[37,6,7,8,9,10,11,12,13,14,15,16,17,32,56,57,26]",[],"",[],[2],1,[],"",[],[],[],[],"","","","","","",0
108,170,"","",[1374],[23],[],"",[1],[10],"",[],"",[],[],[],[],"","","","","","",0
109,171,"","",[1374],[23],[],"",[2],[10],"",[],"",[],[],[],[],"","","","","","",0
110,172,"","",[1374],[23],[],"",[3],[10],"",[],"",[],[],[],[],"","","","","","",0
111,173,"","",[1374],[23],[],"",[4],[10],"",[],"",[],[],[],[],"","","","","","",0
112,174,"","",[1374],[23],[],"",[5],[10],"",[],"",[],[],[],[],"","","","","","",0
113,175,"","",[1374],[23],[],"",[6],[10],"",[],"",[],[],[],[],"","","","","","",0
114,176,"","",[1374],[23],[],"",[7],[10],"",[],"",[],[],[],[],"","","","","","",0
115,177,"","",[1374],[23],[],"",[8],[10],"",[],"",[],[],[],[],"","","","","","",0
116,178,"","",[1374],[23],[],"",[11],[10],"",[],"",[],[],[],[],"","","","","","",0
117,179,"","",[1374],[23],[],"",[12],[10],"",[],"",[],[],[],[],"","","","","","",0
118,180,"","",[1374],[23],[],"",[13],[10],"",[],"",[],[],[],[],"","","","","","",0
119,181,"","",[1374],[23],[],"",[14],[10],"",[],"",[],[],[],[],"","","","","","",0
120,182,"","",[1374],[23],[],"",[15],[10],"",[],"",[],[],[],[],"","","","","","",0
121,4686,"","",[1374],[23],[],1,[9],[10],"",[],"",[],[],[],[],"","","","","","",0
122,189,"",4762,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
123,190,"",4763,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
124,191,"",4764,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
125,192,"",4765,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
126,193,"",4766,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
127,194,"",4767,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
128,195,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
129,196,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
130,197,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
131,198,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
132,201,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
133,202,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
134,203,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
135,204,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
136,205,"","",[],[],[],"",[],[16],"",[],"",[],[],[],[],"","","","","","",0
137,210,"","",[],[],[],"",[],[14],"",[],"",[],[],[],[],"","","","","","",0
138,211,"","",[],[],[],"",[],[14],"",[],"",[],[],[],[],"","","","","","",0
139,212,"","",[],[],[],"",[],[14],"",[],"",[],[],[],[],"","","","","","",0
140,5149,"",4765,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
141,216,"",4768,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
142,217,"",4769,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
143,218,"",4770,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
144,219,"",4771,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
145,220,"",4772,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
146,221,"",4773,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
147,222,"",4774,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
148,224,"",4775,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
149,223,"",4776,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
150,225,"",4777,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
151,226,"",4778,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
152,227,"",4780,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
153,228,"",4779,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
154,229,"",4781,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
155,230,"",4782,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
156,231,"",4783,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
157,232,"",4784,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
158,233,"",4785,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
159,234,"",4786,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
160,235,"",4787,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
161,236,"",4788,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
162,237,"",4789,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
163,238,"",4790,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
164,239,"",4791,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
165,240,"",4792,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
166,241,"",4793,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
167,242,"",4794,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
168,243,"",4795,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
169,244,"",4796,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
170,245,"",4797,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
171,246,"",4798,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
172,247,"",4799,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
173,248,"",4800,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
174,249,"",4801,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
175,250,"",4802,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
176,251,"",4803,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
177,252,"",4804,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
178,253,"",4805,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
179,254,"",4806,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
180,255,"",4807,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
181,256,"",4808,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
182,259,"",4811,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
183,260,"",4812,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
184,271,"",4813,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
185,272,"",4814,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
186,184,"",4757,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
187,185,"",4758,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
188,186,"",4759,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
189,187,"",4760,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
190,188,"",4761,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
191,273,"",4815,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
192,274,"",4816,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
193,275,"",4817,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
194,276,"",4818,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
195,277,"",4819,[],[26],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
196,278,"",4820,[],[26],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
197,279,"",4821,[],[26],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
198,280,"",4822,[],"[6,7,56]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
199,281,"",4823,[],"[9,11,12,32,10]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
200,282,"",4824,[],"[16,17,15]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
201,283,"",4825,[],"[16,17,15]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
202,284,"",4826,[],"[16,17,15]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
203,285,"",4827,[],[13],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
204,286,"",4828,[],[13],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
205,287,"",4829,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
206,288,"",4830,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
207,289,"",4831,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
208,290,"",4832,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
209,291,"",4833,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
210,292,"",4834,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
211,293,"",4835,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
212,294,"",4836,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
213,295,"",4837,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
214,296,"",4838,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
215,297,"",4839,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
216,298,"",4840,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
217,299,"",4841,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
218,300,"",4842,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
219,301,"",4843,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
220,302,"",4844,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
221,303,"",4845,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
222,304,"",4846,[],"[9,11,12,32,10]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
223,305,"",4847,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
224,306,"",4848,[],[25],[],"",[],[5],"",[],"",[],[],[],[],"","","","","","",0
225,307,"",4849,[],"[9,11,12,32,10]",[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
226,308,"",4850,[],[24],[],"",[],[7],"",[],"",[],[],[],[],"","","","","","",0
227,309,"",4851,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
228,310,"","",[348],[],[1654],"",[-2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
229,311,"","",[348],[],"[1770,1833]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
230,312,"","",[348],[],"[1794,1844]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
231,313,"",4852,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
232,314,"",4853,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
233,315,"",4854,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
234,316,"",4855,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
235,317,"",4856,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
236,318,"",4857,[],[26],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
237,319,"",4858,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
238,320,"",4859,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
239,321,"",4860,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
240,322,"",4861,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
241,323,"",4862,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
242,324,"","",[348],[],[1640],"",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
243,325,"",4863,[],[8],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
244,326,"",4864,[],[8],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
245,327,"",4865,[],[8],[],"",[],[1],"",[],"",[],[],[],[],"","","","","","",0
246,328,"","",[348],[],"[1651,2309]","",[1],[27],"",[],"",[],[],[],[],"","",0,"","","",0
247,329,"","",[348],[],"[1651,2309]","",[2],[27],"",[],"",[],[],[],[],"","",0,"","","",0
248,331,"",4866,[],[25],[],"",[],[4],"",[],"",[],[],[],[],"","","","","","",0
249,332,"",4867,[],[23],[],"",[],[9],"",[],"",[],[],[],[],"","","","","","",0
250,333,"",4868,[],[22],[],"",[],[8],"",[],"",[],[],[],[],"","","","","","",0
251,334,"",4869,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
252,335,"",4870,[],[24],[],"",[],[6],"",[],"",[],[],[],[],"","","","","","",0
