"rownum","Id","MtxTypeGameSpecificKey","HASH32","HASH16","i32_30","bool_34","bool_35","[rid]_36","HideoutCategory","Skills","i32_84","bool_88","rid_89","bool_105","bool_106","string_107","DropEffect"
34,"Metadata/Pet/Ferret/Ferret",4720,2667929017,49852,8,"","",[1],86,[],0,"","","",1,"",""
35,"Metadata/Pet/Cat/Black",4721,2878386911,6479,8,"","",[1],60,[],0,"","","",1,"",""
36,"Metadata/Pet/DemonHand/Basic",4722,1691856294,51569,8,"","",[1],38,[],0,"","","",1,"",""
37,"Metadata/Pet/Fox/infernal_fox/Infernal",4723,2234150981,62831,9,"","",[1],75,[],0,"","","",1,"",""
38,"Metadata/Pet/Bat/Vampire_Bat/Lightning",4724,2659776101,26861,8,"","",[1],82,[],0,"","","",1,"",""
39,"Metadata/Pet/Garena/Garena",4725,1000559177,27114,8,"","",[1],86,[],0,"","","",1,"",""
40,"Metadata/Pet/BellLizard/BellLizard",4726,1417188679,49471,8,"","",[1],86,[],0,"","","",1,"",""
41,"Metadata/Pet/Lion/Demon/DemonLion",4727,2522738579,31182,11,"","",[1],86,[],0,"","","",1,"",""
42,"Metadata/Pet/Lion/Gem/GemLion",4728,3446393068,1415,11,"","",[1],86,[],0,"","","",1,"",""
43,"Metadata/Pet/Cobra/Cobra",4729,3969159980,32696,8,"","",[1],86,[],0,"","","",1,"",""
44,"Metadata/Pet/Cockroach/Cockroach",4730,80998440,62715,8,"","",[1],86,[],0,"","","",1,"",""
45,"Metadata/Pet/FormosanBear/FormosanBear",4731,903989278,65023,10,"","",[1],86,[],0,"","","",1,"",""
46,"Metadata/Pet/SpiderLizard/SpiderLizard",4732,1067122867,16168,8,"","",[1],86,[],0,"","","",1,"",""
47,"Metadata/Pet/BlueLandCrab/BlueLandCrab",4733,106004084,30757,8,"","",[1],86,[],0,"","","",1,"",""
48,"Metadata/Pet/CaneToad/CaneToad1/CaneToad1",4734,3259732994,22089,8,"","",[1],86,[],0,"","","",1,"",""
49,"Metadata/Pet/CaneToad/CaneToad2/CaneToad2",4735,2376925420,36161,8,"","",[1],86,[],0,"","","",1,"",""
50,"Metadata/Pet/CaneToad/CaneToad3/CaneToad3",4736,2041806806,1637,8,"","",[1],86,[],0,"","","",1,"",""
51,"Metadata/Pet/CaneToad/CaneToad4/CaneToad4",4737,1838585932,62938,8,"","",[1],86,[],0,"","","",1,"",""
52,"Metadata/Pet/CaneToad/CaneToad5/CaneToad5",4738,2918157460,8571,8,"","",[1],86,[],0,"","","",1,"",""
53,"Metadata/Pet/CaneToad/CaneToad6/CaneToad6",4739,2918305276,24589,8,"","",[1],86,[],0,"","","",1,"",""
54,"Metadata/Pet/Spider/spider",4740,2119162085,42666,8,"","",[1],86,[],0,"","","",1,"",""
55,"Metadata/Pet/FormosanDeer/FormosanDeer",4741,2167037988,57614,10,"","",[1],86,[],0,"","","",1,"",""
56,"Metadata/Pet/FlySwarm/FlySwarm",4742,1093161574,4942,10,"","",[1],86,[],0,"","","",1,"",""
57,"Metadata/Pet/DropBear/DropBear",4745,1321914861,40743,9,"","",[1],86,[],0,"","","",1,"",""
58,"Metadata/Pet/BloodWorm/BloodWorm",4746,1503156081,3817,8,"","",[1],63,[],0,"","","",1,"",""
59,"Metadata/Pet/Rat_Black/Rat_Black",4747,1837838469,23822,8,"","",[1],94,[],0,"","","",1,"",""
60,"Metadata/Pet/RollingHead/RollingHead",4748,2246875811,8015,8,"","",[1],86,[],0,"","","",1,"",""
61,"Metadata/Pet/FlySwarm/FlySwarmGreen",4743,2107757903,43246,9,"","",[1],58,[],0,"","","",1,"",""
62,"Metadata/Pet/FlySwarm/FlySwarmOrange",4744,2971448048,1004,9,"","",[1],86,[],0,"","","",1,"",""
63,"Metadata/Pet/BabyBlackDeath/BabyBlackDeath",4749,3677024500,11230,10,"","",[1],86,[],0,"","","",1,"",""
64,"Metadata/Pet/Chicken/Chicken",4750,568450361,64728,8,"","",[1],86,[],0,"","","",1,"",""
65,"Metadata/Pet/WildTurkey/WildTurkey",4751,1133742393,51882,9,"","",[1],86,[],0,"","","",1,"",""
66,"Metadata/Pet/Hedgehog/Hedgehog",4752,2080801648,65398,8,"","",[1],86,[],0,"","","",1,"",""
67,"Metadata/Pet/Lemur/Lemur",4753,1889044674,63578,8,"","",[1],86,[],0,"","","",1,"",""
68,"Metadata/Pet/PeacockMale/PeacockMale",4754,1024272070,7115,10,"","",[1],86,[],0,"","","",1,"",""
69,"Metadata/Pet/PeacockFemale/PeacockFemale",4755,177636339,35173,9,"","",[1],86,[],0,"","","",1,"",""
70,"Metadata/Pet/Pukeko/Pukeko",4756,1856546580,51644,8,"","",[1],86,[],0,"","","",1,"",""
71,"Metadata/Pet/RockElemental/RockElemental",4757,531828749,4030,8,"","",[1],86,[],0,"","","",1,"",""
72,"Metadata/Pet/DesertTortoise/DesertTortoise",4758,1061254767,18734,8,"","",[1],86,[],0,"","","",1,"",""
73,"Metadata/Pet/Koala/KoalaBear",4759,2925397922,43516,9,"","",[1],86,[],0,"","","",1,"",""
74,"Metadata/Pet/Basilisk/LargeInfernal",4760,4062683665,20534,10,"","",[1],75,[],0,"","","",1,"",""
75,"Metadata/Pet/BabyElephant/BabyElephant",4761,878110891,56573,10,"","",[1],86,[],0,"","","",1,"",""
76,"Metadata/Pet/Wallaby/Wallaby",4762,2611593282,23531,9,"","",[1],86,[],0,"","","",1,"",""
77,"Metadata/Pet/Merveil/Merveil",4763,2849584155,40386,8,"","",[2],86,[],0,"","","",1,"",""
78,"Metadata/Pet/Lynx/FrostLynx/FrostLynx",4764,2759076882,34918,9,"","",[1],8,[],0,"","","",1,"",""
79,"Metadata/Pet/Centipede/Centipede",4765,2401152266,8724,8,"","",[1],86,[],0,"","","",1,"",""
80,"Metadata/Pet/Parasite/Parasite",4766,960660280,47738,8,"","",[1],86,[],0,"","","",1,"",""
81,"Metadata/Pet/Wolf/Wolf",4767,1206981490,21635,10,"","",[1],86,[],0,"","","",1,"",""
82,"Metadata/Pet/GargoyleStone/GargoyleStone",4768,3464180237,64630,8,"","",[1],9,[],0,"","","",1,"",""
83,"Metadata/Pet/GargoyleBronze/GargoyleBronze",4769,1740134938,15778,9,"","",[1],9,[],0,"","","",1,"",""
84,"Metadata/Pet/GargoyleGold/GargoyleGold",4770,4277590170,9836,11,"","",[1],9,[],0,"","","",1,"",""
85,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthine",4771,1577973149,43920,12,1,"",[1],9,[],0,"","","",1,"",""
86,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremium",4772,3665184661,40419,12,"",1,[1],9,[],0,"","","",1,"",""
87,"Metadata/Pet/GargoyleAmaranthine/GargoyleAmaranthinePremiumExpired",4773,1234256136,2201,12,1,"",[1],9,[],0,"","","",1,"",""
88,"Metadata/Pet/BladeSentry/BladeSentry",4774,1753604362,35215,9,"","",[1],9,[],0,"","","",1,"",""
89,"Metadata/Pet/WhiteTiger/WhiteTiger",4775,3751879718,64391,11,"","",[1],86,[],0,"","","",1,"",""
90,"Metadata/Pet/Parrot/BrazilianParrot",4776,1278553151,24586,8,"","",[1],62,[],0,"","","",1,"",""
91,"Metadata/Pet/MonkeyNavali/MonkeyNavaliPet",4777,157390377,40776,8,"","",[1],23,[],0,"","","",1,"",""
92,"Metadata/Pet/Rabbit/Rabbit",4779,211109754,19439,8,"","",[1],86,[],0,"","","",1,"",""
93,"Metadata/Pet/Beetle/Beetle",4778,3656709609,11293,8,"","",[1],86,[],0,"","","",1,"",""
94,"Metadata/Pet/HeiTiki/Spawner",4780,2056783246,32534,8,"","",[1],78,[],0,"","","",1,"",""
95,"Metadata/Pet/GraspingHands/Spawner",4781,1466452343,7711,8,"","",[1],86,[],0,"","","",1,"",""
96,"Metadata/Pet/GamepediaBook/GamepediaBook",4782,582792321,38461,8,"","",[1],86,[],0,"","","",1,"",""
97,"Metadata/Pet/Frog/PurpleCrown",4783,3953920325,58089,8,"","",[1],97,[],0,"","","",1,"",""
98,"Metadata/Pet/FlySwarm/FlySwarmLightning",4784,349869067,32977,8,"","",[1],82,[],0,"","","",1,"",""
99,"Metadata/Pet/Tiger/Tiger",4785,3847988972,17335,8,1,"",[1],86,[],0,"","","",1,"",""
100,"Metadata/Pet/Scorpion/acid_upgrade_purple",4786,1698853405,5983,8,"","",[1],97,[],0,"","","",1,"",""
101,"Metadata/Pet/CaneToad/CaneToadGlass/CaneToadGlass",4787,1930340955,55637,8,1,"",[1],86,[],0,"","","",1,"",""
102,"Metadata/Pet/WhiteWolf/WhiteWolf",4788,1856269555,599,10,"","",[1],8,[],0,"","","",1,"",""
103,"Metadata/Pet/Cat/Orange",4789,1557830505,51123,8,"","",[1],86,[],0,"","","",1,"",""
104,"Metadata/Pet/Devourling/Spawner",4790,3896742160,31059,8,"","",[1],86,[],0,"","","",1,"",""
105,"Metadata/Pet/Taotie/Taotie",4791,3769356952,12851,8,"","",[1],86,[],0,"","","",1,"",""
106,"Metadata/Pet/TaowuPet/Taowu",4792,2772216803,3807,12,"","",[1],86,[],0,"","","",1,"",""
107,"Metadata/Pet/FlySwarm/FlySwarmLight",4793,118464978,42717,8,"","",[1],96,[],0,"","","",1,"",""
108,"Metadata/Pet/FlySwarm/FlySwarmDark",4794,4117707812,51531,8,"","",[1],113,[],0,"","","",1,"",""
109,"Metadata/Pet/HarbingerTiger/HarbingerTiger",4795,135419822,24508,8,"","",[1],66,[],0,"","","",1,"",""
110,"Metadata/Pet/Crow/Crow",4796,2083994821,16626,8,"","",[1],113,[],0,"","","",1,"",""
111,"Metadata/Pet/Dove/Dove",4797,2406570524,54637,8,"","",[1],96,[],0,"","","",1,"",""
112,"Metadata/Pet/PolarBearCub/PolarBearCub",4798,777651135,11749,8,1,"",[1],93,[],0,"","","",1,"",""
113,"Metadata/Pet/Frog/Fire",4799,614829907,44022,8,"","",[1],52,[],0,"","","",1,"",""
114,"Metadata/Pet/Frog/Ice",4800,2553530817,20978,8,"","",[1],73,[],0,"","","",1,"",""
115,"Metadata/Pet/Hundun/Hundun",4801,1675991458,64071,8,"","",[1],86,[],0,"","","",1,"",""
116,"Metadata/Pet/Cat/Julio",4802,1039286254,540,8,"","",[1],86,[],0,"","","",1,"",""
117,"Metadata/Pet/Qiongqi/Qiongqi",4803,1651407510,6392,12,"","",[1],86,[],0,"","","",1,"",""
118,"Metadata/Pet/Tiger/IceTiger",4804,990943617,41617,8,"","",[1],73,[],0,"","","",1,"",""
119,"Metadata/Pet/Lion/Fire",4805,14923620,46983,8,"","",[1],52,[],0,"","","",1,"",""
120,"Metadata/Pet/Eyeball/Eyeball1",4806,3090073264,32414,8,"","",[1],86,[],0,"","","",1,"",""
121,"Metadata/Pet/Eyeball/Eyeball2",4807,1134403120,56749,8,"","",[1],86,[],0,"","","",1,"",""
122,"Metadata/Pet/Eyeball/Eyeball3",4808,1515528802,30775,8,"","",[1],86,[],0,"","","",1,"",""
123,"Metadata/Pet/Eyeball/Eyeball4",4809,3442747060,60288,8,"","",[1],86,[],0,"","","",1,"",""
124,"Metadata/Pet/Eyeball/Eyeball5",4810,2417211202,10065,8,"","",[1],86,[],0,"","","",1,"",""
125,"Metadata/Pet/HellionCub/HellionCub",4811,3322052644,17958,8,"","",[1],14,[],0,"","","",1,"",""
126,"Metadata/Pet/Cat/Celestial",4812,1398287328,30904,8,"","",[1],22,[],0,"","","",1,"",""
127,"Metadata/Pet/CoconutCrab/CoconutCrab",4813,4149403141,10583,8,"","",[1],3,[],0,"","","",1,"",""
128,"Metadata/Pet/Harpy/Harpy",4814,3044159982,33948,8,"","",[1],14,[],0,"","","",1,"",""
129,"Metadata/Pet/SinAndInnocenceSwords/Sin2hSword",4815,1688782712,41936,8,"","",[1],104,[],0,"","","",1,"",""
130,"Metadata/Pet/SinAndInnocenceSwords/Innocence2hSword",4816,163801931,25224,8,"","",[1],104,[],0,"","","",1,"",""
131,"Metadata/Pet/SinAndInnocenceSwords/SinInnocence2hSword",4817,2312176404,35525,8,"","",[1],104,[],0,"","","",1,"",""
132,"Metadata/Pet/Cherub/Sin",4818,2698017758,56078,8,"","",[1],104,[],0,"","","",1,"",""
133,"Metadata/Pet/Cherub/Innocence",4819,3294038634,52797,8,"","",[1],104,[],0,"","","",1,"",""
134,"Metadata/Pet/Beast/Beast",4820,486600888,60856,8,"","",[1],3,[],0,"","","",1,"",""
135,"Metadata/Pet/Goatman/Goatman",4821,308627029,21552,8,"","",[2],3,[],0,"","","",1,"",""
136,"Metadata/Pet/Monkey/Monkey",4822,2254389258,50773,8,"","",[1],3,[],0,"","","",1,"",""
137,"Metadata/Pet/Raptor/Raptor",4823,1698595983,57777,8,"","",[1],4,[],0,"","","",1,"",""
138,"Metadata/Pet/Tumbleweed/Tumbleweed",4824,2214549403,54372,8,"","",[1],4,[],0,"","","",1,"",""
139,"Metadata/Pet/Copter/Copter",4825,660553808,26383,8,"","",[1],4,[],0,"","","",1,"",""
140,"Metadata/Pet/Scorpion/Machine",4826,526116862,63653,8,"","",[1],4,[],0,"","","",1,"",""
141,"Metadata/Pet/Wolpertinger/TrillingWolpertinger",4827,2673968026,7419,8,"","",[1],3,[],0,"","","",1,"",""
142,"Metadata/Pet/Wolpertinger/SqueakingWolpertinger",4828,1673959631,64265,8,"","",[1],3,[],0,"","","",1,"",""
143,"Metadata/Pet/Wolpertinger/GruntingWolpertinger",4829,3224083082,23201,8,"","",[1],3,[],0,"","","",1,"",""
144,"Metadata/Pet/Lion/Gold",4830,2270439421,41129,8,"","",[1],90,[],0,"","","",1,"",""
145,"Metadata/Pet/Raven/BloodGuard",4832,669476092,17179,8,"","",[1],90,[],0,"","","",1,"",""
146,"Metadata/Pet/Eagle/FaithGuard",4833,3505394026,49562,8,"","",[1],90,[],0,"","","",1,"",""
147,"Metadata/Pet/Raven/Oriath",4834,284889460,399,8,"","",[1],90,[],0,"","","",1,"",""
148,"Metadata/Pet/Pigeon/Dark",4836,1049527056,48542,8,"","",[1],90,[],0,"","","",1,"",""
149,"Metadata/Pet/Pigeon/Light",4835,3590828446,26521,8,"","",[1],90,[],0,"","","",1,"",""
150,"Metadata/Pet/BallTrio/Fire",4837,1412657883,9960,8,"","",[1],52,[],0,"","","",1,"",""
151,"Metadata/Pet/BallTrio/Cold",4838,1951976917,47501,8,"","",[1],73,[],0,"","","",1,"",""
152,"Metadata/Pet/BallTrio/Lightning",4839,1055828270,38848,8,"","",[1],82,[],0,"","","",1,"",""
153,"Metadata/Pet/Hound/BloodGuard",4831,3750859929,19208,8,"","",[1],90,[],0,"","","",1,"",""
154,"Metadata/Pet/DreadForgeLion/DreadForgeLionPet",4840,156625065,57852,8,"","",[1],37,[],0,"","","",1,"",""
155,"Metadata/Pet/Canary/Canary",4841,2067705541,54779,8,"","",[1],37,[],0,"","","",1,"",""
156,"Metadata/Pet/GothicHorrorGhostChild/GothicHorrorGhostChild",4842,2286223554,34951,8,"","",[2],64,[],0,"","","",1,"",""
157,"Metadata/Pet/Football/Football",4843,2136160759,18084,8,"","",[1],86,[],0,"","","",1,"",""
158,"Metadata/Pet/Dragon/Dragon",4844,3899381137,15866,15,1,"",[1],40,[],0,"","","",1,"",""
159,"Metadata/Pet/Dragon/DragonPremium",4845,3477404450,13414,15,"",1,[1],40,[],0,"","","",1,"",""
160,"Metadata/Pet/Dragon/DragonPremiumExpired",4846,2942629240,23068,15,1,"",[1],40,[],0,"","","",1,"",""
161,"Metadata/Pet/BrineKingMinion/BrineKingMinion",4847,1189544016,18103,8,"","",[1],51,[],0,"","","",1,"",""
162,"Metadata/Pet/Taniwha/Taniwha",4848,3348797048,20962,8,"","",[1],51,[],0,"","","",1,"",""
163,"Metadata/Pet/CorsairPet/CorsairPet",4849,3970617216,9002,8,"","",[1],51,[],0,"","","",1,"",""
164,"Metadata/Pet/Mystic/Spawner",4850,1824302250,51222,8,"","",[1],51,[],0,"","","",1,"",""
165,"Metadata/Pet/MadcapHare/MadcapHare",4851,4048953410,53524,8,"","",[1],59,[],0,"","","",1,"",""
166,"Metadata/Pet/MadcapToad/MadcapToad",4852,664427128,32226,8,"","",[1],59,[],0,"","","",1,"",""
167,"Metadata/Pet/Dragonfly/Dragonfly",4853,2036740484,18658,8,"","",[1],59,[],0,"","","",1,"",""
168,"Metadata/Pet/HuntsmanToad/HuntsmanToad",4854,4094167123,64603,8,"","",[1],59,[],0,"","","",1,"",""
169,"Metadata/Pet/SoulstealerPet/SoulstealerPet",4855,1712384889,36201,8,"","",[1],109,[],0,"","","",1,"",""
170,"Metadata/Pet/DragonWhelp/DragonWhelp",4856,622213304,7598,8,"","",[1],40,[],0,"","","",1,"",""
171,"Metadata/Pet/TwoLeggedGoat/TwoLeggedGoat",4857,4278679484,35003,8,"","",[1],3,[],0,"","","",1,"",""
172,"Metadata/Pet/IceDragon/IceDragon",4858,4031575944,1988,15,1,"",[1],8,[],0,"","","",1,"",""
173,"Metadata/Pet/IceDragon/IceDragonPremium",4859,554265430,19039,15,"",1,[1],8,[],0,"","","",1,"",""
174,"Metadata/Pet/IceDragon/IceDragonPremiumExpired",4860,2915533716,11859,15,1,"",[1],8,[],0,"","","",1,"",""
175,"Metadata/Pet/Viper/Viper",4861,2129557981,1843,15,"","",[1],118,[],0,"","","",1,"",""
176,"Metadata/Pet/NineTailedFox/NineTailedFox",4862,2527758700,8134,12,1,"",[1],75,[],0,"","","",1,"",""
177,"Metadata/Pet/NineTailedFox/NineTailedFoxPremium",4863,4143788484,51001,12,"",1,[1],22,[],0,"","","",1,"",""
178,"Metadata/Pet/NineTailedFox/NineTailedFoxPremiumExpired",4864,1986407786,23308,12,1,"",[1],22,[],0,"","","",1,"",""
179,"Metadata/Pet/CruciblePet/CruciblePet",4865,277319142,40289,8,"","",[1],35,[],0,"","","",1,"",""
180,"Metadata/Pet/CultDarkness/CultDarkness",4866,3344810511,1362,8,1,"",[1],80,[],0,"","","",1,"",""
181,"Metadata/Pet/WranglerHawk/WranglerHawk",4867,1323885224,44096,12,"","",[1],56,[],0,"","","",1,"",""
182,"Metadata/Pet/WranglerScorpion/WranglerScorpion",4868,3341739902,8272,8,"","",[1],56,[],0,"","","",1,"",""
183,"Metadata/Pet/WildPanther/WildPanther",4869,2130795854,8783,8,"","",[1],56,[],0,"","","",1,"",""
184,"Metadata/Pet/WildScorpion/WildScorpion",4870,1929709242,30143,8,"","",[1],56,[],0,"","","",1,"",""
185,"Metadata/Pet/Plated/Plated",4871,293217016,13186,8,"","",[1],120,[],0,"","","",1,"",""
186,"Metadata/Pet/WaterElemental/WaterElemental",4872,4173083339,51831,8,"","",[1],44,[],0,"","","",1,"",""
187,"Metadata/Pet/VanguardOwl/VanguardOwl",4873,2849577007,45558,8,"","",[1],19,[],0,"","","",1,"",""
188,"Metadata/Pet/CyrWheelMonkey/CyrWheelMonkey",4874,3071646724,11025,12,"","",[1],20,[],0,"","","",1,"",""
189,"Metadata/Pet/CircusParakeet/CircusParakeet",4875,3639209554,14011,8,"","",[1],20,[],0,"","","",1,"",""
190,"Metadata/Pet/CircusTroll/CircusTroll",4876,3072031034,52769,12,"","",[1],20,[],0,"","","",1,"",""
191,"Metadata/Pet/JugglingPins/Spawner",4877,4283179581,56689,8,"","",[1],20,[],0,"","","",1,"",""
192,"Metadata/Pet/Sentinel/Sentinel",4878,3600807697,8590,8,"","",[1],17,[],0,"","","",1,"",""
193,"Metadata/Pet/Chiyou/Chiyou",4879,3562944876,60722,12,1,"",[1],25,[],0,"","","",1,"",""
194,"Metadata/Pet/Chiyou/ChiyouPremium",4880,746905066,61806,12,"",1,[1],25,[],0,"","","",1,"",""
195,"Metadata/Pet/Chiyou/ChiyouPremiumExpired",4881,2680233894,32871,12,1,"",[1],25,[],0,"","","",1,"",""
196,"Metadata/Pet/Chiyou/Gold_Chiyou",4882,496199666,31329,12,1,"",[1],25,[],0,"","","",1,"",""
197,"Metadata/Pet/Chiyou/Gold_ChiyouPremium",4883,1178729612,47821,12,"",1,[1],25,[],0,"","","",1,"",""
198,"Metadata/Pet/Chiyou/Gold_ChiyouPremiumExpired",4884,197927142,11050,12,1,"",[1],25,[],0,"","","",1,"",""
199,"Metadata/Pet/HavenwoodDeer/HavenwoodDeer",4885,3323919870,15328,10,"","",[1],69,[],0,"","","",1,"",""
200,"Metadata/Pet/DemonicMoth/DemonicMoth",4886,1485819327,38192,8,"","",[1],38,[],0,"","","",1,"",""
201,"Metadata/Pet/DemonicArcticReindeer/DemonicArcticReindeer",4887,2139898659,15535,8,"","",[1],38,[],0,"","","",1,"",""
202,"Metadata/Pet/Cat/Halloween",4888,496599588,40893,8,"","",[1],38,[],0,"","","",1,"",""
203,"Metadata/Pet/BlackDragon/BlackDragon",4889,3863969453,39138,15,1,"",[1],94,[],0,"","","",1,"",""
204,"Metadata/Pet/BlackDragon/BlackDragonPremium",4890,3030519045,47527,15,"",1,[1],94,[],0,"","","",1,"",""
205,"Metadata/Pet/BlackDragon/BlackDragonPremiumExpired_",4891,812259314,10136,15,1,"",[1],94,[],0,"","","",1,"",""
206,"Metadata/Pet/WhiteDragon/WhiteDragon",4892,3500230707,39058,15,1,"",[1],94,[],0,"","","",1,"",""
207,"Metadata/Pet/WhiteDragon/WhiteDragonPremium",4893,1288047364,18370,15,"",1,[1],94,[],0,"","","",1,"",""
208,"Metadata/Pet/WhiteDragon/WhiteDragonPremiumExpired",4894,4094689887,63055,15,1,"",[1],94,[],0,"","","",1,"",""
209,"Metadata/Pet/BlackWhiteDragon/BlackWhiteDragon",4895,377708432,18707,15,"","",[1],94,[],0,"","","",1,"",""
210,"Metadata/Pet/BlackWhiteDragon/BlackWhiteDragonPremium",4896,2538013526,37905,15,"",1,[1],94,[],0,"","","",1,"",""
211,"Metadata/Pet/BlackWhiteDragon/BlackWhiteDragonPremiumExpired",4897,2960980934,19386,15,"","",[1],94,[],0,"","","",1,"",""
212,"Metadata/Pet/Rat_White/Rat_White",4898,3470749185,41182,8,"","",[1],94,[],0,"","","",1,"",""
213,"Metadata/Pet/Cat/EmpyreanCat",4900,351333625,63497,8,1,"",[1],108,[],0,"","","",1,"",""
214,"Metadata/Pet/CultDarkness/SunprismCatPremium/SunprismCatPremium",4901,3258726169,62757,8,"",1,[1],108,[],0,"","","",1,"",""
215,"Metadata/Pet/CultDarkness/SunprismCatPremium/SunprismCatPremiumExpired",4902,2817766429,5102,8,1,"",[1],108,[],0,"","","",1,"",""
216,"Metadata/Pet/EyrieFalcon/EyrieFalcon",4899,2581216062,41700,8,"","",[1],50,[],0,"","","",1,"",""
217,"Metadata/Pet/ElderDarkseer/ElderDarkseer",4903,3094388876,6396,8,"","",[1],36,[],0,"","","",1,"",""
218,"Metadata/Pet/ScientistLabRat/ScientistLabRat",4904,1784057639,58737,8,"","",[1],111,[],0,"","","",1,"",""
219,"Metadata/Pet/ThaumaturgyDogs/ThaumaturgyScientistPet",4905,765636684,40430,8,"","",[1],111,[],0,"","","",1,"",""
220,"Metadata/Pet/ThaumaturgDarkAdvisor/ThaumaturgDarkAdvisor",4906,3660456809,63815,8,"","",[2],111,[],0,"","","",1,"",""
221,"Metadata/Pet/ThaumaturgyDogs/ThaumaturgyProjectPet",4907,3005171226,62725,8,"","",[1],111,[],0,"","","",1,"",""
222,"Metadata/Pet/ClockworkFireGolem/ClockworkFireGolem",4908,1647268096,13103,8,"","",[1],106,[],0,"","","",1,"",""
223,"Metadata/Pet/ClockworkLightningGolem/ClockworkLightningGolem",4909,1548704370,1597,8,"","",[1],106,[],0,"","","",1,"",""
