"rownum","Id","BuffDDSFile","EPKFiles1","EPKFiles2","PreloadGroups","bool_64","BuffName","BuffName (French)","BuffName (German)","BuffName (Japanese)","BuffName (Korean)","BuffName (Portuguese)","BuffName (Russian)","BuffName (Spanish)","BuffName (Thai)","BuffName (Traditional Chinese)","MiscAnimated1","MiscAnimated2","BuffDescription","BuffDescription (French)","BuffDescription (German)","BuffDescription (Japanese)","BuffDescription (Korean)","BuffDescription (Portuguese)","BuffDescription (Russian)","BuffDescription (Spanish)","BuffDescription (Thai)","BuffDescription (Traditional Chinese)","EPKFile","HasExtraArt","ExtraArt","[i32]_130","EPKFiles","BuffVisualOrbs","MiscAnimated3","rid_194","string_210","f32_218","f32_222","bool_226","bool_227","[string]_228"
18,"righteous_fire_harbinger","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/bottom.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
19,"righteous_fire_aura","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/Spells/ri_fire/player.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
20,"righteous_fire_aura_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
21,"righteous_fire_aura_sacrifice","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
22,"righteous_fire_aura_celestial","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_large.epk""]","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/player.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
23,"righteous_fire_aura_harbinger","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_large.epk""]","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/player.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
24,"righteous_fire_aura_harbinger_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/harbinger/debuff_large.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
25,"righteous_fire_aura_celestial_no_hands","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_mid.epk"",""Metadata/Effects/Microtransactions/Spells/ri_fire/celestial/debuff_large.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
26,"demon_righteous_fire","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/Spells/monsters_effects/act3/ri_fire/demon_rifireepk.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
27,"demon_righteous_fire_aura","Art/2DArt/BuffIcons/buffonfire.dds","[""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/Ignited.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/Ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[86],"","","",0,0,1,"",[]
28,"ion_cannon","Art/2DArt/BuffIcons/IonCannon.dds","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
29,"ion_cannon_aura","Art/2DArt/BuffIcons/IonCannon.dds","[""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/shocked.epk"",""Metadata/Effects/StatusAilments/monsters/large_monsters/shocked.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
30,"frost_ion_cannon","Art/2DArt/BuffIcons/GalvanicFrost.dds","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
31,"frost_ion_cannon_aura","Art/2DArt/BuffIcons/GalvanicFrost.dds","[""Metadata/Effects/StatusAilments/Chilled.epk""]",[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
32,"invisible_fire_aura","Art/2DArt/BuffIcons/MalachaisWanderingDegen.dds","[""Metadata/Effects/StatusAilments/malachai_ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
33,"invisible_fire","Art/2DArt/BuffIcons/MalachaisWanderingDegen.dds","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
34,"invisible_holy_fire","Art/2DArt/BuffIcons/DivineFlare.dds","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
35,"invisible_holy_fire_aura","Art/2DArt/BuffIcons/DivineFlare.dds","[""Metadata/Effects/StatusAilments/white_ignited.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
36,"invisible_kitava_fire","Art/2DArt/BuffIcons/KitavaIgnite.dds","[""Metadata/Effects/StatusAilments/NoEffect.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
37,"invisible_kitava_fire_aura","Art/2DArt/BuffIcons/KitavaIgnite.dds","[""Metadata/Effects/StatusAilments/ignited_kitava.epk""]","[""Metadata/Effects/StatusAilments/NoEffect.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
38,"fire_weapon","Art/2DArt/BuffIcons/buffonfire.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
39,"frost_blaze","Art/2DArt/BuffIcons/buffspeed.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
40,"frenzy_charge","Art/2DArt/BuffIcons/chargedex.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[2],"","","",0,0,"","",[]
41,"endurance_charge","Art/2DArt/BuffIcons/chargestr.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[0],"","","",0,0,"","",[]
42,"power_charge","Art/2DArt/BuffIcons/chargeint.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[6],"","","",0,0,"","",[]
43,"spirit_charge","Art/2DArt/BuffIcons/SpiritCharge.dds",[],[],[38],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[9],"","","",0,0,"","",[]
44,"siphoning_charge","Art/2DArt/BuffIcons/ElderSipho.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[10],"","","",0,0,"","",[]
45,"void_arrow","Art/2DArt/SkillIcons/VoidShotSkill.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[11],"","","",0,0,"","",[]
46,"divine_charge","Art/2DArt/BuffIcons/DivineCharge.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[12],"","","",0,0,"","",[]
47,"inspiration_charge","Art/2DArt/BuffIcons/InspirationCharge.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[13],"","","",0,0,"","",[]
48,"hillock_buff","Art/2DArt/BuffIcons/buffrage.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
49,"flask_bonus_movement_speed","Art/2DArt/BuffIcons/buffspeed.dds","[""Metadata/Effects/misc/flask_effects/sprint/sprint.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
50,"flask_bonus_curse_immunity","Art/2DArt/BuffIcons/cantcurse.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[44],"","","",0,0,"","",[]
51,"flask_bonus_evasion_rating","Art/2DArt/BuffIcons/Evasion.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
52,"spectre_buff","","[""Metadata/Effects/StatusAilments/spells/raise_specter_02/monster.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
53,"viper_strike_orb","Art/2DArt/SkillIcons/iconpoisoned.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[87],"","","",0,0,"","",[]
54,"phase_run","Art/2DArt/SkillIcons/iconphaserun.dds","[""Metadata/Effects/StatusAilments/spells/phase_run/epk.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
55,"frostwall_epk","","[""Metadata/Effects/StatusAilments/spells/frostwall/frostwallepk.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
56,"monster_magic_effect_buff","","[""Metadata/Effects/StatusAilments/monsters/champions/blue/blue.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
57,"monster_rare_effect_buff","","[""Metadata/Effects/StatusAilments/monsters/champions/gold/gold.epk"",""Metadata/Effects/StatusAilments/monsters/champions/gold/gold_large.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
58,"monster_nemesis_effect_buff","","[""Metadata/Effects/StatusAilments/monsters/champions/orange/orange.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
59,"monster_bloodlines_effect_buff","","[""Metadata/Effects/StatusAilments/monsters/champions/purple/purple.epk""]",[],[1],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,1,"",[]
60,"monster_bestiary_effect_buff","","[""Metadata/Effects/Spells/monsters_effects/League_Bestiary/EPKs/rare_beasts/bestiary_effect.epk""]",[],[41],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
61,"fuse_arrow_orb","Art/2DArt/SkillIcons/fusearrow.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
62,"curse_temporal_chains","Art/2DArt/SkillIcons/temporalchains.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/temporal_chains.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[19],"","","",0,0,"","",[]
63,"curse_temporal_chains_talisman","Art/2DArt/SkillIcons/temporalchains.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/zone_chains.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[19],"","","",0,0,"","",[]
64,"curse_elemental_weakness","Art/2DArt/SkillIcons/elementalweakness.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/ele_weakness.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[26],"","","",0,0,"","",[]
65,"curse_elemental_weakness_talisman","Art/2DArt/SkillIcons/elementalweakness.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/zone_eleweak.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[26],"","","",0,0,"","",[]
66,"curse_fire_weakness","Art/2DArt/SkillIcons/Flammability.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/flammability.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[29],"","","",0,0,"","",[]
67,"curse_cold_weakness","Art/2DArt/SkillIcons/Frostbite.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/frostbite.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[30],"","","",0,0,"","",[]
68,"curse_cold_weakness_aura","Art/2DArt/SkillIcons/Frostbite.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/frostbite_loop.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[30],"","","",0,0,"","",[]
69,"curse_lightning_weakness","Art/2DArt/SkillIcons/Conductivity.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/conductivity.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[31],"","","",0,0,"","",[]
70,"curse_lightning_weakness_talisman","Art/2DArt/SkillIcons/Conductivity.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/conductivity_loop.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[31],"","","",0,0,"","",[]
71,"curse_warlords_mark","Art/2DArt/SkillIcons/WarLordsMark.dds","[""Metadata/Effects/Spells/curses_02/marks/mark_warlord.epk""]","[""Metadata/Effects/Spells/curse_aura/warlords_mark/warlords_mark.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[38],"","","",0,0,"","",[]
72,"curse_punishment","Art/2DArt/SkillIcons/punishment.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/punishment.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[33],"","","",0,0,"","",[]
73,"curse_punishment_talisman","Art/2DArt/SkillIcons/punishment.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/zone_punishment.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[33],"","","",0,0,"","",[]
74,"curse_enfeeble","Art/2DArt/SkillIcons/enfeeble.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/enfeeble.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[22],"","","",0,0,"","",[]
75,"curse_enfeeble_talisman","Art/2DArt/SkillIcons/enfeeble.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/zone_enfeeble.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[22],"","","",0,0,"","",[]
76,"curse_assassins_mark","Art/2DArt/SkillIcons/AssassinsMark.dds","[""Metadata/Effects/Spells/curses_02/marks/mark_assassin.epk""]","[""Metadata/Effects/Spells/curse_aura/assassins_mark/assassinsMarkAura.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[39],"","","",0,0,"","",[]
77,"curse_projectile_weakness","Art/2DArt/SkillIcons/projectileweakness.dds","[""Metadata/Effects/Spells/curses_02/marks/mark_sniper.epk""]","[""Metadata/Effects/Spells/curse_aura/projectile_weakness/projectile_weakness.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[40],"","","",0,0,"","",[]
78,"curse_vulnerability","Art/2DArt/SkillIcons/vulnerability.dds",[],"[""Metadata/Effects/Spells/supports/blasphemy/vulnerability.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[23],"","","",0,0,"","",[]
79,"curse_vulnerability_talisman","Art/2DArt/SkillIcons/vulnerability.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/zone_vulnerability.epk""]",[0],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[23],"","","",0,0,"","",[]
80,"curse_poachers_mark","Art/2DArt/SkillIcons/PoachersMark.dds","[""Metadata/Effects/Spells/curses_02/marks/mark_poacher.epk""]","[""Metadata/Effects/Spells/curse_aura/poachers_mark/poachers_mark.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[41],"","","",0,0,"","",[]
81,"curse_alchemists_mark","Art/2DArt/SkillIcons/AlchemistsMark.dds","[""Metadata/Effects/Spells/curses_02/marks/mark_alchemy.epk""]",[],[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[42],"","","",0,0,"","",[]
82,"doedre_curse_aura_temporal_chains","Art/2DArt/SkillIcons/temporalchains.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/temporal_chains.epk""]",[8],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[19],"","","",0,0,"","",[]
83,"doedre_curse_aura_vulnerability","Art/2DArt/SkillIcons/vulnerability.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/vulnerability.epk""]",[8],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[23],"","","",0,0,"","",[]
84,"coedre_curse_aura_enfeeble","Art/2DArt/SkillIcons/enfeeble.dds",[],"[""Metadata/Effects/Spells/monsters_effects/aura/curse_aura_zone/enfeeble.epk""]",[8],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[22],"","","",0,0,"","",[]
85,"CarlsTestCheat","Art/2DArt/SkillIcons/iconbash.dds",[],[],[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
86,"monster_aura_physical_thorns","Art/2DArt/BuffIcons/invulnerability.dds","[""Metadata/Effects/StatusAilments/auras/monster_auras/monster_buffed/thorns.epk""]","[""Metadata/Effects/StatusAilments/auras/monster_auras/thorns.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
87,"monster_aura_elemental_thorns","Art/2DArt/BuffIcons/invulnerability.dds","[""Metadata/Effects/StatusAilments/auras/monster_auras/monster_buffed/spell_thorns.epk""]","[""Metadata/Effects/StatusAilments/auras/monster_auras/spell_thorns.epk""]",[],"","","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
88,"monster_aura_medium_physical_damage","Art/2DArt/SkillIcons/auradamage.dds","[""Metadata/Effects/StatusAilments/auras/monster_auras/monster_buffed/medium_damage.epk""]","[""Metadata/Effects/StatusAilments/auras/monster_auras/medium_damage.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
89,"monster_aura_large_physical_damage","Art/2DArt/SkillIcons/auradamage.dds","[""Metadata/Effects/StatusAilments/auras/monster_auras/monster_buffed/heavy_damage.epk""]","[""Metadata/Effects/StatusAilments/auras/monster_auras/high_damage.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
90,"monster_aura_speed","Art/2DArt/SkillIcons/auraspeed.dds","[""Metadata/Effects/StatusAilments/auras/monster_auras/monster_buffed/faster_runattack.epk""]","[""Metadata/Effects/StatusAilments/auras/monster_auras/faster_attackrun.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
91,"monster_aura_life_regen","Art/2DArt/SkillIcons/auraregen.dds","[""Metadata/Effects/Spells/monsters_effects/aura/monster_buff/life_regen/life_regen_buff.epk""]","[""Metadata/Effects/StatusAilments/auras/monster_auras/life_regen.epk""]",[],1,"","","","","","","","","","","","","","","","","","","","","","","","","",[],[],[],"","","",0,0,"","",[]
