"rownum","Id","ItemClassesKey","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool_229","rid_230","rid_246","bool_262","TradeMarketCategory","Unmodifiable","Achievement","[rid]_296","IgnoreQuantBonus","bool_313","rid_314"
18,"Metadata/Items/Currency/CurrencyGemQuality",30,1,1,"Gemcutter's Prism","Prisme de lapidaire","Prisma des Gemmenschneiders","宝石細工師のプリズム","세공사의 프리즘","Prisma do Lapidário","Призма камнереза","Prisma del tallador de gemas","Gemcutter's Prism","寶石匠的稜鏡","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[348],39,1,25,128553707,[7734],"","M","N","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
19,"Metadata/Items/Currency/CurrencyRerollSocketColours",30,1,1,"Chromatic Orb","Orbe chromatique","Färbungssphäre","色彩のオーブ","색채의 오브","Orbe Cromático","Цветная сфера","Orbe cromático","Chromatic Orb","幻色石","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[1187],39,1,34,471734571,[10114],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
20,"Metadata/Items/Currency/CurrencyRerollSocketLinks",30,1,1,"Orb of Fusing","Orbe de fusion","Verbindungssphäre","結合のオーブ","연결의 오브","Orbe da Fusão","Сфера соединения","Orbe de fusión","Orb of Fusing","鏈結石","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[],39,1,35,-954468979,"[10175,10446]","","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
21,"Metadata/Items/Currency/CurrencyRerollSocketNumbers",30,1,1,"Jeweller's Orb","Orbe de joaillier","Sphäre des Goldschmieds","宝飾職人のオーブ","쥬얼러 오브","Orbe do Joalheiro","Сфера златокузнеца","Orbe de joyero","Jeweller's Orb","工匠石","Metadata/Items/Currency/StackableCurrency",8,"",[],1,34,[1187],39,1,36,-577668719,[10115],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
22,"Metadata/Items/Currency/CurrencyModValues",30,1,1,"Divine Orb","Orbe divin","Göttliche Sphäre","神のオーブ","신성한 오브","Orbe Divino","Божественная сфера","Orbe divino","Divine Orb","神聖石","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,1,37,-2147189507,[8308],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
23,"Metadata/Items/Currency/CurrencyRerollImplicit",30,1,1,"Blessed Orb","Orbe béni","Gesegnete Sphäre","祝福のオーブ","축복의 오브","Orbe Abençoado","Благодатная сфера","Orbe bendito","Blessed Orb","祝福石","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,1,38,764311090,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
24,"Metadata/Items/Currency/CurrencyRerollDefences",30,1,1,"Sacred Orb","Orbe sacré","Heilige Sphäre","聖なるオーブ","성스러운 오브","Orbe Sagrado","Священная сфера","Orbe sagrado","Sacred Orb","聖玉","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,1,39,1784206883,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
25,"Metadata/Items/Currency/CurrencyMapQuality",30,1,1,"Cartographer's Chisel","Burin de cartographe","Meißel des Kartographen","地図職人のたがね","지도제작자의 끌","Cinzel do Cartógrafo","Резец картографа","Cincel del cartógrafo","สิ่วนักเขียนแผนที่","製圖釘","Metadata/Items/Currency/StackableCurrency",52,"",[],1,34,[348],39,1,5,-601787753,[7485],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],1,1,""
26,"Metadata/Items/Currency/CurrencyMapQualityRarity",30,1,1,"Maven's Chisel of Procurement","Burin de la Prodige de l'Acquisition","Seherinmeißel der Beschaffung","メイヴェンの調達のたがね","조달의 메이븐의 끌","Cinzel da Maven da Aquisição","Резец Мейвен добычи","Cincel de la Especialista de adquisición","สิ่วเมเวน แห่งการสรรหา","釋界之採購鑿","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],39,1,6,1690079790,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
27,"Metadata/Items/Currency/CurrencyMapQualityPackSize",30,1,1,"Maven's Chisel of Proliferation","Burin de la Prodige de la Prolifération","Seherinmeißel der Durchdringung","メイヴェンの増殖のたがね","확산의 메이븐의 끌","Cinzel da Maven da Proliferação","Резец Мейвен размножения","Cincel de la Especialista de proliferación","สิ่วเมเวน แห่งการแพร่พันธุ์","釋界之增值鑿","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],39,1,7,845782299,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
28,"Metadata/Items/Currency/CurrencyMapQualityDivinationCards",30,1,1,"Maven's Chisel of Divination","Burin de la Prodige de la Divination","Seherinmeißel der Weissagung","メイヴェンの占いのたがね","점술의 메이븐의 끌","Cinzel da Maven da Adivinhação","Резец Мейвен предсказания","Cincel de la Especialista de adivinación","สิ่วเมเวน แห่งการพยากรณ์","釋界之占卜鑿","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],39,1,8,1208659103,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
29,"Metadata/Items/Currency/CurrencyMapQualityScarabs",30,1,1,"Maven's Chisel of Scarabs","Burin de la Prodige des Scarabées","Seherinmeißel der Skarabäen","メイヴェンのスカラベのたがね","갑충석의 메이븐의 끌","Cinzel da Maven dos Escaravelhos","Резец Мейвен скарабеев","Cincel de la Especialista de escarabajos","สิ่วเมเวน แห่งสคารับ","釋界之聖甲蟲鑿","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],39,1,9,-1321220821,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
30,"Metadata/Items/Currency/CurrencyMapQualityCurrency",30,1,1,"Maven's Chisel of Avarice","Burin de la Prodige de l'Avarice","Seherinmeißel der Habgier","メイヴェンの強欲のたがね","탐욕의 메이븐의 끌","Cinzel da Maven da Avareza","Резец Мейвен алчности","Cincel de la Especialista de avaricia","สิ่วเมเวน แห่งความละโมบ","釋界之貪婪鑿","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],39,1,10,-1030970480,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
31,"Metadata/Items/Currency/CurrencyIdentificationShard",30,1,1,"Scroll Fragment","Fragment de parchemin","Schriftrollenfragment","巻物の断片","주문서 조각","Pedaço de Pergaminho","Обрывок свитка","Fragmento de pergamino","ชิ้นส่วน Scroll","卷軸碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],39,0,30,1594034883,[],"","M","N","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
32,"Metadata/Items/Currency/CurrencyUpgradeToMagicShard",30,1,1,"Transmutation Shard","Éclat de transmutation","Umwandlungsscherbe","変成の欠片","진화의 파편","Lasca de Transmutação","Осколок превращения","Esquirla de transmutación","เศษ Transmutation","蛻變石碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],39,0,31,1280989466,[],"","M","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
33,"Metadata/Items/Currency/CurrencyRerollMagicShard",30,1,1,"Alteration Shard","Éclat d'altération","Scherbe der Veränderung","改変の欠片","변화의 파편","Lasca de Alteração","Осколок перемен","Esquirla de alteración","เศษ Alteration","改造石碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],39,0,32,216495198,[],"","M","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
34,"Metadata/Items/Currency/CurrencyUpgradeToRareShard",30,1,1,"Alchemy Shard","Éclat d'alchimie","Scherbe der Alchemie","錬金術の欠片","연금술의 파편","Lasca de Alquimia","Осколок алхимии","Esquirla de alquimia","เศษ Alchemy","點金石碎片","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[231],39,0,33,-1225932478,[],"","M","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
35,"Metadata/Items/Currency/CurrencyRhoaFeather",30,1,1,"Albino Rhoa Feather","Plume de rhoa albinos","Albino-Rhoa-Feder","アルビノロアの羽根","흰 로아 깃털","Pena de Rhoa Albino","Перо белого роа","Pluma de rhoa albino","Albino Rhoa Feather","白化的羽毛","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],39,0,40,2003183108,[],"","F","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
36,"Metadata/Items/Currency/CurrencyImprintOrb",30,1,1,"Eternal Orb","Orbe éternel","Sphäre der Ewigkeit","永遠のオーブ","영원의 오브","Orbe Eterno","Сфера вечного","Orbe eterno","Eternal Orb","永恆寶珠","Metadata/Items/Currency/StackableCurrency",40,"",[],1,34,[],39,0,41,1639118317,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
37,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Empreinte","Abdruck","インプリント","각인","Gravação","Слепок","Copia","Imprint","印記","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,42,-1778209926,[],"","F","M","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
38,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Orbe vaal","Vaalsphäre","ヴァールオーブ","바알 오브","Orbe Vaal","Сфера ваал","Orbe vaal","Vaal Orb","瓦爾寶珠","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],39,1,43,118945160,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
39,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Enchantement","Verzaubern","エンチャント","인챈트","Encantamento","Зачарование","Encantamiento","เอนแชนท์","符咒","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,45,1105850261,[],"","M","N","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
40,"Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt",30,1,1,"Tainted Blessing","Bénédiction impure","Korrosiver Segen","汚染された祝福","더럽혀진 축복","Bênção Impura","Порочное благословение","Bendición contaminada","Tainted Blessing","玷污的祝福","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,0,46,-414791514,[],"","F","M","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
41,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Corruption","Verderben","コラプト","타락","Corrompido","Осквернение","Corrupción","ใส่มลทิน","腐化","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,47,-373756366,[],"","F","N","","","M","","F","","","","",[],[],"","","","","","","",[],[],"","",""
42,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Corruption","Verderben","コラプト","타락","Corrompido","Осквернение","Corrupción","ใส่มลทิน","腐化","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,48,770737543,[],"","F","N","","","M","","F","","","","",[],[],"","","","","","","",[],[],"","",""
43,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Corruption","Verderben","コラプト","타락","Corrompido","Осквернение","Corrupción","ใส่มลทิน","腐化","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,49,-350425493,[],"","F","N","","","M","","F","","","","",[],[],"","","","","","","",[],[],"","",""
44,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Pièce de Pérandus","Perandus-Münze","ペランダスのコイン","페란두스 코인","Moeda Perandus","Монета Перандусов","Moneda Perandus","เหรียญเพแรนดัส","普蘭德斯金幣","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],39,0,50,869188640,[],"","F","F","","","F","","F","","","","",[],[],"","","","",1,"","",[],[],"","",""
45,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Pièce d'argent","Silbermünze","銀のコイン","실버 코인","Moeda de Prata","Серебряная монета","Moneda de plata","เหรียญเงิน","銀幣","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],39,0,51,-1627937231,[],"","F","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
46,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Prophétie","Prophezeiung","予言","예언","Profecia","Пророчество","Profecía","Prophecy","預言","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,85,1684876054,[],"","F","F","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
47,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Orbe du Bestiaire","Bestiarium-Sphäre","怪獣のオーブ","야수의 오브","Orbe do Bestiário","Сфера Бестиария","Orbe Bestiary","Bestiary Orb","獸魂玉","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],39,1,86,-642231840,[],"","M","F","","","M","","F","","","","",[],[],"","","","","","","",[],[],"","",""
48,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Empreinte d'Orbe du Bestiaire","Geprägte Bestiarium-Sphäre","刻印された怪獣のオーブ","각인된 야수의 오브","Orbe Gravado do Bestiário","Запечатанная сфера Бестиария","Orbe Bestiary Copiado","Imprinted Bestiary Orb","拓印獸魂玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,1,87,1322399661,[],"","F","F","","","M","","F","","","","",[],[],"","","","","","","",[],[],"","",""
49,"Metadata/Items/Currency/CurrencyItemiseNecropolisCorpse",30,2,1,"Empty Coffin","Cercueil vide","Leerer Sarg","空の棺","빈 관","Caixão Vazio","Пустой гроб","Ataúd vacío","โลงว่างเปล่า","空靈柩","Metadata/Items/Currency/StackableCurrency",1,"",[],1,580,[],39,0,88,-801205418,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
50,"Metadata/Items/Currency/CurrencyItemisedNecropolisCorpse",30,2,1,"Filled Coffin","Cercueil rempli","Belegter Sarg","満たされた棺","채워진 관","Caixão Ocupado","Заполненный гроб","Ataúd ocupado","โลงบรรจุศพ","滿靈柩","Metadata/Items/Currency/StackableCurrency",1,"",[],1,582,[],39,0,89,-1617388099,[],"","M","M","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
51,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Boussole d'arpenteur","Kompass des Vermessers","測量技師のコンパス","측량사의 나침반","Bússola do Pesquisador","Компас топографа","Brújula del inspector","เข็มทิศนักสำรวจ","調查員的羅盤","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],39,0,90,-35579070,[],"","M","M","","","F","","F","","","","",[],[],"","","","","","","",[],[],"","",""
52,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Boussole chargée","Geladener Kompass","充填されたコンパス","충전된 나침반","Bússola Energizada","Заряженный компас","Brújula cargada","เข็มทิศเพิ่มพลัง","充能的羅盤","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,91,1338342621,[],"","M","M","","","F","","F","","","","",[],[],190,"","","","","","",[],[],"","",""
53,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Lentille de reclassement principal","Primäre Refraktionslinse","一級再評価のレンズ","1차 재보정 렌즈","Lente Reclassificatória Primária","Первичная профилирующая линза","Lente reclasificador principal","Prime Regrading Lens","初階篩分之鏡","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,92,952467265,[],"","F","F","","","FP","","M","","","","",[],[],"","","","","","","",[],[],"","",""
54,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Lentille de reclassement secondaire","Sekundäre Refraktionslinse","二級再評価のレンズ","2차 재보정 렌즈","Lente Reclassificatória Secundária","Вторичная профилирующая линза","Lente reclasificador secundario","Secondary Regrading Lens","次階篩分之鏡","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,0,93,-758415450,[],"","F","F","","","FP","","M","","","","",[],[],"","","","","","","",[],[],"","",""
55,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Orbe d'acier trempé","Sphäre der Vergütung","焼き戻しのオーブ","단조 오브","Orbe da Modificação","Сфера закалки","Orbe de herrería","Tempering Orb","淬鍊石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,1,94,1432765449,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
56,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Orbe de confection","Sphäre der Gewandung","仕立てのオーブ","재단 오브","Orbe do Alfaiate","Сфера подгонки","Orbe de sastrería","Tailoring Orb","裁縫石","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,1,95,1575994632,[],"","M","F","","","M","","M","","","","",[],[],"","","","","","","",[],[],"","",""
57,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Orbe raffiné de Délire","Edle Sphäre des Deliriums","上質なデリリウムオーブ","양질의 환영의 오브","Orbe Delirante Refinado","Прекрасная сфера Делириума","Orbe de delirio elegante","ลูกแก้วเดลิเรียมประณีต","精良之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,1,96,-1948343582,[],"","M","F","","","M","","M","","","","",[],[],"","","","","",54,"",[],[],"","",""
58,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Orbe singulier de Délire","Einmalige Sphäre des Deliriums","希少なデリリウムオーブ","비범한 환영의 오브","Orbe Delirante Singular","Необычная сфера Делириума","Orbe de delirio singular","ลูกแก้วเดลิเรียมเอกเทศ","卓越之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,1,97,-1964846163,[],"","M","F","","","M","","M","","","","",[],[],"","","","","",54,"",[],[],"","",""
59,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Orbe thaumaturgique de Délire","Thaumaturgische Sphäre des Deliriums","魔術師のデリリウムオーブ","마석학자의 환영의 오브","Orbe Delirante do Taumaturgo","Волшебная сфера Делириума","Orbe de delirio del taumaturgo","ลูกแก้วเดลิเรียมจอมเวทมณี","奇術之譫妄玉","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],39,1,98,-1933705530,[],"","M","F","","","M","","M","","","","",[],[],"","","","","",54,"",[],[],"","",""
