"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","SupportName (French)","SupportName (German)","SupportName (Japanese)","SupportName (Korean)","SupportName (Portuguese)","SupportName (Russian)","SupportName (Spanish)","SupportName (Thai)","SupportName (Traditional Chinese)","GemTags","Consumed_ModsKey","ItemColor"
19,"ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY","[DNT] ChargedDashAltY",9280,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,22,14,30,13,7,2]","",2
20,"BladeFlurry","","","","","","","","","","",5807,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,30,7]","",5
21,"BladeFlurryAltX","Blade Flurry of Incision","Déluge de lames de l'Incision","Klingentanz des Einschnitts","切開のブレードフラリィ","절개의 질풍의 칼날","Rajada de Lâminas da Incisão","Порыв клинков надреза","Aluvión de filos de incisión","เพลงดาบเกรียวกราวแห่งการลงมีด (Blade Flurry of Incision)","刀鋒亂舞．切割",5808,"","","","","","","","","","","","","","","","","","","","","","","","[47,10,25,13,14,30,7]","",1
22,"BladeFlurryAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY","[DNT] ChargedAttackAltY",5809,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,30,7]","",2
23,"Sweep","","","","","","","","","","",116,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,2]","",5
24,"SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX","[DNT] SweepAltX",117,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,2]","",1
25,"SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY","[DNT] SweepAltY",118,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,2]","",2
26,"DiscorectangleSlam","","","","","","","","","","",8557,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7]","",5
27,"VaalSweep","","","","","","","","","","",120,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,24]","",5
28,"WandTeleport","","","","","","","","","","",5896,"","","","","","","","","","","","","","","","","","","","","","","","[25,4,5,22]","",5
29,"GroundSlam","","","","","","","","","","",9359,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,40]","",5
30,"GroundSlamAltX","Ground Slam of Earthshaking","Fracas tellurique de la Secousse","Schmetterhieb der Erderschütterungen","動地のグラウンドスラム","지동의 대지 강타","Impacto Sísmico do Tremor","Сотрясение земли","Impacto sísmico de sacudida","ทุบพื้นแห่งแผ่นดินไหว (Ground Slam of Earthshaking)","裂地之擊．地震",9360,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,40]","",1
31,"GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY","[DNT] GroundSlamAltY",9361,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,40]","",2
32,"VaalGroundSlam","","","","","","","","","","",9369,"",9359,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,24,40]","",5
33,"VaalGroundSlamAltX","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","วาล์ ทุบพื้น (Vaal Ground Slam)","瓦爾．裂地之擊",9369,"",9360,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,24,40]","",1
34,"VaalGroundSlamAltY","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","วาล์ ทุบพื้น (Vaal Ground Slam)","瓦爾．裂地之擊",9369,"",9361,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7,24,40]","",2
35,"Cleave","","","","","","","","","","",185,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7]","",5
36,"CleaveAltX","Cleave of Rage","Taillade de la Rage","Spalten des Rausches","憤怒のクリーヴ","격노의 회전베기","Cutilada da Fúria","Рассечение свирепости","Hendidura de furia","ปาดแห่งความคลั่ง (Cleave of Rage)","劈砍．盛怒",186,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7]","",1
37,"CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY","[DNT] CleaveAltY",187,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,7]","",2
38,"ShieldCharge","","","","","","","","","","",210,213,"","","","","","","","","","","","","","","","","","","","","","","[9,25,13,7,14,22,35,33]","",5
39,"ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX","[DNT] ShieldChargeAltX",211,213,"","","","","","","","","","","","","","","","","","","","","","","[9,25,13,7,14,22,35,33]","",1
40,"ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY","[DNT] ShieldChargeAltY",212,213,"","","","","","","","","","","","","","","","","","","","","","","[9,25,13,7,14,22,35,33]","",2
41,"EnduringCry","","","","","","","","","","",262,"","","","","","","","","","","","","","","","","","","","","","","","[27,9,25,14,15]","",5
42,"DoubleStrike","","","","","","","","","","",274,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,33]","",5
43,"DoubleStrikeAltX","Double Strike of Impaling","Double frappe de l'Empalement","Doppelschlag des Aufspießens","串刺しのダブルストライク","꿰뚫기의 이중 타격","Golpe Duplo do Empalamento","Двойной удар прокола","Golpe doble de empalamiento","ฟาดสองทีแห่งการทิ่มแทง (Double Strike of Impaling)","雙重打擊．穿刺",275,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,33]","",1
44,"DoubleStrikeAltY","Double Strike of Momentum","Double frappe de l'Accélération","Doppelschlag des Momentums","モーメンタムのダブルストライク","기세의 이중 타격","Golpe Duplo do Impulso","Двойной удар импульса","Golpe doble de impulso","ฟาดสองทีแห่งโมเมนตัม (Double Strike of Momentum)","雙重打擊．氣勢",276,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36]","",2
45,"VaalDoubleStrike","","","","","","","","","","",9356,"",274,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,15,24,33]","",5
46,"VaalDoubleStrikeAltX","Vaal Double Strike","Double frappe vaal","Vaal-Doppelschlag","ヴァールダブルストライク","바알 이중 타격","Golpe Duplo Vaal","Двойной удар ваал","Golpe doble vaal","วาล์ ฟาดสองที (Vaal Double Strike)","瓦爾．雙重打擊",9356,"",275,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,15,24,33]","",1
47,"VaalDoubleStrikeAltY","Vaal Double Strike","Double frappe vaal","Vaal-Doppelschlag","ヴァールダブルストライク","바알 이중 타격","Golpe Duplo Vaal","Двойной удар ваал","Golpe doble vaal","วาล์ ฟาดสองที (Vaal Double Strike)","瓦爾．雙重打擊",9356,"",276,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,15,24,33]","",2
48,"Lacerate","","","","","","","","","","",5869,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,7,33]","",5
49,"LacerateAltX","Lacerate of Butchering","Lacération du Massacre","Zerfleischen des Schlachtens","屠殺のラセレイト","도살의 피부 찢기","Laceração da Carnificina","Разрубание туш","Lacerar de carnicería","ฉีกร่างแห่งการชำแหละ (Lacerate of Butchering)","破空斬．屠宰",5870,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,7]","",1
50,"LacerateAltY","Lacerate of Haemorrhage","Lacération de l'Hémorragie","Zerfleischen des Verblutens","出血のラセレイト","실혈의 피부 찢기","Laceração da Hemorragia","Разрубание кровоизлияния","Lacerar de hemorragia","ฉีกร่างแห่งการตกเลือด (Lacerate of Haemorrhage)","破空斬．出血",5871,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,7,33]","",2
51,"ElementalHit","","","","","","","","","","",284,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,0,1,2,14,45]","",5
52,"ElementalHitAltX","Elemental Hit of the Spectrum","Frappe élémentaire de la Nuance","Elementartreffer des Spektrums","分光のエレメンタルヒット","파장의 원소의 일격","Acerto Elemental do Espectro","Спектральный удар стихии","Golpe elemental del espectro","ปะทะด้วยธาตุแห่งสเปกตรัม (Elemental Hit of the Spectrum)","元素打擊．光譜",285,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,0,1,2,14,6]","",1
53,"ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY","[DNT] ElementalHitAltY",286,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36,0,1,2,14,45]","",2
54,"ImmortalCall","","","","","","","","","","",299,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,4,15,34]","",5
55,"VaalImmortalCall","","","","","","","","","","",301,"",299,"","","","","","","","","","","","","","","","","","","","","","[9,25,4,15,24,34]","",5
56,"DualStrike","","","","","","","","","","",307,"","","","","","","","","","","","","","","","","","","","","","","","[47,10,25,13,7,36]","",5
57,"DualStrikeAltX","Dual Strike of Ambidexterity","Frappes simultanées de l'Ambidextrie","Zweifachschlag der Beidhändigkeit","両利きのデュアルストライク","양손잡이의 쌍수 타격","Golpe Duplo da Ambidestria","Парный удар амбидекстрии","Golpe dual de ambidestreza","ฟาดคู่แห่งความถนัดสองมือ (Dual Strike of Ambidexterity)","雙持打擊．靈活",308,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36]","",1
58,"DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY","[DNT] DualStrikeAltY",309,"","","","","","","","","","","","","","","","","","","","","","","","[47,10,25,13,7,36]","",2
59,"WhirlingBlades","","","","","","","","","","",322,325,"","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,22,35]","",5
60,"WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX","[DNT] WhirlingBladesAltX",323,325,"","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,22,35]","",1
61,"WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY","[DNT] WhirlingBladesAltY",324,325,"","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,22,35]","",2
62,"Frenzy","","","","","","","","","","",360,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,6]","",5
63,"FrenzyAltX","Frenzy of Onslaught","Frénésie de l'Assaut","Raserei des Ansturms","猛攻のフレンジー","맹공의 격분","Frenesi da Agressividade","Бешенство боевого ража","Frenesí de fervor","ระห่ำแห่งการเร่งราวี (Frenzy of Onslaught)","狂怒．猛攻",361,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,7,36]","",1
64,"FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY","[DNT] FrenzyAltY",362,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,6]","",2
65,"DetonateDead","","","","","","","","","","",368,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,0]","",5
66,"DetonateDeadAltX","Detonate Dead of Scavenging","Explosion cadavérique du Charognard","Leichenexplosion der Plünderung","死体漁りのデトネートデッド","청소부의 시체 폭발","Detonar Morto da Limpeza","Подрыв трупа поглощения","Detonar muertos de carroña","ระเบิดมรณะแห่งการเก็บซาก (Detonate Dead of Scavenging)","屍體爆破．清洗",369,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,0]","",1
67,"DetonateDeadAltY","Detonate Dead of Chain Reaction","Explosion cadavérique de la Réaction en chaîne","Leichenexplosion der Kettenreaktion","連鎖反応のデトネートデッド","연쇄 반응의 시체 폭발","Detonar Morto da Reação em Cadeia","Подрыв трупа цепной реакции","Detonar muertos de reacción en cadena","ระเบิดมรณะแห่งปฏิกิริยาลูกโซ่ (Detonate Dead of Chain Reaction)","屍體爆破．連鎖",370,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,0]","",2
68,"VaalDetonateDead","","","","","","","","","","",9357,"",368,"","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,24,0]","",5
69,"VaalDetonateDeadAltX","Vaal Detonate Dead","Explosion cadavérique vaal","Vaal-Leichenexplosion","ヴァールデトネートデッド","바알 시체 폭발","Detonar Morto Vaal","Подрыв трупа ваал","Detonar muertos vaal","วาล์ ระเบิดมรณะ (Vaal Detonate Dead)","瓦爾．屍體爆破",9357,"",369,"","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,24,0]","",1
70,"VaalDetonateDeadAltY","Vaal Detonate Dead","Explosion cadavérique vaal","Vaal-Leichenexplosion","ヴァールデトネートデッド","바알 시체 폭발","Detonar Morto Vaal","Подрыв трупа ваал","Detonar muertos vaal","วาล์ ระเบิดมรณะ (Vaal Detonate Dead)","瓦爾．屍體爆破",9357,"",370,"","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,24,0]","",2
71,"VolatileDead","","","","","","","","","","",8547,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,0]","",5
72,"VolatileDeadAltX","Volatile Dead of Confinement","Cadavres instables du Confinement","Explosiver Tod der Begrenzung","拘束のヴォラタイルデッド","감금의 시체 불덩이","Morto Volátil do Confinamento","Заточённый нестабильный труп","Muertos volátiles de confinamiento","ศพไล่ระเบิดแห่งการจองจำ (Volatile Dead of Confinement)","致命之息．禁閉",8548,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,0,15]","",1
73,"VolatileDeadAltY","Volatile Dead of Seething","Cadavres instables du Bouillonnement","Explosiver Tod des Wimmelns","沸騰のヴォラタイルデッド","끓어오름의 시체 불덩이","Morto Volátil do Fervor","Бурлящий нестабильный труп","Muertos volátiles de ebullición","ศพไล่ระเบิดแห่งการพลุ่งพล่าน (Volatile Dead of Seething)","致命之息．沸騰",8549,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,14,0]","",2
74,"Unearth","","","","","","","","","","",8558,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,5,14,33]","",5
75,"SplitArrow","","","","","","","","","","",389,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,6]","",5
76,"SplitArrowAltX","Split Arrow of Splitting","Flèches multiples de la Division","Pfeilfächer der Spaltung","分裂のスプリットアロー","분할의 분할 화살","Flecha Dividida da Divisão","Расколотая стрела раскалывания","Flecha dividida de división","ศรแยกแห่งการแยก (Split Arrow of Splitting)","分裂箭矢．分裂",390,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,6]","",1
77,"SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY","[DNT] SplitArrowAltY",391,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,6]","",2
78,"SupportAddedFireDamage","","","","","","","","","","",610,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[0,33,9,16]",14352,5
79,"SupportFasterAttacks","","","","","","","","","","",611,"","","","Supports attack skills.","Modifie les aptitudes d'attaque.","Unterstützt Angriffsfertigkeiten.","アタックスキルをサポートする。","공격 스킬에 적용됩니다.","Suporta habilidades de ataque.","Усиливает умения атак.","Asiste habilidades de ataque.","ใช้เสริม สกิลโจมตี","輔助攻擊技能。","","","","","","","","","","","[13,10,16]",14447,5
80,"SupportGreaterMultipleProjectiles","","","","","","","","","","",613,"","","","Supports projectile skills.","Modifie les aptitudes à projectiles","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลโพรเจกไทล์","輔助投射物技能。","","","","","","","","","","","[10,16,5]",14391,5
81,"SupportLesserMultipleProjectiles","","","","","","","","","","",615,"","","","Supports projectile skills.","Modifie les aptitudes à projectiles","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลโพรเจกไทล์","輔助投射物技能。","","","","","","","","","","","[10,16,5]",14379,5
82,"SupportFasterProjectiles","","","","","","","","","","",617,"","","","Supports projectile skills.","Modifie les aptitudes à projectiles","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลโพรเจกไทล์","輔助投射物技能。","","","","","","","","","","","[10,16,5]",14367,5
83,"SupportAddedColdDamage","","","","","","","","","","",619,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[1,10,16]",14356,5
84,"SupportAdditionalAccuracy","","","","","","","","","","",621,"","","","Supports attack skills.","Modifie les aptitudes d'attaque.","Unterstützt Angriffsfertigkeiten.","アタックスキルをサポートする。","공격 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения атак.","Asiste habilidades de ataque.","ใช้เสริม สกิลโจมตี","輔助攻擊技能。","","","","","","","","","","","[13,10,16]",14358,5
85,"SupportIncreasedAreaofEffect","","","","","","","","","","",622,"","","","Supports any skill with an area of effect.","Modifie toutes les aptitudes avec une zone d'effet.","Unterstützt Wirkungsbereichsfertigkeiten.","効果範囲を持つスキルをサポートする。","효과 범위를 갖는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade com uma área de efeito.","Усиливает любое умение с областью действия.","Asiste cualquier habilidad que tenga un área de efecto.","ใช้เสริมสกิลที่มีพื้นที่ส่งผล","輔助任何範圍效果的技能。","","","","","","","","","","","[11,16,14]",14375,5
