"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32_24","f32_28","f32_32","string_36","string_44","ForegroundImage","OGGFile","rid_68","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96"
10,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier d'Expédition","Die Dekoration Expedition-Truhe ist jetzt in deinem Versteck verfügbar","エクスペディションロッカーが隠れ家で使用できるようになりました","이제 탐험 사물함 장식을 은신처에서 사용할 수 있습니다.","A decoração Armário Expedition já está disponível em seu Refúgio","Декоративный сундук Экспедиции теперь доступен в вашем убежище","La decoración Armario de Expedition ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์กองสำรวจ (Expedition Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：探險鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1770,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
11,"ArchnemesisModPanelUnlocked","Archnemesis Inventory now available","Inventaire de modificateurs d'Archinémésis débloqué","Archnemesis-Inventar ist jetzt verfügbar","アーチネメシスインベントリが使用可能です","이제 강적 소지품창을 사용할 수 있습니다.","Inventário Archnemesis já disponível","Доступен инвентарь Возмездия","Tu Inventario de Archnemesis ya está disponible","ช่องเก็บของอริคู่อาฆาต มีให้ใช้งานแล้ว","現在可使用宿敵倉庫","Art/2DArt/UIImages/InGame/GenericRewardBackground",1164,3,2,"","","Art/2DArt/UIImages/InGame/ArchnemesisStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
12,"AtlasMissionGeneric","{0} Craft Received","Option d'artisanat obtenue : {0}","{0} Anfertigung erhalten","{0} クラフトを受け取りました","{0} 제작법을 획득했습니다.","{0} Criação Recebida","Получено ремесленное свойство {0}","Has recibido la fabricación {0}","ได้รับการคราฟท์ {0}","已收到 {0} 個工藝","Art/2DArt/UIImages/InGame/AtlasMissionNotification",1770,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg","",-44,"","","","","","","","","","",""
13,"SentinelStashUnlocked","Sentinel Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Sentinelles","Die Dekoration Sentinel-Truhe ist jetzt in deinem Versteck verfügbar","センチネルロッカーが隠れ家で使用できるようになりました","이제 파수꾼 사물함 장식을 은신처에서 사용할 수 있습니다.","A decoração Armário Sentinela já está disponível em seu refúgio.","Декоративный шкаф с Часовыми теперь доступен в вашем убежище","La decoración Armario de Sentinel ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์หุ่นอารักษ์ (Sentinel Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：守望鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1770,3,2,"","","Art/2DArt/UIImages/InGame/SentinelStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
14,"LakeQuestMetaOption1","Mirrored Tablet can now Reroll a set of Choices","La Tablette miroir peut désormais Tirer au sort un nouvel ensemble de Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl neu würfeln","鏡の石板は選択のセットをリロールできるようになりました","이제 복제 서판에서 무작위 변경으로 선택지를 바꿀 수 있습니다.","Tábua Espelhada agora pode Re-rolar uma lista de Escolhas","Зеркальная табличка теперь может менять набор вариантов","La Placa reflejada ahora puede aleatorizar un conjunto de opciones","แผ่นหินสะท้อน สามารถสุ่มตัวเลือกชุดหนึ่งได้แล้ว","鏡像碑牌現在可以重骰選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1216,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
15,"LakeQuestMetaOption2","Mirrored Tablet can now Reroll a set of Choices","La Tablette miroir peut désormais Tirer au sort un nouvel ensemble de Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl neu würfeln","鏡の石板は選択のセットをリロールできるようになりました","이제 복제 서판에서 무작위 변경으로 선택지를 바꿀 수 있습니다.","Tábua Espelhada agora pode Re-rolar uma lista de Escolhas","Зеркальная табличка теперь может менять набор вариантов","La Placa reflejada ahora puede aleatorizar un conjunto de opciones","แผ่นหินสะท้อน สามารถสุ่มตัวเลือกชุดหนึ่งได้แล้ว","鏡像碑牌現在可以重骰選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1217,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
16,"LakeQuestMetaOption3","Mirrored Tablet can now Reroll a set of Choices","La Tablette miroir peut désormais Tirer au sort un nouvel ensemble de Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl neu würfeln","鏡の石板は選択のセットをリロールできるようになりました","이제 복제 서판에서 무작위 변경으로 선택지를 바꿀 수 있습니다.","Tábua Espelhada agora pode Re-rolar uma lista de Escolhas","Зеркальная табличка теперь может менять набор вариантов","La Placa reflejada ahora puede aleatorizar un conjunto de opciones","แผ่นหินสะท้อน สามารถสุ่มตัวเลือกชุดหนึ่งได้แล้ว","鏡像碑牌現在可以重骰選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1218,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsReroll","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
17,"LakeQuestMetaOption4","Mirrored Tablet can now Skip a Choice","La Tablette miroir peut désormais Ignorer un Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl überspringen","鏡の石板は選択をスキップできるようになりました","이제 복제 서판에서 선택지를 넘길 수 있습니다.","Tábua Espelhada agora pode Pular uma Escolha","Зеркальная табличка теперь может пропускать вариант","La Placa reflejada ahora puede saltar una opción","แผ่นหินสะท้อน สามารถข้ามตัวเลือกหนึ่งได้แล้ว","鏡像碑牌現在可以略過選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1219,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
18,"LakeQuestMetaOption5","Mirrored Tablet can now Skip a Choice","La Tablette miroir peut désormais Ignorer un Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl überspringen","鏡の石板は選択をスキップできるようになりました","이제 복제 서판에서 선택지를 넘길 수 있습니다.","Tábua Espelhada agora pode Pular uma Escolha","Зеркальная табличка теперь может пропускать вариант","La Placa reflejada ahora puede saltar una opción","แผ่นหินสะท้อน สามารถข้ามตัวเลือกหนึ่งได้แล้ว","鏡像碑牌現在可以略過選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1220,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
19,"LakeQuestMetaOption6","Mirrored Tablet can now Skip a Choice","La Tablette miroir peut désormais Ignorer un Choix","Die Gespiegelte Tafel kann jetzt eine Auswahl überspringen","鏡の石板は選択をスキップできるようになりました","이제 복제 서판에서 선택지를 넘길 수 있습니다.","Tábua Espelhada agora pode Pular uma Escolha","Зеркальная табличка теперь может пропускать вариант","La Placa reflejada ahora puede saltar una opción","แผ่นหินสะท้อน สามารถข้ามตัวเลือกหนึ่งได้แล้ว","鏡像碑牌現在可以略過選擇","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1221,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsSkip","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
20,"LakeQuestMetaOption7","Mirrored Tablet can now Exile a Reflection","La Tablette miroir peut désormais Bannir un Reflet","Die Gespiegelte Tafel kann jetzt eine Auswahl verbannen","鏡の石板は鏡像を追放できるようになりました","이제 복제 서판에서 투영을 추방할 수 있습니다.","Tábua Espelhada agora pode Exilar um Reflexo","Зеркальная табличка теперь может удалять отражение","La Placa reflejada ahora puede exiliar una opción","แผ่นหินสะท้อน สามารถทอดทิ้งภาพสะท้อนหนึ่งได้แล้ว","鏡像碑牌現在可以流放映像","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1222,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
21,"LakeQuestMetaOption8","Mirrored Tablet can now Exile a Reflection","La Tablette miroir peut désormais Bannir un Reflet","Die Gespiegelte Tafel kann jetzt eine Auswahl verbannen","鏡の石板は鏡像を追放できるようになりました","이제 복제 서판에서 투영을 추방할 수 있습니다.","Tábua Espelhada agora pode Exilar um Reflexo","Зеркальная табличка теперь может удалять отражение","La Placa reflejada ahora puede exiliar una opción","แผ่นหินสะท้อน สามารถทอดทิ้งภาพสะท้อนหนึ่งได้แล้ว","鏡像碑牌現在可以流放映像","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1223,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
22,"LakeQuestMetaOption9","Mirrored Tablet can now Exile a Reflection","La Tablette miroir peut désormais Bannir un Reflet","Die Gespiegelte Tafel kann jetzt eine Auswahl verbannen","鏡の石板は鏡像を追放できるようになりました","이제 복제 서판에서 투영을 추방할 수 있습니다.","Tábua Espelhada agora pode Exilar um Reflexo","Зеркальная табличка теперь может удалять отражение","La Placa reflejada ahora puede exiliar una opción","แผ่นหินสะท้อน สามารถทอดทิ้งภาพสะท้อนหนึ่งได้แล้ว","鏡像碑牌現在可以流放映像","Art/2DArt/UIImages/InGame/Lake/LakeRewardBackground",1274,3,2,"","","Art/2DArt/UIImages/InGame/Lake/LakeRewardIconsBanish","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
23,"SanctumRelicSlotUnlock1","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1013,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
24,"SanctumRelicSlotUnlock3","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1015,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
25,"SanctumRelicSlotUnlock5","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1017,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
26,"SanctumRelicSlotUnlock7","Relic Altar Slots Unlocked","Emplacements débloqués dans l'Autel des Reliques","Altar-Plätze für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокированы ячейки алтаря реликвий","Espacios de reliquias del Altar desbloqueados","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1020,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
27,"SanctumRelicSlotUnlock9","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1022,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
28,"SanctumRelicSlotUnlock10","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1023,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
29,"SanctumRelicSlotUnlock11","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1024,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
30,"SanctumRelicSlotUnlock12","Relic Altar Slot Unlocked","Emplacement débloqué dans l'Autel des Reliques","Altar-Platz für Relikte freigeschaltet","レリックの祭壇のスロットがアンロックされました","유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Destrancado","Разблокирована ячейка алтаря реликвий","Espacio de reliquia del Altar desbloqueado","ปลดล็อก ช่องในแท่นวัตถุตกทอด แล้ว","解鎖聖物祭壇欄位","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1025,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
31,"SanctumSpecialRelicSlotUnlocked","Sanctified Relic Altar Slot Unlocked","Emplacement de Relique Sanctifiée débloqué dans l'Autel des Reliques","Altar-Platz für Heilige Relikte freigeschaltet","聖別されたレリックの祭壇のスロットがアンロックされました","축성된 유물 제단 슬롯을 개방했습니다","Espaço de Altar das Relíquias Santificado Destrancado","Разблокирована ячейка алтаря реликвий под освященную реликвию","Espacio de reliquia santificada del Altar desbloqueado","ปลดล็อก ช่องใส่แท่นวัตถุตกทอดบริสุทธิ์ แล้ว","解鎖神化聖物祭壇","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1030,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsRelicSlot","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
32,"SanctumRelicLockerUnlocked","Relic Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de Reliques","Die Dekoration Relikt-Truhe ist jetzt in deinem Versteck verfügbar","レリックロッカー装飾品が隠れ家で使用できるようになりました","이제 유물 사물함 장식을 은신처에서 사용할 수 있습니다.","Decoração Armário de Relíquias agora está disponível no seu Refúgio","Декоративный сундук с реликвиями теперь доступен в вашем убежище","La decoración Cofre de reliquias ya está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์วัตถุตกทอด (Relic Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","裝飾物：聖物鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1011,3,2,"","","Art/2DArt/UIImages/InGame/SanctumStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
