"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","NodeIcon","Stats","StatValues","HASH16","PassiveBG","Effect","Type","Limit","RequiresAdjacent","MaxAdjacent","AllocatedPassiveSkill"
10,"Kitava4","Tattoo of the Kitava Heart Eater","Tatouage du Mange-cœur de Kitava","Tätowierung des Kitava-Herzenfressers","キタヴァの心臓喰らいのタトゥー","키타바 심장 포식자의 문신","Tatuagem do Devorador de Corações de Kitava","Татуировка Пожирателя сердец Китавы","Tatuaje de comecorazones de Kitava","ลายสัก ผู้กินหัวใจคิทาวา","奇塔弗嗜心者的紋身","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[18921],[4],21336,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
11,"Kitava5","Tattoo of the Kitava Shaman","Tatouage du Chaman de Kitava","Tätowierung des Kitava-Schamanen","キタヴァのシャーマンのタトゥー","키타바 주술사의 문신","Tatuagem do Xamã de Kitava","Татуировка Шамана Китавы","Tatuaje de chamán de Kitava","ลายสัก คนทรงคิทาวา","奇塔弗薩滿的紋身","Art/2DArt/SkillIcons/passives/SkillscostingLifenode.dds",[3625],[5],47008,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",0,0,""
12,"Kitava6","Loyalty Tattoo of Utula","Tatouage de Loyauté d'Utula","Stammestätowierung von Utula","ウトゥーラの忠誠のタトゥー","우툴라의 충성 문신","Tatuagem de Lealdade a Utula","Татуировка верности Утуле","Tatuaje de lealtad a Utula","ลายสักภักดี อูทูล่า","烏圖拉的忠誠紋身","Art/2DArt/SkillIcons/KitavaTribeSkill.dds","[18777,18809]","[1,1]",26885,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG",75544,1,0,0,0,""
13,"Kitava7","Tattoo of the Kitava Makanga","Tatouage du Makanga de Kitava","Tätowierung des Kitava-Makangas","キタヴァのマカンガのタトゥー","키타바 마캉가의 문신","Tatuagem da Makanga de Kitava","Татуировка Маканги Китавы","Tatuaje de makanga de Kitava","ลายสัก มาคันกะคิทาวา","奇塔弗鑄造的紋身","Art/2DArt/SkillIcons/passives/lifegainpertarget.dds",[9237],[80],59957,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/KitavaTribePassiveBG","",3,"",7,0,""
14,"Tukohama1","Tattoo of the Tukohama Shaman","Tatouage du Chaman de Tukohama","Tätowierung des Tukohama-Schamanen","トゥコハマのシャーマンのタトゥー","투코하마 주술사의 문신","Tatuagem do Xamã de Tukohama","Татуировка Шамана Тукохамы","Tatuaje de chamán de Tukohama","ลายสัก คนทรงทูโคฮาม่า","圖克哈瑪薩滿的紋身","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[450],[18],18680,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
15,"Tukohama2","Tattoo of the Tukohama Warrior","Tatouage du Guerrier de Tukohama","Tätowierung des Tukohama-Kriegers","トゥコハマの戦士のタトゥー","투코하마 전사의 문신","Tatuagem do Guerreiro de Tukohama","Татуировка Воина Тукохамы","Tatuaje de guerrero de Tukohama","ลายสัก นักรบทูโคฮาม่า","圖克哈瑪戰士的紋身","Art/2DArt/SkillIcons/passives/FortifyNode.dds",[5251],[5],30868,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
16,"Tukohama3","Tattoo of the Tukohama Brawler","Tatouage du Bagarreur de Tukohama","Tätowierung des Tukohama-Schlägers","トゥコハマの喧嘩屋のタトゥー","투코하마 싸움꾼의 문신","Tatuagem do Brigão de Tukohama","Татуировка Поединщика Тукохамы","Tatuaje de luchador de Tukohama","ลายสัก นักสู้ทูโคฮาม่า","圖克哈瑪鬥士的紋身","Art/2DArt/SkillIcons/passives/knockback.dds",[478],[10],56069,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
17,"Tukohama4","Tattoo of the Tukohama Warmonger","Tatouage du Belliciste de Tukohama","Tätowierung des Tukohama-Kriegstreibers","トゥコハマのウォーモンガーのタトゥー","투코하마 전쟁광의 문신","Tatuagem do Guerrilheiro de Tukohama","Татуировка Зачинщика войны Тукохамы","Tatuaje de belicista de Tukohama","ลายสัก ผู้ก่อศึกทูโคฮาม่า","圖克哈瑪戰鬥王的紋身","Art/2DArt/SkillIcons/passives/StancesNode.dds",[1359],[5],47726,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
18,"Tukohama5","Tattoo of the Tukohama Warcaller","Tatouage du Sonneur de guerre de Tukohama","Tätowierung des Tukohama-Kriegsrufers","トゥコハマのウォーコーラーのタトゥー","투코하마 전쟁 소집자의 문신","Tatuagem do Combatente de Tukohama","Татуировка Глашатая войны Тукохамы","Tatuaje de heraldo de guerra de Tukohama","ลายสัก ผู้เรียกศึกทูโคฮาม่า","圖克哈瑪戰爭喚者的紋身","Art/2DArt/SkillIcons/passives/WarCryCooldown.dds",[3574],[8],44449,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",0,0,""
19,"Tukohama6","Loyalty Tattoo of Akoya","Tatouage de Loyauté d'Akoya","Stammestätowierung von Akoya","アコヤの忠誠のタトゥー","아코야의 충성 문신","Tatuagem de Lealdade a Akoya","Татуировка верности Акойе","Tatuaje de lealtad a Akoya","ลายสักภักดี อะโคยา","艾古亞的忠誠紋身","Art/2DArt/SkillIcons/TukohamaTribeSkill.dds","[18778,18810]","[1,1]",14067,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG",75547,1,0,0,0,""
20,"Tukohama7","Tattoo of the Tukohama Makanga","Tatouage du Makanga de Tukohama","Tätowierung des Tukohama-Makangas","トゥコハマのマカンガのタトゥー","투코하마 마캉가의 문신","Tatuagem da Makanga de Tukohama","Татуировка Маканги Тукохамы","Tatuaje de makanga de Tukohama","ลายสัก มาคันกะทูโคฮาม่า","圖克哈瑪鑄造的紋身","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[2398],[16],25256,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TukohamaTribePassiveBG","",4,"",7,0,""
21,"Rongokurai1","Tattoo of the Rongokurai Warrior","Tatouage du Guerrier de Rongokurai","Tätowierung des Rongokurai-Kriegers","ロンゴクライの戦士のタトゥー","롱고쿠라이 전사의 문신","Tatuagem do Guerreiro de Rongokurai","Татуировка Воина Ронгокураи","Tatuaje de guerrero de Rongokurai","ลายสัก นักรบรอนโงคูรัย","隆格庫萊戰士的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[117],[6],23959,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
22,"Rongokurai2","Tattoo of the Rongokurai Brute","Tatouage de la Brute de Rongokurai","Tätowierung des Rongokurai-Wüstlings","ロンゴクライの蛮人のタトゥー","롱고쿠라이 돌격병의 문신","Tatuagem do Bruto de Rongokurai","Татуировка Громилы Ронгокураи","Tatuaje de bruto de Rongokurai","ลายสัก คนเถื่อนรอนโงคูรัย","隆格庫萊暴徒的紋身","Art/2DArt/SkillIcons/passives/stunstr.dds",[3460],[10],10603,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
23,"Rongokurai3","Tattoo of the Rongokurai Goliath","Tatouage du Goliath de Rongokurai","Tätowierung des Rongokurai-Goliath","ロンゴクライのゴライアスのタトゥー","롱고쿠라이 골리앗의 문신","Tatuagem do Gigante de Rongokurai","Татуировка Голиафа Ронгокураи","Tatuaje de goliat de Rongokurai","ลายสัก มนุษย์ยักษ์รอนโงคูรัย","隆格庫萊巨獸的紋身","Art/2DArt/SkillIcons/passives/stunstr.dds",[340],[10],54870,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
24,"Rongokurai4","Tattoo of the Rongokurai Turtle","Tatouage de la Tortue de Rongokurai","Tätowierung des Rongokurai-Schildkröte","ロンゴクライの亀のタトゥー","롱고쿠라이 거북이의 문신","Tatuagem da Tartaruga de Rongokurai","Татуировка Черепахи Ронгокураи","Tatuaje de tortuga de Rongokurai","ลายสัก เต่ารอนโงคูรัย","隆格庫萊巨龜的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[97],[5],4731,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
25,"Rongokurai5","Tattoo of the Rongokurai Guard","Tatouage du Garde de Rongokurai","Tätowierung des Rongokurai-Wächters","ロンゴクライの衛兵のタトゥー","롱고쿠라이 수호병의 문신","Tatuagem do Guarda de Rongokurai","Татуировка Стражника Ронгокураи","Tatuaje de guardia de Rongokurai","ลายสัก ผู้พิทักษ์รอนโงคูรัย","隆格庫萊守衛的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[12044],[6],20125,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
26,"Rongokurai6","Loyalty Tattoo of Kahuturoa","Tatouage de Loyauté de Kahuturoa","Stammestätowierung von Kahuturoa","カフトゥロアの忠誠のタトゥー","카후투로아의 충성 문신","Tatuagem de Lealdade a Kahuturoa","Татуировка верности Кахутуруа","Tatuaje de lealtad a Kuhuturoa","ลายสักภักดี คาฮูทูรัว","卡胡圖羅亞的忠誠紋身","Art/2DArt/SkillIcons/RongokuraiTribeSkill.dds","[18779,18811]","[1,1]",57869,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG",75550,1,0,0,0,""
27,"Rongokurai7","Tattoo of the Rongokurai Makanga","Tatouage du Makanga de Rongokurai","Tätowierung des Rongokurai-Makangas","ロンゴクライのマカンガのタトゥー","롱고쿠라이 마캉가의 문신","Tatuagem da Makanga de Rongokurai","Татуировка Маканги Ронгокураи","Tatuaje de makanga de Rongokurai","ลายสัก มาคันกะรอนโงคูรัย","隆格庫萊鑄造的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[8248],[8],13107,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,1,""
28,"Tasalio1","Tattoo of the Tasalio Bladedancer","Tatouage du Danse-lame de Tasalio","Tätowierung des Tasalio-Klingentänzers","タサリオのブレードダンサーのタトゥー","타살리오 검의 무희의 문신","Tatuagem do Dançarino das Lâminas de Tasalio","Татуировка Танцующего с клинками Тасалио","Tatuaje de bailarín de filos de Tasalio","ลายสัก นักระบำดาบทาเซลีโอ","塔薩里奧舞劍者的紋身","Art/2DArt/SkillIcons/passives/StanceSmallPassive.dds",[5411],[5],9764,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
29,"Tasalio2","Tattoo of the Tasalio Tideshifter","Tatouage du Trouble-marée de Tasalio","Tätowierung des Tasalio-Gezeitenwandlers","タサリオのタイドシフターのタトゥー","타살리오 파도변화술사의 문신","Tatuagem do Capitão das Marés de Tasalio","Татуировка Волнореза Тасалио","Tatuaje de cambiamareas de Tasalio","ลายสัก ผู้เคลื่อนคลื่นทาเซลีโอ","塔薩里奧潮汐變幻者的紋身","Art/2DArt/SkillIcons/passives/stundex.dds",[6075],[10],59283,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
30,"Tasalio3","Tattoo of the Tasalio Shaman","Tatouage du Chaman de Tasalio","Tätowierung des Tasalio-Schamanen","タサリオのシャーマンのタトゥー","타살리오 주술사의 문신","Tatuagem do Xamã de Tasalio","Татуировка Шамана Тасалио","Tatuaje de chamán de Tasalio","ลายสัก คนทรงทาเซลีโอ","塔薩里奧薩滿的紋身","Art/2DArt/SkillIcons/passives/CurseCastSpeed.dds",[6785],[5],1601,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
31,"Tasalio4","Tattoo of the Tasalio Warrior","Tatouage du Guerrier de Tasalio","Tätowierung des Tasalio-Kriegers","タサリオの戦士のタトゥー","타살리오 전사의 문신","Tatuagem do Guerreiro de Tasalio","Татуировка Воина Тасалио","Tatuaje de guerrero de Tasalio","ลายสัก นักรบทาเซลีโอ","塔薩里奧戰士的紋身","Art/2DArt/SkillIcons/passives/AttackBlindNode.dds",[6783],[5],40136,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
32,"Tasalio5","Tattoo of the Tasalio Scout","Tatouage de l'Éclaireur de Tasalio","Tätowierung des Tasalio-Spähers","タサリオの偵察者のタトゥー","타살리오 정찰병의 문신","Tatuagem do Batedor de Tasalio","Татуировка Разведчика Тасалио","Tatuaje de explorador de Tasalio","ลายสัก นักสอดแนมทาเซลีโอ","塔薩里奧哨兵的紋身","Art/2DArt/SkillIcons/passives/MarkNode.dds",[13291],[4],4969,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
33,"Tasalio6","Loyalty Tattoo of Rakiata","Tatouage de Loyauté de Rakiata","Stammestätowierung von Rakiata","ラキアタの忠誠のタトゥー","라키아타의 충성 문신","Tatuagem de Lealdade a Rakiata","Татуировка верности Ракиате","Tatuaje de lealtad a Rakiata","ลายสักภักดี ราคียาตา","萊基亞塔的忠誠紋身","Art/2DArt/SkillIcons/TasalioTribeSkill.dds","[18780,18812]","[1,1]",28089,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG",75553,1,0,0,0,""
34,"Tasalio7","Tattoo of the Tasalio Makanga","Tatouage du Makanga de Tasalio","Tätowierung des Tasalio-Makangas","タサリオのマカンガのタトゥー","타살리오 마캉가의 문신","Tatuagem da Makanga de Tasalio","Татуировка Маканги Тасалио","Tatuaje de makanga de Tasalio","ลายสัก มาคันกะทาเซลีโอ","塔薩里奧鑄造的紋身","Art/2DArt/SkillIcons/passives/ReducedSkillEffectDurationNode.dds",[3335],[8],58051,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",7,0,""
35,"Arohongui1","Tattoo of the Arohongui Moonwarden","Tatouage du Garde-lune d'Arohongui","Tätowierung des Arohongui-Mondwächters","アロホングイの月の監視者のタトゥー","아로호누이 달의 간수의 문신","Tatuagem do Guarda Lunar de Aronhongui","Татуировка Хранителя луны Арохонгуи","Tatuaje de guardián de la luna de Arohongui","ลายสัก ผู้คุมดวงจันทร์อะโรฮอนงุย","艾蘿紅薇月護衛的紋身","Art/2DArt/SkillIcons/passives/ColdResistNode.dds",[146],[6],48276,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
36,"Arohongui2","Tattoo of the Arohongui Scout","Tatouage de l'Éclaireur d'Arohongui","Tätowierung des Arohongui-Spähers","アロホングイの偵察者のタトゥー","아로호누이 정찰병의 문신","Tatuagem do Batedor de Aronhongui","Татуировка Разведчика Арохонгуи","Tatuaje de explorador de Arohongui","ลายสัก นักสอดแนมอะโรฮอนงุย","艾蘿紅薇哨兵的紋身","Art/2DArt/SkillIcons/passives/ColdResistNode.dds","[190,191]","[10,10]",65238,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
37,"Arohongui3","Tattoo of the Arohongui Warrior","Tatouage du Guerrier d'Arohongui","Tätowierung des Arohongui-Kriegers","アロホングイの戦士のタトゥー","아로호누이 전사의 문신","Tatuagem do Guerreiro de Aronhongui","Татуировка Воина Арохонгуи","Tatuaje de guerrero de Arohongui","ลายสัก นักรบอะโรฮอนงุย","艾蘿紅薇戰士的紋身","Art/2DArt/SkillIcons/passives/colddamage.dds",[49],[5],39268,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
38,"Arohongui4","Tattoo of the Arohongui Warmonger","Tatouage du Belliciste d'Arohongui","Tätowierung des Arohongui-Kriegstreibers","アロホングイのウォーモンガーのタトゥー","아로호누이 전쟁광의 문신","Tatuagem do Guerrilheiro de Aronhongui","Татуировка Зачинщика войны Арохонгуи","Tatuaje de belicista de Arohongui","ลายสัก ผู้ก่อศึกอะโรฮอนงุย","艾蘿紅薇戰鬥王的紋身","Art/2DArt/SkillIcons/passives/colddamage.dds",[454],[5],8269,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
39,"Arohongui5","Tattoo of the Arohongui Shaman","Tatouage du Chaman d'Arohongui","Tätowierung des Arohongui-Schamanen","アロホングイのシャーマンのタトゥー","아로호누이 주술사의 문신","Tatuagem do Xamã de Aronhongui","Татуировка Шамана Арохонгуи","Tatuaje de chamán de Arohongui","ลายนัก คนทรงอะโรฮอนงุย","艾蘿紅薇薩滿的紋身","Art/2DArt/SkillIcons/passives/HeraldReservationNode.dds",[7464],[5],19842,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
40,"Arohongui6","Loyalty Tattoo of Ikiaho","Tatouage de Loyauté de Ikiaho","Stammestätowierung von Ikiaho","イキアホの忠誠のタトゥー","이키아호의 충성 문신","Tatuagem de Lealdade a Ikiaho","Татуировка верности Икиао","Tatuaje de lealtad a Ikiaho","ลายสักภักดี อีคียาโฮ","伊基亞呼的忠誠紋身","Art/2DArt/SkillIcons/ArohonguiTribeSkill.dds","[18781,18813]","[1,1]",29023,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG",75556,1,0,0,0,""
41,"Arohongui7","Tattoo of the Arohongui Makanga","Tatouage du Makanga d'Arohongui","Tätowierung des Arohongui-Makangas","アロホングイのマカンガのタトゥー","아로호누이 마캉가의 문신","Tatuagem da Makanga de Aronhongui","Татуировка Маканги Арохонгуи","Tatuaje de makanga de Arohongui","ลายสัก มาคันกะอะโรฮอนงุย","艾蘿紅薇鑄造的紋身","Art/2DArt/SkillIcons/passives/ColdResistNode.dds",[942],[1],3518,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,1,""
42,"Ramako1","Tattoo of the Ramako Scout","Tatouage de l'Éclaireur de Ramako","Tätowierung des Ramako-Spähers","ラマコの偵察者のタトゥー","라마코 정찰병의 문신","Tatuagem do Batedor de Ramako","Татуировка Разведчика Рамако","Tatuaje de explorador de Ramako","ลายสัก นักสอดแนมรามาโค","雷默科哨兵的紋身","Art/2DArt/SkillIcons/passives/evade.dds",[120],[6],50501,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
43,"Ramako2","Tattoo of the Ramako Archer","Tatouage de l'Archer de Ramako","Tätowierung des Ramako-Bogenschützen","ラマコの射手のタトゥー","라마코 궁수의 문신","Tatuagem do Arqueiro de Ramako","Татуировка Лучника Рамако","Tatuaje de arquero de Ramako","ลายสัก นักธนูรามาโค","雷默科射手的紋身","Art/2DArt/SkillIcons/passives/accuracy.dds",[84],[5],11202,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
44,"Ramako3","Tattoo of the Ramako Sniper","Tatouage du Tireur d'élite de Ramako","Tätowierung des Ramako-Heckenschützen","ラマコの狙撃手のタトゥー","라마코 저격수의 문신","Tatuagem do Atirador de Ramako","Татуировка Снайпера Рамако","Tatuaje de tirador de Ramako","ลายสัก นักซุ่มยิงรามาโค","雷默科狙擊手的紋身","Art/2DArt/SkillIcons/passives/projectilespeed.dds",[175],[5],39773,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
45,"Ramako4","Tattoo of the Ramako Fleetfoot","Tatouage du Coureur de Ramako","Tätowierung des Ramako-Flinkfußes","ラマコの俊足のタトゥー","라마코 쾌속병의 문신","Tatuagem do Soldado de Ramako","Татуировка Гонца Рамако","Tatuaje de mensajero de Ramako","ลายสัก นักวิ่งรามาโค","雷默科偵瞬步的紋身","Art/2DArt/SkillIcons/passives/MovementSpeedandEvasionPassive.dds",[177],[2],30049,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
46,"Ramako5","Tattoo of the Ramako Shaman","Tatouage du Chaman de Ramako","Tätowierung des Ramako-Schamanen","ラマコのシャーマンのタトゥー","라마코 주술사의 문신","Tatuagem do Xamã de Ramako","Татуировка Шамана Рамако","Tatuaje de chamán de Ramako","ลายสัก คนทรงรามาโค","雷默科薩滿的紋身","Art/2DArt/SkillIcons/passives/SpellSuppresionNode.dds",[14709],[2],28792,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
