"rownum","Id","ArtString_SMFile"
11,"BanditBoar","Art\\Models\\Items\\Armours\\BodyArmours\\BodyStr2A\\BodyStr2AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrDex1A\\BodyStrDex1AmBandit.sm ~ bandit_upperbody_0Shape1 ! Art\\Models\\Items\\Armours\\BodyArmours\\BodyStrInt1A\\BodyStrInt1AmBandit.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStr1\\BootsStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrDexSpecial1\\BootsStrDexSpecial1mBandit.sm ! Art\\Models\\Items\\Armours\\Boots\\BootsStrInt2\\BootsStrInt2mBandit.sm & Art\\Models\\Items\\Armours\\Gloves\\GlovesStr1\\GlovesStr1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrDex1\\GlovesStrDex1mBandit.sm ! Art\\Models\\Items\\Armours\\Gloves\\GlovesStrInt1\\GlovesStrInt1mBandit.sm & Art\\Models\\Monsters\\Bandits\\HoodedBoar.sm"
12,"BanditAnimalTrio","Art\\Models\\MONSTERS\\Bandits\\BanditBearArmourSet.sm ~ bandit_upperbody_0Shape1 & Art\\Models\\Monsters\\Bandits\\TheAnimalPack.sm"
13,"AnimatedArmourMonster","Art/Models/Items/Armours/BodyArmours/BodyStr6A/BodyStr6AStrInt.sm & Art/Models/Items/Armours/Boots/BootsStr4/BootsStr4StrInt.sm & Art/Models/Items/Armours/Gloves/GlovesStr2/GlovesStr2StrInt.sm"
14,"AnimatedArmourBoss","Art/Models/Items/Armours/BodyArmours/Unique/DaressosDefiance/BodyDaressosDefianceStrInt.sm & Art/Models/Items/Armours/Boots/BootsDex5/BootsDex5StrInt.sm & Art/Models/Items/Armours/Gloves/Unique/DemigodsTouch/GlovesDemigodsTouchStrInt.sm & Art/Models/Items/Armours/Helmets/Uniques/DemigodsTriumphAlt/HelmetDeligodsTriumphAltStrInt.sm"
15,"AnimatedArmourTreasureGolem","Art/Models/Items/Armours/BodyArmours/Microtransactions/RadiantArmour/RadiantBodyStrInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/RadiantArmour/RadiantBootsStrInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/RadiantArmour/RadiantGlovesStrInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/RadiantArmour/RadiantHelmetStrInt.sm"
16,"Fairgraves","Art/Models/NPC/traders/Trader3/fairgraves.sm"
17,"Pirate","Art/Models/MONSTERS/Bandits/HelmetPirate01Bandit.sm ! Art/Models/MONSTERS/Bandits/HelmetPirate02Bandit.sm"
18,"PirateChampion","Art/Models/MONSTERS/pirateghosts/PirateGhostHelmetDex6.sm"
19,"Skeleton","Art/Models/MONSTERS/skeleton/BodySkeleton.sm"
20,"Skeleton2","Art/Models/MONSTERS/skeleton/BodySkeleton2.sm"
21,"Skeleton2Ice","Art/Models/MONSTERS/skeleton/BodySkeleton2_Ice.sm"
22,"SkeletonLarge","Art/Models/MONSTERS/SkeletonLarge/skeletonknight2.sm ! Art/Models/MONSTERS/SkeletonLarge/skeletonknight1.sm & Art/Models/MONSTERS/SkeletonLarge/BootsStrInt2Skeleton.sm & Art/Models/MONSTERS/SkeletonLarge/HelmetStr5skeleton.sm"
23,"SkeletonKnight1","Art/Models/MONSTERS/skeleton/skeletonknight1.sm & Art/Models/MONSTERS/skeleton/BootsStrInt2Skeleton.sm"
24,"SkeletonKnight2","Art/Models/MONSTERS/skeleton/skeletonknight2.sm ! Art/Models/MONSTERS/skeleton/skeletonknight1.sm & Art/Models/MONSTERS/skeleton/BootsStrInt2Skeleton.sm & Art/Models/MONSTERS/skeleton/HelmetStr5Skeleton.sm"
25,"SkeletonKnight3","Art/Models/MONSTERS/skeleton/skeletonknight3.sm & Art/Models/MONSTERS/skeleton/BootsStrInt2Skeleton.sm"
26,"SkeletonKnightMachinarium","Art/Models/MONSTERS/skeleton/PayloadKnight02.sm ! Art/Models/MONSTERS/skeleton/PayloadKnight01.sm & Art/Models/MONSTERS/skeleton/PayloadBoots.sm & Art/Models/MONSTERS/skeleton/PayloadHelmet.sm"
27,"SkeletonCasterMachinarium","Art/Models/MONSTERS/skeleton/PayloadKnight02.sm & Art/Models/MONSTERS/skeleton/PayloadBoots.sm"
28,"SkeletonSuperUnique","Art/Models/MONSTERS/skeleton/SkeletonSuperUnique.sm"
29,"SkeletonGeofri","Art/Models/MONSTERS/skeleton/SkeletonGeofri.sm"
30,"SkeletonKiteWest","Art/Models/Items/Armours/AnimateArmour/GreenSkullWestBoss.sm & Art/Models/Items/Armours/AnimateArmour/BodyZahndethusCassockWestBoss.sm & Art/Models/Items/Armours/Boots/BootsInt4/BootsInt4StrInt.sm & Art/Models/Items/Armours/AnimateArmour/HellBringerWestBoss.sm"
31,"SkeletonThaumaturgist","Art/Models/MONSTERS/skeleton/BootsStrInt2Skeleton.sm & Art/Models/MONSTERS/skeleton/skeletonknight2.sm"
32,"SkeletonBandit","Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStr1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStr3mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStrDex1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStrDex2mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStrDex3mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStrInt1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStrInt2mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonHelmetStrInt3mBandit.sm & Art\\Models\\MONSTERS\\skeleton\\SkeletonGlovesStr1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonGlovesStrDex1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonGlovesStrInt1mBandit.sm & Art\\Models\\MONSTERS\\skeleton\\SkeletonBootsStr1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonBootsStrDexSpecial1mBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonBootsStrInt2mBandit.sm & Art\\Models\\MONSTERS\\skeleton\\SkeletonBodyStr4AmBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonBodyStrDex1AmBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\SkeletonBodyStrInt1AmBandit.sm ! Art\\Models\\MONSTERS\\skeleton\\BodyStr2AmBandit.sm"
33,"SkeletonSaint","Art/Models/MONSTERS/skeleton/SkeletonGoldenWreath.sm ! Art/Models/MONSTERS/skeleton/SkeletonHelmetStrInt10.sm ! Art/Models/MONSTERS/skeleton/SkeletonHelmetStr11.sm & Art/Models/MONSTERS/skeleton/SkeletonGeofrisSanctuaryGlowless.sm ! Art/Models/MONSTERS/skeleton/SkeletonLioneyeVision.sm ! Art/Models/MONSTERS/skeleton/SkeletonDemigodDominance.sm & Art/Models/MONSTERS/skeleton/SkeletonGlovesDemigodsTouchGlowless.sm & Art/Models/MONSTERS/skeleton/SkeletonDemigodsStrideAltGlowless.sm ! Art/Models/MONSTERS/skeleton/SkeletonBootsWindScreamAlt.sm"
34,"CannibalMaleBoss","Art/Models/MONSTERS/Cannibals/male/propsmodel.sm"
35,"CannibalFemaleBoss","Art/Models/MONSTERS/Cannibals/female/fingersnecklace.sm"
36,"CityStalkerWorkmen","Art/Models/MONSTERS/CityStalkers/Male/UndyingWorkmen01.sm ! Art/Models/MONSTERS/CityStalkers/Male/UndyingWorkmen02.sm ! Art/Models/MONSTERS/CityStalkers/Male/UndyingWorkmen03.sm"
37,"CityStalkerMale","Art/Models/MONSTERS/CityStalkers/Male/aristocrat01.sm ! Art/Models/MONSTERS/CityStalkers/Male/aristocrat02.sm ! Art/Models/MONSTERS/CityStalkers/Male/aristocrat03.sm"
38,"CityStalkerFemale","Art/Models/MONSTERS/CityStalkers/Female/aristocratfemale01.sm ! Art/Models/MONSTERS/CityStalkers/Female/aristocratfemale02.sm"
39,"CityStalkerFemaleCaliga","Art/Models/MONSTERS/CityStalkers/Female/aristocratfemale02.sm & Art/Models/MONSTERS/CityStalkers/Female/CaligaHelmetHalo.sm"
40,"CityStalkerFemaleInvasion","Art/Models/MONSTERS/CityStalkers/Female/aristocratfemale02.sm & Art/Models/MONSTERS/CityStalkers/Female/MohawkUndying.sm"
41,"BeyondDemon3-1","Art/Models/MONSTERS/Bandits/BodyAshrendBandit_ALT.sm"
42,"BeyondDemon3-2","Art/Models/MONSTERS/Bandits/BodyCarcassJackBandit_ALT.sm"
43,"BeyondDemon3-3","Art/Models/MONSTERS/Bandits/BodyTheCovenantBandit_ALT.sm"
44,"BeyondDemon3-4","Art/Models/MONSTERS/Bandits/BodyDeathsOathBandit_ALT.sm"
45,"BeyondDemon3-5","Art/Models/MONSTERS/Bandits/BodyBellyoftheBeastBandit_ALT.sm"
46,"VaganAllyRanger","Art/Models/Items/Armours/Helmets/HelmetDex5/HelmetDex5Dex.sm & Art/Models/Items/Armours/Helmets/HelmetDexInt7/HelmetDexInt7Dex.sm & Art/Models/Items/Armours/Gloves/GlovesDexInt1/GlovesDexInt1Dex.sm & Art/Models/Items/Armours/BodyArmours/BodyDex2C/BodyDex2CDex.sm"
47,"VaganAllyShadow","Art/Models/Items/Armours/Helmets/HelmetDex5/HelmetDex5DexInt.sm & Art/Models/Items/Armours/Helmets/HelmetDexInt7/HelmetDexInt7DexInt.sm & Art/Models/Items/Armours/Gloves/GlovesDexInt1/GlovesDexInt1DexInt.sm & Art/Models/Items/Armours/BodyArmours/BodyDex2C/BodyDex2CDexInt.sm"
48,"GemlingLegionnaire1","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyInt.sm -witch_headShape -witch_hairBottomShape -witch_hairTopShape -witch_feetShape -witch_handsShape -witch_armsShape -witch_forearmsShape -witch_bodyShape -witch_skirtShape -witch_upper_legsShape -witch_lower_legsShape"
49,"GemlingLegionnaire2","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetStr.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsStr.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesStr.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyStr.sm -warrior_hairShape -warrior_headShape -warrior_feetShape -warrior_handsShape -warrior_skirtShape -warrior_bodyShape -warrior_armsShape -warrior_forearmsShape -warrior_upper_legsShape -warrior_lower_legsShape"
50,"GemlingLegionnaire3","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetStrDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsStrDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesStrDexInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyStrDexInt.sm -adventurer_hairShape -adventurer_headShape -adventurer_feetShape -adventurer_handsShape -adventurer_necklaceShape -adventurer_bodyShape -adventurer_forearmsShape -adventurer_armsShape -adventurer_skirtShape -adventurer_upper_legsShape -adventurer_lower_legsShape"
51,"GemlingLegionnaire4","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetStrDex.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsStrDex.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesStrDex.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyStrDex.sm -swordman_headShape -swordman_hairShape -swordman_feetShape -swordman_handsShape -swordman_bodyShape -swordman_armsShape -swordman_forearmsShape -swordman_upper_legsShape -swordman_lower_legsShape"
52,"GemlingLegionnaire5","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesDexInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyDexInt.sm -hairShape -headShape -feetShape -handsShape -armsShape -bodyShape -forearmsShape -aprinShape -upper_legsShape -lower_legsShape"
53,"GemlingLegionnaire6","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetStrInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsStrInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesStrInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyStrInt.sm -templar_headShape -templar_feetShape -templar_handsShape -templar_bodyShape -templar_armsShape -templar_forearmsShape -templar_bookShape -templar_cloth_bottomShape -templar_cloth_topShape -templar_upper_legsShape -templar_lower_legsShape"
