"rownum","Currency","i32_16","i32_20","i32_24","Cost","i32_32","[rid]_36","[rid]_52","NPCAudio","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96","i32_97","i32_101","i32_105","bool_109"
10,230,1,3,3,250,1876,[],[],"",0,"<augmented>{Upgrade this item to a rare item with up to four linked sockets}","<augmented>{Améliore cet objet en un objet Rare ayant jusqu'à quatre châsses reliées}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit bis zu vier verbundenen Fassungen.}","<augmented>{このアイテムを最大4リンクソケットを持つレアアイテムにアップグレードする}","<augmented>{이 아이템을 최대 4개의 홈 연결부가 갖춰진 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para raro com até quatro encaixes conectados}","<augmented>{Улучшает предмет до редкого с максимум четырьмя связанными гнёздами}","<augmented>{Convierte este objeto en un objeto raro con hasta cuatro engarces vinculados}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ และ​มี​รู​เชื่อม​กัน​สูงสุด 4 เชื่อม}","<augmented>{將此物品升級至稀有物品，並且最多有四個相連的插槽}","",0,0,0,1
11,230,2,4,4,300,1877,[],[],"",0,"<augmented>{Upgrade this item to a rare item with up to four linked sockets}","<augmented>{Améliore cet objet en un objet Rare ayant jusqu'à quatre châsses reliées}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit bis zu vier verbundenen Fassungen.}","<augmented>{このアイテムを最大4リンクソケットを持つレアアイテムにアップグレードする}","<augmented>{이 아이템을 최대 4개의 홈 연결부가 갖춰진 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para raro com até quatro encaixes conectados}","<augmented>{Улучшает предмет до редкого с максимум четырьмя связанными гнёздами}","<augmented>{Convierte este objeto en un objeto raro con hasta cuatro engarces vinculados}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ และ​มี​รู​เชื่อม​กัน​สูงสุด 4 เชื่อม}","<augmented>{將此物品升級至稀有物品，並且最多有四個相連的插槽}","",0,0,0,1
12,9,0,2,2,50,1899,[],[],"",0,"<augmented>{Upgrade this item to a Magic item}","<augmented>{Améliore cet objet en un objet Magique}","<augmented>{Verbessert diesen Gegenstand zu einem magischen Gegenstand.}","<augmented>{このアイテムをマジックアイテムにアップグレードする}","<augmented>{이 아이템을 마법 아이템으로 업그레이드}","<augmented>{Atualiza este item para um item mágico}","<augmented>{Улучшает предмет до волшебного}","<augmented>{Convierte este objeto en un objeto mágico}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​เมจิก}","<augmented>{將此物品升級為魔法物品}","",0,0,125,""
13,9,1,3,3,63,1876,[],[],"",0,"<augmented>{Upgrade this item to a Magic item}","<augmented>{Améliore cet objet en un objet Magique}","<augmented>{Verbessert diesen Gegenstand zu einem magischen Gegenstand.}","<augmented>{このアイテムをマジックアイテムにアップグレードする}","<augmented>{이 아이템을 마법 아이템으로 업그레이드}","<augmented>{Atualiza este item para um item mágico}","<augmented>{Улучшает предмет до волшебного}","<augmented>{Convierte este objeto en un objeto mágico}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​เมจิก}","<augmented>{將此物品升級為魔法物品}","",0,0,156,""
14,9,2,4,4,75,1877,[],[],"",0,"<augmented>{Upgrade this item to a Magic item}","<augmented>{Améliore cet objet en un objet Magique}","<augmented>{Verbessert diesen Gegenstand zu einem magischen Gegenstand.}","<augmented>{このアイテムをマジックアイテムにアップグレードする}","<augmented>{이 아이템을 마법 아이템으로 업그레이드}","<augmented>{Atualiza este item para um item mágico}","<augmented>{Улучшает предмет до волшебного}","<augmented>{Convierte este objeto en un objeto mágico}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​เมจิก}","<augmented>{將此物品升級為魔法物品}","",0,0,188,""
15,12,0,2,2,100,1899,[],[],"",0,"<augmented>{Augment this item with a new random modifier}","<augmented>{Augmente cet objet avec un nouveau modificateur aléatoire}","<augmented>{Ergänzt diesen Gegenstand durch einen neuen zufälligen Modifikator.}","<augmented>{このアイテムにランダムなモッドを1個追加する。}","<augmented>{이 아이템에 무작위로 새로운 속성 부여}","<augmented>{Aprimora este item com um novo modificador aleatório}","<augmented>{Усиливает предмет, наделяя его новым случайным свойством}","<augmented>{Mejora este objeto agregándole un nuevo modificador aleatorio}","<augmented>{เพิ่ม​ม็อด 1 อย่าง​แบบสุ่ม​ ให้​กับ​ไอเทม​นี้}","<augmented>{為此物品添加一條新的隨機詞綴}",1,1,5,250,""
16,12,1,3,3,125,1876,[],[],"",0,"<augmented>{Augment this item with a new random modifier}","<augmented>{Augmente cet objet avec un nouveau modificateur aléatoire}","<augmented>{Ergänzt diesen Gegenstand durch einen neuen zufälligen Modifikator.}","<augmented>{このアイテムにランダムなモッドを1個追加する。}","<augmented>{이 아이템에 무작위로 새로운 속성 부여}","<augmented>{Aprimora este item com um novo modificador aleatório}","<augmented>{Усиливает предмет, наделяя его новым случайным свойством}","<augmented>{Mejora este objeto agregándole un nuevo modificador aleatorio}","<augmented>{เพิ่ม​ม็อด 1 อย่าง​แบบสุ่ม​ ให้​กับ​ไอเทม​นี้}","<augmented>{為此物品添加一條新的隨機詞綴}",1,1,5,313,""
17,12,2,4,4,150,1877,[],[],"",0,"<augmented>{Augment this item with a new random modifier}","<augmented>{Augmente cet objet avec un nouveau modificateur aléatoire}","<augmented>{Ergänzt diesen Gegenstand durch einen neuen zufälligen Modifikator.}","<augmented>{このアイテムにランダムなモッドを1個追加する。}","<augmented>{이 아이템에 무작위로 새로운 속성 부여}","<augmented>{Aprimora este item com um novo modificador aleatório}","<augmented>{Усиливает предмет, наделяя его новым случайным свойством}","<augmented>{Mejora este objeto agregándole un nuevo modificador aleatorio}","<augmented>{เพิ่ม​ม็อด 1 อย่าง​แบบสุ่ม​ ให้​กับ​ไอเทม​นี้}","<augmented>{為此物品添加一條新的隨機詞綴}",1,1,5,375,""
18,13,0,2,2,50,1899,[],[],"",0,"<augmented>{Reforge this item with new random modifiers}","<augmented>{Remodèle cet objet avec de nouveaux modificateurs aléatoires}","<augmented>{Stattet diesen Gegenstand mit neuen zufälligen Modifikatoren aus.}","<augmented>{このアイテムをリフォージして新しいランダムなモッドにする}","<augmented>{이 아이템을 재련해 무작위 신규 속성 부여}","<augmented>{Reforja este item com novos modificadores aleatórios}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами}","<augmented>{Reforja este objeto con nuevos modificadores aleatorios}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่}","<augmented>{以新的隨機詞綴重鑄此物品}","",1,5,125,""
19,13,1,3,3,63,1876,[],[],"",0,"<augmented>{Reforge this item with new random modifiers}","<augmented>{Remodèle cet objet avec de nouveaux modificateurs aléatoires}","<augmented>{Stattet diesen Gegenstand mit neuen zufälligen Modifikatoren aus.}","<augmented>{このアイテムをリフォージして新しいランダムなモッドにする}","<augmented>{이 아이템을 재련해 무작위 신규 속성 부여}","<augmented>{Reforja este item com novos modificadores aleatórios}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами}","<augmented>{Reforja este objeto con nuevos modificadores aleatorios}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่}","<augmented>{以新的隨機詞綴重鑄此物品}","",1,5,156,""
20,13,2,4,4,75,1877,[],[],"",0,"<augmented>{Reforge this item with new random modifiers}","<augmented>{Remodèle cet objet avec de nouveaux modificateurs aléatoires}","<augmented>{Stattet diesen Gegenstand mit neuen zufälligen Modifikatoren aus.}","<augmented>{このアイテムをリフォージして新しいランダムなモッドにする}","<augmented>{이 아이템을 재련해 무작위 신규 속성 부여}","<augmented>{Reforja este item com novos modificadores aleatórios}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами}","<augmented>{Reforja este objeto con nuevos modificadores aleatorios}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่}","<augmented>{以新的隨機詞綴重鑄此物品}","",1,5,188,""
21,16,0,2,2,1200,1899,[],[],"",0,"<augmented>{Upgrade this item to be a Rare item}","<augmented>{Améliore cet objet en un objet Rare}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand.}","<augmented>{このアイテムをレアアイテムにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para se tornar um item raro}","<augmented>{Улучшает предмет до редкого}","<augmented>{Convierte este objeto en un objeto raro}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์}","<augmented>{將此物品升級為稀有物品}",1,5,8,3000,""
22,16,1,3,3,1500,1876,[],[],"",0,"<augmented>{Upgrade this item to be a Rare item}","<augmented>{Améliore cet objet en un objet Rare}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand.}","<augmented>{このアイテムをレアアイテムにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para se tornar um item raro}","<augmented>{Улучшает предмет до редкого}","<augmented>{Convierte este objeto en un objeto raro}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์}","<augmented>{將此物品升級為稀有物品}",1,5,8,3750,""
23,16,2,4,4,1800,1877,[],[],"",0,"<augmented>{Upgrade this item to be a Rare item}","<augmented>{Améliore cet objet en un objet Rare}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand.}","<augmented>{このアイテムをレアアイテムにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드}","<augmented>{Atualiza este item para se tornar um item raro}","<augmented>{Улучшает предмет до редкого}","<augmented>{Convierte este objeto en un objeto raro}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์}","<augmented>{將此物品升級為稀有物品}",1,5,8,4500,""
24,29,0,2,2,2500,1899,[],[],26972,50,"<augmented>{Randomise the values of the random modifiers on this item}","<augmented>{Tire au hasard les valeurs des modificateurs aléatoires sur cet objet}","<augmented>{Verändert die Werte der zufälligen Modifikatoren auf diesem Gegenstand.}","<augmented>{このアイテムのランダムなモッドの数値をランダム化する}","<augmented>{이 아이템에 부여된 무작위 속성의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores dos modificadores aleatórios deste item}","<augmented>{Изменяет значения случайных свойств предмета}","<augmented>{Aleatoriza los valores de los modificadores aleatorios de este objeto}","<augmented>{สุ่ม​ค่าตัวเลข​ของ ​ม็อดแบบสุ่ม บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品上的隨機詞綴}","",5,8,6250,""
25,29,1,3,3,3125,1876,[],[],26972,50,"<augmented>{Randomise the values of the random modifiers on this item}","<augmented>{Tire au hasard les valeurs des modificateurs aléatoires sur cet objet}","<augmented>{Verändert die Werte der zufälligen Modifikatoren auf diesem Gegenstand.}","<augmented>{このアイテムのランダムなモッドの数値をランダム化する}","<augmented>{이 아이템에 부여된 무작위 속성의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores dos modificadores aleatórios deste item}","<augmented>{Изменяет значения случайных свойств предмета}","<augmented>{Aleatoriza los valores de los modificadores aleatorios de este objeto}","<augmented>{สุ่ม​ค่าตัวเลข​ของ ​ม็อดแบบสุ่ม บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品上的隨機詞綴}","",5,8,7813,""
26,29,2,4,4,3750,1877,[],[],26972,50,"<augmented>{Randomise the values of the random modifiers on this item}","<augmented>{Tire au hasard les valeurs des modificateurs aléatoires sur cet objet}","<augmented>{Verändert die Werte der zufälligen Modifikatoren auf diesem Gegenstand.}","<augmented>{このアイテムのランダムなモッドの数値をランダム化する}","<augmented>{이 아이템에 부여된 무작위 속성의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores dos modificadores aleatórios deste item}","<augmented>{Изменяет значения случайных свойств предмета}","<augmented>{Aleatoriza los valores de los modificadores aleatorios de este objeto}","<augmented>{สุ่ม​ค่าตัวเลข​ของ ​ม็อดแบบสุ่ม บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品上的隨機詞綴}","",5,8,9375,""
27,229,0,2,2,15000,1899,[],[],"",0,"<augmented>{Remove a random modifier from this item}","<augmented>{Retire un modificateur aléatoire de cet objet}","<augmented>{Entfernt einen zufälligen Modifikator von diesem Gegenstand.}","<augmented>{このアイテムからランダムなモッドを1個取り除く}","<augmented>{이 아이템에 부여된 속성을 무작위로 하나 제거}","<augmented>{Remove um modificador aleatório deste item}","<augmented>{Удаляет случайное свойство с предмета}","<augmented>{Elimina un modificador aleatorio de este objeto}","<augmented>{ลบ​ม็อด​แบบ​สุ่ม 1 อย่าง ออก​จาก​ไอเทม​นี้}","<augmented>{隨機移除一條此物品上的詞綴}",1,25,35,37500,""
28,14,0,1,1,15,1899,[],[],"",50,"<augmented>{Remove all modifiers from this item}","<augmented>{Retire tous les modificateurs de cet objet}","<augmented>{Entfernt alle Modifikatoren von diesem Gegenstand.}","<augmented>{このアイテムからすべてのモッドを取り除く}","<augmented>{이 아이템의 모든 속성 제거}","<augmented>{Remove todos os modificadores deste item}","<augmented>{Удаляет все свойства с предмета}","<augmented>{Elimina todos los modificadores de este objeto}","<augmented>{ลบ​ม็อด​ทุก​อย่าง​จาก​ไอเทม​นี้}","<augmented>{移除此物品上的所有詞綴}","",0,0,38,""
29,31,0,2,2,5000,1899,[],[],"",0,"<augmented>{Randomise the numeric values of the base defences on this item}","<augmented>{Tire au hasard les valeurs numériques des défenses de base sur cet objet}","<augmented>{Verändert die numerischen Werte der Basis-Defensiven auf diesem Gegenstand.}","<augmented>{このアイテムの基礎防御力の数値をランダム化する}","<augmented>{이 아이템에 붙은 기본 방어 능력치의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores numéricos das defesas base deste item}","<augmented>{Изменяет числовые значения базовой защиты на предмете}","<augmented>{Aleatoriza los valores numéricos de las defensas base de este objeto}","<augmented>{สุ่ม​ค่า​ตัวเลข​ของ ค่าป้องกันพื้นฐาน บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品的基礎防禦詞綴數值}",1,1,5,12500,""
30,31,1,3,3,6250,1876,[],[],"",0,"<augmented>{Randomise the numeric values of the base defences on this item}","<augmented>{Tire au hasard les valeurs numériques des défenses de base sur cet objet}","<augmented>{Verändert die numerischen Werte der Basis-Defensiven auf diesem Gegenstand.}","<augmented>{このアイテムの基礎防御力の数値をランダム化する}","<augmented>{이 아이템에 붙은 기본 방어 능력치의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores numéricos das defesas base deste item}","<augmented>{Изменяет числовые значения базовой защиты на предмете}","<augmented>{Aleatoriza los valores numéricos de las defensas base de este objeto}","<augmented>{สุ่ม​ค่า​ตัวเลข​ของ ค่าป้องกันพื้นฐาน บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品的基礎防禦詞綴數值}",1,1,5,15625,""
31,31,2,4,4,7500,1877,[],[],"",0,"<augmented>{Randomise the numeric values of the base defences on this item}","<augmented>{Tire au hasard les valeurs numériques des défenses de base sur cet objet}","<augmented>{Verändert die numerischen Werte der Basis-Defensiven auf diesem Gegenstand.}","<augmented>{このアイテムの基礎防御力の数値をランダム化する}","<augmented>{이 아이템에 붙은 기본 방어 능력치의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores numéricos das defesas base deste item}","<augmented>{Изменяет числовые значения базовой защиты на предмете}","<augmented>{Aleatoriza los valores numéricos de las defensas base de este objeto}","<augmented>{สุ่ม​ค่า​ตัวเลข​ของ ค่าป้องกันพื้นฐาน บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品的基礎防禦詞綴數值}",1,1,5,18750,""
32,30,0,2,2,400,1899,[],[],"",0,"<augmented>{Randomise the values of the implicit modifiers on this item}","<augmented>{Tire au hasard les valeurs des modificateurs implicites sur cet objet}","<augmented>{Verändert die Werte der impliziten Modifikatoren auf diesem Gegenstand.}","<augmented>{このアイテムの暗黙モッドの数値をランダム化する}","<augmented>{이 아이템에 부여된 고정 속성의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores dos modificadores implícitos deste item}","<augmented>{Изменяет значения собственных свойств предмета}","<augmented>{Aleatoriza los valores de los modificadores implícitos de este objeto}","<augmented>{สุ่ม​ค่าตัวเลข​ของ ม็อด​แฝง บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品的上綴數值}","",0,0,1000,""
33,30,1,3,3,500,1876,[],[],"",0,"<augmented>{Randomise the values of the implicit modifiers on this item}","<augmented>{Tire au hasard les valeurs des modificateurs implicites sur cet objet}","<augmented>{Verändert die Werte der impliziten Modifikatoren auf diesem Gegenstand.}","<augmented>{このアイテムの暗黙モッドの数値をランダム化する}","<augmented>{이 아이템에 부여된 고정 속성의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores dos modificadores implícitos deste item}","<augmented>{Изменяет значения собственных свойств предмета}","<augmented>{Aleatoriza los valores de los modificadores implícitos de este objeto}","<augmented>{สุ่ม​ค่าตัวเลข​ของ ม็อด​แฝง บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品的上綴數值}","",0,0,1250,""
34,30,2,4,4,600,1877,[],[],"",0,"<augmented>{Randomise the values of the implicit modifiers on this item}","<augmented>{Tire au hasard les valeurs des modificateurs implicites sur cet objet}","<augmented>{Verändert die Werte der impliziten Modifikatoren auf diesem Gegenstand.}","<augmented>{このアイテムの暗黙モッドの数値をランダム化する}","<augmented>{이 아이템에 부여된 고정 속성의 수치를 무작위로 결정}","<augmented>{Aleatoriza os valores dos modificadores implícitos deste item}","<augmented>{Изменяет значения собственных свойств предмета}","<augmented>{Aleatoriza los valores de los modificadores implícitos de este objeto}","<augmented>{สุ่ม​ค่าตัวเลข​ของ ม็อด​แฝง บน​ไอเทม​นี้​ขึ้น​มา​ใหม่}","<augmented>{隨機重骰此物品的上綴數值}","",0,0,1500,""
35,377,0,3,3,1500,1876,[],[],"",0,"<augmented>{Reforges the random modifiers of this item, influenced by socketed Fossils}","<augmented>{Remodèle les modificateurs aléatoires de cet objet ; les Fossiles enchâssés influencent le résultat}","<augmented>{Würfelt die zufälligen Modifikatoren auf diesem Gegenstand neu, beeinflusst von eingefassten Fossilien.}","<augmented>{このアイテムのランダムなモッドをリフォージする、ソケットされている化石の影響を受ける}","<augmented>{장착된 화석의 영향을 받아, 이 아이템의 무작위 속성을 재련}","<augmented>{Reforja os modificadores aleatórios deste item, influenciados por fósseis encaixados}","<augmented>{Перековывает предмет, наделяя его новыми случайными свойствами, основываясь на размещенных ископаемых}","<augmented>{Reforja los modificadores aleatorios de este objeto, influenciados por los fósiles engarzados}","<augmented>{สุ่ม​ม็อด​ทุก​อย่าง​บน​ไอเทม​นี้ขึ้น​มา​ใหม่ ซึ่ง​จะ​เปลี่ยน​ไป​ตาม​​ฟอสซิล​ที่​ใส่}","<augmented>{重鑄此物品上的隨機詞綴，受到插槽中的化石影響}","",1,5,0,1
