"rownum","BaseMetadata","i32_8","[rid]_12","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","bool_60","bool_61","bool_62","bool_63","bool_64","bool_65","bool_66","bool_67","bool_68","bool_69","i32_70","i32_74","i32_78","i32_82","rid_86","bool_102","bool_103","i32_104","Script","bool_116"
10,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",1,"[6997,6998]",20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
11,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",9,"[6997,6998]",20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
12,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",29,"[6997,6998]",20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
13,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",52,"[6997,6998]",20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
14,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",92,"[6997,6998]",20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
15,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",173,"[6997,6998]",20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
16,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",239,"[6997,6998]",20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
17,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",319,"[6997,6998]",20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
18,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",469,"[6997,6998]",20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
19,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSkeletonKnight",569,"[6997,6998]",20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
20,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",1,[6996],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
21,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",9,[6996],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
22,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",29,[6996],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
23,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",52,[6996],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
24,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",92,[6996],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
25,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",173,[6996],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
26,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",239,[6996],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
27,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",319,[6996],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
28,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",469,[6996],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
29,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerFragment",569,[6996],20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
30,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",1,[7002],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
31,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",9,[7002],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
32,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",29,[7002],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
33,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",52,[7002],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
34,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",92,[7002],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
35,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",173,[7002],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
36,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",239,[7002],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
37,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",319,[7002],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
38,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",469,[7002],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
39,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistSpear",569,[7002],20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
40,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",1,[7001],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
41,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",9,[7001],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
42,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",29,[7001],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
43,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",52,[7001],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
44,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",92,[7001],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
45,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",173,[7001],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
46,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",239,[7001],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
47,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",319,[7001],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
48,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",469,[7001],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
49,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistKnifestick",569,[7001],20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
50,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",1,[7000],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
51,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",9,[7000],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
52,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",29,[7000],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
53,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",52,[7000],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
54,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",92,[7000],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
55,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",173,[7000],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
56,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",239,[7000],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
57,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",319,[7000],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
58,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",469,[7000],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
59,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistDagger",569,[7000],20,500,0,0,800,1300,0,0,"","","","","","","","","","",5,0,30,0,"","","",1,"",""
60,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",1,[7003],20,500,0,0,2600,3100,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
61,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",9,[7003],20,500,0,0,2400,2900,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
62,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",29,[7003],20,500,0,0,2300,2800,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
63,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",52,[7003],20,500,0,0,2200,2700,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
64,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",92,[7003],20,500,0,0,2100,2600,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
65,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",173,[7003],20,500,0,0,2000,1500,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
66,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",239,[7003],20,500,0,0,1500,2000,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
67,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",319,[7003],20,500,0,0,1250,1750,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
68,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",469,[7003],20,500,0,0,1000,1500,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
69,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerCultistChampion",569,[7003],20,500,0,0,800,1300,0,0,"","","","","","","","","","",2,0,0,0,2,"","",1,"",""
70,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",1,[7018],20,1000,0,3,2760,5520,0,0,"",1,"","","",1,"","","","",2,5,20,0,"","","",1,"triggerer.DoAction( Emerge );",""
71,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",9,[7018],20,1000,0,3,2400,4800,0,0,"",1,"","","",1,"","","","",2,5,25,0,"","","",1,"triggerer.DoAction( Emerge );",""
72,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",29,[7018],20,1000,0,3,2040,4080,0,0,"",1,"","","",1,"","","","",2,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
73,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",52,[7018],20,1000,0,3,1680,3360,0,0,"",1,"","","",1,"","","","",2,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
74,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",92,[7018],20,1000,0,3,1300,2700,0,0,"",1,"","","",1,"","","","",2,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
75,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",173,[7018],20,1000,0,3,1100,2200,0,0,"",1,"","","",1,"","","","",2,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
76,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta1",239,[7018],20,1000,0,3,1000,1800,0,0,"",1,"","","",1,"","","","",2,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
77,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",1,[7019],5,1000,0,3,3700,7300,0,0,"",1,"","","",1,"","","","",1,5,20,0,"","","",1,"triggerer.DoAction( Emerge );",""
78,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",9,[7019],5,1000,0,3,3200,6300,0,0,"",1,"","","",1,"","","","",1,5,25,0,"","","",1,"triggerer.DoAction( Emerge );",""
79,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",29,[7019],5,1000,0,3,2700,5500,0,0,"",1,"","","",1,"","","","",1,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
80,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",52,[7019],5,1000,0,3,2300,4800,0,0,"",1,"","","",1,"","","","",1,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
81,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",92,[7019],5,1000,0,3,2000,4200,0,0,"",1,"","","",1,"","","","",1,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
82,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",173,[7019],5,1000,0,3,1800,3700,0,0,"",1,"","","",1,"","","","",1,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
83,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta2",239,[7019],5,1000,0,3,1700,3300,0,0,"",1,"","","",1,"","","","",1,5,30,0,"","","",1,"triggerer.DoAction( Emerge );",""
84,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",1,[7049],1,0,0,0,0,0,0,0,"",1,"","","",1,"","","","",1,1,0,10,"","","",1,"",""
85,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",9,[7049],1,0,0,0,0,0,0,0,"",1,"","","",1,"","","","",1,1,0,15,"","","",1,"",""
86,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",29,[7049],1,0,0,0,0,0,0,0,"",1,"","","",1,"","","","",1,1,0,20,"","","",1,"",""
87,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",52,[7049],1,0,0,0,0,0,0,0,"",1,"","","",1,"","","","",1,1,0,25,"","","",1,"",""
88,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/AzuriteEncounters/AzuriteEncounterSwarmTier1_Weta3",92,[7049],1,0,0,0,0,0,0,0,"",1,"","","",1,"","","","",1,1,0,25,"","","",1,"",""
